,1917130D US Equity
2020-12-21,62.4046
2020-12-22,62.467
2020-12-23,62.3924
2020-12-24,62.4421
2020-12-25,62.4421
2020-12-26,62.4421
2020-12-27,62.4421
2020-12-28,62.4421
2020-12-29,62.5664
2020-12-30,62.4421
2020-12-31,62.5084
2021-01-01,62.5084
2021-01-02,62.5084
2021-01-03,62.5084
2021-01-04,62.4007
2021-01-05,62.3178
2021-01-06,62.4007
2021-01-07,62.7571
2021-01-08,62.3178
2021-01-09,62.3178
2021-01-10,62.3178
2021-01-11,62.409
2021-01-12,62.4007
2021-01-13,62.3841
2021-01-14,62.5582
2021-01-15,62.6493
2021-01-16,62.6493
2021-01-17,62.6493
2021-01-18,62.6493
2021-01-19,62.3593
2021-01-20,62.293
2021-01-21,62.3841
2021-01-22,62.4173
2021-01-23,62.4173
2021-01-24,62.4173
2021-01-25,62.6659
2021-01-26,62.409
2021-01-27,62.5333
2021-01-28,62.4753
2021-01-29,61.9946
2021-01-30,61.9946
2021-01-31,61.9946
2021-02-01,62.235
2021-02-02,62.1687
2021-02-03,62.3178
2021-02-04,62.3095
2021-02-05,62.3593
2021-02-06,62.3593
2021-02-07,62.3593
2021-02-08,62.409
2021-02-09,62.409
2021-02-10,62.409
2021-02-11,62.409
2021-02-12,62.409
2021-02-13,62.409
2021-02-14,62.409
2021-02-15,62.409
2021-02-16,62.409
2021-02-17,62.409
2021-02-18,62.409
2021-02-19,62.409
2021-02-20,62.409
2021-02-21,62.409
2021-02-22,62.409
2021-02-23,62.409
2021-02-24,62.409
2021-02-25,62.409
2021-02-26,62.409
2021-02-27,62.409
2021-02-28,62.409
2021-03-01,62.409
2021-03-02,62.409
2021-03-03,62.409
2021-03-04,62.409
2021-03-05,62.409
2021-03-06,62.409
2021-03-07,62.409
2021-03-08,62.409
2021-03-09,62.409
2021-03-10,62.409
2021-03-11,62.409
2021-03-12,62.409
2021-03-13,62.409
2021-03-14,62.409
2021-03-15,62.409
2021-03-16,62.409
2021-03-17,62.409
2021-03-18,62.409
2021-03-19,62.409
2021-03-20,62.409
2021-03-21,62.409
2021-03-22,62.409
2021-03-23,62.409
2021-03-24,62.409
2021-03-25,62.409
2021-03-26,62.409
2021-03-27,62.409
2021-03-28,62.409
2021-03-29,62.409
2021-03-30,62.409
2021-03-31,62.409
2021-04-01,62.409
2021-04-02,62.409
2021-04-03,62.409
2021-04-04,62.409
2021-04-05,62.409
2021-04-06,62.409
2021-04-07,62.409
2021-04-08,62.409
2021-04-09,62.409
2021-04-10,62.409
2021-04-11,62.409
2021-04-12,62.409
2021-04-13,62.409
2021-04-14,62.409
2021-04-15,62.409
2021-04-16,62.409
2021-04-17,62.409
2021-04-18,62.409
2021-04-19,62.409
2021-04-20,62.409
2021-04-21,62.409
2021-04-22,62.409
2021-04-23,62.409
2021-04-24,62.409
2021-04-25,62.409
2021-04-26,62.409
2021-04-27,62.409
2021-04-28,62.409
2021-04-29,62.409
2021-04-30,62.409
2021-05-01,62.409
2021-05-02,62.409
2021-05-03,62.409
2021-05-04,62.409
2021-05-05,62.409
2021-05-06,62.409
2021-05-07,62.409
2021-05-08,62.409
2021-05-09,62.409
2021-05-10,62.409
2021-05-11,62.409
2021-05-12,62.409
2021-05-13,62.409
2021-05-14,62.409
2021-05-15,62.409
2021-05-16,62.409
2021-05-17,62.409
2021-05-18,62.409
2021-05-19,62.409
2021-05-20,62.409
2021-05-21,62.409
2021-05-22,62.409
2021-05-23,62.409
2021-05-24,62.409
2021-05-25,62.409
2021-05-26,62.409
2021-05-27,62.409
2021-05-28,62.409
2021-05-29,62.409
2021-05-30,62.409
2021-05-31,62.409
2021-06-01,62.409
2021-06-02,62.409
2021-06-03,62.409
2021-06-04,62.409
2021-06-05,62.409
2021-06-06,62.409
2021-06-07,62.409
2021-06-08,62.409
2021-06-09,62.409
2021-06-10,62.409
2021-06-11,62.409
2021-06-12,62.409
2021-06-13,62.409
2021-06-14,62.409
2021-06-15,62.409
2021-06-16,62.409
2021-06-17,62.409
2021-06-18,62.409
2021-06-19,62.409
2021-06-20,62.409
2021-06-21,62.409
2021-06-22,62.409
2021-06-23,62.409
2021-06-24,62.409
2021-06-25,62.409
2021-06-26,62.409
2021-06-27,62.409
2021-06-28,62.409
2021-06-29,62.409
2021-06-30,62.409
2021-07-01,62.409
2021-07-02,62.409
2021-07-03,62.409
2021-07-04,62.409
2021-07-05,62.409
2021-07-06,62.409
2021-07-07,62.409
2021-07-08,62.409
2021-07-09,62.409
2021-07-10,62.409
2021-07-11,62.409
2021-07-12,62.409
2021-07-13,62.409
2021-07-14,62.409
2021-07-15,62.409
2021-07-16,62.409
2021-07-17,62.409
2021-07-18,62.409
2021-07-19,62.409
2021-07-20,62.409
2021-07-21,62.409
2021-07-22,62.409
2021-07-23,62.409
2021-07-24,62.409
2021-07-25,62.409
2021-07-26,62.409
2021-07-27,62.409
2021-07-28,62.409
2021-07-29,62.409
2021-07-30,62.409
2021-07-31,62.409
2021-08-01,62.409
2021-08-02,62.409
2021-08-03,62.409
2021-08-04,62.409
2021-08-05,62.409
2021-08-06,62.409
2021-08-07,62.409
2021-08-08,62.409
2021-08-09,62.409
2021-08-10,62.409
2021-08-11,62.409
2021-08-12,62.409
2021-08-13,62.409
2021-08-14,62.409
2021-08-15,62.409
2021-08-16,62.409
2021-08-17,62.409
2021-08-18,62.409
2021-08-19,62.409
2021-08-20,62.409
2021-08-21,62.409
2021-08-22,62.409
2021-08-23,62.409
2021-08-24,62.409
2021-08-25,62.409
2021-08-26,62.409
2021-08-27,62.409
2021-08-28,62.409
2021-08-29,62.409
2021-08-30,62.409
2021-08-31,62.409
2021-09-01,62.409
2021-09-02,62.409
2021-09-03,62.409
2021-09-04,62.409
2021-09-05,62.409
2021-09-06,62.409
2021-09-07,62.409
2021-09-08,62.409
2021-09-09,62.409
2021-09-10,62.409
2021-09-11,62.409
2021-09-12,62.409
2021-09-13,62.409
2021-09-14,62.409
2021-09-15,62.409
2021-09-16,62.409
2021-09-17,62.409
2021-09-18,62.409
2021-09-19,62.409
2021-09-20,62.409
2021-09-21,62.409
2021-09-22,62.409
2021-09-23,62.409
2021-09-24,62.409
2021-09-25,62.409
2021-09-26,62.409
2021-09-27,62.409
2021-09-28,62.409
2021-09-29,62.409
2021-09-30,62.409
2021-10-01,62.409
2021-10-02,62.409
2021-10-03,62.409
2021-10-04,62.409
2021-10-05,62.409
2021-10-06,62.409
2021-10-07,62.409
2021-10-08,62.409
2021-10-09,62.409
2021-10-10,62.409
2021-10-11,62.409
2021-10-12,62.409
2021-10-13,62.409
2021-10-14,62.409
2021-10-15,62.409
2021-10-16,62.409
2021-10-17,62.409
2021-10-18,62.409
2021-10-19,62.409
2021-10-20,62.409
2021-10-21,62.409
2021-10-22,62.409
2021-10-23,62.409
2021-10-24,62.409
2021-10-25,62.409
2021-10-26,62.409
2021-10-27,62.409
2021-10-28,62.409
2021-10-29,62.409
2021-10-30,62.409
2021-10-31,62.409
2021-11-01,62.409
2021-11-02,62.409
2021-11-03,62.409
2021-11-04,62.409
2021-11-05,62.409
2021-11-06,62.409
2021-11-07,62.409
2021-11-08,62.409
2021-11-09,62.409
2021-11-10,62.409
2021-11-11,62.409
2021-11-12,62.409
2021-11-13,62.409
2021-11-14,62.409
2021-11-15,62.409
2021-11-16,62.409
2021-11-17,62.409
2021-11-18,62.409
2021-11-19,62.409
2021-11-20,62.409
2021-11-21,62.409
2021-11-22,62.409
2021-11-23,62.409
2021-11-24,62.409
2021-11-25,62.409
2021-11-26,62.409
2021-11-27,62.409
2021-11-28,62.409
2021-11-29,62.409
2021-11-30,62.409
2021-12-01,62.409
2021-12-02,62.409
2021-12-03,62.409
2021-12-04,62.409
2021-12-05,62.409
2021-12-06,62.409
2021-12-07,62.409
2021-12-08,62.409
2021-12-09,62.409
2021-12-10,62.409
2021-12-11,62.409
2021-12-12,62.409
2021-12-13,62.409
2021-12-14,62.409
2021-12-15,62.409
2021-12-16,62.409
2021-12-17,62.409
2021-12-18,62.409
2021-12-19,62.409
2021-12-20,62.409
2021-12-21,62.409
2021-12-22,62.409
2021-12-23,62.409
2021-12-24,62.409
2021-12-25,62.409
2021-12-26,62.409
2021-12-27,62.409
2021-12-28,62.409
2021-12-29,62.409
2021-12-30,62.409
2021-12-31,62.409
2022-01-01,62.409
2022-01-02,62.409
2022-01-03,62.409
2022-01-04,62.409
2022-01-05,62.409
2022-01-06,62.409
2022-01-07,62.409
2022-01-08,62.409
2022-01-09,62.409
2022-01-10,62.409
2022-01-11,62.409
2022-01-12,62.409
2022-01-13,62.409
2022-01-14,62.409
2022-01-15,62.409
2022-01-16,62.409
2022-01-17,62.409
2022-01-18,62.409
2022-01-19,62.409
2022-01-20,62.409
2022-01-21,62.409
2022-01-22,62.409
2022-01-23,62.409
2022-01-24,62.409
2022-01-25,62.409
2022-01-26,62.409
2022-01-27,62.409
2022-01-28,62.409
2022-01-29,62.409
2022-01-30,62.409
2022-01-31,62.409
2022-02-01,62.409
2022-02-02,62.409
2022-02-03,62.409
2022-02-04,62.409
2022-02-05,62.409
2022-02-06,62.409
2022-02-07,62.409
2022-02-08,62.409
2022-02-09,62.409
2022-02-10,62.409
2022-02-11,62.409
2022-02-12,62.409
2022-02-13,62.409
2022-02-14,62.409
2022-02-15,62.409
2022-02-16,62.409
2022-02-17,62.409
2022-02-18,62.409
2022-02-19,62.409
2022-02-20,62.409
2022-02-21,62.409
2022-02-22,62.409
2022-02-23,62.409
2022-02-24,62.409
2022-02-25,62.409
2022-02-26,62.409
2022-02-27,62.409
2022-02-28,62.409
2022-03-01,62.409
2022-03-02,62.409
2022-03-03,62.409
2022-03-04,62.409
2022-03-05,62.409
2022-03-06,62.409
2022-03-07,62.409
2022-03-08,62.409
2022-03-09,62.409
2022-03-10,62.409
2022-03-11,62.409
2022-03-12,62.409
2022-03-13,62.409
2022-03-14,62.409
2022-03-15,62.409
2022-03-16,62.409
2022-03-17,62.409
2022-03-18,62.409
2022-03-19,62.409
2022-03-20,62.409
2022-03-21,62.409
2022-03-22,62.409
2022-03-23,62.409
2022-03-24,62.409
2022-03-25,62.409
2022-03-26,62.409
2022-03-27,62.409
2022-03-28,62.409
2022-03-29,62.409
2022-03-30,62.409
2022-03-31,62.409
2022-04-01,62.409
2022-04-02,62.409
2022-04-03,62.409
2022-04-04,62.409
2022-04-05,62.409
2022-04-06,62.409
2022-04-07,62.409
2022-04-08,62.409
2022-04-09,62.409
2022-04-10,62.409
2022-04-11,62.409
2022-04-12,62.409
2022-04-13,62.409
2022-04-14,62.409
2022-04-15,62.409
2022-04-16,62.409
2022-04-17,62.409
2022-04-18,62.409
2022-04-19,62.409
2022-04-20,62.409
2022-04-21,62.409
2022-04-22,62.409
2022-04-23,62.409
2022-04-24,62.409
2022-04-25,62.409
2022-04-26,62.409
2022-04-27,62.409
2022-04-28,62.409
2022-04-29,62.409
2022-04-30,62.409
2022-05-01,62.409
2022-05-02,62.409
2022-05-03,62.409
2022-05-04,62.409
2022-05-05,62.409
2022-05-06,62.409
2022-05-07,62.409
2022-05-08,62.409
2022-05-09,62.409
2022-05-10,62.409
2022-05-11,62.409
2022-05-12,62.409
2022-05-13,62.409
2022-05-14,62.409
2022-05-15,62.409
2022-05-16,62.409
2022-05-17,62.409
2022-05-18,62.409
2022-05-19,62.409
2022-05-20,62.409
2022-05-21,62.409
2022-05-22,62.409
2022-05-23,62.409
2022-05-24,62.409
2022-05-25,62.409
2022-05-26,62.409
2022-05-27,62.409
2022-05-28,62.409
2022-05-29,62.409
2022-05-30,62.409
2022-05-31,62.409
2022-06-01,62.409
2022-06-02,62.409
2022-06-03,62.409
2022-06-04,62.409
2022-06-05,62.409
2022-06-06,62.409
2022-06-07,62.409
2022-06-08,62.409
2022-06-09,62.409
2022-06-10,62.409
2022-06-11,62.409
2022-06-12,62.409
2022-06-13,62.409
2022-06-14,62.409
2022-06-15,62.409
2022-06-16,62.409
2022-06-17,62.409
2022-06-18,62.409
2022-06-19,62.409
2022-06-20,62.409
2022-06-21,62.409
2022-06-22,62.409
2022-06-23,62.409
2022-06-24,62.409
2022-06-25,62.409
2022-06-26,62.409
2022-06-27,62.409
2022-06-28,62.409
2022-06-29,62.409
2022-06-30,62.409
2022-07-01,62.409
2022-07-02,62.409
2022-07-03,62.409
2022-07-04,62.409
2022-07-05,62.409
2022-07-06,62.409
2022-07-07,62.409
2022-07-08,62.409
2022-07-09,62.409
2022-07-10,62.409
2022-07-11,62.409
2022-07-12,62.409
2022-07-13,62.409
2022-07-14,62.409
2022-07-15,62.409
2022-07-16,62.409
2022-07-17,62.409
2022-07-18,62.409
2022-07-19,62.409
2022-07-20,62.409
2022-07-21,62.409
2022-07-22,62.409
2022-07-23,62.409
2022-07-24,62.409
2022-07-25,62.409
2022-07-26,62.409
2022-07-27,62.409
2022-07-28,62.409
2022-07-29,62.409
2022-07-30,62.409
2022-07-31,62.409
2022-08-01,62.409
2022-08-02,62.409
2022-08-03,62.409
2022-08-04,62.409
2022-08-05,62.409
2022-08-06,62.409
2022-08-07,62.409
2022-08-08,62.409
2022-08-09,62.409
2022-08-10,62.409
2022-08-11,62.409
2022-08-12,62.409
2022-08-13,62.409
2022-08-14,62.409
2022-08-15,62.409
2022-08-16,62.409
2022-08-17,62.409
2022-08-18,62.409
2022-08-19,62.409
2022-08-20,62.409
2022-08-21,62.409
2022-08-22,62.409
2022-08-23,62.409
2022-08-24,62.409
2022-08-25,62.409
2022-08-26,62.409
2022-08-27,62.409
2022-08-28,62.409
2022-08-29,62.409
2022-08-30,62.409
2022-08-31,62.409
2022-09-01,62.409
2022-09-02,62.409
2022-09-03,62.409
2022-09-04,62.409
2022-09-05,62.409
2022-09-06,62.409
2022-09-07,62.409
2022-09-08,62.409
2022-09-09,62.409
2022-09-10,62.409
2022-09-11,62.409
2022-09-12,62.409
2022-09-13,62.409
2022-09-14,62.409
2022-09-15,62.409
2022-09-16,62.409
2022-09-17,62.409
2022-09-18,62.409
2022-09-19,62.409
2022-09-20,62.409
2022-09-21,62.409
2022-09-22,62.409
2022-09-23,62.409
2022-09-24,62.409
2022-09-25,62.409
2022-09-26,62.409
2022-09-27,62.409
2022-09-28,62.409
2022-09-29,62.409
2022-09-30,62.409
2022-10-01,62.409
2022-10-02,62.409
2022-10-03,62.409
2022-10-04,62.409
2022-10-05,62.409
2022-10-06,62.409
2022-10-07,62.409
2022-10-08,62.409
2022-10-09,62.409
2022-10-10,62.409
2022-10-11,62.409
2022-10-12,62.409
2022-10-13,62.409
2022-10-14,62.409
2022-10-15,62.409
2022-10-16,62.409
2022-10-17,62.409
2022-10-18,62.409
2022-10-19,62.409
2022-10-20,62.409
2022-10-21,62.409
2022-10-22,62.409
2022-10-23,62.409
2022-10-24,62.409
2022-10-25,62.409
2022-10-26,62.409
2022-10-27,62.409
2022-10-28,62.409
2022-10-29,62.409
2022-10-30,62.409
2022-10-31,62.409
2022-11-01,62.409
2022-11-02,62.409
2022-11-03,62.409
2022-11-04,62.409
2022-11-05,62.409
2022-11-06,62.409
2022-11-07,62.409
2022-11-08,62.409
2022-11-09,62.409
2022-11-10,62.409
2022-11-11,62.409
2022-11-12,62.409
2022-11-13,62.409
2022-11-14,62.409
2022-11-15,62.409
2022-11-16,62.409
2022-11-17,62.409
2022-11-18,62.409
2022-11-19,62.409
2022-11-20,62.409
2022-11-21,62.409
2022-11-22,62.409
2022-11-23,62.409
2022-11-24,62.409
2022-11-25,62.409
2022-11-26,62.409
2022-11-27,62.409
2022-11-28,62.409
2022-11-29,62.409
2022-11-30,62.409
2022-12-01,62.409
2022-12-02,62.409
2022-12-03,62.409
2022-12-04,62.409
2022-12-05,62.409
2022-12-06,62.409
2022-12-07,62.409
2022-12-08,62.409
2022-12-09,62.409
2022-12-10,62.409
2022-12-11,62.409
2022-12-12,62.409
2022-12-13,62.409
2022-12-14,62.409
2022-12-15,62.409
2022-12-16,62.409
2022-12-17,62.409
2022-12-18,62.409
2022-12-19,62.409
2022-12-20,62.409
2022-12-21,62.409
2022-12-22,62.409
2022-12-23,62.409
2022-12-24,62.409
2022-12-25,62.409
2022-12-26,62.409
2022-12-27,62.409
2022-12-28,62.409
2022-12-29,62.409
2022-12-30,62.409
2022-12-31,62.409
2023-01-01,62.409
2023-01-02,62.409
2023-01-03,62.409
2023-01-04,62.409
2023-01-05,62.409
2023-01-06,62.409
2023-01-07,62.409
2023-01-08,62.409
2023-01-09,62.409
2023-01-10,62.409
2023-01-11,62.409
2023-01-12,62.409
2023-01-13,62.409
2023-01-14,62.409
2023-01-15,62.409
2023-01-16,62.409
2023-01-17,62.409
2023-01-18,62.409
2023-01-19,62.409
2023-01-20,62.409
2023-01-21,62.409
2023-01-22,62.409
2023-01-23,62.409
2023-01-24,62.409
2023-01-25,62.409
2023-01-26,62.409
2023-01-27,62.409
2023-01-28,62.409
2023-01-29,62.409
2023-01-30,62.409
2023-01-31,62.409
2023-02-01,62.409
2023-02-02,62.409
2023-02-03,62.409
2023-02-04,62.409
2023-02-05,62.409
2023-02-06,62.409
2023-02-07,62.409
2023-02-08,62.409
2023-02-09,62.409
2023-02-10,62.409
2023-02-11,62.409
2023-02-12,62.409
2023-02-13,62.409
2023-02-14,62.409
2023-02-15,62.409
2023-02-16,62.409
2023-02-17,62.409
2023-02-18,62.409
2023-02-19,62.409
2023-02-20,62.409
2023-02-21,62.409
2023-02-22,62.409
2023-02-23,62.409
2023-02-24,62.409
2023-02-25,62.409
2023-02-26,62.409
2023-02-27,62.409
2023-02-28,62.409
2023-03-01,62.409
2023-03-02,62.409
2023-03-03,62.409
2023-03-04,62.409
2023-03-05,62.409
2023-03-06,62.409
2023-03-07,62.409
2023-03-08,62.409
2023-03-09,62.409
2023-03-10,62.409
2023-03-11,62.409
2023-03-12,62.409
2023-03-13,62.409
2023-03-14,62.409
2023-03-15,62.409
2023-03-16,62.409
2023-03-17,62.409
2023-03-18,62.409
2023-03-19,62.409
2023-03-20,62.409
2023-03-21,62.409
2023-03-22,62.409
2023-03-23,62.409
2023-03-24,62.409
2023-03-25,62.409
2023-03-26,62.409
2023-03-27,62.409
2023-03-28,62.409
2023-03-29,62.409
2023-03-30,62.409
2023-03-31,62.409
2023-04-01,62.409
2023-04-02,62.409
2023-04-03,62.409
2023-04-04,62.409
2023-04-05,62.409
2023-04-06,62.409
2023-04-07,62.409
2023-04-08,62.409
2023-04-09,62.409
2023-04-10,62.409
2023-04-11,62.409
2023-04-12,62.409
2023-04-13,62.409
2023-04-14,62.409
2023-04-15,62.409
2023-04-16,62.409
2023-04-17,62.409
2023-04-18,62.409
2023-04-19,62.409
2023-04-20,62.409
2023-04-21,62.409
2023-04-22,62.409
2023-04-23,62.409
2023-04-24,62.409
2023-04-25,62.409
2023-04-26,62.409
2023-04-27,62.409
2023-04-28,62.409
2023-04-29,62.409
2023-04-30,62.409
2023-05-01,62.409
2023-05-02,62.409
2023-05-03,62.409
2023-05-04,62.409
2023-05-05,62.409
2023-05-06,62.409
2023-05-07,62.409
2023-05-08,62.409
2023-05-09,62.409
2023-05-10,62.409
2023-05-11,62.409
2023-05-12,62.409
2023-05-13,62.409
2023-05-14,62.409
2023-05-15,62.409
2023-05-16,62.409
2023-05-17,62.409
2023-05-18,62.409
