,TRUL CN Equity
2023-06-23,54.27
2023-06-24,54.27
2023-06-25,54.27
2023-06-26,54.27
2023-06-27,54.27
2023-06-28,54.27
2023-06-29,54.27
2023-06-30,54.27
2023-07-01,54.27
2023-07-02,54.27
2023-07-03,54.27
2023-07-04,54.27
2023-07-05,54.27
2023-07-06,54.27
2023-07-07,54.27
2023-07-08,54.27
2023-07-09,54.27
2023-07-10,54.27
2023-07-11,54.27
2023-07-12,54.27
2023-07-13,54.27
2023-07-14,54.27
2023-07-15,54.27
2023-07-16,54.27
2023-07-17,54.27
2023-07-18,54.27
2023-07-19,54.27
2023-07-20,54.27
2023-07-21,54.27
2023-07-22,54.27
2023-07-23,54.27
2023-07-24,54.27
2023-07-25,54.27
2023-07-26,54.27
2023-07-27,54.27
2023-07-28,54.27
2023-07-29,54.27
2023-07-30,54.27
2023-07-31,54.27
2023-08-01,54.27
2023-08-02,54.27
2023-08-03,54.27
2023-08-04,54.27
2023-08-05,54.27
2023-08-06,54.27
2023-08-07,54.27
2023-08-08,54.27
2023-08-09,54.27
2023-08-10,54.27
2023-08-11,54.27
2023-08-12,54.27
2023-08-13,54.27
2023-08-14,54.27
2023-08-15,54.27
2023-08-16,54.27
2023-08-17,54.27
2023-08-18,54.27
2023-08-19,54.27
2023-08-20,54.27
2023-08-21,54.27
2023-08-22,54.27
2023-08-23,54.27
2023-08-24,54.27
2023-08-25,54.27
2023-08-26,54.27
2023-08-27,54.27
2023-08-28,54.27
2023-08-29,54.27
2023-08-30,54.27
2023-08-31,54.27
2023-09-01,54.27
2023-09-02,54.27
2023-09-03,54.27
2023-09-04,54.27
2023-09-05,54.27
2023-09-06,54.27
2023-09-07,54.27
2023-09-08,54.27
2023-09-09,54.27
2023-09-10,54.27
2023-09-11,54.27
2023-09-12,54.27
2023-09-13,54.27
2023-09-14,54.27
2023-09-15,54.27
2023-09-16,54.27
2023-09-17,54.27
2023-09-18,54.27
2023-09-19,54.27
2023-09-20,54.27
2023-09-21,54.27
2023-09-22,54.27
2023-09-23,54.27
2023-09-24,54.27
2023-09-25,54.27
2023-09-26,54.27
2023-09-27,54.27
2023-09-28,54.27
2023-09-29,54.27
2023-09-30,54.27
2023-10-01,54.27
2023-10-02,54.27
2023-10-03,54.27
2023-10-04,54.27
2023-10-05,54.27
2023-10-06,54.27
2023-10-07,54.27
2023-10-08,54.27
2023-10-09,54.27
2023-10-10,54.27
2023-10-11,54.27
2023-10-12,54.27
2023-10-13,54.27
2023-10-14,54.27
2023-10-15,54.27
2023-10-16,54.27
2023-10-17,54.27
2023-10-18,54.27
2023-10-19,54.27
2023-10-20,54.27
2023-10-21,54.27
2023-10-22,54.27
2023-10-23,54.27
2023-10-24,54.27
2023-10-25,54.27
2023-10-26,54.27
2023-10-27,54.27
2023-10-28,54.27
2023-10-29,54.27
2023-10-30,54.27
2023-10-31,54.27
2023-11-01,54.27
2023-11-02,54.27
2023-11-03,54.27
2023-11-04,54.27
2023-11-05,54.27
2023-11-06,54.27
2023-11-07,54.27
2023-11-08,54.27
2023-11-09,54.27
2023-11-10,54.27
2023-11-11,54.27
2023-11-12,54.27
2023-11-13,54.27
2023-11-14,54.27
2023-11-15,54.27
2023-11-16,54.27
2023-11-17,54.27
2023-11-18,54.27
2023-11-19,54.27
2023-11-20,54.27
2023-11-21,54.27
2023-11-22,54.27
2023-11-23,54.27
2023-11-24,54.27
2023-11-25,54.27
2023-11-26,54.27
2023-11-27,54.27
2023-11-28,54.27
2023-11-29,54.27
2023-11-30,54.27
2023-12-01,54.27
2023-12-02,54.27
2023-12-03,54.27
2023-12-04,54.27
2023-12-05,54.27
2023-12-06,54.27
2023-12-07,54.27
2023-12-08,54.27
2023-12-09,54.27
2023-12-10,54.27
2023-12-11,54.27
2023-12-12,54.27
2023-12-13,54.27
2023-12-14,54.27
2023-12-15,54.27
2023-12-16,54.27
2023-12-17,54.27
2023-12-18,54.27
2023-12-19,54.27
2023-12-20,54.27
2023-12-21,54.27
2023-12-22,54.27
2023-12-23,54.27
2023-12-24,54.27
2023-12-25,54.27
2023-12-26,54.27
2023-12-27,54.27
2023-12-28,54.27
2023-12-29,54.27
2023-12-30,54.27
2023-12-31,54.27
2024-01-01,54.27
2024-01-02,54.27
2024-01-03,54.27
2024-01-04,54.27
2024-01-05,54.27
2024-01-06,54.27
2024-01-07,54.27
2024-01-08,54.27
2024-01-09,54.27
2024-01-10,54.27
2024-01-11,54.27
2024-01-12,54.27
2024-01-13,54.27
2024-01-14,54.27
2024-01-15,54.27
2024-01-16,54.27
2024-01-17,54.27
2024-01-18,54.27
2024-01-19,54.27
2024-01-20,54.27
2024-01-21,54.27
2024-01-22,54.27
2024-01-23,54.27
2024-01-24,54.27
2024-01-25,54.27
2024-01-26,54.27
2024-01-27,54.27
2024-01-28,54.27
2024-01-29,54.27
2024-01-30,54.27
2024-01-31,54.27
2024-02-01,54.27
2024-02-02,54.27
2024-02-03,54.27
2024-02-04,54.27
2024-02-05,54.27
2024-02-06,54.27
2024-02-07,54.27
2024-02-08,54.27
2024-02-09,54.27
2024-02-10,54.27
2024-02-11,54.27
2024-02-12,54.27
2024-02-13,54.27
2024-02-14,54.27
2024-02-15,54.27
2024-02-16,54.27
2024-02-17,54.27
2024-02-18,54.27
2024-02-19,54.27
2024-02-20,54.27
2024-02-21,54.27
2024-02-22,54.27
2024-02-23,54.27
2024-02-24,54.27
2024-02-25,54.27
2024-02-26,54.27
2024-02-27,54.27
2024-02-28,54.27
2024-02-29,54.27
2024-03-01,54.27
2024-03-02,54.27
2024-03-03,54.27
2024-03-04,54.27
2024-03-05,54.27
2024-03-06,54.27
2024-03-07,54.27
2024-03-08,54.27
2024-03-09,54.27
2024-03-10,54.27
2024-03-11,54.27
2024-03-12,54.27
2024-03-13,54.27
2024-03-14,54.27
2024-03-15,54.27
2024-03-16,54.27
2024-03-17,54.27
2024-03-18,54.27
2024-03-19,54.27
2024-03-20,54.27
2024-03-21,54.27
2024-03-22,54.27
2024-03-23,54.27
2024-03-24,54.27
2024-03-25,54.27
2024-03-26,54.27
2024-03-27,54.27
2024-03-28,54.27
2024-03-29,54.27
2024-03-30,54.27
2024-03-31,54.27
2024-04-01,54.27
2024-04-02,54.27
2024-04-03,54.27
2024-04-04,54.27
2024-04-05,54.27
2024-04-06,54.27
2024-04-07,54.27
2024-04-08,54.27
