,1812209D US Equity
2020-09-26,46.747
2020-09-27,46.747
2020-09-28,46.747
2020-09-29,46.747
2020-09-30,46.747
2020-10-01,46.747
2020-10-02,46.747
2020-10-03,46.747
2020-10-04,46.747
2020-10-05,46.747
2020-10-06,46.747
2020-10-07,46.747
2020-10-08,46.747
2020-10-09,46.747
2020-10-10,46.747
2020-10-11,46.747
2020-10-12,46.747
2020-10-13,46.747
2020-10-14,46.747
2020-10-15,46.747
2020-10-16,46.747
2020-10-17,46.747
2020-10-18,46.747
2020-10-19,46.747
2020-10-20,46.747
2020-10-21,46.747
2020-10-22,46.747
2020-10-23,46.747
2020-10-24,46.747
2020-10-25,46.747
2020-10-26,46.747
2020-10-27,46.747
2020-10-28,46.747
2020-10-29,46.747
2020-10-30,46.747
2020-10-31,46.747
2020-11-01,46.747
2020-11-02,46.747
2020-11-03,46.747
2020-11-04,46.747
2020-11-05,46.747
2020-11-06,46.747
2020-11-07,46.747
2020-11-08,46.747
2020-11-09,46.747
2020-11-10,46.747
2020-11-11,46.747
2020-11-12,46.747
2020-11-13,46.747
2020-11-14,46.747
2020-11-15,46.747
2020-11-16,46.747
2020-11-17,46.747
2020-11-18,46.747
2020-11-19,46.747
2020-11-20,46.747
2020-11-21,46.747
2020-11-22,46.747
2020-11-23,46.747
2020-11-24,46.747
2020-11-25,46.747
2020-11-26,46.747
2020-11-27,46.747
2020-11-28,46.747
2020-11-29,46.747
2020-11-30,46.747
2020-12-01,46.747
2020-12-02,46.747
2020-12-03,46.747
2020-12-04,46.747
2020-12-05,46.747
2020-12-06,46.747
2020-12-07,46.747
2020-12-08,46.747
2020-12-09,46.747
2020-12-10,46.747
2020-12-11,46.747
2020-12-12,46.747
2020-12-13,46.747
2020-12-14,46.747
2020-12-15,46.747
2020-12-16,46.747
2020-12-17,46.747
2020-12-18,46.747
2020-12-19,46.747
2020-12-20,46.747
2020-12-21,46.747
2020-12-22,46.747
2020-12-23,46.747
2020-12-24,46.747
2020-12-25,46.747
2020-12-26,46.747
2020-12-27,46.747
2020-12-28,46.747
2020-12-29,46.747
2020-12-30,46.747
2020-12-31,46.747
2021-01-01,46.747
2021-01-02,46.747
2021-01-03,46.747
2021-01-04,46.747
2021-01-05,46.747
2021-01-06,46.747
2021-01-07,46.747
2021-01-08,46.747
2021-01-09,46.747
2021-01-10,46.747
2021-01-11,46.747
2021-01-12,46.747
2021-01-13,46.747
2021-01-14,46.747
2021-01-15,46.747
2021-01-16,46.747
2021-01-17,46.747
2021-01-18,46.747
2021-01-19,46.747
2021-01-20,46.747
2021-01-21,46.747
2021-01-22,46.747
2021-01-23,46.747
2021-01-24,46.747
2021-01-25,46.747
2021-01-26,46.747
2021-01-27,46.747
2021-01-28,46.747
2021-01-29,46.747
2021-01-30,46.747
2021-01-31,46.747
2021-02-01,46.747
2021-02-02,46.747
2021-02-03,46.747
2021-02-04,46.747
2021-02-05,46.747
2021-02-06,46.747
2021-02-07,46.747
2021-02-08,46.747
2021-02-09,46.747
2021-02-10,46.747
2021-02-11,46.747
2021-02-12,46.747
2021-02-13,46.747
2021-02-14,46.747
2021-02-15,46.747
2021-02-16,46.747
2021-02-17,46.747
2021-02-18,46.747
2021-02-19,46.747
2021-02-20,46.747
2021-02-21,46.747
2021-02-22,46.747
2021-02-23,46.747
2021-02-24,46.747
2021-02-25,46.747
2021-02-26,46.747
2021-02-27,46.747
2021-02-28,46.747
2021-03-01,46.747
2021-03-02,46.747
2021-03-03,46.747
2021-03-04,46.747
2021-03-05,46.747
2021-03-06,46.747
2021-03-07,46.747
2021-03-08,46.747
2021-03-09,46.747
2021-03-10,46.747
2021-03-11,46.747
2021-03-12,46.747
2021-03-13,46.747
2021-03-14,46.747
2021-03-15,46.747
2021-03-16,46.747
2021-03-17,46.747
2021-03-18,46.747
2021-03-19,46.747
2021-03-20,46.747
2021-03-21,46.747
2021-03-22,46.747
2021-03-23,46.747
2021-03-24,46.747
2021-03-25,46.747
2021-03-26,46.747
2021-03-27,46.747
2021-03-28,46.747
2021-03-29,46.747
2021-03-30,46.747
2021-03-31,46.747
2021-04-01,46.747
2021-04-02,46.747
2021-04-03,46.747
2021-04-04,46.747
2021-04-05,46.747
2021-04-06,46.747
2021-04-07,46.747
2021-04-08,46.747
2021-04-09,46.747
2021-04-10,46.747
2021-04-11,46.747
2021-04-12,46.747
2021-04-13,46.747
2021-04-14,46.747
2021-04-15,46.747
2021-04-16,46.747
2021-04-17,46.747
2021-04-18,46.747
2021-04-19,46.747
2021-04-20,46.747
2021-04-21,46.747
2021-04-22,46.747
2021-04-23,46.747
2021-04-24,46.747
2021-04-25,46.747
2021-04-26,46.747
2021-04-27,46.747
2021-04-28,46.747
2021-04-29,46.747
2021-04-30,46.747
2021-05-01,46.747
2021-05-02,46.747
2021-05-03,46.747
2021-05-04,46.747
2021-05-05,46.747
2021-05-06,46.747
2021-05-07,46.747
2021-05-08,46.747
2021-05-09,46.747
2021-05-10,46.747
2021-05-11,46.747
2021-05-12,46.747
2021-05-13,46.747
2021-05-14,46.747
2021-05-15,46.747
2021-05-16,46.747
2021-05-17,46.747
2021-05-18,46.747
2021-05-19,46.747
2021-05-20,46.747
2021-05-21,46.747
2021-05-22,46.747
2021-05-23,46.747
2021-05-24,46.747
2021-05-25,46.747
2021-05-26,46.747
2021-05-27,46.747
2021-05-28,46.747
2021-05-29,46.747
2021-05-30,46.747
2021-05-31,46.747
2021-06-01,46.747
2021-06-02,46.747
2021-06-03,46.747
2021-06-04,46.747
2021-06-05,46.747
2021-06-06,46.747
2021-06-07,46.747
2021-06-08,46.747
2021-06-09,46.747
2021-06-10,46.747
2021-06-11,46.747
2021-06-12,46.747
2021-06-13,46.747
2021-06-14,46.747
2021-06-15,46.747
2021-06-16,46.747
2021-06-17,46.747
2021-06-18,46.747
2021-06-19,46.747
2021-06-20,46.747
2021-06-21,46.747
2021-06-22,46.747
2021-06-23,46.747
2021-06-24,46.747
2021-06-25,46.747
2021-06-26,46.747
2021-06-27,46.747
2021-06-28,46.747
2021-06-29,46.747
2021-06-30,46.747
2021-07-01,46.747
2021-07-02,46.747
2021-07-03,46.747
2021-07-04,46.747
2021-07-05,46.747
2021-07-06,46.747
2021-07-07,46.747
2021-07-08,46.747
2021-07-09,46.747
2021-07-10,46.747
2021-07-11,46.747
2021-07-12,46.747
2021-07-13,46.747
2021-07-14,46.747
2021-07-15,46.747
2021-07-16,46.747
2021-07-17,46.747
2021-07-18,46.747
2021-07-19,46.747
2021-07-20,46.747
2021-07-21,46.747
2021-07-22,46.747
2021-07-23,46.747
2021-07-24,46.747
2021-07-25,46.747
2021-07-26,46.747
2021-07-27,46.747
2021-07-28,46.747
2021-07-29,46.747
2021-07-30,46.747
2021-07-31,46.747
2021-08-01,46.747
2021-08-02,46.747
2021-08-03,46.747
2021-08-04,46.747
2021-08-05,46.747
2021-08-06,46.747
2021-08-07,46.747
2021-08-08,46.747
2021-08-09,46.747
2021-08-10,46.747
2021-08-11,46.747
2021-08-12,46.747
2021-08-13,46.747
2021-08-14,46.747
2021-08-15,46.747
2021-08-16,46.747
2021-08-17,46.747
2021-08-18,46.747
2021-08-19,46.747
2021-08-20,46.747
2021-08-21,46.747
2021-08-22,46.747
2021-08-23,46.747
2021-08-24,46.747
2021-08-25,46.747
2021-08-26,46.747
2021-08-27,46.747
2021-08-28,46.747
2021-08-29,46.747
2021-08-30,46.747
2021-08-31,46.747
2021-09-01,46.747
2021-09-02,46.747
2021-09-03,46.747
2021-09-04,46.747
2021-09-05,46.747
2021-09-06,46.747
2021-09-07,46.747
2021-09-08,46.747
2021-09-09,46.747
2021-09-10,46.747
2021-09-11,46.747
2021-09-12,46.747
2021-09-13,46.747
2021-09-14,46.747
2021-09-15,46.747
2021-09-16,46.747
2021-09-17,46.747
2021-09-18,46.747
2021-09-19,46.747
2021-09-20,46.747
2021-09-21,46.747
2021-09-22,46.747
2021-09-23,46.747
2021-09-24,46.747
2021-09-25,46.747
2021-09-26,46.747
2021-09-27,46.747
2021-09-28,46.747
2021-09-29,46.747
2021-09-30,46.747
2021-10-01,46.747
2021-10-02,46.747
2021-10-03,46.747
2021-10-04,46.747
2021-10-05,46.747
2021-10-06,46.747
2021-10-07,46.747
2021-10-08,46.747
2021-10-09,46.747
2021-10-10,46.747
2021-10-11,46.747
2021-10-12,46.747
2021-10-13,46.747
2021-10-14,46.747
2021-10-15,46.747
2021-10-16,46.747
2021-10-17,46.747
2021-10-18,46.747
2021-10-19,46.747
2021-10-20,46.747
2021-10-21,46.747
2021-10-22,46.747
2021-10-23,46.747
2021-10-24,46.747
2021-10-25,46.747
2021-10-26,46.747
2021-10-27,46.747
2021-10-28,46.747
2021-10-29,46.747
2021-10-30,46.747
2021-10-31,46.747
2021-11-01,46.747
2021-11-02,46.747
2021-11-03,46.747
2021-11-04,46.747
2021-11-05,46.747
2021-11-06,46.747
2021-11-07,46.747
2021-11-08,46.747
2021-11-09,46.747
2021-11-10,46.747
2021-11-11,46.747
2021-11-12,46.747
2021-11-13,46.747
2021-11-14,46.747
2021-11-15,46.747
2021-11-16,46.747
2021-11-17,46.747
2021-11-18,46.747
2021-11-19,46.747
2021-11-20,46.747
2021-11-21,46.747
2021-11-22,46.747
2021-11-23,46.747
2021-11-24,46.747
2021-11-25,46.747
2021-11-26,46.747
2021-11-27,46.747
2021-11-28,46.747
2021-11-29,46.747
2021-11-30,46.747
2021-12-01,46.747
2021-12-02,46.747
2021-12-03,46.747
2021-12-04,46.747
2021-12-05,46.747
2021-12-06,46.747
2021-12-07,46.747
2021-12-08,46.747
2021-12-09,46.747
2021-12-10,46.747
2021-12-11,46.747
2021-12-12,46.747
2021-12-13,46.747
2021-12-14,46.747
2021-12-15,46.747
2021-12-16,46.747
2021-12-17,46.747
2021-12-18,46.747
2021-12-19,46.747
2021-12-20,46.747
2021-12-21,46.747
2021-12-22,46.747
2021-12-23,46.747
2021-12-24,46.747
2021-12-25,46.747
2021-12-26,46.747
2021-12-27,46.747
2021-12-28,46.747
2021-12-29,46.747
2021-12-30,46.747
2021-12-31,46.747
2022-01-01,46.747
2022-01-02,46.747
2022-01-03,46.747
2022-01-04,46.747
2022-01-05,46.747
2022-01-06,46.747
2022-01-07,46.747
2022-01-08,46.747
2022-01-09,46.747
2022-01-10,46.747
2022-01-11,46.747
2022-01-12,46.747
2022-01-13,46.747
2022-01-14,46.747
2022-01-15,46.747
2022-01-16,46.747
2022-01-17,46.747
2022-01-18,46.747
2022-01-19,46.747
2022-01-20,46.747
2022-01-21,46.747
2022-01-22,46.747
2022-01-23,46.747
2022-01-24,46.747
2022-01-25,46.747
2022-01-26,46.747
2022-01-27,46.747
2022-01-28,46.747
2022-01-29,46.747
2022-01-30,46.747
2022-01-31,46.747
2022-02-01,46.747
2022-02-02,46.747
2022-02-03,46.747
2022-02-04,46.747
2022-02-05,46.747
2022-02-06,46.747
2022-02-07,46.747
2022-02-08,46.747
2022-02-09,46.747
2022-02-10,46.747
2022-02-11,46.747
2022-02-12,46.747
2022-02-13,46.747
2022-02-14,46.747
2022-02-15,46.747
2022-02-16,46.747
2022-02-17,46.747
2022-02-18,46.747
2022-02-19,46.747
2022-02-20,46.747
2022-02-21,46.747
2022-02-22,46.747
2022-02-23,46.747
2022-02-24,46.747
2022-02-25,46.747
2022-02-26,46.747
2022-02-27,46.747
2022-02-28,46.747
2022-03-01,46.747
2022-03-02,46.747
2022-03-03,46.747
2022-03-04,46.747
2022-03-05,46.747
2022-03-06,46.747
2022-03-07,46.747
2022-03-08,46.747
2022-03-09,46.747
2022-03-10,46.747
2022-03-11,46.747
2022-03-12,46.747
2022-03-13,46.747
2022-03-14,46.747
2022-03-15,46.747
2022-03-16,46.747
2022-03-17,46.747
2022-03-18,46.747
2022-03-19,46.747
2022-03-20,46.747
2022-03-21,46.747
2022-03-22,46.747
2022-03-23,46.747
2022-03-24,46.747
2022-03-25,46.747
2022-03-26,46.747
2022-03-27,46.747
2022-03-28,46.747
2022-03-29,46.747
2022-03-30,46.747
2022-03-31,46.747
2022-04-01,46.747
2022-04-02,46.747
2022-04-03,46.747
2022-04-04,46.747
2022-04-05,46.747
2022-04-06,46.747
2022-04-07,46.747
2022-04-08,46.747
2022-04-09,46.747
2022-04-10,46.747
2022-04-11,46.747
2022-04-12,46.747
2022-04-13,46.747
2022-04-14,46.747
2022-04-15,46.747
2022-04-16,46.747
2022-04-17,46.747
2022-04-18,46.747
2022-04-19,46.747
2022-04-20,46.747
2022-04-21,46.747
2022-04-22,46.747
2022-04-23,46.747
2022-04-24,46.747
2022-04-25,46.747
2022-04-26,46.747
2022-04-27,46.747
2022-04-28,46.747
2022-04-29,46.747
2022-04-30,46.747
2022-05-01,46.747
2022-05-02,46.747
2022-05-03,46.747
2022-05-04,46.747
2022-05-05,46.747
2022-05-06,46.747
2022-05-07,46.747
2022-05-08,46.747
2022-05-09,46.747
2022-05-10,46.747
2022-05-11,46.747
2022-05-12,46.747
2022-05-13,46.747
2022-05-14,46.747
2022-05-15,46.747
2022-05-16,46.747
2022-05-17,46.747
2022-05-18,46.747
2022-05-19,46.747
2022-05-20,46.747
2022-05-21,46.747
2022-05-22,46.747
2022-05-23,46.747
2022-05-24,46.747
2022-05-25,46.747
2022-05-26,46.747
2022-05-27,46.747
2022-05-28,46.747
2022-05-29,46.747
2022-05-30,46.747
2022-05-31,46.747
2022-06-01,46.747
2022-06-02,46.747
2022-06-03,46.747
2022-06-04,46.747
2022-06-05,46.747
2022-06-06,46.747
2022-06-07,46.747
2022-06-08,46.747
2022-06-09,46.747
2022-06-10,46.747
2022-06-11,46.747
2022-06-12,46.747
2022-06-13,46.747
2022-06-14,46.747
2022-06-15,46.747
2022-06-16,46.747
2022-06-17,46.747
2022-06-18,46.747
2022-06-19,46.747
2022-06-20,46.747
2022-06-21,46.747
2022-06-22,46.747
2022-06-23,46.747
2022-06-24,46.747
2022-06-25,46.747
2022-06-26,46.747
2022-06-27,46.747
2022-06-28,46.747
2022-06-29,46.747
2022-06-30,46.747
2022-07-01,46.747
2022-07-02,46.747
2022-07-03,46.747
2022-07-04,46.747
2022-07-05,46.747
2022-07-06,46.747
2022-07-07,46.747
2022-07-08,46.747
2022-07-09,46.747
2022-07-10,46.747
2022-07-11,46.747
2022-07-12,46.747
2022-07-13,46.747
2022-07-14,46.747
2022-07-15,46.747
2022-07-16,46.747
2022-07-17,46.747
2022-07-18,46.747
2022-07-19,46.747
2022-07-20,46.747
2022-07-21,46.747
2022-07-22,46.747
2022-07-23,46.747
2022-07-24,46.747
2022-07-25,46.747
2022-07-26,46.747
2022-07-27,46.747
2022-07-28,46.747
2022-07-29,46.747
2022-07-30,46.747
2022-07-31,46.747
2022-08-01,46.747
2022-08-02,46.747
2022-08-03,46.747
2022-08-04,46.747
2022-08-05,46.747
2022-08-06,46.747
2022-08-07,46.747
2022-08-08,46.747
2022-08-09,46.747
2022-08-10,46.747
2022-08-11,46.747
2022-08-12,46.747
2022-08-13,46.747
2022-08-14,46.747
2022-08-15,46.747
2022-08-16,46.747
2022-08-17,46.747
2022-08-18,46.747
2022-08-19,46.747
2022-08-20,46.747
2022-08-21,46.747
2022-08-22,46.747
2022-08-23,46.747
2022-08-24,46.747
2022-08-25,46.747
2022-08-26,46.747
2022-08-27,46.747
2022-08-28,46.747
2022-08-29,46.747
2022-08-30,46.747
2022-08-31,46.747
2022-09-01,46.747
2022-09-02,46.747
2022-09-03,46.747
2022-09-04,46.747
2022-09-05,46.747
2022-09-06,46.747
2022-09-07,46.747
2022-09-08,46.747
2022-09-09,46.747
2022-09-10,46.747
2022-09-11,46.747
2022-09-12,46.747
2022-09-13,46.747
2022-09-14,46.747
2022-09-15,46.747
2022-09-16,46.747
2022-09-17,46.747
2022-09-18,46.747
2022-09-19,46.747
2022-09-20,46.747
2022-09-21,46.747
2022-09-22,46.747
2022-09-23,46.747
2022-09-24,46.747
2022-09-25,46.747
2022-09-26,46.747
2022-09-27,46.747
2022-09-28,46.747
2022-09-29,46.747
2022-09-30,46.747
2022-10-01,46.747
2022-10-02,46.747
2022-10-03,46.747
2022-10-04,46.747
2022-10-05,46.747
2022-10-06,46.747
2022-10-07,46.747
2022-10-08,46.747
2022-10-09,46.747
2022-10-10,46.747
2022-10-11,46.747
2022-10-12,46.747
2022-10-13,46.747
2022-10-14,46.747
2022-10-15,46.747
2022-10-16,46.747
2022-10-17,46.747
2022-10-18,46.747
2022-10-19,46.747
2022-10-20,46.747
2022-10-21,46.747
2022-10-22,46.747
2022-10-23,46.747
2022-10-24,46.747
2022-10-25,46.747
2022-10-26,46.747
2022-10-27,46.747
2022-10-28,46.747
2022-10-29,46.747
2022-10-30,46.747
2022-10-31,46.747
2022-11-01,46.747
2022-11-02,46.747
2022-11-03,46.747
2022-11-04,46.747
2022-11-05,46.747
2022-11-06,46.747
2022-11-07,46.747
2022-11-08,46.747
2022-11-09,46.747
2022-11-10,46.747
2022-11-11,46.747
2022-11-12,46.747
2022-11-13,46.747
2022-11-14,46.747
2022-11-15,46.747
2022-11-16,46.747
2022-11-17,46.747
2022-11-18,46.747
2022-11-19,46.747
2022-11-20,46.747
2022-11-21,46.747
2022-11-22,46.747
2022-11-23,46.747
2022-11-24,46.747
2022-11-25,46.747
2022-11-26,46.747
2022-11-27,46.747
2022-11-28,46.747
2022-11-29,46.747
2022-11-30,46.747
2022-12-01,46.747
2022-12-02,46.747
2022-12-03,46.747
2022-12-04,46.747
2022-12-05,46.747
2022-12-06,46.747
2022-12-07,46.747
2022-12-08,46.747
2022-12-09,46.747
2022-12-10,46.747
2022-12-11,46.747
2022-12-12,46.747
2022-12-13,46.747
2022-12-14,46.747
2022-12-15,46.747
2022-12-16,46.747
2022-12-17,46.747
2022-12-18,46.747
2022-12-19,46.747
2022-12-20,46.747
2022-12-21,46.747
2022-12-22,46.747
2022-12-23,46.747
2022-12-24,46.747
2022-12-25,46.747
2022-12-26,46.747
2022-12-27,46.747
2022-12-28,46.747
2022-12-29,46.747
2022-12-30,46.747
2022-12-31,46.747
2023-01-01,46.747
2023-01-02,46.747
2023-01-03,46.747
2023-01-04,46.747
2023-01-05,46.747
2023-01-06,46.747
2023-01-07,46.747
2023-01-08,46.747
2023-01-09,46.747
2023-01-10,46.747
2023-01-11,46.747
2023-01-12,46.747
2023-01-13,46.747
2023-01-14,46.747
2023-01-15,46.747
2023-01-16,46.747
2023-01-17,46.747
2023-01-18,46.747
2023-01-19,46.747
2023-01-20,46.747
2023-01-21,46.747
2023-01-22,46.747
2023-01-23,46.747
2023-01-24,46.747
2023-01-25,46.747
2023-01-26,46.747
2023-01-27,46.747
2023-01-28,46.747
2023-01-29,46.747
2023-01-30,46.747
2023-01-31,46.747
2023-02-01,46.747
2023-02-02,46.747
2023-02-03,46.747
2023-02-04,46.747
2023-02-05,46.747
2023-02-06,46.747
2023-02-07,46.747
2023-02-08,46.747
2023-02-09,46.747
2023-02-10,46.747
2023-02-11,46.747
2023-02-12,46.747
2023-02-13,46.747
2023-02-14,46.747
2023-02-15,46.747
2023-02-16,46.747
2023-02-17,46.747
2023-02-18,46.747
2023-02-19,46.747
2023-02-20,46.747
2023-02-21,46.747
2023-02-22,46.747
2023-02-23,46.747
2023-02-24,46.747
2023-02-25,46.747
2023-02-26,46.747
2023-02-27,46.747
2023-02-28,46.747
2023-03-01,46.747
2023-03-02,46.747
2023-03-03,46.747
2023-03-04,46.747
2023-03-05,46.747
2023-03-06,46.747
2023-03-07,46.747
2023-03-08,46.747
2023-03-09,46.747
2023-03-10,46.747
2023-03-11,46.747
2023-03-12,46.747
2023-03-13,46.747
2023-03-14,46.747
2023-03-15,46.747
2023-03-16,46.747
2023-03-17,46.747
2023-03-18,46.747
2023-03-19,46.747
2023-03-20,46.747
2023-03-21,46.747
2023-03-22,46.747
2023-03-23,46.747
2023-03-24,46.747
2023-03-25,46.747
2023-03-26,46.747
2023-03-27,46.747
2023-03-28,46.747
2023-03-29,46.747
2023-03-30,46.747
2023-03-31,46.747
2023-04-01,46.747
2023-04-02,46.747
2023-04-03,46.747
2023-04-04,46.747
2023-04-05,46.747
2023-04-06,46.747
2023-04-07,46.747
2023-04-08,46.747
2023-04-09,46.747
2023-04-10,46.747
2023-04-11,46.747
2023-04-12,46.747
2023-04-13,46.747
2023-04-14,46.747
2023-04-15,46.747
2023-04-16,46.747
2023-04-17,46.747
2023-04-18,46.747
2023-04-19,46.747
2023-04-20,46.747
2023-04-21,46.747
2023-04-22,46.747
2023-04-23,46.747
2023-04-24,46.747
2023-04-25,46.747
2023-04-26,46.747
2023-04-27,46.747
2023-04-28,46.747
2023-04-29,46.747
2023-04-30,46.747
2023-05-01,46.747
2023-05-02,46.747
2023-05-03,46.747
2023-05-04,46.747
2023-05-05,46.747
2023-05-06,46.747
2023-05-07,46.747
2023-05-08,46.747
2023-05-09,46.747
2023-05-10,46.747
2023-05-11,46.747
2023-05-12,46.747
2023-05-13,46.747
2023-05-14,46.747
2023-05-15,46.747
2023-05-16,46.747
2023-05-17,46.747
2023-05-18,46.747
2023-05-19,46.747
2023-05-20,46.747
2023-05-21,46.747
2023-05-22,46.747
2023-05-23,46.747
2023-05-24,46.747
2023-05-25,46.747
2023-05-26,46.747
2023-05-27,46.747
2023-05-28,46.747
2023-05-29,46.747
2023-05-30,46.747
2023-05-31,46.747
2023-06-01,46.747
2023-06-02,46.747
2023-06-03,46.747
2023-06-04,46.747
2023-06-05,46.747
2023-06-06,46.747
2023-06-07,46.747
2023-06-08,46.747
2023-06-09,46.747
2023-06-10,46.747
2023-06-11,46.747
2023-06-12,46.747
2023-06-13,46.747
2023-06-14,46.747
2023-06-15,46.747
2023-06-16,46.747
2023-06-17,46.747
2023-06-18,46.747
2023-06-19,46.747
2023-06-20,46.747
2023-06-21,46.747
2023-06-22,46.747
