,LNTH US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,6.97
2020-06-30,7.114
2020-07-01,7.015
2020-07-02,7.244
2020-07-03,7.244
2020-07-04,7.244
2020-07-05,7.244
2020-07-06,7.303
2020-07-07,7.139
2020-07-08,7.154
2020-07-09,7.144
2020-07-10,7.174
2020-07-11,7.174
2020-07-12,7.174
2020-07-13,7.184
2020-07-14,7.458
2020-07-15,7.856
2020-07-16,7.796
2020-07-17,7.836
2020-07-18,7.836
2020-07-19,7.836
2020-07-20,7.781
2020-07-21,7.731
2020-07-22,7.856
2020-07-23,8.129
2020-07-24,7.856
2020-07-25,7.856
2020-07-26,7.856
2020-07-27,7.756
2020-07-28,7.597
2020-07-29,7.816
2020-07-30,7.362
2020-07-31,6.774
2020-08-01,6.774
2020-08-02,6.774
2020-08-03,6.683
2020-08-04,6.362
2020-08-05,6.332
2020-08-06,6.548
2020-08-07,6.678
2020-08-08,6.678
2020-08-09,6.678
2020-08-10,6.91
2020-08-11,6.874
2020-08-12,6.799
2020-08-13,6.799
2020-08-14,6.804
2020-08-15,6.804
2020-08-16,6.804
2020-08-17,6.784
2020-08-18,6.643
2020-08-19,6.764
2020-08-20,6.734
2020-08-21,6.608
2020-08-22,6.608
2020-08-23,6.608
2020-08-24,6.739
2020-08-25,6.683
2020-08-26,6.377
2020-08-27,6.538
2020-08-28,6.779
2020-08-29,6.779
2020-08-30,6.779
2020-08-31,6.744
2020-09-01,6.598
2020-09-02,6.754
2020-09-03,6.598
2020-09-04,6.543
2020-09-05,6.543
2020-09-06,6.543
2020-09-07,6.543
2020-09-08,6.382
2020-09-09,6.528
2020-09-10,6.452
2020-09-11,6.317
2020-09-12,6.317
2020-09-13,6.317
2020-09-14,6.548
2020-09-15,6.457
2020-09-16,6.593
2020-09-17,6.588
2020-09-18,6.492
2020-09-19,6.492
2020-09-20,6.492
2020-09-21,6.266
2020-09-22,6.251
2020-09-23,6.02
2020-09-24,6.045
2020-09-25,6.131
2020-09-26,6.131
2020-09-27,6.131
2020-09-28,6.246
2020-09-29,6.206
2020-09-30,6.367
2020-10-01,6.482
2020-10-02,6.477
2020-10-03,6.477
2020-10-04,6.477
2020-10-05,6.834
2020-10-06,6.874
2020-10-07,6.965
2020-10-08,6.955
2020-10-09,6.744
2020-10-10,6.744
2020-10-11,6.744
2020-10-12,6.633
2020-10-13,6.568
2020-10-14,6.593
2020-10-15,6.658
2020-10-16,6.709
2020-10-17,6.709
2020-10-18,6.709
2020-10-19,6.623
2020-10-20,6.518
