,WHD US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,17.032
2020-07-15,18.06
2020-07-16,17.588
2020-07-17,17.622
2020-07-18,17.622
2020-07-19,17.622
2020-07-20,17.487
2020-07-21,18.768
2020-07-22,18.195
2020-07-23,18.869
2020-07-24,18.456
2020-07-25,18.456
2020-07-26,18.456
2020-07-27,19.088
2020-07-28,18.633
2020-07-29,19.298
2020-07-30,14.927
2020-07-31,20.02
2020-08-01,20.02
2020-08-02,20.02
2020-08-03,20.772
2020-08-04,20.976
2020-08-05,21.56
2020-08-06,21.232
2020-08-07,21.321
2020-08-08,21.321
2020-08-09,21.321
2020-08-10,22.118
2020-08-11,22.02
2020-08-12,22.082
2020-08-13,22.082
2020-08-14,22.1
2020-08-15,22.1
2020-08-16,22.1
2020-08-17,21.949
2020-08-18,21.135
2020-08-19,21.109
2020-08-20,20.631
2020-08-21,20.135
2020-08-22,20.135
2020-08-23,20.135
2020-08-24,20.958
2020-08-25,21.047
2020-08-26,20.1
2020-08-27,20.241
2020-08-28,20.668
2020-08-29,20.668
2020-08-30,20.668
2020-08-31,19.628
2020-09-01,19.539
2020-09-02,19.299
2020-09-03,19.548
2020-09-04,19.699
2020-09-05,19.699
2020-09-06,19.699
2020-09-07,19.699
2020-09-08,18.109
2020-09-09,18.295
2020-09-10,17.336
2020-09-11,18.091
2020-09-12,18.091
2020-09-13,18.091
2020-09-14,18.1
2020-09-15,12.956
2020-09-16,13.179
2020-09-17,13.026
2020-09-18,13.268
2020-09-19,13.268
2020-09-20,13.268
2020-09-21,12.511
2020-09-22,12.523
2020-09-23,11.41
2020-09-24,11.353
2020-09-25,11.556
2020-09-26,11.556
2020-09-27,11.556
2020-09-28,12.084
2020-09-29,12.275
2020-09-30,12.212
2020-10-01,11.963
2020-10-02,12.778
2020-10-03,12.778
2020-10-04,12.778
2020-10-05,12.994
2020-10-06,12.765
2020-10-07,13.052
2020-10-08,13.446
2020-10-09,13.142
2020-10-10,13.142
2020-10-11,13.142
2020-10-12,13.091
2020-10-13,15.425
2020-10-14,15.609
2020-10-15,15.115
2020-10-16,14.788
2020-10-17,14.788
2020-10-18,14.788
2020-10-19,14.541
2020-10-20,14.788
2020-10-21,14.692
2020-10-22,14.82
2020-10-23,14.907
2020-10-24,14.907
