,ALLY US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,2.139
2020-07-08,2.145
2020-07-09,2.077
2020-07-10,2.194
2020-07-11,2.194
2020-07-12,2.194
2020-07-13,2.238
2020-07-14,2.271
2020-07-15,2.389
2020-07-16,2.444
2020-07-17,2.322
2020-07-18,2.322
2020-07-19,2.322
2020-07-20,2.316
2020-07-21,2.326
2020-07-22,2.344
2020-07-23,2.333
2020-07-24,2.31
2020-07-25,2.31
2020-07-26,2.31
2020-07-27,2.277
2020-07-28,2.272
2020-07-29,2.315
2020-07-30,2.258
2020-07-31,2.212
2020-08-01,2.212
2020-08-02,2.212
2020-08-03,2.261
2020-08-04,2.262
2020-08-05,2.342
2020-08-06,2.321
2020-08-07,2.363
2020-08-08,2.363
2020-08-09,2.363
2020-08-10,2.42
2020-08-11,2.468
2020-08-12,2.441
2020-08-13,2.454
2020-08-14,2.491
2020-08-15,2.491
2020-08-16,2.491
2020-08-17,2.414
2020-08-18,2.413
2020-08-19,2.451
2020-08-20,2.404
2020-08-21,2.378
2020-08-22,2.378
2020-08-23,2.378
2020-08-24,2.521
2020-08-25,2.477
2020-08-26,2.454
2020-08-27,2.546
2020-08-28,2.591
2020-08-29,2.591
2020-08-30,2.591
2020-08-31,2.518
2020-09-01,2.521
2020-09-02,2.591
2020-09-03,2.616
2020-09-04,2.777
2020-09-05,2.777
2020-09-06,2.777
2020-09-07,2.777
2020-09-08,2.664
2020-09-09,2.653
2020-09-10,2.6
2020-09-11,2.631
2020-09-12,2.631
2020-09-13,2.631
2020-09-14,2.686
2020-09-15,2.729
2020-09-16,2.828
2020-09-17,2.871
2020-09-18,2.827
2020-09-19,2.827
2020-09-20,2.827
2020-09-21,2.701
2020-09-22,2.662
2020-09-23,2.575
2020-09-24,2.594
2020-09-25,2.696
2020-09-26,2.696
2020-09-27,2.696
2020-09-28,2.744
2020-09-29,2.69
2020-09-30,2.759
2020-10-01,2.806
2020-10-02,2.915
2020-10-03,2.915
2020-10-04,2.915
2020-10-05,2.985
2020-10-06,2.934
2020-10-07,3.037
2020-10-08,3.071
2020-10-09,3.065
2020-10-10,3.065
2020-10-11,3.065
2020-10-12,3.051
2020-10-13,3.037
2020-10-14,3.014
2020-10-15,3.067
2020-10-16,3.15
2020-10-17,3.15
2020-10-18,3.15
2020-10-19,3.131
2020-10-20,3.128
2020-10-21,3.066
2020-10-22,3.175
