,TMX US Equity
,BEST_PE_RATIO
2023-06-23,25.974
2023-06-24,25.974
2023-06-25,25.974
2023-06-26,25.974
2023-06-27,25.974
2023-06-28,25.974
2023-06-29,25.974
2023-06-30,25.974
2023-07-01,25.974
2023-07-02,25.974
2023-07-03,25.974
2023-07-04,25.974
2023-07-05,25.974
2023-07-06,25.974
2023-07-07,25.974
2023-07-08,25.974
2023-07-09,25.974
2023-07-10,25.974
2023-07-11,25.974
2023-07-12,25.974
2023-07-13,25.974
2023-07-14,25.974
2023-07-15,25.974
2023-07-16,25.974
2023-07-17,25.974
2023-07-18,25.974
2023-07-19,25.974
2023-07-20,25.974
2023-07-21,25.974
2023-07-22,25.974
2023-07-23,25.974
2023-07-24,25.974
2023-07-25,25.974
2023-07-26,25.974
2023-07-27,25.974
2023-07-28,25.974
2023-07-29,25.974
2023-07-30,25.974
2023-07-31,25.974
2023-08-01,25.974
2023-08-02,25.974
2023-08-03,25.974
2023-08-04,25.974
2023-08-05,25.974
2023-08-06,25.974
2023-08-07,25.974
2023-08-08,25.974
2023-08-09,25.974
2023-08-10,25.974
2023-08-11,25.974
2023-08-12,25.974
2023-08-13,25.974
2023-08-14,25.974
2023-08-15,25.974
2023-08-16,25.974
2023-08-17,25.974
2023-08-18,25.974
2023-08-19,25.974
2023-08-20,25.974
2023-08-21,25.974
2023-08-22,25.974
2023-08-23,25.974
2023-08-24,25.974
2023-08-25,25.974
2023-08-26,25.974
2023-08-27,25.974
2023-08-28,25.974
2023-08-29,25.974
2023-08-30,25.974
2023-08-31,25.974
2023-09-01,25.974
2023-09-02,25.974
2023-09-03,25.974
2023-09-04,25.974
2023-09-05,25.974
2023-09-06,25.974
2023-09-07,25.974
2023-09-08,25.974
2023-09-09,25.974
2023-09-10,25.974
2023-09-11,25.974
2023-09-12,25.974
2023-09-13,25.974
2023-09-14,25.974
2023-09-15,25.974
2023-09-16,25.974
2023-09-17,25.974
2023-09-18,25.974
2023-09-19,25.974
2023-09-20,25.974
2023-09-21,25.974
2023-09-22,25.974
2023-09-23,25.974
2023-09-24,25.974
2023-09-25,25.974
2023-09-26,25.974
2023-09-27,25.974
2023-09-28,25.974
2023-09-29,25.974
2023-09-30,25.974
2023-10-01,25.974
2023-10-02,25.974
2023-10-03,25.974
2023-10-04,25.974
2023-10-05,25.974
2023-10-06,25.974
2023-10-07,25.974
2023-10-08,25.974
2023-10-09,25.974
2023-10-10,25.974
2023-10-11,25.974
2023-10-12,25.974
2023-10-13,25.974
2023-10-14,25.974
2023-10-15,25.974
2023-10-16,25.974
2023-10-17,25.974
2023-10-18,25.974
2023-10-19,25.974
2023-10-20,25.974
2023-10-21,25.974
2023-10-22,25.974
2023-10-23,25.974
2023-10-24,25.974
2023-10-25,25.974
2023-10-26,25.974
2023-10-27,25.974
2023-10-28,25.974
2023-10-29,25.974
2023-10-30,25.974
2023-10-31,25.974
2023-11-01,25.974
2023-11-02,25.974
2023-11-03,25.974
2023-11-04,25.974
2023-11-05,25.974
2023-11-06,25.974
2023-11-07,25.974
2023-11-08,25.974
2023-11-09,25.974
2023-11-10,25.974
2023-11-11,25.974
2023-11-12,25.974
2023-11-13,25.974
2023-11-14,25.974
2023-11-15,25.974
2023-11-16,25.974
2023-11-17,25.974
2023-11-18,25.974
2023-11-19,25.974
2023-11-20,25.974
2023-11-21,25.974
2023-11-22,25.974
2023-11-23,25.974
2023-11-24,25.974
2023-11-25,25.974
2023-11-26,25.974
2023-11-27,25.974
2023-11-28,25.974
2023-11-29,25.974
2023-11-30,25.974
2023-12-01,25.974
2023-12-02,25.974
2023-12-03,25.974
2023-12-04,25.974
2023-12-05,25.974
2023-12-06,25.974
2023-12-07,25.974
2023-12-08,25.974
2023-12-09,25.974
2023-12-10,25.974
2023-12-11,25.974
2023-12-12,25.974
2023-12-13,25.974
2023-12-14,25.974
2023-12-15,25.974
2023-12-16,25.974
2023-12-17,25.974
2023-12-18,25.974
2023-12-19,25.974
2023-12-20,25.974
2023-12-21,25.974
2023-12-22,25.974
2023-12-23,25.974
2023-12-24,25.974
2023-12-25,25.974
2023-12-26,25.974
2023-12-27,25.974
2023-12-28,25.974
2023-12-29,25.974
2023-12-30,25.974
2023-12-31,25.974
2024-01-01,25.974
2024-01-02,25.974
2024-01-03,25.974
2024-01-04,25.974
2024-01-05,25.974
2024-01-06,25.974
2024-01-07,25.974
2024-01-08,25.974
2024-01-09,25.974
2024-01-10,25.974
2024-01-11,25.974
2024-01-12,25.974
2024-01-13,25.974
2024-01-14,25.974
2024-01-15,25.974
2024-01-16,25.974
2024-01-17,25.974
2024-01-18,25.974
2024-01-19,25.974
2024-01-20,25.974
2024-01-21,25.974
2024-01-22,25.974
2024-01-23,25.974
2024-01-24,25.974
2024-01-25,25.974
2024-01-26,25.974
2024-01-27,25.974
2024-01-28,25.974
2024-01-29,25.974
2024-01-30,25.974
2024-01-31,25.974
2024-02-01,25.974
2024-02-02,25.974
2024-02-03,25.974
2024-02-04,25.974
2024-02-05,25.974
2024-02-06,25.974
2024-02-07,25.974
2024-02-08,25.974
2024-02-09,25.974
2024-02-10,25.974
2024-02-11,25.974
2024-02-12,25.974
2024-02-13,25.974
2024-02-14,25.974
2024-02-15,25.974
2024-02-16,25.974
2024-02-17,25.974
2024-02-18,25.974
2024-02-19,25.974
2024-02-20,25.974
2024-02-21,25.974
2024-02-22,25.974
2024-02-23,25.974
2024-02-24,25.974
2024-02-25,25.974
2024-02-26,25.974
2024-02-27,25.974
2024-02-28,25.974
2024-02-29,25.974
2024-03-01,25.974
2024-03-02,25.974
2024-03-03,25.974
2024-03-04,25.974
2024-03-05,25.974
2024-03-06,25.974
2024-03-07,25.974
2024-03-08,25.974
2024-03-09,25.974
2024-03-10,25.974
2024-03-11,25.974
2024-03-12,25.974
2024-03-13,25.974
2024-03-14,25.974
2024-03-15,25.974
2024-03-16,25.974
2024-03-17,25.974
2024-03-18,25.974
2024-03-19,25.974
2024-03-20,25.974
2024-03-21,25.974
2024-03-22,25.974
2024-03-23,25.974
2024-03-24,25.974
2024-03-25,25.974
2024-03-26,25.974
2024-03-27,25.974
2024-03-28,25.974
2024-03-29,25.974
2024-03-30,25.974
2024-03-31,25.974
2024-04-01,25.974
2024-04-02,25.974
2024-04-03,25.974
2024-04-04,25.974
2024-04-05,25.974
2024-04-06,25.974
2024-04-07,25.974
2024-04-08,25.974
