,GPC US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,10.543
2020-07-07,10.469
2020-07-08,10.385
2020-07-09,10.181
2020-07-10,10.317
2020-07-11,10.317
2020-07-12,10.317
2020-07-13,10.263
2020-07-14,10.388
2020-07-15,10.64
2020-07-16,10.686
2020-07-17,10.592
2020-07-18,10.592
2020-07-19,10.592
2020-07-20,10.492
2020-07-21,10.564
2020-07-22,10.741
2020-07-23,10.664
2020-07-24,10.686
2020-07-25,10.686
2020-07-26,10.686
2020-07-27,10.781
2020-07-28,10.754
2020-07-29,11.049
2020-07-30,10.908
2020-07-31,10.868
2020-08-01,10.868
2020-08-02,10.868
2020-08-03,10.954
2020-08-04,11.202
2020-08-05,11.355
2020-08-06,11.33
2020-08-07,11.394
2020-08-08,11.394
2020-08-09,11.394
2020-08-10,11.556
2020-08-11,11.703
2020-08-12,11.9
2020-08-13,11.592
2020-08-14,11.616
2020-08-15,11.616
2020-08-16,11.616
2020-08-17,11.575
2020-08-18,11.493
2020-08-19,11.43
2020-08-20,11.329
2020-08-21,11.459
2020-08-22,11.459
2020-08-23,11.459
2020-08-24,11.669
2020-08-25,11.609
2020-08-26,11.593
2020-08-27,11.504
2020-08-28,11.656
2020-08-29,11.656
2020-08-30,11.656
2020-08-31,11.602
2020-09-01,11.751
2020-09-02,12.197
2020-09-03,11.992
2020-09-04,12.07
2020-09-05,12.07
2020-09-06,12.07
2020-09-07,12.07
2020-09-08,12.081
2020-09-09,12.342
2020-09-10,12.231
2020-09-11,12.452
2020-09-12,12.452
2020-09-13,12.452
2020-09-14,12.757
2020-09-15,12.611
2020-09-16,12.551
2020-09-17,12.61
2020-09-18,12.638
2020-09-19,12.638
2020-09-20,12.638
2020-09-21,11.956
2020-09-22,11.941
2020-09-23,11.723
2020-09-24,11.633
2020-09-25,11.652
2020-09-26,11.652
2020-09-27,11.652
2020-09-28,11.856
2020-09-29,11.732
2020-09-30,11.785
2020-10-01,11.76
2020-10-02,11.869
2020-10-03,11.869
2020-10-04,11.869
2020-10-05,12.061
2020-10-06,11.952
2020-10-07,12.228
2020-10-08,12.525
2020-10-09,12.431
2020-10-10,12.431
2020-10-11,12.431
2020-10-12,12.412
2020-10-13,12.371
2020-10-14,12.498
2020-10-15,12.542
2020-10-16,12.497
2020-10-17,12.497
2020-10-18,12.497
2020-10-19,12.459
2020-10-20,12.612
2020-10-21,12.633
2020-10-22,11.984
