,ORCL US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,9.425
2020-07-14,9.496
2020-07-15,9.4
2020-07-16,9.267
2020-07-17,9.114
2020-07-18,9.114
2020-07-19,9.114
2020-07-20,9.197
2020-07-21,9.282
2020-07-22,9.299
2020-07-23,9.257
2020-07-24,9.239
2020-07-25,9.239
2020-07-26,9.239
2020-07-27,9.187
2020-07-28,9.189
2020-07-29,9.247
2020-07-30,9.173
2020-07-31,9.206
2020-08-01,9.206
2020-08-02,9.206
2020-08-03,9.294
2020-08-04,9.297
2020-08-05,9.214
2020-08-06,9.178
2020-08-07,9.169
2020-08-08,9.169
2020-08-09,9.169
2020-08-10,9.121
2020-08-11,9.01
2020-08-12,8.993
2020-08-13,8.968
2020-08-14,8.998
2020-08-15,8.998
2020-08-16,8.998
2020-08-17,8.963
2020-08-18,9.161
2020-08-19,9.33
2020-08-20,9.174
2020-08-21,9.163
2020-08-22,9.163
2020-08-23,9.163
2020-08-24,9.299
2020-08-25,9.312
2020-08-26,9.544
2020-08-27,9.493
2020-08-28,9.609
2020-08-29,9.609
2020-08-30,9.609
2020-08-31,9.5
2020-09-01,9.573
2020-09-02,9.8
2020-09-03,9.48
2020-09-04,9.252
2020-09-05,9.252
2020-09-06,9.252
2020-09-07,9.252
2020-09-08,9.184
2020-09-09,9.455
2020-09-10,9.518
2020-09-11,10.142
2020-09-12,10.142
2020-09-13,10.142
2020-09-14,10.579
2020-09-15,10.843
2020-09-16,10.752
2020-09-17,10.707
2020-09-18,10.631
2020-09-19,10.631
2020-09-20,10.631
2020-09-21,10.821
2020-09-22,10.786
2020-09-23,10.49
2020-09-24,10.551
2020-09-25,10.64
2020-09-26,10.64
2020-09-27,10.64
2020-09-28,10.601
2020-09-29,10.581
2020-09-30,10.622
2020-10-01,10.618
2020-10-02,10.467
2020-10-03,10.467
2020-10-04,10.467
2020-10-05,10.597
2020-10-06,10.588
2020-10-07,10.824
2020-10-08,10.878
2020-10-09,11.091
2020-10-10,11.091
2020-10-11,11.091
2020-10-12,11.148
2020-10-13,11.059
2020-10-14,11.057
2020-10-15,10.977
2020-10-16,10.935
2020-10-17,10.935
2020-10-18,10.935
2020-10-19,10.814
2020-10-20,10.837
2020-10-21,10.823
2020-10-22,10.827
2020-10-23,10.715
2020-10-24,10.715
