,AJRD US Equity
2023-06-23,26.931
2023-06-24,26.931
2023-06-25,26.931
2023-06-26,26.892
2023-06-27,26.98
2023-06-28,27.01
2023-06-29,27.02
2023-06-30,26.897
2023-07-01,26.897
2023-07-02,26.897
2023-07-03,26.99
2023-07-04,26.99
2023-07-05,27.196
2023-07-06,27.025
2023-07-07,27.054
2023-07-08,27.054
2023-07-09,27.054
2023-07-10,26.887
2023-07-11,26.98
2023-07-12,27.456
2023-07-13,27.515
2023-07-14,27.417
2023-07-15,27.417
2023-07-16,27.417
2023-07-17,27.368
2023-07-18,27.26
2023-07-19,27.255
2023-07-20,27.554
2023-07-21,27.475
2023-07-22,27.475
2023-07-23,27.475
2023-07-24,27.559
2023-07-25,27.721
2023-07-26,28.029
2023-07-27,28.426
2023-07-28,28.426
2023-07-29,28.426
2023-07-30,28.426
2023-07-31,28.426
2023-08-01,28.426
2023-08-02,28.426
2023-08-03,28.426
2023-08-04,28.426
2023-08-05,28.426
2023-08-06,28.426
2023-08-07,28.426
2023-08-08,28.426
2023-08-09,28.426
2023-08-10,28.426
2023-08-11,28.426
2023-08-12,28.426
2023-08-13,28.426
2023-08-14,28.426
2023-08-15,28.426
2023-08-16,28.426
2023-08-17,28.426
2023-08-18,28.426
2023-08-19,28.426
2023-08-20,28.426
2023-08-21,28.426
2023-08-22,28.426
2023-08-23,28.426
2023-08-24,28.426
2023-08-25,28.426
2023-08-26,28.426
2023-08-27,28.426
2023-08-28,28.426
2023-08-29,28.426
2023-08-30,28.426
2023-08-31,28.426
2023-09-01,28.426
2023-09-02,28.426
2023-09-03,28.426
2023-09-04,28.426
2023-09-05,28.426
2023-09-06,28.426
2023-09-07,28.426
2023-09-08,28.426
2023-09-09,28.426
2023-09-10,28.426
2023-09-11,28.426
2023-09-12,28.426
2023-09-13,28.426
2023-09-14,28.426
2023-09-15,28.426
2023-09-16,28.426
2023-09-17,28.426
2023-09-18,28.426
2023-09-19,28.426
2023-09-20,28.426
2023-09-21,28.426
2023-09-22,28.426
2023-09-23,28.426
2023-09-24,28.426
2023-09-25,28.426
2023-09-26,28.426
2023-09-27,28.426
2023-09-28,28.426
2023-09-29,28.426
2023-09-30,28.426
2023-10-01,28.426
2023-10-02,28.426
2023-10-03,28.426
2023-10-04,28.426
2023-10-05,28.426
2023-10-06,28.426
2023-10-07,28.426
2023-10-08,28.426
2023-10-09,28.426
2023-10-10,28.426
2023-10-11,28.426
2023-10-12,28.426
2023-10-13,28.426
2023-10-14,28.426
2023-10-15,28.426
2023-10-16,28.426
2023-10-17,28.426
2023-10-18,28.426
2023-10-19,28.426
2023-10-20,28.426
2023-10-21,28.426
2023-10-22,28.426
2023-10-23,28.426
2023-10-24,28.426
2023-10-25,28.426
2023-10-26,28.426
2023-10-27,28.426
2023-10-28,28.426
2023-10-29,28.426
2023-10-30,28.426
2023-10-31,28.426
2023-11-01,28.426
2023-11-02,28.426
2023-11-03,28.426
2023-11-04,28.426
2023-11-05,28.426
2023-11-06,28.426
2023-11-07,28.426
2023-11-08,28.426
2023-11-09,28.426
2023-11-10,28.426
2023-11-11,28.426
2023-11-12,28.426
2023-11-13,28.426
2023-11-14,28.426
2023-11-15,28.426
2023-11-16,28.426
2023-11-17,28.426
2023-11-18,28.426
2023-11-19,28.426
2023-11-20,28.426
2023-11-21,28.426
2023-11-22,28.426
2023-11-23,28.426
2023-11-24,28.426
2023-11-25,28.426
2023-11-26,28.426
2023-11-27,28.426
2023-11-28,28.426
2023-11-29,28.426
2023-11-30,28.426
2023-12-01,28.426
2023-12-02,28.426
2023-12-03,28.426
2023-12-04,28.426
2023-12-05,28.426
2023-12-06,28.426
2023-12-07,28.426
2023-12-08,28.426
2023-12-09,28.426
2023-12-10,28.426
2023-12-11,28.426
2023-12-12,28.426
2023-12-13,28.426
2023-12-14,28.426
2023-12-15,28.426
2023-12-16,28.426
2023-12-17,28.426
2023-12-18,28.426
2023-12-19,28.426
2023-12-20,28.426
2023-12-21,28.426
2023-12-22,28.426
2023-12-23,28.426
2023-12-24,28.426
2023-12-25,28.426
2023-12-26,28.426
2023-12-27,28.426
2023-12-28,28.426
2023-12-29,28.426
2023-12-30,28.426
2023-12-31,28.426
2024-01-01,28.426
2024-01-02,28.426
2024-01-03,28.426
2024-01-04,28.426
2024-01-05,28.426
2024-01-06,28.426
2024-01-07,28.426
2024-01-08,28.426
2024-01-09,28.426
2024-01-10,28.426
2024-01-11,28.426
2024-01-12,28.426
2024-01-13,28.426
2024-01-14,28.426
2024-01-15,28.426
2024-01-16,28.426
2024-01-17,28.426
2024-01-18,28.426
2024-01-19,28.426
2024-01-20,28.426
2024-01-21,28.426
2024-01-22,28.426
2024-01-23,28.426
2024-01-24,28.426
2024-01-25,28.426
2024-01-26,28.426
2024-01-27,28.426
2024-01-28,28.426
2024-01-29,28.426
2024-01-30,28.426
2024-01-31,28.426
2024-02-01,28.426
2024-02-02,28.426
2024-02-03,28.426
2024-02-04,28.426
2024-02-05,28.426
2024-02-06,28.426
2024-02-07,28.426
2024-02-08,28.426
2024-02-09,28.426
2024-02-10,28.426
2024-02-11,28.426
2024-02-12,28.426
2024-02-13,28.426
2024-02-14,28.426
2024-02-15,28.426
2024-02-16,28.426
2024-02-17,28.426
2024-02-18,28.426
2024-02-19,28.426
2024-02-20,28.426
2024-02-21,28.426
2024-02-22,28.426
2024-02-23,28.426
2024-02-24,28.426
2024-02-25,28.426
2024-02-26,28.426
2024-02-27,28.426
2024-02-28,28.426
2024-02-29,28.426
2024-03-01,28.426
2024-03-02,28.426
2024-03-03,28.426
2024-03-04,28.426
2024-03-05,28.426
2024-03-06,28.426
2024-03-07,28.426
2024-03-08,28.426
2024-03-09,28.426
2024-03-10,28.426
2024-03-11,28.426
2024-03-12,28.426
2024-03-13,28.426
2024-03-14,28.426
2024-03-15,28.426
2024-03-16,28.426
2024-03-17,28.426
2024-03-18,28.426
2024-03-19,28.426
2024-03-20,28.426
2024-03-21,28.426
2024-03-22,28.426
2024-03-23,28.426
2024-03-24,28.426
2024-03-25,28.426
2024-03-26,28.426
2024-03-27,28.426
2024-03-28,28.426
2024-03-29,28.426
2024-03-30,28.426
2024-03-31,28.426
2024-04-01,28.426
2024-04-02,28.426
2024-04-03,28.426
2024-04-04,28.426
2024-04-05,28.426
2024-04-06,28.426
2024-04-07,28.426
2024-04-08,28.426
