,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-07-09,8.16,8.51,8.12,8.46,12416488.0
2022-07-10,8.16,8.51,8.12,8.46,12416488.0
2022-07-11,8.16,8.51,8.12,8.46,12416488.0
2022-07-12,8.16,8.51,8.12,8.46,12416488.0
2022-07-13,8.16,8.51,8.12,8.46,12416488.0
2022-07-14,8.16,8.51,8.12,8.46,12416488.0
2022-07-15,8.16,8.51,8.12,8.46,12416488.0
2022-07-16,8.16,8.51,8.12,8.46,12416488.0
2022-07-17,8.16,8.51,8.12,8.46,12416488.0
2022-07-18,8.16,8.51,8.12,8.46,12416488.0
2022-07-19,8.16,8.51,8.12,8.46,12416488.0
2022-07-20,8.16,8.51,8.12,8.46,12416488.0
2022-07-21,8.16,8.51,8.12,8.46,12416488.0
2022-07-22,8.16,8.51,8.12,8.46,12416488.0
2022-07-23,8.16,8.51,8.12,8.46,12416488.0
2022-07-24,8.16,8.51,8.12,8.46,12416488.0
2022-07-25,8.16,8.51,8.12,8.46,12416488.0
2022-07-26,8.16,8.51,8.12,8.46,12416488.0
2022-07-27,8.16,8.51,8.12,8.46,12416488.0
2022-07-28,8.16,8.51,8.12,8.46,12416488.0
2022-07-29,8.16,8.51,8.12,8.46,12416488.0
2022-07-30,8.16,8.51,8.12,8.46,12416488.0
2022-07-31,8.16,8.51,8.12,8.46,12416488.0
2022-08-01,8.16,8.51,8.12,8.46,12416488.0
2022-08-02,8.16,8.51,8.12,8.46,12416488.0
2022-08-03,8.16,8.51,8.12,8.46,12416488.0
2022-08-04,8.16,8.51,8.12,8.46,12416488.0
2022-08-05,8.16,8.51,8.12,8.46,12416488.0
2022-08-06,8.16,8.51,8.12,8.46,12416488.0
2022-08-07,8.16,8.51,8.12,8.46,12416488.0
2022-08-08,8.16,8.51,8.12,8.46,12416488.0
2022-08-09,8.16,8.51,8.12,8.46,12416488.0
2022-08-10,8.16,8.51,8.12,8.46,12416488.0
2022-08-11,8.16,8.51,8.12,8.46,12416488.0
2022-08-12,8.16,8.51,8.12,8.46,12416488.0
2022-08-13,8.16,8.51,8.12,8.46,12416488.0
2022-08-14,8.16,8.51,8.12,8.46,12416488.0
2022-08-15,8.16,8.51,8.12,8.46,12416488.0
2022-08-16,8.16,8.51,8.12,8.46,12416488.0
2022-08-17,8.16,8.51,8.12,8.46,12416488.0
2022-08-18,8.16,8.51,8.12,8.46,12416488.0
2022-08-19,8.16,8.51,8.12,8.46,12416488.0
2022-08-20,8.16,8.51,8.12,8.46,12416488.0
2022-08-21,8.16,8.51,8.12,8.46,12416488.0
2022-08-22,8.16,8.51,8.12,8.46,12416488.0
2022-08-23,8.16,8.51,8.12,8.46,12416488.0
2022-08-24,8.16,8.51,8.12,8.46,12416488.0
2022-08-25,8.16,8.51,8.12,8.46,12416488.0
2022-08-26,8.16,8.51,8.12,8.46,12416488.0
2022-08-27,8.16,8.51,8.12,8.46,12416488.0
2022-08-28,8.16,8.51,8.12,8.46,12416488.0
2022-08-29,8.16,8.51,8.12,8.46,12416488.0
2022-08-30,8.16,8.51,8.12,8.46,12416488.0
2022-08-31,8.16,8.51,8.12,8.46,12416488.0
2022-09-01,8.16,8.51,8.12,8.46,12416488.0
2022-09-02,8.16,8.51,8.12,8.46,12416488.0
2022-09-03,8.16,8.51,8.12,8.46,12416488.0
2022-09-04,8.16,8.51,8.12,8.46,12416488.0
2022-09-05,8.16,8.51,8.12,8.46,12416488.0
2022-09-06,8.16,8.51,8.12,8.46,12416488.0
2022-09-07,8.16,8.51,8.12,8.46,12416488.0
2022-09-08,8.16,8.51,8.12,8.46,12416488.0
2022-09-09,8.16,8.51,8.12,8.46,12416488.0
2022-09-10,8.16,8.51,8.12,8.46,12416488.0
2022-09-11,8.16,8.51,8.12,8.46,12416488.0
2022-09-12,8.16,8.51,8.12,8.46,12416488.0
2022-09-13,8.16,8.51,8.12,8.46,12416488.0
2022-09-14,8.16,8.51,8.12,8.46,12416488.0
2022-09-15,8.16,8.51,8.12,8.46,12416488.0
2022-09-16,8.16,8.51,8.12,8.46,12416488.0
2022-09-17,8.16,8.51,8.12,8.46,12416488.0
2022-09-18,8.16,8.51,8.12,8.46,12416488.0
2022-09-19,8.16,8.51,8.12,8.46,12416488.0
2022-09-20,8.16,8.51,8.12,8.46,12416488.0
2022-09-21,8.16,8.51,8.12,8.46,12416488.0
2022-09-22,8.16,8.51,8.12,8.46,12416488.0
2022-09-23,8.16,8.51,8.12,8.46,12416488.0
2022-09-24,8.16,8.51,8.12,8.46,12416488.0
2022-09-25,8.16,8.51,8.12,8.46,12416488.0
2022-09-26,8.16,8.51,8.12,8.46,12416488.0
2022-09-27,8.16,8.51,8.12,8.46,12416488.0
2022-09-28,8.16,8.51,8.12,8.46,12416488.0
2022-09-29,8.16,8.51,8.12,8.46,12416488.0
2022-09-30,8.16,8.51,8.12,8.46,12416488.0
2022-10-01,8.16,8.51,8.12,8.46,12416488.0
2022-10-02,8.16,8.51,8.12,8.46,12416488.0
2022-10-03,8.16,8.51,8.12,8.46,12416488.0
2022-10-04,8.16,8.51,8.12,8.46,12416488.0
2022-10-05,8.16,8.51,8.12,8.46,12416488.0
2022-10-06,8.16,8.51,8.12,8.46,12416488.0
2022-10-07,8.16,8.51,8.12,8.46,12416488.0
2022-10-08,8.16,8.51,8.12,8.46,12416488.0
2022-10-09,8.16,8.51,8.12,8.46,12416488.0
2022-10-10,8.16,8.51,8.12,8.46,12416488.0
2022-10-11,8.16,8.51,8.12,8.46,12416488.0
2022-10-12,8.16,8.51,8.12,8.46,12416488.0
2022-10-13,8.16,8.51,8.12,8.46,12416488.0
2022-10-14,8.16,8.51,8.12,8.46,12416488.0
2022-10-15,8.16,8.51,8.12,8.46,12416488.0
2022-10-16,8.16,8.51,8.12,8.46,12416488.0
2022-10-17,8.16,8.51,8.12,8.46,12416488.0
2022-10-18,8.16,8.51,8.12,8.46,12416488.0
2022-10-19,8.16,8.51,8.12,8.46,12416488.0
2022-10-20,8.16,8.51,8.12,8.46,12416488.0
2022-10-21,8.16,8.51,8.12,8.46,12416488.0
2022-10-22,8.16,8.51,8.12,8.46,12416488.0
2022-10-23,8.16,8.51,8.12,8.46,12416488.0
2022-10-24,8.16,8.51,8.12,8.46,12416488.0
2022-10-25,8.16,8.51,8.12,8.46,12416488.0
2022-10-26,8.16,8.51,8.12,8.46,12416488.0
2022-10-27,8.16,8.51,8.12,8.46,12416488.0
2022-10-28,8.16,8.51,8.12,8.46,12416488.0
2022-10-29,8.16,8.51,8.12,8.46,12416488.0
2022-10-30,8.16,8.51,8.12,8.46,12416488.0
2022-10-31,8.16,8.51,8.12,8.46,12416488.0
2022-11-01,8.16,8.51,8.12,8.46,12416488.0
2022-11-02,8.16,8.51,8.12,8.46,12416488.0
2022-11-03,8.16,8.51,8.12,8.46,12416488.0
2022-11-04,8.16,8.51,8.12,8.46,12416488.0
2022-11-05,8.16,8.51,8.12,8.46,12416488.0
2022-11-06,8.16,8.51,8.12,8.46,12416488.0
2022-11-07,8.16,8.51,8.12,8.46,12416488.0
2022-11-08,8.16,8.51,8.12,8.46,12416488.0
2022-11-09,8.16,8.51,8.12,8.46,12416488.0
2022-11-10,8.16,8.51,8.12,8.46,12416488.0
2022-11-11,8.16,8.51,8.12,8.46,12416488.0
2022-11-12,8.16,8.51,8.12,8.46,12416488.0
2022-11-13,8.16,8.51,8.12,8.46,12416488.0
2022-11-14,8.16,8.51,8.12,8.46,12416488.0
2022-11-15,8.16,8.51,8.12,8.46,12416488.0
2022-11-16,8.16,8.51,8.12,8.46,12416488.0
2022-11-17,8.16,8.51,8.12,8.46,12416488.0
2022-11-18,8.16,8.51,8.12,8.46,12416488.0
2022-11-19,8.16,8.51,8.12,8.46,12416488.0
2022-11-20,8.16,8.51,8.12,8.46,12416488.0
2022-11-21,8.16,8.51,8.12,8.46,12416488.0
2022-11-22,8.16,8.51,8.12,8.46,12416488.0
2022-11-23,8.16,8.51,8.12,8.46,12416488.0
2022-11-24,8.16,8.51,8.12,8.46,12416488.0
2022-11-25,8.16,8.51,8.12,8.46,12416488.0
2022-11-26,8.16,8.51,8.12,8.46,12416488.0
2022-11-27,8.16,8.51,8.12,8.46,12416488.0
2022-11-28,8.16,8.51,8.12,8.46,12416488.0
2022-11-29,8.16,8.51,8.12,8.46,12416488.0
2022-11-30,8.16,8.51,8.12,8.46,12416488.0
2022-12-01,8.16,8.51,8.12,8.46,12416488.0
2022-12-02,8.16,8.51,8.12,8.46,12416488.0
2022-12-03,8.16,8.51,8.12,8.46,12416488.0
2022-12-04,8.16,8.51,8.12,8.46,12416488.0
2022-12-05,8.16,8.51,8.12,8.46,12416488.0
2022-12-06,8.16,8.51,8.12,8.46,12416488.0
2022-12-07,8.16,8.51,8.12,8.46,12416488.0
2022-12-08,8.16,8.51,8.12,8.46,12416488.0
2022-12-09,8.16,8.51,8.12,8.46,12416488.0
2022-12-10,8.16,8.51,8.12,8.46,12416488.0
2022-12-11,8.16,8.51,8.12,8.46,12416488.0
2022-12-12,8.16,8.51,8.12,8.46,12416488.0
2022-12-13,8.16,8.51,8.12,8.46,12416488.0
2022-12-14,8.16,8.51,8.12,8.46,12416488.0
2022-12-15,8.16,8.51,8.12,8.46,12416488.0
2022-12-16,8.16,8.51,8.12,8.46,12416488.0
2022-12-17,8.16,8.51,8.12,8.46,12416488.0
2022-12-18,8.16,8.51,8.12,8.46,12416488.0
2022-12-19,8.16,8.51,8.12,8.46,12416488.0
2022-12-20,8.16,8.51,8.12,8.46,12416488.0
2022-12-21,8.16,8.51,8.12,8.46,12416488.0
2022-12-22,8.16,8.51,8.12,8.46,12416488.0
2022-12-23,8.16,8.51,8.12,8.46,12416488.0
2022-12-24,8.16,8.51,8.12,8.46,12416488.0
2022-12-25,8.16,8.51,8.12,8.46,12416488.0
2022-12-26,8.16,8.51,8.12,8.46,12416488.0
2022-12-27,8.16,8.51,8.12,8.46,12416488.0
2022-12-28,8.16,8.51,8.12,8.46,12416488.0
2022-12-29,8.16,8.51,8.12,8.46,12416488.0
2022-12-30,8.16,8.51,8.12,8.46,12416488.0
2022-12-31,8.16,8.51,8.12,8.46,12416488.0
2023-01-01,8.16,8.51,8.12,8.46,12416488.0
2023-01-02,8.16,8.51,8.12,8.46,12416488.0
2023-01-03,8.16,8.51,8.12,8.46,12416488.0
2023-01-04,8.16,8.51,8.12,8.46,12416488.0
2023-01-05,8.16,8.51,8.12,8.46,12416488.0
2023-01-06,8.16,8.51,8.12,8.46,12416488.0
2023-01-07,8.16,8.51,8.12,8.46,12416488.0
2023-01-08,8.16,8.51,8.12,8.46,12416488.0
2023-01-09,8.16,8.51,8.12,8.46,12416488.0
2023-01-10,8.16,8.51,8.12,8.46,12416488.0
2023-01-11,8.16,8.51,8.12,8.46,12416488.0
2023-01-12,8.16,8.51,8.12,8.46,12416488.0
2023-01-13,8.16,8.51,8.12,8.46,12416488.0
2023-01-14,8.16,8.51,8.12,8.46,12416488.0
2023-01-15,8.16,8.51,8.12,8.46,12416488.0
2023-01-16,8.16,8.51,8.12,8.46,12416488.0
2023-01-17,8.16,8.51,8.12,8.46,12416488.0
2023-01-18,8.16,8.51,8.12,8.46,12416488.0
2023-01-19,8.16,8.51,8.12,8.46,12416488.0
2023-01-20,8.16,8.51,8.12,8.46,12416488.0
2023-01-21,8.16,8.51,8.12,8.46,12416488.0
2023-01-22,8.16,8.51,8.12,8.46,12416488.0
2023-01-23,8.16,8.51,8.12,8.46,12416488.0
2023-01-24,8.16,8.51,8.12,8.46,12416488.0
2023-01-25,8.16,8.51,8.12,8.46,12416488.0
2023-01-26,8.16,8.51,8.12,8.46,12416488.0
2023-01-27,8.16,8.51,8.12,8.46,12416488.0
2023-01-28,8.16,8.51,8.12,8.46,12416488.0
2023-01-29,8.16,8.51,8.12,8.46,12416488.0
2023-01-30,8.16,8.51,8.12,8.46,12416488.0
2023-01-31,8.16,8.51,8.12,8.46,12416488.0
2023-02-01,8.16,8.51,8.12,8.46,12416488.0
2023-02-02,8.16,8.51,8.12,8.46,12416488.0
2023-02-03,8.16,8.51,8.12,8.46,12416488.0
2023-02-04,8.16,8.51,8.12,8.46,12416488.0
2023-02-05,8.16,8.51,8.12,8.46,12416488.0
2023-02-06,8.16,8.51,8.12,8.46,12416488.0
2023-02-07,8.16,8.51,8.12,8.46,12416488.0
2023-02-08,8.16,8.51,8.12,8.46,12416488.0
2023-02-09,8.16,8.51,8.12,8.46,12416488.0
2023-02-10,8.16,8.51,8.12,8.46,12416488.0
2023-02-11,8.16,8.51,8.12,8.46,12416488.0
2023-02-12,8.16,8.51,8.12,8.46,12416488.0
2023-02-13,8.16,8.51,8.12,8.46,12416488.0
2023-02-14,8.16,8.51,8.12,8.46,12416488.0
2023-02-15,8.16,8.51,8.12,8.46,12416488.0
2023-02-16,8.16,8.51,8.12,8.46,12416488.0
2023-02-17,8.16,8.51,8.12,8.46,12416488.0
2023-02-18,8.16,8.51,8.12,8.46,12416488.0
2023-02-19,8.16,8.51,8.12,8.46,12416488.0
2023-02-20,8.16,8.51,8.12,8.46,12416488.0
2023-02-21,8.16,8.51,8.12,8.46,12416488.0
2023-02-22,8.16,8.51,8.12,8.46,12416488.0
2023-02-23,8.16,8.51,8.12,8.46,12416488.0
2023-02-24,8.16,8.51,8.12,8.46,12416488.0
2023-02-25,8.16,8.51,8.12,8.46,12416488.0
2023-02-26,8.16,8.51,8.12,8.46,12416488.0
2023-02-27,8.16,8.51,8.12,8.46,12416488.0
2023-02-28,8.16,8.51,8.12,8.46,12416488.0
2023-03-01,8.16,8.51,8.12,8.46,12416488.0
2023-03-02,8.16,8.51,8.12,8.46,12416488.0
2023-03-03,8.16,8.51,8.12,8.46,12416488.0
2023-03-04,8.16,8.51,8.12,8.46,12416488.0
2023-03-05,8.16,8.51,8.12,8.46,12416488.0
2023-03-06,8.16,8.51,8.12,8.46,12416488.0
2023-03-07,8.16,8.51,8.12,8.46,12416488.0
2023-03-08,8.16,8.51,8.12,8.46,12416488.0
2023-03-09,8.16,8.51,8.12,8.46,12416488.0
2023-03-10,8.16,8.51,8.12,8.46,12416488.0
2023-03-11,8.16,8.51,8.12,8.46,12416488.0
2023-03-12,8.16,8.51,8.12,8.46,12416488.0
2023-03-13,8.16,8.51,8.12,8.46,12416488.0
2023-03-14,8.16,8.51,8.12,8.46,12416488.0
2023-03-15,8.16,8.51,8.12,8.46,12416488.0
2023-03-16,8.16,8.51,8.12,8.46,12416488.0
2023-03-17,8.16,8.51,8.12,8.46,12416488.0
2023-03-18,8.16,8.51,8.12,8.46,12416488.0
2023-03-19,8.16,8.51,8.12,8.46,12416488.0
2023-03-20,8.16,8.51,8.12,8.46,12416488.0
2023-03-21,8.16,8.51,8.12,8.46,12416488.0
2023-03-22,8.16,8.51,8.12,8.46,12416488.0
2023-03-23,8.16,8.51,8.12,8.46,12416488.0
2023-03-24,8.16,8.51,8.12,8.46,12416488.0
2023-03-25,8.16,8.51,8.12,8.46,12416488.0
2023-03-26,8.16,8.51,8.12,8.46,12416488.0
2023-03-27,8.16,8.51,8.12,8.46,12416488.0
2023-03-28,8.16,8.51,8.12,8.46,12416488.0
2023-03-29,8.16,8.51,8.12,8.46,12416488.0
2023-03-30,8.16,8.51,8.12,8.46,12416488.0
2023-03-31,8.16,8.51,8.12,8.46,12416488.0
2023-04-01,8.16,8.51,8.12,8.46,12416488.0
2023-04-02,8.16,8.51,8.12,8.46,12416488.0
2023-04-03,8.16,8.51,8.12,8.46,12416488.0
2023-04-04,8.16,8.51,8.12,8.46,12416488.0
2023-04-05,8.16,8.51,8.12,8.46,12416488.0
2023-04-06,8.16,8.51,8.12,8.46,12416488.0
2023-04-07,8.16,8.51,8.12,8.46,12416488.0
2023-04-08,8.16,8.51,8.12,8.46,12416488.0
2023-04-09,8.16,8.51,8.12,8.46,12416488.0
2023-04-10,8.16,8.51,8.12,8.46,12416488.0
2023-04-11,8.16,8.51,8.12,8.46,12416488.0
2023-04-12,8.16,8.51,8.12,8.46,12416488.0
2023-04-13,8.16,8.51,8.12,8.46,12416488.0
2023-04-14,8.16,8.51,8.12,8.46,12416488.0
2023-04-15,8.16,8.51,8.12,8.46,12416488.0
2023-04-16,8.16,8.51,8.12,8.46,12416488.0
2023-04-17,8.16,8.51,8.12,8.46,12416488.0
2023-04-18,8.16,8.51,8.12,8.46,12416488.0
2023-04-19,8.16,8.51,8.12,8.46,12416488.0
2023-04-20,8.16,8.51,8.12,8.46,12416488.0
2023-04-21,8.16,8.51,8.12,8.46,12416488.0
2023-04-22,8.16,8.51,8.12,8.46,12416488.0
2023-04-23,8.16,8.51,8.12,8.46,12416488.0
2023-04-24,8.16,8.51,8.12,8.46,12416488.0
2023-04-25,8.16,8.51,8.12,8.46,12416488.0
2023-04-26,8.16,8.51,8.12,8.46,12416488.0
2023-04-27,8.16,8.51,8.12,8.46,12416488.0
2023-04-28,8.16,8.51,8.12,8.46,12416488.0
2023-04-29,8.16,8.51,8.12,8.46,12416488.0
2023-04-30,8.16,8.51,8.12,8.46,12416488.0
2023-05-01,8.16,8.51,8.12,8.46,12416488.0
2023-05-02,8.16,8.51,8.12,8.46,12416488.0
2023-05-03,8.16,8.51,8.12,8.46,12416488.0
2023-05-04,8.16,8.51,8.12,8.46,12416488.0
2023-05-05,8.16,8.51,8.12,8.46,12416488.0
2023-05-06,8.16,8.51,8.12,8.46,12416488.0
2023-05-07,8.16,8.51,8.12,8.46,12416488.0
2023-05-08,8.16,8.51,8.12,8.46,12416488.0
2023-05-09,8.16,8.51,8.12,8.46,12416488.0
2023-05-10,8.16,8.51,8.12,8.46,12416488.0
2023-05-11,8.16,8.51,8.12,8.46,12416488.0
2023-05-12,8.16,8.51,8.12,8.46,12416488.0
2023-05-13,8.16,8.51,8.12,8.46,12416488.0
2023-05-14,8.16,8.51,8.12,8.46,12416488.0
2023-05-15,8.16,8.51,8.12,8.46,12416488.0
2023-05-16,8.16,8.51,8.12,8.46,12416488.0
2023-05-17,8.16,8.51,8.12,8.46,12416488.0
2023-05-18,8.16,8.51,8.12,8.46,12416488.0
2023-05-19,8.16,8.51,8.12,8.46,12416488.0
2023-05-20,8.16,8.51,8.12,8.46,12416488.0
2023-05-21,8.16,8.51,8.12,8.46,12416488.0
2023-05-22,8.16,8.51,8.12,8.46,12416488.0
2023-05-23,8.16,8.51,8.12,8.46,12416488.0
2023-05-24,8.16,8.51,8.12,8.46,12416488.0
2023-05-25,8.16,8.51,8.12,8.46,12416488.0
2023-05-26,8.16,8.51,8.12,8.46,12416488.0
2023-05-27,8.16,8.51,8.12,8.46,12416488.0
2023-05-28,8.16,8.51,8.12,8.46,12416488.0
2023-05-29,8.16,8.51,8.12,8.46,12416488.0
2023-05-30,8.16,8.51,8.12,8.46,12416488.0
2023-05-31,8.16,8.51,8.12,8.46,12416488.0
2023-06-01,8.16,8.51,8.12,8.46,12416488.0
2023-06-02,8.16,8.51,8.12,8.46,12416488.0
2023-06-03,8.16,8.51,8.12,8.46,12416488.0
2023-06-04,8.16,8.51,8.12,8.46,12416488.0
2023-06-05,8.16,8.51,8.12,8.46,12416488.0
2023-06-06,8.16,8.51,8.12,8.46,12416488.0
2023-06-07,8.16,8.51,8.12,8.46,12416488.0
2023-06-08,8.16,8.51,8.12,8.46,12416488.0
2023-06-09,8.16,8.51,8.12,8.46,12416488.0
2023-06-10,8.16,8.51,8.12,8.46,12416488.0
2023-06-11,8.16,8.51,8.12,8.46,12416488.0
2023-06-12,8.16,8.51,8.12,8.46,12416488.0
2023-06-13,8.16,8.51,8.12,8.46,12416488.0
2023-06-14,8.16,8.51,8.12,8.46,12416488.0
2023-06-15,8.16,8.51,8.12,8.46,12416488.0
2023-06-16,8.16,8.51,8.12,8.46,12416488.0
2023-06-17,8.16,8.51,8.12,8.46,12416488.0
2023-06-18,8.16,8.51,8.12,8.46,12416488.0
2023-06-19,8.16,8.51,8.12,8.46,12416488.0
2023-06-20,8.16,8.51,8.12,8.46,12416488.0
2023-06-21,8.16,8.51,8.12,8.46,12416488.0
2023-06-22,8.16,8.51,8.12,8.46,12416488.0
2023-06-23,8.16,8.51,8.12,8.46,12416488.0
2023-06-24,8.16,8.51,8.12,8.46,12416488.0
2023-06-25,8.16,8.51,8.12,8.46,12416488.0
2023-06-26,8.16,8.51,8.12,8.46,12416488.0
2023-06-27,8.16,8.51,8.12,8.46,12416488.0
2023-06-28,8.16,8.51,8.12,8.46,12416488.0
2023-06-29,8.16,8.51,8.12,8.46,12416488.0
2023-06-30,8.16,8.51,8.12,8.46,12416488.0
2023-07-01,8.16,8.51,8.12,8.46,12416488.0
2023-07-02,8.16,8.51,8.12,8.46,12416488.0
2023-07-03,8.16,8.51,8.12,8.46,12416488.0
2023-07-04,8.16,8.51,8.12,8.46,12416488.0
2023-07-05,8.16,8.51,8.12,8.46,12416488.0
2023-07-06,8.16,8.51,8.12,8.46,12416488.0
2023-07-07,8.16,8.51,8.12,8.46,12416488.0
2023-07-08,8.16,8.51,8.12,8.46,12416488.0
2023-07-09,8.16,8.51,8.12,8.46,12416488.0
2023-07-10,8.16,8.51,8.12,8.46,12416488.0
2023-07-11,8.16,8.51,8.12,8.46,12416488.0
2023-07-12,8.16,8.51,8.12,8.46,12416488.0
2023-07-13,8.16,8.51,8.12,8.46,12416488.0
2023-07-14,8.16,8.51,8.12,8.46,12416488.0
2023-07-15,8.16,8.51,8.12,8.46,12416488.0
2023-07-16,8.16,8.51,8.12,8.46,12416488.0
2023-07-17,8.16,8.51,8.12,8.46,12416488.0
2023-07-18,8.16,8.51,8.12,8.46,12416488.0
2023-07-19,8.16,8.51,8.12,8.46,12416488.0
2023-07-20,8.16,8.51,8.12,8.46,12416488.0
2023-07-21,8.16,8.51,8.12,8.46,12416488.0
2023-07-22,8.16,8.51,8.12,8.46,12416488.0
2023-07-23,8.16,8.51,8.12,8.46,12416488.0
2023-07-24,8.16,8.51,8.12,8.46,12416488.0
2023-07-25,8.16,8.51,8.12,8.46,12416488.0
2023-07-26,8.16,8.51,8.12,8.46,12416488.0
2023-07-27,8.16,8.51,8.12,8.46,12416488.0
2023-07-28,8.16,8.51,8.12,8.46,12416488.0
2023-07-29,8.16,8.51,8.12,8.46,12416488.0
2023-07-30,8.16,8.51,8.12,8.46,12416488.0
2023-07-31,8.16,8.51,8.12,8.46,12416488.0
2023-08-01,8.16,8.51,8.12,8.46,12416488.0
2023-08-02,8.16,8.51,8.12,8.46,12416488.0
2023-08-03,8.16,8.51,8.12,8.46,12416488.0
2023-08-04,8.16,8.51,8.12,8.46,12416488.0
2023-08-05,8.16,8.51,8.12,8.46,12416488.0
2023-08-06,8.16,8.51,8.12,8.46,12416488.0
2023-08-07,8.16,8.51,8.12,8.46,12416488.0
2023-08-08,8.16,8.51,8.12,8.46,12416488.0
2023-08-09,8.16,8.51,8.12,8.46,12416488.0
2023-08-10,8.16,8.51,8.12,8.46,12416488.0
2023-08-11,8.16,8.51,8.12,8.46,12416488.0
2023-08-12,8.16,8.51,8.12,8.46,12416488.0
2023-08-13,8.16,8.51,8.12,8.46,12416488.0
2023-08-14,8.16,8.51,8.12,8.46,12416488.0
2023-08-15,8.16,8.51,8.12,8.46,12416488.0
2023-08-16,8.16,8.51,8.12,8.46,12416488.0
2023-08-17,8.16,8.51,8.12,8.46,12416488.0
2023-08-18,8.16,8.51,8.12,8.46,12416488.0
2023-08-19,8.16,8.51,8.12,8.46,12416488.0
2023-08-20,8.16,8.51,8.12,8.46,12416488.0
2023-08-21,8.16,8.51,8.12,8.46,12416488.0
2023-08-22,8.16,8.51,8.12,8.46,12416488.0
2023-08-23,8.16,8.51,8.12,8.46,12416488.0
2023-08-24,8.16,8.51,8.12,8.46,12416488.0
2023-08-25,8.16,8.51,8.12,8.46,12416488.0
2023-08-26,8.16,8.51,8.12,8.46,12416488.0
2023-08-27,8.16,8.51,8.12,8.46,12416488.0
2023-08-28,8.16,8.51,8.12,8.46,12416488.0
2023-08-29,8.16,8.51,8.12,8.46,12416488.0
2023-08-30,8.16,8.51,8.12,8.46,12416488.0
2023-08-31,8.16,8.51,8.12,8.46,12416488.0
2023-09-01,8.16,8.51,8.12,8.46,12416488.0
2023-09-02,8.16,8.51,8.12,8.46,12416488.0
2023-09-03,8.16,8.51,8.12,8.46,12416488.0
2023-09-04,8.16,8.51,8.12,8.46,12416488.0
2023-09-05,8.16,8.51,8.12,8.46,12416488.0
2023-09-06,8.16,8.51,8.12,8.46,12416488.0
2023-09-07,8.16,8.51,8.12,8.46,12416488.0
2023-09-08,8.16,8.51,8.12,8.46,12416488.0
2023-09-09,8.16,8.51,8.12,8.46,12416488.0
2023-09-10,8.16,8.51,8.12,8.46,12416488.0
2023-09-11,8.16,8.51,8.12,8.46,12416488.0
2023-09-12,8.16,8.51,8.12,8.46,12416488.0
2023-09-13,8.16,8.51,8.12,8.46,12416488.0
2023-09-14,8.16,8.51,8.12,8.46,12416488.0
2023-09-15,8.16,8.51,8.12,8.46,12416488.0
2023-09-16,8.16,8.51,8.12,8.46,12416488.0
2023-09-17,8.16,8.51,8.12,8.46,12416488.0
2023-09-18,8.16,8.51,8.12,8.46,12416488.0
2023-09-19,8.16,8.51,8.12,8.46,12416488.0
2023-09-20,8.16,8.51,8.12,8.46,12416488.0
2023-09-21,8.16,8.51,8.12,8.46,12416488.0
2023-09-22,8.16,8.51,8.12,8.46,12416488.0
2023-09-23,8.16,8.51,8.12,8.46,12416488.0
2023-09-24,8.16,8.51,8.12,8.46,12416488.0
2023-09-25,8.16,8.51,8.12,8.46,12416488.0
2023-09-26,8.16,8.51,8.12,8.46,12416488.0
2023-09-27,8.16,8.51,8.12,8.46,12416488.0
2023-09-28,8.16,8.51,8.12,8.46,12416488.0
2023-09-29,8.16,8.51,8.12,8.46,12416488.0
2023-09-30,8.16,8.51,8.12,8.46,12416488.0
2023-10-01,8.16,8.51,8.12,8.46,12416488.0
2023-10-02,8.16,8.51,8.12,8.46,12416488.0
2023-10-03,8.16,8.51,8.12,8.46,12416488.0
2023-10-04,8.16,8.51,8.12,8.46,12416488.0
2023-10-05,8.16,8.51,8.12,8.46,12416488.0
2023-10-06,8.16,8.51,8.12,8.46,12416488.0
2023-10-07,8.16,8.51,8.12,8.46,12416488.0
2023-10-08,8.16,8.51,8.12,8.46,12416488.0
2023-10-09,8.16,8.51,8.12,8.46,12416488.0
2023-10-10,8.16,8.51,8.12,8.46,12416488.0
2023-10-11,8.16,8.51,8.12,8.46,12416488.0
2023-10-12,8.16,8.51,8.12,8.46,12416488.0
2023-10-13,8.16,8.51,8.12,8.46,12416488.0
2023-10-14,8.16,8.51,8.12,8.46,12416488.0
2023-10-15,8.16,8.51,8.12,8.46,12416488.0
2023-10-16,8.16,8.51,8.12,8.46,12416488.0
2023-10-17,8.16,8.51,8.12,8.46,12416488.0
2023-10-18,8.16,8.51,8.12,8.46,12416488.0
2023-10-19,8.16,8.51,8.12,8.46,12416488.0
2023-10-20,8.16,8.51,8.12,8.46,12416488.0
2023-10-21,8.16,8.51,8.12,8.46,12416488.0
2023-10-22,8.16,8.51,8.12,8.46,12416488.0
2023-10-23,8.16,8.51,8.12,8.46,12416488.0
2023-10-24,8.16,8.51,8.12,8.46,12416488.0
2023-10-25,8.16,8.51,8.12,8.46,12416488.0
2023-10-26,8.16,8.51,8.12,8.46,12416488.0
2023-10-27,8.16,8.51,8.12,8.46,12416488.0
2023-10-28,8.16,8.51,8.12,8.46,12416488.0
2023-10-29,8.16,8.51,8.12,8.46,12416488.0
2023-10-30,8.16,8.51,8.12,8.46,12416488.0
