,1917130D US Equity,1917130D US Equity,1917130D US Equity,1917130D US Equity,1917130D US Equity
2022-08-28,71.95,72.0,71.88,71.96,1494858.0
2022-08-29,71.95,72.0,71.88,71.96,1494858.0
2022-08-30,71.95,72.0,71.88,71.96,1494858.0
2022-08-31,71.95,72.0,71.88,71.96,1494858.0
2022-09-01,71.95,72.0,71.88,71.96,1494858.0
2022-09-02,71.95,72.0,71.88,71.96,1494858.0
2022-09-03,71.95,72.0,71.88,71.96,1494858.0
2022-09-04,71.95,72.0,71.88,71.96,1494858.0
2022-09-05,71.95,72.0,71.88,71.96,1494858.0
2022-09-06,71.95,72.0,71.88,71.96,1494858.0
2022-09-07,71.95,72.0,71.88,71.96,1494858.0
2022-09-08,71.95,72.0,71.88,71.96,1494858.0
2022-09-09,71.95,72.0,71.88,71.96,1494858.0
2022-09-10,71.95,72.0,71.88,71.96,1494858.0
2022-09-11,71.95,72.0,71.88,71.96,1494858.0
2022-09-12,71.95,72.0,71.88,71.96,1494858.0
2022-09-13,71.95,72.0,71.88,71.96,1494858.0
2022-09-14,71.95,72.0,71.88,71.96,1494858.0
2022-09-15,71.95,72.0,71.88,71.96,1494858.0
2022-09-16,71.95,72.0,71.88,71.96,1494858.0
2022-09-17,71.95,72.0,71.88,71.96,1494858.0
2022-09-18,71.95,72.0,71.88,71.96,1494858.0
2022-09-19,71.95,72.0,71.88,71.96,1494858.0
2022-09-20,71.95,72.0,71.88,71.96,1494858.0
2022-09-21,71.95,72.0,71.88,71.96,1494858.0
2022-09-22,71.95,72.0,71.88,71.96,1494858.0
2022-09-23,71.95,72.0,71.88,71.96,1494858.0
2022-09-24,71.95,72.0,71.88,71.96,1494858.0
2022-09-25,71.95,72.0,71.88,71.96,1494858.0
2022-09-26,71.95,72.0,71.88,71.96,1494858.0
2022-09-27,71.95,72.0,71.88,71.96,1494858.0
2022-09-28,71.95,72.0,71.88,71.96,1494858.0
2022-09-29,71.95,72.0,71.88,71.96,1494858.0
2022-09-30,71.95,72.0,71.88,71.96,1494858.0
2022-10-01,71.95,72.0,71.88,71.96,1494858.0
2022-10-02,71.95,72.0,71.88,71.96,1494858.0
2022-10-03,71.95,72.0,71.88,71.96,1494858.0
2022-10-04,71.95,72.0,71.88,71.96,1494858.0
2022-10-05,71.95,72.0,71.88,71.96,1494858.0
2022-10-06,71.95,72.0,71.88,71.96,1494858.0
2022-10-07,71.95,72.0,71.88,71.96,1494858.0
2022-10-08,71.95,72.0,71.88,71.96,1494858.0
2022-10-09,71.95,72.0,71.88,71.96,1494858.0
2022-10-10,71.95,72.0,71.88,71.96,1494858.0
2022-10-11,71.95,72.0,71.88,71.96,1494858.0
2022-10-12,71.95,72.0,71.88,71.96,1494858.0
2022-10-13,71.95,72.0,71.88,71.96,1494858.0
2022-10-14,71.95,72.0,71.88,71.96,1494858.0
2022-10-15,71.95,72.0,71.88,71.96,1494858.0
2022-10-16,71.95,72.0,71.88,71.96,1494858.0
2022-10-17,71.95,72.0,71.88,71.96,1494858.0
2022-10-18,71.95,72.0,71.88,71.96,1494858.0
2022-10-19,71.95,72.0,71.88,71.96,1494858.0
2022-10-20,71.95,72.0,71.88,71.96,1494858.0
2022-10-21,71.95,72.0,71.88,71.96,1494858.0
2022-10-22,71.95,72.0,71.88,71.96,1494858.0
2022-10-23,71.95,72.0,71.88,71.96,1494858.0
2022-10-24,71.95,72.0,71.88,71.96,1494858.0
2022-10-25,71.95,72.0,71.88,71.96,1494858.0
2022-10-26,71.95,72.0,71.88,71.96,1494858.0
2022-10-27,71.95,72.0,71.88,71.96,1494858.0
2022-10-28,71.95,72.0,71.88,71.96,1494858.0
2022-10-29,71.95,72.0,71.88,71.96,1494858.0
2022-10-30,71.95,72.0,71.88,71.96,1494858.0
2022-10-31,71.95,72.0,71.88,71.96,1494858.0
2022-11-01,71.95,72.0,71.88,71.96,1494858.0
2022-11-02,71.95,72.0,71.88,71.96,1494858.0
2022-11-03,71.95,72.0,71.88,71.96,1494858.0
2022-11-04,71.95,72.0,71.88,71.96,1494858.0
2022-11-05,71.95,72.0,71.88,71.96,1494858.0
2022-11-06,71.95,72.0,71.88,71.96,1494858.0
2022-11-07,71.95,72.0,71.88,71.96,1494858.0
2022-11-08,71.95,72.0,71.88,71.96,1494858.0
2022-11-09,71.95,72.0,71.88,71.96,1494858.0
2022-11-10,71.95,72.0,71.88,71.96,1494858.0
2022-11-11,71.95,72.0,71.88,71.96,1494858.0
2022-11-12,71.95,72.0,71.88,71.96,1494858.0
2022-11-13,71.95,72.0,71.88,71.96,1494858.0
2022-11-14,71.95,72.0,71.88,71.96,1494858.0
2022-11-15,71.95,72.0,71.88,71.96,1494858.0
2022-11-16,71.95,72.0,71.88,71.96,1494858.0
2022-11-17,71.95,72.0,71.88,71.96,1494858.0
2022-11-18,71.95,72.0,71.88,71.96,1494858.0
2022-11-19,71.95,72.0,71.88,71.96,1494858.0
2022-11-20,71.95,72.0,71.88,71.96,1494858.0
2022-11-21,71.95,72.0,71.88,71.96,1494858.0
2022-11-22,71.95,72.0,71.88,71.96,1494858.0
2022-11-23,71.95,72.0,71.88,71.96,1494858.0
2022-11-24,71.95,72.0,71.88,71.96,1494858.0
2022-11-25,71.95,72.0,71.88,71.96,1494858.0
2022-11-26,71.95,72.0,71.88,71.96,1494858.0
2022-11-27,71.95,72.0,71.88,71.96,1494858.0
2022-11-28,71.95,72.0,71.88,71.96,1494858.0
2022-11-29,71.95,72.0,71.88,71.96,1494858.0
2022-11-30,71.95,72.0,71.88,71.96,1494858.0
2022-12-01,71.95,72.0,71.88,71.96,1494858.0
2022-12-02,71.95,72.0,71.88,71.96,1494858.0
2022-12-03,71.95,72.0,71.88,71.96,1494858.0
2022-12-04,71.95,72.0,71.88,71.96,1494858.0
2022-12-05,71.95,72.0,71.88,71.96,1494858.0
2022-12-06,71.95,72.0,71.88,71.96,1494858.0
2022-12-07,71.95,72.0,71.88,71.96,1494858.0
2022-12-08,71.95,72.0,71.88,71.96,1494858.0
2022-12-09,71.95,72.0,71.88,71.96,1494858.0
2022-12-10,71.95,72.0,71.88,71.96,1494858.0
2022-12-11,71.95,72.0,71.88,71.96,1494858.0
2022-12-12,71.95,72.0,71.88,71.96,1494858.0
2022-12-13,71.95,72.0,71.88,71.96,1494858.0
2022-12-14,71.95,72.0,71.88,71.96,1494858.0
2022-12-15,71.95,72.0,71.88,71.96,1494858.0
2022-12-16,71.95,72.0,71.88,71.96,1494858.0
2022-12-17,71.95,72.0,71.88,71.96,1494858.0
2022-12-18,71.95,72.0,71.88,71.96,1494858.0
2022-12-19,71.95,72.0,71.88,71.96,1494858.0
2022-12-20,71.95,72.0,71.88,71.96,1494858.0
2022-12-21,71.95,72.0,71.88,71.96,1494858.0
2022-12-22,71.95,72.0,71.88,71.96,1494858.0
2022-12-23,71.95,72.0,71.88,71.96,1494858.0
2022-12-24,71.95,72.0,71.88,71.96,1494858.0
2022-12-25,71.95,72.0,71.88,71.96,1494858.0
2022-12-26,71.95,72.0,71.88,71.96,1494858.0
2022-12-27,71.95,72.0,71.88,71.96,1494858.0
2022-12-28,71.95,72.0,71.88,71.96,1494858.0
2022-12-29,71.95,72.0,71.88,71.96,1494858.0
2022-12-30,71.95,72.0,71.88,71.96,1494858.0
2022-12-31,71.95,72.0,71.88,71.96,1494858.0
2023-01-01,71.95,72.0,71.88,71.96,1494858.0
2023-01-02,71.95,72.0,71.88,71.96,1494858.0
2023-01-03,71.95,72.0,71.88,71.96,1494858.0
2023-01-04,71.95,72.0,71.88,71.96,1494858.0
2023-01-05,71.95,72.0,71.88,71.96,1494858.0
2023-01-06,71.95,72.0,71.88,71.96,1494858.0
2023-01-07,71.95,72.0,71.88,71.96,1494858.0
2023-01-08,71.95,72.0,71.88,71.96,1494858.0
2023-01-09,71.95,72.0,71.88,71.96,1494858.0
2023-01-10,71.95,72.0,71.88,71.96,1494858.0
2023-01-11,71.95,72.0,71.88,71.96,1494858.0
2023-01-12,71.95,72.0,71.88,71.96,1494858.0
2023-01-13,71.95,72.0,71.88,71.96,1494858.0
2023-01-14,71.95,72.0,71.88,71.96,1494858.0
2023-01-15,71.95,72.0,71.88,71.96,1494858.0
2023-01-16,71.95,72.0,71.88,71.96,1494858.0
2023-01-17,71.95,72.0,71.88,71.96,1494858.0
2023-01-18,71.95,72.0,71.88,71.96,1494858.0
2023-01-19,71.95,72.0,71.88,71.96,1494858.0
2023-01-20,71.95,72.0,71.88,71.96,1494858.0
2023-01-21,71.95,72.0,71.88,71.96,1494858.0
2023-01-22,71.95,72.0,71.88,71.96,1494858.0
2023-01-23,71.95,72.0,71.88,71.96,1494858.0
2023-01-24,71.95,72.0,71.88,71.96,1494858.0
2023-01-25,71.95,72.0,71.88,71.96,1494858.0
2023-01-26,71.95,72.0,71.88,71.96,1494858.0
2023-01-27,71.95,72.0,71.88,71.96,1494858.0
2023-01-28,71.95,72.0,71.88,71.96,1494858.0
2023-01-29,71.95,72.0,71.88,71.96,1494858.0
2023-01-30,71.95,72.0,71.88,71.96,1494858.0
2023-01-31,71.95,72.0,71.88,71.96,1494858.0
2023-02-01,71.95,72.0,71.88,71.96,1494858.0
2023-02-02,71.95,72.0,71.88,71.96,1494858.0
2023-02-03,71.95,72.0,71.88,71.96,1494858.0
2023-02-04,71.95,72.0,71.88,71.96,1494858.0
2023-02-05,71.95,72.0,71.88,71.96,1494858.0
2023-02-06,71.95,72.0,71.88,71.96,1494858.0
2023-02-07,71.95,72.0,71.88,71.96,1494858.0
2023-02-08,71.95,72.0,71.88,71.96,1494858.0
2023-02-09,71.95,72.0,71.88,71.96,1494858.0
2023-02-10,71.95,72.0,71.88,71.96,1494858.0
2023-02-11,71.95,72.0,71.88,71.96,1494858.0
2023-02-12,71.95,72.0,71.88,71.96,1494858.0
2023-02-13,71.95,72.0,71.88,71.96,1494858.0
2023-02-14,71.95,72.0,71.88,71.96,1494858.0
2023-02-15,71.95,72.0,71.88,71.96,1494858.0
2023-02-16,71.95,72.0,71.88,71.96,1494858.0
2023-02-17,71.95,72.0,71.88,71.96,1494858.0
2023-02-18,71.95,72.0,71.88,71.96,1494858.0
2023-02-19,71.95,72.0,71.88,71.96,1494858.0
2023-02-20,71.95,72.0,71.88,71.96,1494858.0
2023-02-21,71.95,72.0,71.88,71.96,1494858.0
2023-02-22,71.95,72.0,71.88,71.96,1494858.0
2023-02-23,71.95,72.0,71.88,71.96,1494858.0
2023-02-24,71.95,72.0,71.88,71.96,1494858.0
2023-02-25,71.95,72.0,71.88,71.96,1494858.0
2023-02-26,71.95,72.0,71.88,71.96,1494858.0
2023-02-27,71.95,72.0,71.88,71.96,1494858.0
2023-02-28,71.95,72.0,71.88,71.96,1494858.0
2023-03-01,71.95,72.0,71.88,71.96,1494858.0
2023-03-02,71.95,72.0,71.88,71.96,1494858.0
2023-03-03,71.95,72.0,71.88,71.96,1494858.0
2023-03-04,71.95,72.0,71.88,71.96,1494858.0
2023-03-05,71.95,72.0,71.88,71.96,1494858.0
2023-03-06,71.95,72.0,71.88,71.96,1494858.0
2023-03-07,71.95,72.0,71.88,71.96,1494858.0
2023-03-08,71.95,72.0,71.88,71.96,1494858.0
2023-03-09,71.95,72.0,71.88,71.96,1494858.0
2023-03-10,71.95,72.0,71.88,71.96,1494858.0
2023-03-11,71.95,72.0,71.88,71.96,1494858.0
2023-03-12,71.95,72.0,71.88,71.96,1494858.0
2023-03-13,71.95,72.0,71.88,71.96,1494858.0
2023-03-14,71.95,72.0,71.88,71.96,1494858.0
2023-03-15,71.95,72.0,71.88,71.96,1494858.0
2023-03-16,71.95,72.0,71.88,71.96,1494858.0
2023-03-17,71.95,72.0,71.88,71.96,1494858.0
2023-03-18,71.95,72.0,71.88,71.96,1494858.0
2023-03-19,71.95,72.0,71.88,71.96,1494858.0
2023-03-20,71.95,72.0,71.88,71.96,1494858.0
2023-03-21,71.95,72.0,71.88,71.96,1494858.0
2023-03-22,71.95,72.0,71.88,71.96,1494858.0
2023-03-23,71.95,72.0,71.88,71.96,1494858.0
2023-03-24,71.95,72.0,71.88,71.96,1494858.0
2023-03-25,71.95,72.0,71.88,71.96,1494858.0
2023-03-26,71.95,72.0,71.88,71.96,1494858.0
2023-03-27,71.95,72.0,71.88,71.96,1494858.0
2023-03-28,71.95,72.0,71.88,71.96,1494858.0
2023-03-29,71.95,72.0,71.88,71.96,1494858.0
2023-03-30,71.95,72.0,71.88,71.96,1494858.0
2023-03-31,71.95,72.0,71.88,71.96,1494858.0
2023-04-01,71.95,72.0,71.88,71.96,1494858.0
2023-04-02,71.95,72.0,71.88,71.96,1494858.0
2023-04-03,71.95,72.0,71.88,71.96,1494858.0
2023-04-04,71.95,72.0,71.88,71.96,1494858.0
2023-04-05,71.95,72.0,71.88,71.96,1494858.0
2023-04-06,71.95,72.0,71.88,71.96,1494858.0
2023-04-07,71.95,72.0,71.88,71.96,1494858.0
2023-04-08,71.95,72.0,71.88,71.96,1494858.0
2023-04-09,71.95,72.0,71.88,71.96,1494858.0
2023-04-10,71.95,72.0,71.88,71.96,1494858.0
2023-04-11,71.95,72.0,71.88,71.96,1494858.0
2023-04-12,71.95,72.0,71.88,71.96,1494858.0
2023-04-13,71.95,72.0,71.88,71.96,1494858.0
2023-04-14,71.95,72.0,71.88,71.96,1494858.0
2023-04-15,71.95,72.0,71.88,71.96,1494858.0
2023-04-16,71.95,72.0,71.88,71.96,1494858.0
2023-04-17,71.95,72.0,71.88,71.96,1494858.0
2023-04-18,71.95,72.0,71.88,71.96,1494858.0
2023-04-19,71.95,72.0,71.88,71.96,1494858.0
2023-04-20,71.95,72.0,71.88,71.96,1494858.0
2023-04-21,71.95,72.0,71.88,71.96,1494858.0
2023-04-22,71.95,72.0,71.88,71.96,1494858.0
2023-04-23,71.95,72.0,71.88,71.96,1494858.0
2023-04-24,71.95,72.0,71.88,71.96,1494858.0
2023-04-25,71.95,72.0,71.88,71.96,1494858.0
2023-04-26,71.95,72.0,71.88,71.96,1494858.0
2023-04-27,71.95,72.0,71.88,71.96,1494858.0
2023-04-28,71.95,72.0,71.88,71.96,1494858.0
2023-04-29,71.95,72.0,71.88,71.96,1494858.0
2023-04-30,71.95,72.0,71.88,71.96,1494858.0
2023-05-01,71.95,72.0,71.88,71.96,1494858.0
2023-05-02,71.95,72.0,71.88,71.96,1494858.0
2023-05-03,71.95,72.0,71.88,71.96,1494858.0
2023-05-04,71.95,72.0,71.88,71.96,1494858.0
2023-05-05,71.95,72.0,71.88,71.96,1494858.0
2023-05-06,71.95,72.0,71.88,71.96,1494858.0
2023-05-07,71.95,72.0,71.88,71.96,1494858.0
2023-05-08,71.95,72.0,71.88,71.96,1494858.0
2023-05-09,71.95,72.0,71.88,71.96,1494858.0
2023-05-10,71.95,72.0,71.88,71.96,1494858.0
2023-05-11,71.95,72.0,71.88,71.96,1494858.0
2023-05-12,71.95,72.0,71.88,71.96,1494858.0
2023-05-13,71.95,72.0,71.88,71.96,1494858.0
2023-05-14,71.95,72.0,71.88,71.96,1494858.0
2023-05-15,71.95,72.0,71.88,71.96,1494858.0
2023-05-16,71.95,72.0,71.88,71.96,1494858.0
2023-05-17,71.95,72.0,71.88,71.96,1494858.0
2023-05-18,71.95,72.0,71.88,71.96,1494858.0
2023-05-19,71.95,72.0,71.88,71.96,1494858.0
2023-05-20,71.95,72.0,71.88,71.96,1494858.0
2023-05-21,71.95,72.0,71.88,71.96,1494858.0
2023-05-22,71.95,72.0,71.88,71.96,1494858.0
2023-05-23,71.95,72.0,71.88,71.96,1494858.0
2023-05-24,71.95,72.0,71.88,71.96,1494858.0
2023-05-25,71.95,72.0,71.88,71.96,1494858.0
2023-05-26,71.95,72.0,71.88,71.96,1494858.0
2023-05-27,71.95,72.0,71.88,71.96,1494858.0
2023-05-28,71.95,72.0,71.88,71.96,1494858.0
2023-05-29,71.95,72.0,71.88,71.96,1494858.0
2023-05-30,71.95,72.0,71.88,71.96,1494858.0
2023-05-31,71.95,72.0,71.88,71.96,1494858.0
2023-06-01,71.95,72.0,71.88,71.96,1494858.0
2023-06-02,71.95,72.0,71.88,71.96,1494858.0
2023-06-03,71.95,72.0,71.88,71.96,1494858.0
2023-06-04,71.95,72.0,71.88,71.96,1494858.0
2023-06-05,71.95,72.0,71.88,71.96,1494858.0
2023-06-06,71.95,72.0,71.88,71.96,1494858.0
2023-06-07,71.95,72.0,71.88,71.96,1494858.0
2023-06-08,71.95,72.0,71.88,71.96,1494858.0
2023-06-09,71.95,72.0,71.88,71.96,1494858.0
2023-06-10,71.95,72.0,71.88,71.96,1494858.0
2023-06-11,71.95,72.0,71.88,71.96,1494858.0
2023-06-12,71.95,72.0,71.88,71.96,1494858.0
2023-06-13,71.95,72.0,71.88,71.96,1494858.0
2023-06-14,71.95,72.0,71.88,71.96,1494858.0
2023-06-15,71.95,72.0,71.88,71.96,1494858.0
2023-06-16,71.95,72.0,71.88,71.96,1494858.0
2023-06-17,71.95,72.0,71.88,71.96,1494858.0
2023-06-18,71.95,72.0,71.88,71.96,1494858.0
2023-06-19,71.95,72.0,71.88,71.96,1494858.0
2023-06-20,71.95,72.0,71.88,71.96,1494858.0
2023-06-21,71.95,72.0,71.88,71.96,1494858.0
2023-06-22,71.95,72.0,71.88,71.96,1494858.0
2023-06-23,71.95,72.0,71.88,71.96,1494858.0
2023-06-24,71.95,72.0,71.88,71.96,1494858.0
2023-06-25,71.95,72.0,71.88,71.96,1494858.0
2023-06-26,71.95,72.0,71.88,71.96,1494858.0
2023-06-27,71.95,72.0,71.88,71.96,1494858.0
2023-06-28,71.95,72.0,71.88,71.96,1494858.0
2023-06-29,71.95,72.0,71.88,71.96,1494858.0
2023-06-30,71.95,72.0,71.88,71.96,1494858.0
2023-07-01,71.95,72.0,71.88,71.96,1494858.0
2023-07-02,71.95,72.0,71.88,71.96,1494858.0
2023-07-03,71.95,72.0,71.88,71.96,1494858.0
2023-07-04,71.95,72.0,71.88,71.96,1494858.0
2023-07-05,71.95,72.0,71.88,71.96,1494858.0
2023-07-06,71.95,72.0,71.88,71.96,1494858.0
2023-07-07,71.95,72.0,71.88,71.96,1494858.0
2023-07-08,71.95,72.0,71.88,71.96,1494858.0
2023-07-09,71.95,72.0,71.88,71.96,1494858.0
2023-07-10,71.95,72.0,71.88,71.96,1494858.0
2023-07-11,71.95,72.0,71.88,71.96,1494858.0
2023-07-12,71.95,72.0,71.88,71.96,1494858.0
2023-07-13,71.95,72.0,71.88,71.96,1494858.0
2023-07-14,71.95,72.0,71.88,71.96,1494858.0
2023-07-15,71.95,72.0,71.88,71.96,1494858.0
2023-07-16,71.95,72.0,71.88,71.96,1494858.0
2023-07-17,71.95,72.0,71.88,71.96,1494858.0
2023-07-18,71.95,72.0,71.88,71.96,1494858.0
2023-07-19,71.95,72.0,71.88,71.96,1494858.0
2023-07-20,71.95,72.0,71.88,71.96,1494858.0
2023-07-21,71.95,72.0,71.88,71.96,1494858.0
2023-07-22,71.95,72.0,71.88,71.96,1494858.0
2023-07-23,71.95,72.0,71.88,71.96,1494858.0
2023-07-24,71.95,72.0,71.88,71.96,1494858.0
2023-07-25,71.95,72.0,71.88,71.96,1494858.0
2023-07-26,71.95,72.0,71.88,71.96,1494858.0
2023-07-27,71.95,72.0,71.88,71.96,1494858.0
2023-07-28,71.95,72.0,71.88,71.96,1494858.0
2023-07-29,71.95,72.0,71.88,71.96,1494858.0
2023-07-30,71.95,72.0,71.88,71.96,1494858.0
2023-07-31,71.95,72.0,71.88,71.96,1494858.0
2023-08-01,71.95,72.0,71.88,71.96,1494858.0
2023-08-02,71.95,72.0,71.88,71.96,1494858.0
2023-08-03,71.95,72.0,71.88,71.96,1494858.0
2023-08-04,71.95,72.0,71.88,71.96,1494858.0
2023-08-05,71.95,72.0,71.88,71.96,1494858.0
2023-08-06,71.95,72.0,71.88,71.96,1494858.0
2023-08-07,71.95,72.0,71.88,71.96,1494858.0
2023-08-08,71.95,72.0,71.88,71.96,1494858.0
2023-08-09,71.95,72.0,71.88,71.96,1494858.0
2023-08-10,71.95,72.0,71.88,71.96,1494858.0
2023-08-11,71.95,72.0,71.88,71.96,1494858.0
2023-08-12,71.95,72.0,71.88,71.96,1494858.0
2023-08-13,71.95,72.0,71.88,71.96,1494858.0
2023-08-14,71.95,72.0,71.88,71.96,1494858.0
2023-08-15,71.95,72.0,71.88,71.96,1494858.0
2023-08-16,71.95,72.0,71.88,71.96,1494858.0
2023-08-17,71.95,72.0,71.88,71.96,1494858.0
2023-08-18,71.95,72.0,71.88,71.96,1494858.0
2023-08-19,71.95,72.0,71.88,71.96,1494858.0
2023-08-20,71.95,72.0,71.88,71.96,1494858.0
2023-08-21,71.95,72.0,71.88,71.96,1494858.0
2023-08-22,71.95,72.0,71.88,71.96,1494858.0
2023-08-23,71.95,72.0,71.88,71.96,1494858.0
2023-08-24,71.95,72.0,71.88,71.96,1494858.0
2023-08-25,71.95,72.0,71.88,71.96,1494858.0
2023-08-26,71.95,72.0,71.88,71.96,1494858.0
2023-08-27,71.95,72.0,71.88,71.96,1494858.0
2023-08-28,71.95,72.0,71.88,71.96,1494858.0
2023-08-29,71.95,72.0,71.88,71.96,1494858.0
2023-08-30,71.95,72.0,71.88,71.96,1494858.0
2023-08-31,71.95,72.0,71.88,71.96,1494858.0
2023-09-01,71.95,72.0,71.88,71.96,1494858.0
2023-09-02,71.95,72.0,71.88,71.96,1494858.0
2023-09-03,71.95,72.0,71.88,71.96,1494858.0
2023-09-04,71.95,72.0,71.88,71.96,1494858.0
2023-09-05,71.95,72.0,71.88,71.96,1494858.0
2023-09-06,71.95,72.0,71.88,71.96,1494858.0
2023-09-07,71.95,72.0,71.88,71.96,1494858.0
2023-09-08,71.95,72.0,71.88,71.96,1494858.0
2023-09-09,71.95,72.0,71.88,71.96,1494858.0
2023-09-10,71.95,72.0,71.88,71.96,1494858.0
2023-09-11,71.95,72.0,71.88,71.96,1494858.0
2023-09-12,71.95,72.0,71.88,71.96,1494858.0
2023-09-13,71.95,72.0,71.88,71.96,1494858.0
2023-09-14,71.95,72.0,71.88,71.96,1494858.0
2023-09-15,71.95,72.0,71.88,71.96,1494858.0
2023-09-16,71.95,72.0,71.88,71.96,1494858.0
2023-09-17,71.95,72.0,71.88,71.96,1494858.0
2023-09-18,71.95,72.0,71.88,71.96,1494858.0
2023-09-19,71.95,72.0,71.88,71.96,1494858.0
2023-09-20,71.95,72.0,71.88,71.96,1494858.0
2023-09-21,71.95,72.0,71.88,71.96,1494858.0
2023-09-22,71.95,72.0,71.88,71.96,1494858.0
2023-09-23,71.95,72.0,71.88,71.96,1494858.0
2023-09-24,71.95,72.0,71.88,71.96,1494858.0
2023-09-25,71.95,72.0,71.88,71.96,1494858.0
2023-09-26,71.95,72.0,71.88,71.96,1494858.0
2023-09-27,71.95,72.0,71.88,71.96,1494858.0
2023-09-28,71.95,72.0,71.88,71.96,1494858.0
2023-09-29,71.95,72.0,71.88,71.96,1494858.0
2023-09-30,71.95,72.0,71.88,71.96,1494858.0
2023-10-01,71.95,72.0,71.88,71.96,1494858.0
2023-10-02,71.95,72.0,71.88,71.96,1494858.0
2023-10-03,71.95,72.0,71.88,71.96,1494858.0
2023-10-04,71.95,72.0,71.88,71.96,1494858.0
2023-10-05,71.95,72.0,71.88,71.96,1494858.0
2023-10-06,71.95,72.0,71.88,71.96,1494858.0
2023-10-07,71.95,72.0,71.88,71.96,1494858.0
2023-10-08,71.95,72.0,71.88,71.96,1494858.0
2023-10-09,71.95,72.0,71.88,71.96,1494858.0
2023-10-10,71.95,72.0,71.88,71.96,1494858.0
2023-10-11,71.95,72.0,71.88,71.96,1494858.0
2023-10-12,71.95,72.0,71.88,71.96,1494858.0
2023-10-13,71.95,72.0,71.88,71.96,1494858.0
2023-10-14,71.95,72.0,71.88,71.96,1494858.0
2023-10-15,71.95,72.0,71.88,71.96,1494858.0
2023-10-16,71.95,72.0,71.88,71.96,1494858.0
2023-10-17,71.95,72.0,71.88,71.96,1494858.0
2023-10-18,71.95,72.0,71.88,71.96,1494858.0
2023-10-19,71.95,72.0,71.88,71.96,1494858.0
2023-10-20,71.95,72.0,71.88,71.96,1494858.0
2023-10-21,71.95,72.0,71.88,71.96,1494858.0
2023-10-22,71.95,72.0,71.88,71.96,1494858.0
2023-10-23,71.95,72.0,71.88,71.96,1494858.0
2023-10-24,71.95,72.0,71.88,71.96,1494858.0
2023-10-25,71.95,72.0,71.88,71.96,1494858.0
2023-10-26,71.95,72.0,71.88,71.96,1494858.0
2023-10-27,71.95,72.0,71.88,71.96,1494858.0
2023-10-28,71.95,72.0,71.88,71.96,1494858.0
2023-10-29,71.95,72.0,71.88,71.96,1494858.0
2023-10-30,71.95,72.0,71.88,71.96,1494858.0
2023-10-31,71.95,72.0,71.88,71.96,1494858.0
2023-11-01,71.95,72.0,71.88,71.96,1494858.0
2023-11-02,71.95,72.0,71.88,71.96,1494858.0
2023-11-03,71.95,72.0,71.88,71.96,1494858.0
2023-11-04,71.95,72.0,71.88,71.96,1494858.0
2023-11-05,71.95,72.0,71.88,71.96,1494858.0
2023-11-06,71.95,72.0,71.88,71.96,1494858.0
2023-11-07,71.95,72.0,71.88,71.96,1494858.0
2023-11-08,71.95,72.0,71.88,71.96,1494858.0
2023-11-09,71.95,72.0,71.88,71.96,1494858.0
2023-11-10,71.95,72.0,71.88,71.96,1494858.0
2023-11-11,71.95,72.0,71.88,71.96,1494858.0
2023-11-12,71.95,72.0,71.88,71.96,1494858.0
2023-11-13,71.95,72.0,71.88,71.96,1494858.0
2023-11-14,71.95,72.0,71.88,71.96,1494858.0
2023-11-15,71.95,72.0,71.88,71.96,1494858.0
2023-11-16,71.95,72.0,71.88,71.96,1494858.0
2023-11-17,71.95,72.0,71.88,71.96,1494858.0
2023-11-18,71.95,72.0,71.88,71.96,1494858.0
2023-11-19,71.95,72.0,71.88,71.96,1494858.0
2023-11-20,71.95,72.0,71.88,71.96,1494858.0
2023-11-21,71.95,72.0,71.88,71.96,1494858.0
2023-11-22,71.95,72.0,71.88,71.96,1494858.0
2023-11-23,71.95,72.0,71.88,71.96,1494858.0
2023-11-24,71.95,72.0,71.88,71.96,1494858.0
2023-11-25,71.95,72.0,71.88,71.96,1494858.0
2023-11-26,71.95,72.0,71.88,71.96,1494858.0
2023-11-27,71.95,72.0,71.88,71.96,1494858.0
2023-11-28,71.95,72.0,71.88,71.96,1494858.0
2023-11-29,71.95,72.0,71.88,71.96,1494858.0
2023-11-30,71.95,72.0,71.88,71.96,1494858.0
2023-12-01,71.95,72.0,71.88,71.96,1494858.0
2023-12-02,71.95,72.0,71.88,71.96,1494858.0
2023-12-03,71.95,72.0,71.88,71.96,1494858.0
2023-12-04,71.95,72.0,71.88,71.96,1494858.0
2023-12-05,71.95,72.0,71.88,71.96,1494858.0
2023-12-06,71.95,72.0,71.88,71.96,1494858.0
2023-12-07,71.95,72.0,71.88,71.96,1494858.0
2023-12-08,71.95,72.0,71.88,71.96,1494858.0
2023-12-09,71.95,72.0,71.88,71.96,1494858.0
2023-12-10,71.95,72.0,71.88,71.96,1494858.0
2023-12-11,71.95,72.0,71.88,71.96,1494858.0
2023-12-12,71.95,72.0,71.88,71.96,1494858.0
2023-12-13,71.95,72.0,71.88,71.96,1494858.0
2023-12-14,71.95,72.0,71.88,71.96,1494858.0
2023-12-15,71.95,72.0,71.88,71.96,1494858.0
2023-12-16,71.95,72.0,71.88,71.96,1494858.0
2023-12-17,71.95,72.0,71.88,71.96,1494858.0
2023-12-18,71.95,72.0,71.88,71.96,1494858.0
2023-12-19,71.95,72.0,71.88,71.96,1494858.0
2023-12-20,71.95,72.0,71.88,71.96,1494858.0
2023-12-21,71.95,72.0,71.88,71.96,1494858.0
