,2336307D US Equity,2336307D US Equity,2336307D US Equity,2336307D US Equity,2336307D US Equity
2022-09-25,73.67,74.2,72.68,73.07,31360596.0
2022-09-26,73.67,74.2,72.68,73.07,31360596.0
2022-09-27,73.67,74.2,72.68,73.07,31360596.0
2022-09-28,73.67,74.2,72.68,73.07,31360596.0
2022-09-29,73.67,74.2,72.68,73.07,31360596.0
2022-09-30,73.67,74.2,72.68,73.07,31360596.0
2022-10-01,73.67,74.2,72.68,73.07,31360596.0
2022-10-02,73.67,74.2,72.68,73.07,31360596.0
2022-10-03,73.67,74.2,72.68,73.07,31360596.0
2022-10-04,73.67,74.2,72.68,73.07,31360596.0
2022-10-05,73.67,74.2,72.68,73.07,31360596.0
2022-10-06,73.67,74.2,72.68,73.07,31360596.0
2022-10-07,73.67,74.2,72.68,73.07,31360596.0
2022-10-08,73.67,74.2,72.68,73.07,31360596.0
2022-10-09,73.67,74.2,72.68,73.07,31360596.0
2022-10-10,73.67,74.2,72.68,73.07,31360596.0
2022-10-11,73.67,74.2,72.68,73.07,31360596.0
2022-10-12,73.67,74.2,72.68,73.07,31360596.0
2022-10-13,73.67,74.2,72.68,73.07,31360596.0
2022-10-14,73.67,74.2,72.68,73.07,31360596.0
2022-10-15,73.67,74.2,72.68,73.07,31360596.0
2022-10-16,73.67,74.2,72.68,73.07,31360596.0
2022-10-17,73.67,74.2,72.68,73.07,31360596.0
2022-10-18,73.67,74.2,72.68,73.07,31360596.0
2022-10-19,73.67,74.2,72.68,73.07,31360596.0
2022-10-20,73.67,74.2,72.68,73.07,31360596.0
2022-10-21,73.67,74.2,72.68,73.07,31360596.0
2022-10-22,73.67,74.2,72.68,73.07,31360596.0
2022-10-23,73.67,74.2,72.68,73.07,31360596.0
2022-10-24,73.67,74.2,72.68,73.07,31360596.0
2022-10-25,73.67,74.2,72.68,73.07,31360596.0
2022-10-26,73.67,74.2,72.68,73.07,31360596.0
2022-10-27,73.67,74.2,72.68,73.07,31360596.0
2022-10-28,73.67,74.2,72.68,73.07,31360596.0
2022-10-29,73.67,74.2,72.68,73.07,31360596.0
2022-10-30,73.67,74.2,72.68,73.07,31360596.0
2022-10-31,73.67,74.2,72.68,73.07,31360596.0
2022-11-01,73.67,74.2,72.68,73.07,31360596.0
2022-11-02,73.67,74.2,72.68,73.07,31360596.0
2022-11-03,73.67,74.2,72.68,73.07,31360596.0
2022-11-04,73.67,74.2,72.68,73.07,31360596.0
2022-11-05,73.67,74.2,72.68,73.07,31360596.0
2022-11-06,73.67,74.2,72.68,73.07,31360596.0
2022-11-07,73.67,74.2,72.68,73.07,31360596.0
2022-11-08,73.67,74.2,72.68,73.07,31360596.0
2022-11-09,73.67,74.2,72.68,73.07,31360596.0
2022-11-10,73.67,74.2,72.68,73.07,31360596.0
2022-11-11,73.67,74.2,72.68,73.07,31360596.0
2022-11-12,73.67,74.2,72.68,73.07,31360596.0
2022-11-13,73.67,74.2,72.68,73.07,31360596.0
2022-11-14,73.67,74.2,72.68,73.07,31360596.0
2022-11-15,73.67,74.2,72.68,73.07,31360596.0
2022-11-16,73.67,74.2,72.68,73.07,31360596.0
2022-11-17,73.67,74.2,72.68,73.07,31360596.0
2022-11-18,73.67,74.2,72.68,73.07,31360596.0
2022-11-19,73.67,74.2,72.68,73.07,31360596.0
2022-11-20,73.67,74.2,72.68,73.07,31360596.0
2022-11-21,73.67,74.2,72.68,73.07,31360596.0
2022-11-22,73.67,74.2,72.68,73.07,31360596.0
2022-11-23,73.67,74.2,72.68,73.07,31360596.0
2022-11-24,73.67,74.2,72.68,73.07,31360596.0
2022-11-25,73.67,74.2,72.68,73.07,31360596.0
2022-11-26,73.67,74.2,72.68,73.07,31360596.0
2022-11-27,73.67,74.2,72.68,73.07,31360596.0
2022-11-28,73.67,74.2,72.68,73.07,31360596.0
2022-11-29,73.67,74.2,72.68,73.07,31360596.0
2022-11-30,73.67,74.2,72.68,73.07,31360596.0
2022-12-01,73.67,74.2,72.68,73.07,31360596.0
2022-12-02,73.67,74.2,72.68,73.07,31360596.0
2022-12-03,73.67,74.2,72.68,73.07,31360596.0
2022-12-04,73.67,74.2,72.68,73.07,31360596.0
2022-12-05,73.67,74.2,72.68,73.07,31360596.0
2022-12-06,73.67,74.2,72.68,73.07,31360596.0
2022-12-07,73.67,74.2,72.68,73.07,31360596.0
2022-12-08,73.67,74.2,72.68,73.07,31360596.0
2022-12-09,73.67,74.2,72.68,73.07,31360596.0
2022-12-10,73.67,74.2,72.68,73.07,31360596.0
2022-12-11,73.67,74.2,72.68,73.07,31360596.0
2022-12-12,73.67,74.2,72.68,73.07,31360596.0
2022-12-13,73.67,74.2,72.68,73.07,31360596.0
2022-12-14,73.67,74.2,72.68,73.07,31360596.0
2022-12-15,73.67,74.2,72.68,73.07,31360596.0
2022-12-16,73.67,74.2,72.68,73.07,31360596.0
2022-12-17,73.67,74.2,72.68,73.07,31360596.0
2022-12-18,73.67,74.2,72.68,73.07,31360596.0
2022-12-19,73.67,74.2,72.68,73.07,31360596.0
2022-12-20,73.67,74.2,72.68,73.07,31360596.0
2022-12-21,73.67,74.2,72.68,73.07,31360596.0
2022-12-22,73.67,74.2,72.68,73.07,31360596.0
2022-12-23,73.67,74.2,72.68,73.07,31360596.0
2022-12-24,73.67,74.2,72.68,73.07,31360596.0
2022-12-25,73.67,74.2,72.68,73.07,31360596.0
2022-12-26,73.67,74.2,72.68,73.07,31360596.0
2022-12-27,73.67,74.2,72.68,73.07,31360596.0
2022-12-28,73.67,74.2,72.68,73.07,31360596.0
2022-12-29,73.67,74.2,72.68,73.07,31360596.0
2022-12-30,73.67,74.2,72.68,73.07,31360596.0
2022-12-31,73.67,74.2,72.68,73.07,31360596.0
2023-01-01,73.67,74.2,72.68,73.07,31360596.0
2023-01-02,73.67,74.2,72.68,73.07,31360596.0
2023-01-03,73.67,74.2,72.68,73.07,31360596.0
2023-01-04,73.67,74.2,72.68,73.07,31360596.0
2023-01-05,73.67,74.2,72.68,73.07,31360596.0
2023-01-06,73.67,74.2,72.68,73.07,31360596.0
2023-01-07,73.67,74.2,72.68,73.07,31360596.0
2023-01-08,73.67,74.2,72.68,73.07,31360596.0
2023-01-09,73.67,74.2,72.68,73.07,31360596.0
2023-01-10,73.67,74.2,72.68,73.07,31360596.0
2023-01-11,73.67,74.2,72.68,73.07,31360596.0
2023-01-12,73.67,74.2,72.68,73.07,31360596.0
2023-01-13,73.67,74.2,72.68,73.07,31360596.0
2023-01-14,73.67,74.2,72.68,73.07,31360596.0
2023-01-15,73.67,74.2,72.68,73.07,31360596.0
2023-01-16,73.67,74.2,72.68,73.07,31360596.0
2023-01-17,73.67,74.2,72.68,73.07,31360596.0
2023-01-18,73.67,74.2,72.68,73.07,31360596.0
2023-01-19,73.67,74.2,72.68,73.07,31360596.0
2023-01-20,73.67,74.2,72.68,73.07,31360596.0
2023-01-21,73.67,74.2,72.68,73.07,31360596.0
2023-01-22,73.67,74.2,72.68,73.07,31360596.0
2023-01-23,73.67,74.2,72.68,73.07,31360596.0
2023-01-24,73.67,74.2,72.68,73.07,31360596.0
2023-01-25,73.67,74.2,72.68,73.07,31360596.0
2023-01-26,73.67,74.2,72.68,73.07,31360596.0
2023-01-27,73.67,74.2,72.68,73.07,31360596.0
2023-01-28,73.67,74.2,72.68,73.07,31360596.0
2023-01-29,73.67,74.2,72.68,73.07,31360596.0
2023-01-30,73.67,74.2,72.68,73.07,31360596.0
2023-01-31,73.67,74.2,72.68,73.07,31360596.0
2023-02-01,73.67,74.2,72.68,73.07,31360596.0
2023-02-02,73.67,74.2,72.68,73.07,31360596.0
2023-02-03,73.67,74.2,72.68,73.07,31360596.0
2023-02-04,73.67,74.2,72.68,73.07,31360596.0
2023-02-05,73.67,74.2,72.68,73.07,31360596.0
2023-02-06,73.67,74.2,72.68,73.07,31360596.0
2023-02-07,73.67,74.2,72.68,73.07,31360596.0
2023-02-08,73.67,74.2,72.68,73.07,31360596.0
2023-02-09,73.67,74.2,72.68,73.07,31360596.0
2023-02-10,73.67,74.2,72.68,73.07,31360596.0
2023-02-11,73.67,74.2,72.68,73.07,31360596.0
2023-02-12,73.67,74.2,72.68,73.07,31360596.0
2023-02-13,73.67,74.2,72.68,73.07,31360596.0
2023-02-14,73.67,74.2,72.68,73.07,31360596.0
2023-02-15,73.67,74.2,72.68,73.07,31360596.0
2023-02-16,73.67,74.2,72.68,73.07,31360596.0
2023-02-17,73.67,74.2,72.68,73.07,31360596.0
2023-02-18,73.67,74.2,72.68,73.07,31360596.0
2023-02-19,73.67,74.2,72.68,73.07,31360596.0
2023-02-20,73.67,74.2,72.68,73.07,31360596.0
2023-02-21,73.67,74.2,72.68,73.07,31360596.0
2023-02-22,73.67,74.2,72.68,73.07,31360596.0
2023-02-23,73.67,74.2,72.68,73.07,31360596.0
2023-02-24,73.67,74.2,72.68,73.07,31360596.0
2023-02-25,73.67,74.2,72.68,73.07,31360596.0
2023-02-26,73.67,74.2,72.68,73.07,31360596.0
2023-02-27,73.67,74.2,72.68,73.07,31360596.0
2023-02-28,73.67,74.2,72.68,73.07,31360596.0
2023-03-01,73.67,74.2,72.68,73.07,31360596.0
2023-03-02,73.67,74.2,72.68,73.07,31360596.0
2023-03-03,73.67,74.2,72.68,73.07,31360596.0
2023-03-04,73.67,74.2,72.68,73.07,31360596.0
2023-03-05,73.67,74.2,72.68,73.07,31360596.0
2023-03-06,73.67,74.2,72.68,73.07,31360596.0
2023-03-07,73.67,74.2,72.68,73.07,31360596.0
2023-03-08,73.67,74.2,72.68,73.07,31360596.0
2023-03-09,73.67,74.2,72.68,73.07,31360596.0
2023-03-10,73.67,74.2,72.68,73.07,31360596.0
2023-03-11,73.67,74.2,72.68,73.07,31360596.0
2023-03-12,73.67,74.2,72.68,73.07,31360596.0
2023-03-13,73.67,74.2,72.68,73.07,31360596.0
2023-03-14,73.67,74.2,72.68,73.07,31360596.0
2023-03-15,73.67,74.2,72.68,73.07,31360596.0
2023-03-16,73.67,74.2,72.68,73.07,31360596.0
2023-03-17,73.67,74.2,72.68,73.07,31360596.0
2023-03-18,73.67,74.2,72.68,73.07,31360596.0
2023-03-19,73.67,74.2,72.68,73.07,31360596.0
2023-03-20,73.67,74.2,72.68,73.07,31360596.0
2023-03-21,73.67,74.2,72.68,73.07,31360596.0
2023-03-22,73.67,74.2,72.68,73.07,31360596.0
2023-03-23,73.67,74.2,72.68,73.07,31360596.0
2023-03-24,73.67,74.2,72.68,73.07,31360596.0
2023-03-25,73.67,74.2,72.68,73.07,31360596.0
2023-03-26,73.67,74.2,72.68,73.07,31360596.0
2023-03-27,73.67,74.2,72.68,73.07,31360596.0
2023-03-28,73.67,74.2,72.68,73.07,31360596.0
2023-03-29,73.67,74.2,72.68,73.07,31360596.0
2023-03-30,73.67,74.2,72.68,73.07,31360596.0
2023-03-31,73.67,74.2,72.68,73.07,31360596.0
2023-04-01,73.67,74.2,72.68,73.07,31360596.0
2023-04-02,73.67,74.2,72.68,73.07,31360596.0
2023-04-03,73.67,74.2,72.68,73.07,31360596.0
2023-04-04,73.67,74.2,72.68,73.07,31360596.0
2023-04-05,73.67,74.2,72.68,73.07,31360596.0
2023-04-06,73.67,74.2,72.68,73.07,31360596.0
2023-04-07,73.67,74.2,72.68,73.07,31360596.0
2023-04-08,73.67,74.2,72.68,73.07,31360596.0
2023-04-09,73.67,74.2,72.68,73.07,31360596.0
2023-04-10,73.67,74.2,72.68,73.07,31360596.0
2023-04-11,73.67,74.2,72.68,73.07,31360596.0
2023-04-12,73.67,74.2,72.68,73.07,31360596.0
2023-04-13,73.67,74.2,72.68,73.07,31360596.0
2023-04-14,73.67,74.2,72.68,73.07,31360596.0
2023-04-15,73.67,74.2,72.68,73.07,31360596.0
2023-04-16,73.67,74.2,72.68,73.07,31360596.0
2023-04-17,73.67,74.2,72.68,73.07,31360596.0
2023-04-18,73.67,74.2,72.68,73.07,31360596.0
2023-04-19,73.67,74.2,72.68,73.07,31360596.0
2023-04-20,73.67,74.2,72.68,73.07,31360596.0
2023-04-21,73.67,74.2,72.68,73.07,31360596.0
2023-04-22,73.67,74.2,72.68,73.07,31360596.0
2023-04-23,73.67,74.2,72.68,73.07,31360596.0
2023-04-24,73.67,74.2,72.68,73.07,31360596.0
2023-04-25,73.67,74.2,72.68,73.07,31360596.0
2023-04-26,73.67,74.2,72.68,73.07,31360596.0
2023-04-27,73.67,74.2,72.68,73.07,31360596.0
2023-04-28,73.67,74.2,72.68,73.07,31360596.0
2023-04-29,73.67,74.2,72.68,73.07,31360596.0
2023-04-30,73.67,74.2,72.68,73.07,31360596.0
2023-05-01,73.67,74.2,72.68,73.07,31360596.0
2023-05-02,73.67,74.2,72.68,73.07,31360596.0
2023-05-03,73.67,74.2,72.68,73.07,31360596.0
2023-05-04,73.67,74.2,72.68,73.07,31360596.0
2023-05-05,73.67,74.2,72.68,73.07,31360596.0
2023-05-06,73.67,74.2,72.68,73.07,31360596.0
2023-05-07,73.67,74.2,72.68,73.07,31360596.0
2023-05-08,73.67,74.2,72.68,73.07,31360596.0
2023-05-09,73.67,74.2,72.68,73.07,31360596.0
2023-05-10,73.67,74.2,72.68,73.07,31360596.0
2023-05-11,73.67,74.2,72.68,73.07,31360596.0
2023-05-12,73.67,74.2,72.68,73.07,31360596.0
2023-05-13,73.67,74.2,72.68,73.07,31360596.0
2023-05-14,73.67,74.2,72.68,73.07,31360596.0
2023-05-15,73.67,74.2,72.68,73.07,31360596.0
2023-05-16,73.67,74.2,72.68,73.07,31360596.0
2023-05-17,73.67,74.2,72.68,73.07,31360596.0
2023-05-18,73.67,74.2,72.68,73.07,31360596.0
2023-05-19,73.67,74.2,72.68,73.07,31360596.0
2023-05-20,73.67,74.2,72.68,73.07,31360596.0
2023-05-21,73.67,74.2,72.68,73.07,31360596.0
2023-05-22,73.67,74.2,72.68,73.07,31360596.0
2023-05-23,73.67,74.2,72.68,73.07,31360596.0
2023-05-24,73.67,74.2,72.68,73.07,31360596.0
2023-05-25,73.67,74.2,72.68,73.07,31360596.0
2023-05-26,73.67,74.2,72.68,73.07,31360596.0
2023-05-27,73.67,74.2,72.68,73.07,31360596.0
2023-05-28,73.67,74.2,72.68,73.07,31360596.0
2023-05-29,73.67,74.2,72.68,73.07,31360596.0
2023-05-30,73.67,74.2,72.68,73.07,31360596.0
2023-05-31,73.67,74.2,72.68,73.07,31360596.0
2023-06-01,73.67,74.2,72.68,73.07,31360596.0
2023-06-02,73.67,74.2,72.68,73.07,31360596.0
2023-06-03,73.67,74.2,72.68,73.07,31360596.0
2023-06-04,73.67,74.2,72.68,73.07,31360596.0
2023-06-05,73.67,74.2,72.68,73.07,31360596.0
2023-06-06,73.67,74.2,72.68,73.07,31360596.0
2023-06-07,73.67,74.2,72.68,73.07,31360596.0
2023-06-08,73.67,74.2,72.68,73.07,31360596.0
2023-06-09,73.67,74.2,72.68,73.07,31360596.0
2023-06-10,73.67,74.2,72.68,73.07,31360596.0
2023-06-11,73.67,74.2,72.68,73.07,31360596.0
2023-06-12,73.67,74.2,72.68,73.07,31360596.0
2023-06-13,73.67,74.2,72.68,73.07,31360596.0
2023-06-14,73.67,74.2,72.68,73.07,31360596.0
2023-06-15,73.67,74.2,72.68,73.07,31360596.0
2023-06-16,73.67,74.2,72.68,73.07,31360596.0
2023-06-17,73.67,74.2,72.68,73.07,31360596.0
2023-06-18,73.67,74.2,72.68,73.07,31360596.0
2023-06-19,73.67,74.2,72.68,73.07,31360596.0
2023-06-20,73.67,74.2,72.68,73.07,31360596.0
2023-06-21,73.67,74.2,72.68,73.07,31360596.0
2023-06-22,73.67,74.2,72.68,73.07,31360596.0
2023-06-23,73.67,74.2,72.68,73.07,31360596.0
2023-06-24,73.67,74.2,72.68,73.07,31360596.0
2023-06-25,73.67,74.2,72.68,73.07,31360596.0
2023-06-26,73.67,74.2,72.68,73.07,31360596.0
2023-06-27,73.67,74.2,72.68,73.07,31360596.0
2023-06-28,73.67,74.2,72.68,73.07,31360596.0
2023-06-29,73.67,74.2,72.68,73.07,31360596.0
2023-06-30,73.67,74.2,72.68,73.07,31360596.0
2023-07-01,73.67,74.2,72.68,73.07,31360596.0
2023-07-02,73.67,74.2,72.68,73.07,31360596.0
2023-07-03,73.67,74.2,72.68,73.07,31360596.0
2023-07-04,73.67,74.2,72.68,73.07,31360596.0
2023-07-05,73.67,74.2,72.68,73.07,31360596.0
2023-07-06,73.67,74.2,72.68,73.07,31360596.0
2023-07-07,73.67,74.2,72.68,73.07,31360596.0
2023-07-08,73.67,74.2,72.68,73.07,31360596.0
2023-07-09,73.67,74.2,72.68,73.07,31360596.0
2023-07-10,73.67,74.2,72.68,73.07,31360596.0
2023-07-11,73.67,74.2,72.68,73.07,31360596.0
2023-07-12,73.67,74.2,72.68,73.07,31360596.0
2023-07-13,73.67,74.2,72.68,73.07,31360596.0
2023-07-14,73.67,74.2,72.68,73.07,31360596.0
2023-07-15,73.67,74.2,72.68,73.07,31360596.0
2023-07-16,73.67,74.2,72.68,73.07,31360596.0
2023-07-17,73.67,74.2,72.68,73.07,31360596.0
2023-07-18,73.67,74.2,72.68,73.07,31360596.0
2023-07-19,73.67,74.2,72.68,73.07,31360596.0
2023-07-20,73.67,74.2,72.68,73.07,31360596.0
2023-07-21,73.67,74.2,72.68,73.07,31360596.0
2023-07-22,73.67,74.2,72.68,73.07,31360596.0
2023-07-23,73.67,74.2,72.68,73.07,31360596.0
2023-07-24,73.67,74.2,72.68,73.07,31360596.0
2023-07-25,73.67,74.2,72.68,73.07,31360596.0
2023-07-26,73.67,74.2,72.68,73.07,31360596.0
2023-07-27,73.67,74.2,72.68,73.07,31360596.0
2023-07-28,73.67,74.2,72.68,73.07,31360596.0
2023-07-29,73.67,74.2,72.68,73.07,31360596.0
2023-07-30,73.67,74.2,72.68,73.07,31360596.0
2023-07-31,73.67,74.2,72.68,73.07,31360596.0
2023-08-01,73.67,74.2,72.68,73.07,31360596.0
2023-08-02,73.67,74.2,72.68,73.07,31360596.0
2023-08-03,73.67,74.2,72.68,73.07,31360596.0
2023-08-04,73.67,74.2,72.68,73.07,31360596.0
2023-08-05,73.67,74.2,72.68,73.07,31360596.0
2023-08-06,73.67,74.2,72.68,73.07,31360596.0
2023-08-07,73.67,74.2,72.68,73.07,31360596.0
2023-08-08,73.67,74.2,72.68,73.07,31360596.0
2023-08-09,73.67,74.2,72.68,73.07,31360596.0
2023-08-10,73.67,74.2,72.68,73.07,31360596.0
2023-08-11,73.67,74.2,72.68,73.07,31360596.0
2023-08-12,73.67,74.2,72.68,73.07,31360596.0
2023-08-13,73.67,74.2,72.68,73.07,31360596.0
2023-08-14,73.67,74.2,72.68,73.07,31360596.0
2023-08-15,73.67,74.2,72.68,73.07,31360596.0
2023-08-16,73.67,74.2,72.68,73.07,31360596.0
2023-08-17,73.67,74.2,72.68,73.07,31360596.0
2023-08-18,73.67,74.2,72.68,73.07,31360596.0
2023-08-19,73.67,74.2,72.68,73.07,31360596.0
2023-08-20,73.67,74.2,72.68,73.07,31360596.0
2023-08-21,73.67,74.2,72.68,73.07,31360596.0
2023-08-22,73.67,74.2,72.68,73.07,31360596.0
2023-08-23,73.67,74.2,72.68,73.07,31360596.0
2023-08-24,73.67,74.2,72.68,73.07,31360596.0
2023-08-25,73.67,74.2,72.68,73.07,31360596.0
2023-08-26,73.67,74.2,72.68,73.07,31360596.0
2023-08-27,73.67,74.2,72.68,73.07,31360596.0
2023-08-28,73.67,74.2,72.68,73.07,31360596.0
2023-08-29,73.67,74.2,72.68,73.07,31360596.0
2023-08-30,73.67,74.2,72.68,73.07,31360596.0
2023-08-31,73.67,74.2,72.68,73.07,31360596.0
2023-09-01,73.67,74.2,72.68,73.07,31360596.0
2023-09-02,73.67,74.2,72.68,73.07,31360596.0
2023-09-03,73.67,74.2,72.68,73.07,31360596.0
2023-09-04,73.67,74.2,72.68,73.07,31360596.0
2023-09-05,73.67,74.2,72.68,73.07,31360596.0
2023-09-06,73.67,74.2,72.68,73.07,31360596.0
2023-09-07,73.67,74.2,72.68,73.07,31360596.0
2023-09-08,73.67,74.2,72.68,73.07,31360596.0
2023-09-09,73.67,74.2,72.68,73.07,31360596.0
2023-09-10,73.67,74.2,72.68,73.07,31360596.0
2023-09-11,73.67,74.2,72.68,73.07,31360596.0
2023-09-12,73.67,74.2,72.68,73.07,31360596.0
2023-09-13,73.67,74.2,72.68,73.07,31360596.0
2023-09-14,73.67,74.2,72.68,73.07,31360596.0
2023-09-15,73.67,74.2,72.68,73.07,31360596.0
2023-09-16,73.67,74.2,72.68,73.07,31360596.0
2023-09-17,73.67,74.2,72.68,73.07,31360596.0
2023-09-18,73.67,74.2,72.68,73.07,31360596.0
2023-09-19,73.67,74.2,72.68,73.07,31360596.0
2023-09-20,73.67,74.2,72.68,73.07,31360596.0
2023-09-21,73.67,74.2,72.68,73.07,31360596.0
2023-09-22,73.67,74.2,72.68,73.07,31360596.0
2023-09-23,73.67,74.2,72.68,73.07,31360596.0
2023-09-24,73.67,74.2,72.68,73.07,31360596.0
2023-09-25,73.67,74.2,72.68,73.07,31360596.0
2023-09-26,73.67,74.2,72.68,73.07,31360596.0
2023-09-27,73.67,74.2,72.68,73.07,31360596.0
2023-09-28,73.67,74.2,72.68,73.07,31360596.0
2023-09-29,73.67,74.2,72.68,73.07,31360596.0
2023-09-30,73.67,74.2,72.68,73.07,31360596.0
2023-10-01,73.67,74.2,72.68,73.07,31360596.0
2023-10-02,73.67,74.2,72.68,73.07,31360596.0
2023-10-03,73.67,74.2,72.68,73.07,31360596.0
2023-10-04,73.67,74.2,72.68,73.07,31360596.0
2023-10-05,73.67,74.2,72.68,73.07,31360596.0
2023-10-06,73.67,74.2,72.68,73.07,31360596.0
2023-10-07,73.67,74.2,72.68,73.07,31360596.0
2023-10-08,73.67,74.2,72.68,73.07,31360596.0
2023-10-09,73.67,74.2,72.68,73.07,31360596.0
2023-10-10,73.67,74.2,72.68,73.07,31360596.0
2023-10-11,73.67,74.2,72.68,73.07,31360596.0
2023-10-12,73.67,74.2,72.68,73.07,31360596.0
2023-10-13,73.67,74.2,72.68,73.07,31360596.0
2023-10-14,73.67,74.2,72.68,73.07,31360596.0
2023-10-15,73.67,74.2,72.68,73.07,31360596.0
2023-10-16,73.67,74.2,72.68,73.07,31360596.0
2023-10-17,73.67,74.2,72.68,73.07,31360596.0
2023-10-18,73.67,74.2,72.68,73.07,31360596.0
2023-10-19,73.67,74.2,72.68,73.07,31360596.0
2023-10-20,73.67,74.2,72.68,73.07,31360596.0
2023-10-21,73.67,74.2,72.68,73.07,31360596.0
2023-10-22,73.67,74.2,72.68,73.07,31360596.0
2023-10-23,73.67,74.2,72.68,73.07,31360596.0
2023-10-24,73.67,74.2,72.68,73.07,31360596.0
2023-10-25,73.67,74.2,72.68,73.07,31360596.0
2023-10-26,73.67,74.2,72.68,73.07,31360596.0
2023-10-27,73.67,74.2,72.68,73.07,31360596.0
2023-10-28,73.67,74.2,72.68,73.07,31360596.0
2023-10-29,73.67,74.2,72.68,73.07,31360596.0
2023-10-30,73.67,74.2,72.68,73.07,31360596.0
2023-10-31,73.67,74.2,72.68,73.07,31360596.0
2023-11-01,73.67,74.2,72.68,73.07,31360596.0
2023-11-02,73.67,74.2,72.68,73.07,31360596.0
2023-11-03,73.67,74.2,72.68,73.07,31360596.0
2023-11-04,73.67,74.2,72.68,73.07,31360596.0
2023-11-05,73.67,74.2,72.68,73.07,31360596.0
2023-11-06,73.67,74.2,72.68,73.07,31360596.0
2023-11-07,73.67,74.2,72.68,73.07,31360596.0
2023-11-08,73.67,74.2,72.68,73.07,31360596.0
2023-11-09,73.67,74.2,72.68,73.07,31360596.0
2023-11-10,73.67,74.2,72.68,73.07,31360596.0
2023-11-11,73.67,74.2,72.68,73.07,31360596.0
2023-11-12,73.67,74.2,72.68,73.07,31360596.0
2023-11-13,73.67,74.2,72.68,73.07,31360596.0
2023-11-14,73.67,74.2,72.68,73.07,31360596.0
2023-11-15,73.67,74.2,72.68,73.07,31360596.0
2023-11-16,73.67,74.2,72.68,73.07,31360596.0
2023-11-17,73.67,74.2,72.68,73.07,31360596.0
2023-11-18,73.67,74.2,72.68,73.07,31360596.0
2023-11-19,73.67,74.2,72.68,73.07,31360596.0
2023-11-20,73.67,74.2,72.68,73.07,31360596.0
2023-11-21,73.67,74.2,72.68,73.07,31360596.0
2023-11-22,73.67,74.2,72.68,73.07,31360596.0
2023-11-23,73.67,74.2,72.68,73.07,31360596.0
2023-11-24,73.67,74.2,72.68,73.07,31360596.0
2023-11-25,73.67,74.2,72.68,73.07,31360596.0
2023-11-26,73.67,74.2,72.68,73.07,31360596.0
2023-11-27,73.67,74.2,72.68,73.07,31360596.0
2023-11-28,73.67,74.2,72.68,73.07,31360596.0
2023-11-29,73.67,74.2,72.68,73.07,31360596.0
2023-11-30,73.67,74.2,72.68,73.07,31360596.0
2023-12-01,73.67,74.2,72.68,73.07,31360596.0
2023-12-02,73.67,74.2,72.68,73.07,31360596.0
2023-12-03,73.67,74.2,72.68,73.07,31360596.0
2023-12-04,73.67,74.2,72.68,73.07,31360596.0
2023-12-05,73.67,74.2,72.68,73.07,31360596.0
2023-12-06,73.67,74.2,72.68,73.07,31360596.0
2023-12-07,73.67,74.2,72.68,73.07,31360596.0
2023-12-08,73.67,74.2,72.68,73.07,31360596.0
2023-12-09,73.67,74.2,72.68,73.07,31360596.0
2023-12-10,73.67,74.2,72.68,73.07,31360596.0
2023-12-11,73.67,74.2,72.68,73.07,31360596.0
2023-12-12,73.67,74.2,72.68,73.07,31360596.0
2023-12-13,73.67,74.2,72.68,73.07,31360596.0
2023-12-14,73.67,74.2,72.68,73.07,31360596.0
2023-12-15,73.67,74.2,72.68,73.07,31360596.0
2023-12-16,73.67,74.2,72.68,73.07,31360596.0
2023-12-17,73.67,74.2,72.68,73.07,31360596.0
2023-12-18,73.67,74.2,72.68,73.07,31360596.0
2023-12-19,73.67,74.2,72.68,73.07,31360596.0
2023-12-20,73.67,74.2,72.68,73.07,31360596.0
2023-12-21,73.67,74.2,72.68,73.07,31360596.0
2023-12-22,73.67,74.2,72.68,73.07,31360596.0
2023-12-23,73.67,74.2,72.68,73.07,31360596.0
2023-12-24,73.67,74.2,72.68,73.07,31360596.0
2023-12-25,73.67,74.2,72.68,73.07,31360596.0
2023-12-26,73.67,74.2,72.68,73.07,31360596.0
2023-12-27,73.67,74.2,72.68,73.07,31360596.0
2023-12-28,73.67,74.2,72.68,73.07,31360596.0
2023-12-29,73.67,74.2,72.68,73.07,31360596.0
2023-12-30,73.67,74.2,72.68,73.07,31360596.0
2023-12-31,73.67,74.2,72.68,73.07,31360596.0
2024-01-01,73.67,74.2,72.68,73.07,31360596.0
2024-01-02,73.67,74.2,72.68,73.07,31360596.0
2024-01-03,73.67,74.2,72.68,73.07,31360596.0
2024-01-04,73.67,74.2,72.68,73.07,31360596.0
2024-01-05,73.67,74.2,72.68,73.07,31360596.0
2024-01-06,73.67,74.2,72.68,73.07,31360596.0
2024-01-07,73.67,74.2,72.68,73.07,31360596.0
2024-01-08,73.67,74.2,72.68,73.07,31360596.0
2024-01-09,73.67,74.2,72.68,73.07,31360596.0
2024-01-10,73.67,74.2,72.68,73.07,31360596.0
2024-01-11,73.67,74.2,72.68,73.07,31360596.0
2024-01-12,73.67,74.2,72.68,73.07,31360596.0
2024-01-13,73.67,74.2,72.68,73.07,31360596.0
2024-01-14,73.67,74.2,72.68,73.07,31360596.0
2024-01-15,73.67,74.2,72.68,73.07,31360596.0
2024-01-16,73.67,74.2,72.68,73.07,31360596.0
2024-01-17,73.67,74.2,72.68,73.07,31360596.0
2024-01-18,73.67,74.2,72.68,73.07,31360596.0
