,ULTA US Equity
,BEST_SALES
2019-01-01,11809.0
2019-01-02,11809.0
2019-01-03,11809.0
2019-01-04,11809.0
2019-01-05,11809.0
2019-01-06,11809.0
2019-01-07,11809.0
2019-01-08,11809.0
2019-01-09,11809.0
2019-01-10,11809.0
2019-01-11,11809.0
2019-01-12,11809.0
2019-01-13,11809.0
2019-01-14,11809.0
2019-01-15,11809.0
2019-01-16,11809.0
2019-01-17,11809.0
2019-01-18,11809.0
2019-01-19,11809.0
2019-01-20,11809.0
2019-01-21,11809.0
2019-01-22,11809.0
2019-01-23,11809.0
2019-01-24,11809.0
2019-01-25,11809.0
2019-01-26,11809.0
2019-01-27,11809.0
2019-01-28,11809.0
2019-01-29,11809.0
2019-01-30,11809.0
2019-01-31,11809.0
2019-02-01,11809.0
2019-02-02,11809.0
2019-02-03,11809.0
2019-02-04,11809.0
2019-02-05,11809.0
2019-02-06,11809.0
2019-02-07,11809.0
2019-02-08,11809.0
2019-02-09,11809.0
2019-02-10,11809.0
2019-02-11,11809.0
2019-02-12,11809.0
2019-02-13,11809.0
2019-02-14,11809.0
2019-02-15,11809.0
2019-02-16,11809.0
2019-02-17,11809.0
2019-02-18,11809.0
2019-02-19,11809.0
2019-02-20,11809.0
2019-02-21,11809.0
2019-02-22,11809.0
2019-02-23,11809.0
2019-02-24,11809.0
2019-02-25,11809.0
2019-02-26,11809.0
2019-02-27,11809.0
2019-02-28,11809.0
2019-03-01,11809.0
2019-03-02,11809.0
2019-03-03,11809.0
2019-03-04,11809.0
2019-03-05,11809.0
2019-03-06,11809.0
2019-03-07,11809.0
2019-03-08,11809.0
2019-03-09,11809.0
2019-03-10,11809.0
2019-03-11,11809.0
2019-03-12,11809.0
2019-03-13,11809.0
2019-03-14,11809.0
2019-03-15,11809.0
2019-03-16,11809.0
2019-03-17,11809.0
2019-03-18,11809.0
2019-03-19,11809.0
2019-03-20,11809.0
2019-03-21,11809.0
2019-03-22,11809.0
2019-03-23,11809.0
2019-03-24,11809.0
2019-03-25,11809.0
2019-03-26,11809.0
2019-03-27,11809.0
2019-03-28,11809.0
2019-03-29,11809.0
2019-03-30,11809.0
2019-03-31,11809.0
2019-04-01,11809.0
2019-04-02,11809.0
2019-04-03,11809.0
2019-04-04,11809.0
2019-04-05,11809.0
2019-04-06,11809.0
2019-04-07,11809.0
2019-04-08,11809.0
2019-04-09,11809.0
2019-04-10,11809.0
2019-04-11,11809.0
2019-04-12,11809.0
2019-04-13,11809.0
2019-04-14,11809.0
2019-04-15,11809.0
2019-04-16,11809.0
2019-04-17,11809.0
2019-04-18,11809.0
2019-04-19,11809.0
2019-04-20,11809.0
2019-04-21,11809.0
2019-04-22,11809.0
2019-04-23,11809.0
2019-04-24,11809.0
2019-04-25,11809.0
2019-04-26,11809.0
2019-04-27,11809.0
2019-04-28,11809.0
2019-04-29,11809.0
2019-04-30,11809.0
2019-05-01,11809.0
2019-05-02,11809.0
2019-05-03,11809.0
2019-05-04,11809.0
2019-05-05,11809.0
2019-05-06,11809.0
2019-05-07,11809.0
2019-05-08,11809.0
2019-05-09,11809.0
2019-05-10,11809.0
2019-05-11,11809.0
2019-05-12,11809.0
2019-05-13,11809.0
2019-05-14,11809.0
2019-05-15,11809.0
2019-05-16,11809.0
2019-05-17,11809.0
2019-05-18,11809.0
2019-05-19,11809.0
2019-05-20,11809.0
2019-05-21,11809.0
2019-05-22,11809.0
2019-05-23,11809.0
2019-05-24,11809.0
2019-05-25,11809.0
2019-05-26,11809.0
2019-05-27,11809.0
2019-05-28,11809.0
2019-05-29,11809.0
2019-05-30,11809.0
2019-05-31,11809.0
2019-06-01,11809.0
2019-06-02,11809.0
2019-06-03,11809.0
2019-06-04,11809.0
2019-06-05,11809.0
2019-06-06,11809.0
2019-06-07,11809.0
2019-06-08,11809.0
2019-06-09,11809.0
2019-06-10,11809.0
2019-06-11,11809.0
2019-06-12,11809.0
2019-06-13,11809.0
2019-06-14,11809.0
2019-06-15,11809.0
2019-06-16,11809.0
2019-06-17,11917.5
2019-06-18,11917.5
2019-06-19,11917.5
2019-06-20,11917.5
2019-06-21,11917.5
2019-06-22,11917.5
2019-06-23,11917.5
2019-06-24,11917.5
2019-06-25,11917.5
2019-06-26,11917.5
2019-06-27,11917.5
2019-06-28,11917.5
2019-06-29,11917.5
2019-06-30,11917.5
2019-07-01,11917.5
2019-07-02,11917.5
2019-07-03,11917.5
2019-07-04,11917.5
2019-07-05,11917.5
2019-07-06,11917.5
2019-07-07,11917.5
2019-07-08,11917.5
2019-07-09,11917.5
2019-07-10,11917.5
2019-07-11,11917.5
2019-07-12,11917.5
2019-07-13,11917.5
2019-07-14,11917.5
2019-07-15,11917.5
2019-07-16,11917.5
2019-07-17,11917.5
2019-07-18,11917.5
2019-07-19,11917.5
2019-07-20,11917.5
2019-07-21,11917.5
2019-07-22,11917.5
2019-07-23,11917.5
2019-07-24,11917.5
2019-07-25,11917.5
2019-07-26,11917.5
2019-07-27,11917.5
2019-07-28,11917.5
2019-07-29,11917.5
2019-07-30,11917.5
2019-07-31,11917.5
2019-08-01,11917.5
2019-08-02,11917.5
2019-08-03,11917.5
2019-08-04,11917.5
2019-08-05,11917.5
2019-08-06,11917.5
2019-08-07,11917.5
2019-08-08,11917.5
2019-08-09,11917.5
2019-08-10,11917.5
