,SR US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,4.82
2020-11-20,4.82
2020-11-21,4.82
2020-11-22,4.82
2020-11-23,4.82
2020-11-24,4.82
2020-11-25,4.82
2020-11-26,4.82
2020-11-27,4.82
2020-11-28,4.82
2020-11-29,4.82
2020-11-30,4.82
2020-12-01,4.82
2020-12-02,4.82
2020-12-03,4.82
2020-12-04,4.82
2020-12-05,4.82
2020-12-06,4.82
2020-12-07,4.82
2020-12-08,4.82
2020-12-09,4.82
2020-12-10,4.82
2020-12-11,4.82
2020-12-12,4.82
2020-12-13,4.82
2020-12-14,4.82
2020-12-15,4.82
2020-12-16,4.82
2020-12-17,4.82
2020-12-18,4.82
2020-12-19,4.82
2020-12-20,4.82
2020-12-21,4.82
2020-12-22,4.82
2020-12-23,4.82
2020-12-24,4.82
2020-12-25,4.82
2020-12-26,4.82
2020-12-27,4.82
2020-12-28,4.82
2020-12-29,4.82
2020-12-30,4.82
2020-12-31,4.82
2021-01-01,4.82
2021-01-02,4.82
2021-01-03,4.82
2021-01-04,4.82
2021-01-05,4.82
2021-01-06,4.82
2021-01-07,4.82
2021-01-08,4.82
2021-01-09,4.82
2021-01-10,4.82
2021-01-11,4.82
2021-01-12,4.82
2021-01-13,4.82
2021-01-14,4.82
2021-01-15,4.82
2021-01-16,4.82
2021-01-17,4.82
2021-01-18,4.82
2021-01-19,4.82
2021-01-20,4.865
2021-01-21,4.865
2021-01-22,4.865
2021-01-23,4.865
2021-01-24,4.865
2021-01-25,4.865
2021-01-26,4.865
2021-01-27,4.865
2021-01-28,4.865
2021-01-29,4.865
2021-01-30,4.865
2021-01-31,4.865
2021-02-01,4.865
2021-02-02,4.87
2021-02-03,4.87
2021-02-04,4.87
2021-02-05,4.86
2021-02-06,4.86
2021-02-07,4.86
2021-02-08,4.86
2021-02-09,4.86
2021-02-10,4.86
2021-02-11,4.86
2021-02-12,4.86
2021-02-13,4.86
2021-02-14,4.86
2021-02-15,4.86
2021-02-16,4.86
2021-02-17,4.86
2021-02-18,4.86
2021-02-19,4.86
2021-02-20,4.86
2021-02-21,4.86
2021-02-22,4.86
2021-02-23,4.86
2021-02-24,4.86
2021-02-25,4.86
2021-02-26,4.86
2021-02-27,4.86
2021-02-28,4.86
2021-03-01,4.86
2021-03-02,4.86
2021-03-03,4.86
2021-03-04,4.86
2021-03-05,4.86
2021-03-06,4.86
2021-03-07,4.86
2021-03-08,4.86
2021-03-09,4.86
2021-03-10,4.86
2021-03-11,4.86
2021-03-12,4.86
2021-03-13,4.86
2021-03-14,4.86
2021-03-15,4.86
2021-03-16,4.86
2021-03-17,4.86
2021-03-18,4.86
2021-03-19,4.86
2021-03-20,4.86
2021-03-21,4.86
2021-03-22,4.86
2021-03-23,4.86
2021-03-24,4.86
2021-03-25,4.86
2021-03-26,4.86
2021-03-27,4.86
2021-03-28,4.86
2021-03-29,4.86
2021-03-30,4.86
2021-03-31,4.86
2021-04-01,4.86
2021-04-02,4.86
2021-04-03,4.86
2021-04-04,4.86
2021-04-05,4.86
2021-04-06,4.86
2021-04-07,4.86
2021-04-08,4.86
2021-04-09,4.86
2021-04-10,4.86
2021-04-11,4.86
2021-04-12,4.86
2021-04-13,4.86
2021-04-14,4.86
2021-04-15,4.913
2021-04-16,4.913
2021-04-17,4.913
2021-04-18,4.913
2021-04-19,4.915
2021-04-20,4.915
2021-04-21,4.915
2021-04-22,4.915
2021-04-23,4.915
2021-04-24,4.915
2021-04-25,4.915
2021-04-26,4.915
2021-04-27,4.915
2021-04-28,4.915
2021-04-29,4.915
2021-04-30,4.915
2021-05-01,4.915
2021-05-02,4.915
2021-05-03,4.915
2021-05-04,4.915
2021-05-05,4.915
2021-05-06,4.915
2021-05-07,4.903
2021-05-08,4.903
2021-05-09,4.903
2021-05-10,4.903
2021-05-11,4.947
2021-05-12,4.947
2021-05-13,4.947
2021-05-14,4.947
2021-05-15,4.947
2021-05-16,4.947
2021-05-17,4.947
2021-05-18,4.947
2021-05-19,4.947
2021-05-20,4.947
2021-05-21,4.947
2021-05-22,4.947
2021-05-23,4.947
2021-05-24,4.947
2021-05-25,4.947
2021-05-26,4.937
2021-05-27,4.937
2021-05-28,4.937
2021-05-29,4.937
2021-05-30,4.937
2021-05-31,4.937
2021-06-01,4.937
2021-06-02,4.937
2021-06-03,4.937
2021-06-04,4.937
2021-06-05,4.937
2021-06-06,4.937
2021-06-07,4.937
2021-06-08,4.937
2021-06-09,4.937
2021-06-10,4.937
2021-06-11,4.937
2021-06-12,4.937
2021-06-13,4.937
2021-06-14,4.937
2021-06-15,4.937
2021-06-16,4.937
