,SNA US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,14.94
2020-04-25,14.94
2020-04-26,14.94
2020-04-27,14.94
2020-04-28,14.94
2020-04-29,14.94
2020-04-30,14.94
2020-05-01,14.94
2020-05-02,14.94
2020-05-03,14.94
2020-05-04,14.94
2020-05-05,14.94
2020-05-06,14.94
2020-05-07,14.94
2020-05-08,14.94
2020-05-09,14.94
2020-05-10,14.94
2020-05-11,14.94
2020-05-12,14.94
2020-05-13,14.94
2020-05-14,14.94
2020-05-15,14.94
2020-05-16,14.94
2020-05-17,14.94
2020-05-18,14.94
2020-05-19,14.94
2020-05-20,14.94
2020-05-21,14.94
2020-05-22,14.94
2020-05-23,14.94
2020-05-24,14.94
2020-05-25,14.94
2020-05-26,14.94
2020-05-27,14.94
2020-05-28,14.94
2020-05-29,14.94
2020-05-30,14.94
2020-05-31,14.94
2020-06-01,14.94
2020-06-02,14.94
2020-06-03,14.94
2020-06-04,14.94
2020-06-05,14.94
2020-06-06,14.94
2020-06-07,14.94
2020-06-08,14.94
2020-06-09,14.94
2020-06-10,14.94
2020-06-11,14.94
2020-06-12,14.94
2020-06-13,14.94
2020-06-14,14.94
2020-06-15,14.94
2020-06-16,14.94
2020-06-17,14.94
2020-06-18,14.94
2020-06-19,14.94
2020-06-20,14.94
2020-06-21,14.94
2020-06-22,14.94
2020-06-23,14.94
2020-06-24,14.94
2020-06-25,14.94
2020-06-26,14.94
2020-06-27,14.94
2020-06-28,14.94
2020-06-29,14.94
2020-06-30,14.94
2020-07-01,14.94
2020-07-02,14.94
2020-07-03,14.94
2020-07-04,14.94
2020-07-05,14.94
2020-07-06,14.94
2020-07-07,14.94
2020-07-08,14.94
2020-07-09,14.94
2020-07-10,14.94
2020-07-11,14.94
2020-07-12,14.94
2020-07-13,14.94
2020-07-14,14.94
2020-07-15,14.94
2020-07-16,14.94
2020-07-17,14.94
2020-07-18,14.94
2020-07-19,14.94
2020-07-20,14.94
2020-07-21,14.94
2020-07-22,14.94
2020-07-23,14.94
2020-07-24,14.94
2020-07-25,14.94
2020-07-26,14.94
2020-07-27,14.94
2020-07-28,14.94
2020-07-29,14.94
2020-07-30,14.94
2020-07-31,14.94
2020-08-01,14.94
2020-08-02,14.94
2020-08-03,14.94
2020-08-04,14.94
2020-08-05,14.94
2020-08-06,14.94
2020-08-07,14.94
2020-08-08,14.94
2020-08-09,14.94
2020-08-10,14.94
2020-08-11,14.94
2020-08-12,14.94
2020-08-13,14.94
2020-08-14,14.94
2020-08-15,14.94
2020-08-16,14.94
2020-08-17,14.94
2020-08-18,14.94
2020-08-19,14.46
2020-08-20,14.46
2020-08-21,14.46
2020-08-22,14.46
2020-08-23,14.46
2020-08-24,14.46
2020-08-25,14.46
2020-08-26,14.46
2020-08-27,14.46
2020-08-28,14.46
2020-08-29,14.46
2020-08-30,14.46
2020-08-31,14.46
2020-09-01,14.46
2020-09-02,14.46
2020-09-03,14.46
2020-09-04,14.46
2020-09-05,14.46
2020-09-06,14.46
2020-09-07,14.46
2020-09-08,14.46
2020-09-09,14.46
2020-09-10,14.46
2020-09-11,14.46
2020-09-12,14.46
2020-09-13,14.46
2020-09-14,14.46
2020-09-15,14.46
2020-09-16,14.46
2020-09-17,14.46
2020-09-18,14.46
2020-09-19,14.46
2020-09-20,14.46
2020-09-21,14.46
2020-09-22,14.46
2020-09-23,14.46
2020-09-24,14.46
2020-09-25,14.46
2020-09-26,14.46
2020-09-27,14.46
2020-09-28,14.46
2020-09-29,14.46
2020-09-30,14.46
2020-10-01,14.46
2020-10-02,14.46
2020-10-03,14.46
2020-10-04,14.46
2020-10-05,14.46
2020-10-06,14.46
2020-10-07,14.46
2020-10-08,14.46
2020-10-09,14.46
2020-10-10,14.46
2020-10-11,14.46
2020-10-12,14.46
2020-10-13,14.46
2020-10-14,14.46
2020-10-15,14.46
2020-10-16,14.46
2020-10-17,14.46
2020-10-18,14.46
2020-10-19,14.46
2020-10-20,14.46
2020-10-21,14.46
2020-10-22,14.46
2020-10-23,14.46
2020-10-24,14.46
2020-10-25,14.46
2020-10-26,14.46
2020-10-27,14.46
2020-10-28,14.46
2020-10-29,14.46
2020-10-30,14.46
2020-10-31,14.46
2020-11-01,14.46
2020-11-02,14.46
2020-11-03,14.46
2020-11-04,14.46
2020-11-05,14.46
2020-11-06,14.46
2020-11-07,14.46
2020-11-08,14.46
2020-11-09,14.46
2020-11-10,14.46
2020-11-11,14.46
2020-11-12,14.46
2020-11-13,14.46
2020-11-14,14.46
2020-11-15,14.46
2020-11-16,14.46
2020-11-17,14.46
2020-11-18,14.46
2020-11-19,14.46
2020-11-20,14.46
2020-11-21,14.46
2020-11-22,14.46
2020-11-23,14.46
2020-11-24,14.46
2020-11-25,14.46
2020-11-26,14.46
2020-11-27,14.46
2020-11-28,14.46
2020-11-29,14.46
2020-11-30,14.46
2020-12-01,14.46
2020-12-02,14.46
2020-12-03,14.46
2020-12-04,14.46
2020-12-05,14.46
2020-12-06,14.46
2020-12-07,14.46
2020-12-08,14.46
2020-12-09,14.46
2020-12-10,14.46
2020-12-11,14.46
2020-12-12,14.46
2020-12-13,14.46
2020-12-14,14.46
2020-12-15,14.46
2020-12-16,14.46
2020-12-17,14.46
2020-12-18,14.46
2020-12-19,14.46
2020-12-20,14.46
2020-12-21,14.46
2020-12-22,14.46
2020-12-23,14.46
2020-12-24,14.46
2020-12-25,14.46
2020-12-26,14.46
2020-12-27,14.46
2020-12-28,14.46
2020-12-29,14.46
2020-12-30,14.46
2020-12-31,14.46
2021-01-01,14.46
2021-01-02,14.46
2021-01-03,14.46
2021-01-04,14.46
2021-01-05,14.46
2021-01-06,14.46
2021-01-07,14.46
2021-01-08,14.46
2021-01-09,14.46
2021-01-10,14.46
2021-01-11,14.46
2021-01-12,14.46
2021-01-13,14.46
2021-01-14,14.46
2021-01-15,14.46
2021-01-16,14.46
2021-01-17,14.46
2021-01-18,14.46
2021-01-19,14.46
2021-01-20,14.46
2021-01-21,14.46
2021-01-22,14.46
2021-01-23,14.46
2021-01-24,14.46
2021-01-25,14.46
2021-01-26,14.46
2021-01-27,14.46
2021-01-28,14.46
2021-01-29,14.46
2021-01-30,14.46
2021-01-31,14.46
2021-02-01,14.46
2021-02-02,14.46
2021-02-03,14.46
2021-02-04,14.46
2021-02-05,14.46
2021-02-06,14.05
2021-02-07,14.05
2021-02-08,14.05
2021-02-09,14.05
2021-02-10,14.05
2021-02-11,14.05
2021-02-12,14.05
2021-02-13,14.05
2021-02-14,14.05
2021-02-15,14.05
2021-02-16,14.05
2021-02-17,14.05
2021-02-18,14.05
2021-02-19,14.05
2021-02-20,14.05
2021-02-21,14.05
2021-02-22,14.05
2021-02-23,14.05
2021-02-24,14.05
2021-02-25,14.05
2021-02-26,14.05
2021-02-27,14.05
2021-02-28,14.05
2021-03-01,14.05
2021-03-02,14.05
2021-03-03,14.05
2021-03-04,14.05
2021-03-05,14.05
2021-03-06,14.05
2021-03-07,14.05
2021-03-08,14.05
2021-03-09,14.05
2021-03-10,14.05
2021-03-11,14.05
2021-03-12,14.05
2021-03-13,14.05
2021-03-14,14.05
2021-03-15,14.05
2021-03-16,14.05
2021-03-17,14.05
2021-03-18,14.05
2021-03-19,14.05
2021-03-20,14.05
2021-03-21,14.05
2021-03-22,14.05
2021-03-23,14.05
2021-03-24,14.05
2021-03-25,14.05
2021-03-26,14.05
2021-03-27,14.05
2021-03-28,14.05
2021-03-29,14.05
2021-03-30,14.05
2021-03-31,14.05
2021-04-01,14.05
2021-04-02,14.05
2021-04-03,14.05
2021-04-04,14.05
2021-04-05,14.05
2021-04-06,14.05
2021-04-07,14.05
2021-04-08,14.05
2021-04-09,14.05
2021-04-10,14.05
2021-04-11,14.05
2021-04-12,14.05
2021-04-13,14.05
2021-04-14,14.05
2021-04-15,14.05
2021-04-16,14.05
2021-04-17,14.05
2021-04-18,14.05
2021-04-19,14.05
2021-04-20,14.05
