,VZ US Equity
,BEST_EPS
2020-01-01,5.77
2020-01-02,5.77
2020-01-03,5.77
2020-01-04,5.77
2020-01-05,5.77
2020-01-06,5.77
2020-01-07,5.77
2020-01-08,5.77
2020-01-09,5.77
2020-01-10,5.77
2020-01-11,5.77
2020-01-12,5.77
2020-01-13,5.77
2020-01-14,5.77
2020-01-15,5.77
2020-01-16,5.77
2020-01-17,5.77
2020-01-18,5.77
2020-01-19,5.77
2020-01-20,5.77
2020-01-21,5.77
2020-01-22,5.77
2020-01-23,5.77
2020-01-24,5.77
2020-01-25,5.77
2020-01-26,5.77
2020-01-27,5.77
2020-01-28,5.77
2020-01-29,5.77
2020-01-30,5.69
2020-01-31,5.69
2020-02-01,5.69
2020-02-02,5.69
2020-02-03,5.69
2020-02-04,5.69
2020-02-05,5.69
2020-02-06,5.69
2020-02-07,5.69
2020-02-08,5.69
2020-02-09,5.69
2020-02-10,5.69
2020-02-11,5.69
2020-02-12,5.69
2020-02-13,5.69
2020-02-14,5.69
2020-02-15,5.69
2020-02-16,5.69
2020-02-17,5.69
2020-02-18,5.69
2020-02-19,5.69
2020-02-20,5.69
2020-02-21,5.69
2020-02-22,5.69
2020-02-23,5.69
2020-02-24,5.69
2020-02-25,5.69
2020-02-26,5.69
2020-02-27,5.69
2020-02-28,5.69
2020-02-29,5.69
2020-03-01,5.69
2020-03-02,5.69
2020-03-03,5.69
2020-03-04,5.69
2020-03-05,5.69
2020-03-06,5.69
2020-03-07,5.69
2020-03-08,5.69
2020-03-09,5.69
2020-03-10,5.69
2020-03-11,5.69
2020-03-12,5.69
2020-03-13,5.69
2020-03-14,5.69
2020-03-15,5.69
2020-03-16,5.69
2020-03-17,5.69
2020-03-18,5.69
2020-03-19,5.69
2020-03-20,5.69
2020-03-21,5.69
2020-03-22,5.69
2020-03-23,5.69
2020-03-24,5.69
2020-03-25,5.69
2020-03-26,5.69
2020-03-27,5.635
2020-03-28,5.635
2020-03-29,5.635
2020-03-30,5.635
2020-03-31,5.635
2020-04-01,5.635
2020-04-02,5.635
2020-04-03,5.63
2020-04-04,5.63
2020-04-05,5.63
2020-04-06,5.63
2020-04-07,5.585
2020-04-08,5.585
2020-04-09,5.585
2020-04-10,5.585
2020-04-11,5.585
2020-04-12,5.585
2020-04-13,5.585
2020-04-14,5.585
2020-04-15,5.585
2020-04-16,5.585
2020-04-17,5.585
2020-04-18,5.585
2020-04-19,5.585
2020-04-20,5.585
2020-04-21,5.585
2020-04-22,5.585
2020-04-23,5.585
2020-04-24,5.44
2020-04-25,5.44
2020-04-26,5.44
2020-04-27,5.44
2020-04-28,5.44
2020-04-29,5.487
2020-04-30,5.588
2020-05-01,5.46
2020-05-02,5.46
2020-05-03,5.46
2020-05-04,5.46
2020-05-05,5.46
2020-05-06,5.46
2020-05-07,5.46
2020-05-08,5.46
2020-05-09,5.46
2020-05-10,5.46
2020-05-11,5.46
2020-05-12,5.46
2020-05-13,5.46
2020-05-14,5.46
2020-05-15,5.46
2020-05-16,5.46
2020-05-17,5.46
2020-05-18,5.46
2020-05-19,5.46
2020-05-20,5.46
2020-05-21,5.46
2020-05-22,5.46
2020-05-23,5.46
2020-05-24,5.46
2020-05-25,5.46
2020-05-26,5.46
2020-05-27,5.397
2020-05-28,5.397
2020-05-29,5.397
