,MTZ US Equity
,BEST_EPS
2020-01-01,7.42
2020-01-02,7.42
2020-01-03,7.42
2020-01-04,7.42
2020-01-05,7.42
2020-01-06,7.42
2020-01-07,7.42
2020-01-08,7.42
2020-01-09,7.42
2020-01-10,7.42
2020-01-11,7.42
2020-01-12,7.42
2020-01-13,7.42
2020-01-14,7.42
2020-01-15,7.42
2020-01-16,7.42
2020-01-17,7.42
2020-01-18,7.42
2020-01-19,7.42
2020-01-20,7.42
2020-01-21,7.42
2020-01-22,7.42
2020-01-23,7.42
2020-01-24,7.42
2020-01-25,7.42
2020-01-26,7.42
2020-01-27,7.42
2020-01-28,7.42
2020-01-29,7.42
2020-01-30,7.42
2020-01-31,7.42
2020-02-01,7.42
2020-02-02,7.42
2020-02-03,7.42
2020-02-04,7.42
2020-02-05,7.42
2020-02-06,7.42
2020-02-07,7.42
2020-02-08,7.42
2020-02-09,7.42
2020-02-10,7.42
2020-02-11,7.42
2020-02-12,7.42
2020-02-13,7.42
2020-02-14,7.42
2020-02-15,7.42
2020-02-16,7.42
2020-02-17,7.42
2020-02-18,7.42
2020-02-19,7.42
2020-02-20,7.42
2020-02-21,7.42
2020-02-22,7.42
2020-02-23,7.42
2020-02-24,7.42
2020-02-25,7.42
2020-02-26,7.42
2020-02-27,7.42
2020-02-28,7.42
2020-02-29,7.42
2020-03-01,7.42
2020-03-02,7.42
2020-03-03,7.42
2020-03-04,7.42
2020-03-05,7.42
2020-03-06,7.42
2020-03-07,7.42
2020-03-08,7.42
2020-03-09,7.42
2020-03-10,7.42
2020-03-11,7.42
2020-03-12,7.42
2020-03-13,7.42
2020-03-14,7.42
2020-03-15,7.42
2020-03-16,7.42
2020-03-17,7.42
2020-03-18,7.42
2020-03-19,7.42
2020-03-20,7.42
2020-03-21,7.42
2020-03-22,7.42
2020-03-23,7.42
2020-03-24,7.42
2020-03-25,7.42
2020-03-26,7.42
2020-03-27,7.42
2020-03-28,7.42
2020-03-29,7.42
2020-03-30,7.42
2020-03-31,7.42
2020-04-01,7.42
2020-04-02,7.42
2020-04-03,7.42
2020-04-04,7.42
2020-04-05,7.42
2020-04-06,7.42
2020-04-07,7.42
2020-04-08,7.42
2020-04-09,7.42
2020-04-10,7.42
2020-04-11,7.42
2020-04-12,7.42
2020-04-13,7.42
2020-04-14,7.42
2020-04-15,7.42
2020-04-16,7.42
2020-04-17,7.42
2020-04-18,7.42
2020-04-19,7.42
2020-04-20,7.42
2020-04-21,7.42
2020-04-22,7.42
2020-04-23,7.42
2020-04-24,7.42
2020-04-25,7.42
2020-04-26,7.42
