,NUE US Equity
,BEST_EPS
2020-01-01,5.75
2020-01-02,5.75
2020-01-03,5.75
2020-01-04,5.75
2020-01-05,5.75
2020-01-06,5.75
2020-01-07,5.75
2020-01-08,5.75
2020-01-09,5.75
2020-01-10,5.75
2020-01-11,5.75
2020-01-12,5.75
2020-01-13,5.75
2020-01-14,5.75
2020-01-15,5.75
2020-01-16,5.75
2020-01-17,5.75
2020-01-18,5.75
2020-01-19,5.75
2020-01-20,5.74
2020-01-21,5.74
2020-01-22,5.74
2020-01-23,5.74
2020-01-24,5.74
2020-01-25,5.74
2020-01-26,5.74
2020-01-27,5.74
2020-01-28,5.74
2020-01-29,5.74
2020-01-30,5.74
2020-01-31,5.74
2020-02-01,5.74
2020-02-02,5.74
2020-02-03,5.74
2020-02-04,5.22
2020-02-05,5.22
2020-02-06,5.22
2020-02-07,5.22
2020-02-08,5.22
2020-02-09,5.22
2020-02-10,5.22
2020-02-11,5.22
2020-02-12,5.22
2020-02-13,5.22
2020-02-14,5.22
2020-02-15,5.22
2020-02-16,5.22
2020-02-17,5.22
2020-02-18,5.22
2020-02-19,5.22
2020-02-20,5.22
2020-02-21,5.22
2020-02-22,5.22
2020-02-23,5.22
2020-02-24,5.22
2020-02-25,5.22
2020-02-26,5.22
2020-02-27,5.22
2020-02-28,5.22
2020-02-29,5.22
2020-03-01,5.22
2020-03-02,5.22
2020-03-03,5.22
2020-03-04,5.22
2020-03-05,5.22
2020-03-06,5.22
2020-03-07,5.22
2020-03-08,5.22
2020-03-09,5.22
2020-03-10,5.22
2020-03-11,5.22
2020-03-12,5.22
2020-03-13,5.22
2020-03-14,5.22
2020-03-15,5.22
2020-03-16,5.22
2020-03-17,5.22
2020-03-18,5.22
2020-03-19,5.22
2020-03-20,5.22
2020-03-21,5.22
2020-03-22,5.22
2020-03-23,5.22
2020-03-24,5.22
2020-03-25,5.22
2020-03-26,5.22
2020-03-27,5.22
2020-03-28,5.22
2020-03-29,5.22
2020-03-30,5.22
2020-03-31,5.22
2020-04-01,5.22
2020-04-02,5.22
2020-04-03,5.22
2020-04-04,5.22
2020-04-05,5.22
2020-04-06,5.22
2020-04-07,5.22
2020-04-08,5.22
2020-04-09,5.22
2020-04-10,5.22
2020-04-11,5.22
2020-04-12,5.22
2020-04-13,5.22
2020-04-14,5.22
2020-04-15,5.22
2020-04-16,5.22
2020-04-17,5.22
2020-04-18,5.22
2020-04-19,5.22
2020-04-20,5.22
2020-04-21,5.22
2020-04-22,5.22
2020-04-23,5.22
2020-04-24,5.22
2020-04-25,5.22
2020-04-26,5.22
2020-04-27,5.22
2020-04-28,5.22
2020-04-29,5.22
2020-04-30,5.22
2020-05-01,5.22
2020-05-02,5.22
2020-05-03,5.22
2020-05-04,5.22
2020-05-05,5.22
2020-05-06,5.22
2020-05-07,5.22
2020-05-08,5.22
2020-05-09,5.22
2020-05-10,5.22
2020-05-11,5.22
2020-05-12,5.22
2020-05-13,5.22
2020-05-14,5.22
2020-05-15,5.22
2020-05-16,5.22
2020-05-17,5.22
2020-05-18,5.22
2020-05-19,5.22
2020-05-20,5.22
2020-05-21,5.22
