,SYF US Equity
2023-03-17,23.6775
2023-03-18,23.6775
2023-03-19,23.6775
2023-03-20,23.6775
2023-03-21,23.6775
2023-03-22,23.6775
2023-03-23,23.6775
2023-03-24,23.6775
2023-03-25,23.6775
2023-03-26,23.6775
2023-03-27,23.6775
2023-03-28,23.6775
2023-03-29,23.6775
2023-03-30,23.6775
2023-03-31,20.955
2023-04-01,20.955
2023-04-02,20.955
2023-04-03,20.955
2023-04-04,20.955
2023-04-05,20.955
2023-04-06,20.955
2023-04-07,20.955
2023-04-08,20.955
2023-04-09,20.955
2023-04-10,20.955
2023-04-11,20.955
2023-04-12,20.955
2023-04-13,20.955
2023-04-14,20.955
2023-04-15,20.955
2023-04-16,20.955
2023-04-17,20.955
2023-04-18,20.955
2023-04-19,20.955
2023-04-20,20.955
2023-04-21,20.955
2023-04-22,20.955
2023-04-23,20.955
2023-04-24,20.955
2023-04-25,20.955
2023-04-26,20.955
2023-04-27,20.955
2023-04-28,20.955
2023-04-29,20.955
2023-04-30,20.955
2023-05-01,20.955
2023-05-02,20.955
2023-05-03,20.955
2023-05-04,20.955
2023-05-05,20.955
2023-05-06,20.955
2023-05-07,20.955
2023-05-08,20.955
2023-05-09,20.955
2023-05-10,20.955
2023-05-11,20.955
2023-05-12,20.955
2023-05-13,20.955
2023-05-14,20.955
2023-05-15,20.955
2023-05-16,20.955
2023-05-17,20.955
2023-05-18,20.955
2023-05-19,20.955
2023-05-20,20.955
2023-05-21,20.955
2023-05-22,20.955
2023-05-23,20.955
2023-05-24,20.955
2023-05-25,20.955
2023-05-26,20.955
2023-05-27,20.955
2023-05-28,20.955
2023-05-29,20.955
2023-05-30,20.955
2023-05-31,20.955
2023-06-01,20.955
2023-06-02,20.955
2023-06-03,20.955
2023-06-04,20.955
2023-06-05,20.955
2023-06-06,20.955
2023-06-07,20.955
2023-06-08,20.955
2023-06-09,20.955
2023-06-10,20.955
2023-06-11,20.955
2023-06-12,20.955
2023-06-13,20.955
2023-06-14,20.955
2023-06-15,20.955
2023-06-16,20.955
2023-06-17,20.955
2023-06-18,20.955
2023-06-19,20.955
2023-06-20,20.955
2023-06-21,20.955
2023-06-22,20.955
2023-06-23,20.955
2023-06-24,20.955
2023-06-25,20.955
2023-06-26,20.955
2023-06-27,20.955
2023-06-28,20.955
2023-06-29,20.955
2023-06-30,18.9689
2023-07-01,18.9689
2023-07-02,18.9689
2023-07-03,18.9689
2023-07-04,18.9689
2023-07-05,18.9689
2023-07-06,18.9689
2023-07-07,18.9689
2023-07-08,18.9689
2023-07-09,18.9689
2023-07-10,18.9689
2023-07-11,18.9689
2023-07-12,18.9689
2023-07-13,18.9689
2023-07-14,18.9689
2023-07-15,18.9689
2023-07-16,18.9689
2023-07-17,18.9689
2023-07-18,18.9689
2023-07-19,18.9689
2023-07-20,18.9689
2023-07-21,18.9689
2023-07-22,18.9689
2023-07-23,18.9689
2023-07-24,18.9689
2023-07-25,18.9689
2023-07-26,18.9689
2023-07-27,18.9689
2023-07-28,18.9689
2023-07-29,18.9689
2023-07-30,18.9689
2023-07-31,18.9689
2023-08-01,18.9689
2023-08-02,18.9689
2023-08-03,18.9689
2023-08-04,18.9689
2023-08-05,18.9689
2023-08-06,18.9689
2023-08-07,18.9689
2023-08-08,18.9689
2023-08-09,18.9689
2023-08-10,18.9689
2023-08-11,18.9689
2023-08-12,18.9689
2023-08-13,18.9689
2023-08-14,18.9689
2023-08-15,18.9689
2023-08-16,18.9689
2023-08-17,18.9689
2023-08-18,18.9689
2023-08-19,18.9689
2023-08-20,18.9689
2023-08-21,18.9689
2023-08-22,18.9689
2023-08-23,18.9689
2023-08-24,18.9689
2023-08-25,18.9689
2023-08-26,18.9689
2023-08-27,18.9689
2023-08-28,18.9689
2023-08-29,18.9689
2023-08-30,18.9689
2023-08-31,18.9689
2023-09-01,18.9689
2023-09-02,18.9689
2023-09-03,18.9689
2023-09-04,18.9689
2023-09-05,18.9689
2023-09-06,18.9689
2023-09-07,18.9689
2023-09-08,18.9689
2023-09-09,18.9689
2023-09-10,18.9689
2023-09-11,18.9689
2023-09-12,18.9689
2023-09-13,18.9689
2023-09-14,18.9689
2023-09-15,18.9689
2023-09-16,18.9689
2023-09-17,18.9689
2023-09-18,18.9689
2023-09-19,18.9689
2023-09-20,18.9689
2023-09-21,18.9689
2023-09-22,18.9689
2023-09-23,18.9689
2023-09-24,18.9689
2023-09-25,18.9689
2023-09-26,18.9689
2023-09-27,18.9689
2023-09-28,18.9689
2023-09-29,18.9689
2023-09-30,18.4659
2023-10-01,18.4659
2023-10-02,18.4659
2023-10-03,18.4659
2023-10-04,18.4659
2023-10-05,18.4659
2023-10-06,18.4659
2023-10-07,18.4659
2023-10-08,18.4659
2023-10-09,18.4659
2023-10-10,18.4659
2023-10-11,18.4659
2023-10-12,18.4659
2023-10-13,18.4659
2023-10-14,18.4659
2023-10-15,18.4659
2023-10-16,18.4659
2023-10-17,18.4659
2023-10-18,18.4659
2023-10-19,18.4659
2023-10-20,18.4659
2023-10-21,18.4659
2023-10-22,18.4659
2023-10-23,18.4659
2023-10-24,18.4659
2023-10-25,18.4659
2023-10-26,18.4659
2023-10-27,18.4659
2023-10-28,18.4659
2023-10-29,18.4659
2023-10-30,18.4659
2023-10-31,18.4659
2023-11-01,18.4659
2023-11-02,18.4659
2023-11-03,18.4659
2023-11-04,18.4659
2023-11-05,18.4659
2023-11-06,18.4659
2023-11-07,18.4659
2023-11-08,18.4659
2023-11-09,18.4659
2023-11-10,18.4659
2023-11-11,18.4659
2023-11-12,18.4659
2023-11-13,18.4659
2023-11-14,18.4659
2023-11-15,18.4659
2023-11-16,18.4659
2023-11-17,18.4659
2023-11-18,18.4659
2023-11-19,18.4659
2023-11-20,18.4659
2023-11-21,18.4659
2023-11-22,18.4659
2023-11-23,18.4659
2023-11-24,18.4659
2023-11-25,18.4659
2023-11-26,18.4659
2023-11-27,18.4659
2023-11-28,18.4659
2023-11-29,18.4659
2023-11-30,18.4659
2023-12-01,18.4659
2023-12-02,18.4659
2023-12-03,18.4659
2023-12-04,18.4659
2023-12-05,18.4659
2023-12-06,18.4659
2023-12-07,18.4659
2023-12-08,18.4659
2023-12-09,18.4659
2023-12-10,18.4659
2023-12-11,18.4659
2023-12-12,18.4659
2023-12-13,18.4659
2023-12-14,18.4659
2023-12-15,18.4659
2023-12-16,18.4659
2023-12-17,18.4659
2023-12-18,18.4659
2023-12-19,18.4659
2023-12-20,18.4659
2023-12-21,18.4659
2023-12-22,18.4659
2023-12-23,18.4659
2023-12-24,18.4659
2023-12-25,18.4659
2023-12-26,18.4659
2023-12-27,18.4659
2023-12-28,18.4659
2023-12-29,18.4659
2023-12-30,18.4659
2023-12-31,17.3762
2024-01-01,17.3762
2024-01-02,17.3762
2024-01-03,17.3762
2024-01-04,17.3762
2024-01-05,17.3762
2024-01-06,17.3762
2024-01-07,17.3762
2024-01-08,17.3762
2024-01-09,17.3762
2024-01-10,17.3762
2024-01-11,17.3762
2024-01-12,17.3762
2024-01-13,17.3762
2024-01-14,17.3762
2024-01-15,17.3762
2024-01-16,17.3762
2024-01-17,17.3762
2024-01-18,17.3762
2024-01-19,17.3762
2024-01-20,17.3762
2024-01-21,17.3762
2024-01-22,17.3762
2024-01-23,17.3762
2024-01-24,17.3762
2024-01-25,17.3762
2024-01-26,17.3762
2024-01-27,17.3762
2024-01-28,17.3762
2024-01-29,17.3762
2024-01-30,17.3762
2024-01-31,17.3762
2024-02-01,17.3762
2024-02-02,17.3762
2024-02-03,17.3762
2024-02-04,17.3762
2024-02-05,17.3762
2024-02-06,17.3762
2024-02-07,17.3762
2024-02-08,17.3762
2024-02-09,17.3762
2024-02-10,17.3762
2024-02-11,17.3762
2024-02-12,17.3762
2024-02-13,17.3762
2024-02-14,17.3762
2024-02-15,17.3762
2024-02-16,17.3762
2024-02-17,17.3762
2024-02-18,17.3762
2024-02-19,17.3762
2024-02-20,17.3762
2024-02-21,17.3762
2024-02-22,17.3762
2024-02-23,17.3762
2024-02-24,17.3762
2024-02-25,17.3762
2024-02-26,17.3762
2024-02-27,17.3762
2024-02-28,17.3762
2024-02-29,17.3762
2024-03-01,17.3762
2024-03-02,17.3762
2024-03-03,17.3762
2024-03-04,17.3762
2024-03-05,17.3762
2024-03-06,17.3762
2024-03-07,17.3762
2024-03-08,17.3762
2024-03-09,17.3762
2024-03-10,17.3762
2024-03-11,17.3762
2024-03-12,17.3762
2024-03-13,17.3762
2024-03-14,17.3762
2024-03-15,17.3762
2024-03-16,17.3762
2024-03-17,17.3762
2024-03-18,17.3762
2024-03-19,17.3762
2024-03-20,17.3762
2024-03-21,17.3762
2024-03-22,17.3762
2024-03-23,17.3762
2024-03-24,17.3762
2024-03-25,17.3762
2024-03-26,17.3762
2024-03-27,17.3762
2024-03-28,17.3762
2024-03-29,17.3762
2024-03-30,17.3762
2024-03-31,17.3762
2024-04-01,17.3762
2024-04-02,17.3762
2024-04-03,17.3762
2024-04-04,17.3762
2024-04-05,17.3762
2024-04-06,17.3762
2024-04-07,17.3762
2024-04-08,17.3762
