,PFSI US Equity
2023-04-17,9.6403
2023-04-18,9.6403
2023-04-19,9.6403
2023-04-20,9.6403
2023-04-21,9.6403
2023-04-22,9.6403
2023-04-23,9.6403
2023-04-24,9.6403
2023-04-25,9.6403
2023-04-26,9.6403
2023-04-27,9.6403
2023-04-28,9.6403
2023-04-29,9.6403
2023-04-30,9.6403
2023-05-01,9.6403
2023-05-02,9.6403
2023-05-03,9.6403
2023-05-04,9.6403
2023-05-05,9.6403
2023-05-06,9.6403
2023-05-07,9.6403
2023-05-08,9.6403
2023-05-09,9.6403
2023-05-10,9.6403
2023-05-11,9.6403
2023-05-12,9.6403
2023-05-13,9.6403
2023-05-14,9.6403
2023-05-15,9.6403
2023-05-16,9.6403
2023-05-17,9.6403
2023-05-18,9.6403
2023-05-19,9.6403
2023-05-20,9.6403
2023-05-21,9.6403
2023-05-22,9.6403
2023-05-23,9.6403
2023-05-24,9.6403
2023-05-25,9.6403
2023-05-26,9.6403
2023-05-27,9.6403
2023-05-28,9.6403
2023-05-29,9.6403
2023-05-30,9.6403
2023-05-31,9.6403
2023-06-01,9.6403
2023-06-02,9.6403
2023-06-03,9.6403
2023-06-04,9.6403
2023-06-05,9.6403
2023-06-06,9.6403
2023-06-07,9.6403
2023-06-08,9.6403
2023-06-09,9.6403
2023-06-10,9.6403
2023-06-11,9.6403
2023-06-12,9.6403
2023-06-13,9.6403
2023-06-14,9.6403
2023-06-15,9.6403
2023-06-16,9.6403
2023-06-17,9.6403
2023-06-18,9.6403
2023-06-19,9.6403
2023-06-20,9.6403
2023-06-21,9.6403
2023-06-22,9.6403
2023-06-23,9.6403
2023-06-24,9.6403
2023-06-25,9.6403
2023-06-26,9.6403
2023-06-27,9.6403
2023-06-28,9.6403
2023-06-29,9.6403
2023-06-30,7.5324
2023-07-01,7.5324
2023-07-02,7.5324
2023-07-03,7.5324
2023-07-04,7.5324
2023-07-05,7.5324
2023-07-06,7.5324
2023-07-07,7.5324
2023-07-08,7.5324
2023-07-09,7.5324
2023-07-10,7.5324
2023-07-11,7.5324
2023-07-12,7.5324
2023-07-13,7.5324
2023-07-14,7.5324
2023-07-15,7.5324
2023-07-16,7.5324
2023-07-17,7.5324
2023-07-18,7.5324
2023-07-19,7.5324
2023-07-20,7.5324
2023-07-21,7.5324
2023-07-22,7.5324
2023-07-23,7.5324
2023-07-24,7.5324
2023-07-25,7.5324
2023-07-26,7.5324
2023-07-27,7.5324
2023-07-28,7.5324
2023-07-29,7.5324
2023-07-30,7.5324
2023-07-31,7.5324
2023-08-01,7.5324
2023-08-02,7.5324
2023-08-03,7.5324
2023-08-04,7.5324
2023-08-05,7.5324
2023-08-06,7.5324
2023-08-07,7.5324
2023-08-08,7.5324
2023-08-09,7.5324
2023-08-10,7.5324
2023-08-11,7.5324
2023-08-12,7.5324
2023-08-13,7.5324
2023-08-14,7.5324
2023-08-15,7.5324
2023-08-16,7.5324
2023-08-17,7.5324
2023-08-18,7.5324
2023-08-19,7.5324
2023-08-20,7.5324
2023-08-21,7.5324
2023-08-22,7.5324
2023-08-23,7.5324
2023-08-24,7.5324
2023-08-25,7.5324
2023-08-26,7.5324
2023-08-27,7.5324
2023-08-28,7.5324
2023-08-29,7.5324
2023-08-30,7.5324
2023-08-31,7.5324
2023-09-01,7.5324
2023-09-02,7.5324
2023-09-03,7.5324
2023-09-04,7.5324
2023-09-05,7.5324
2023-09-06,7.5324
2023-09-07,7.5324
2023-09-08,7.5324
2023-09-09,7.5324
2023-09-10,7.5324
2023-09-11,7.5324
2023-09-12,7.5324
2023-09-13,7.5324
2023-09-14,7.5324
2023-09-15,7.5324
2023-09-16,7.5324
2023-09-17,7.5324
2023-09-18,7.5324
2023-09-19,7.5324
2023-09-20,7.5324
2023-09-21,7.5324
2023-09-22,7.5324
2023-09-23,7.5324
2023-09-24,7.5324
2023-09-25,7.5324
2023-09-26,7.5324
2023-09-27,7.5324
2023-09-28,7.5324
2023-09-29,7.5324
2023-09-30,6.2117
2023-10-01,6.2117
2023-10-02,6.2117
2023-10-03,6.2117
2023-10-04,6.2117
2023-10-05,6.2117
2023-10-06,6.2117
2023-10-07,6.2117
2023-10-08,6.2117
2023-10-09,6.2117
2023-10-10,6.2117
2023-10-11,6.2117
2023-10-12,6.2117
2023-10-13,6.2117
2023-10-14,6.2117
2023-10-15,6.2117
2023-10-16,6.2117
2023-10-17,6.2117
2023-10-18,6.2117
2023-10-19,6.2117
2023-10-20,6.2117
2023-10-21,6.2117
2023-10-22,6.2117
2023-10-23,6.2117
2023-10-24,6.2117
2023-10-25,6.2117
2023-10-26,6.2117
2023-10-27,6.2117
2023-10-28,6.2117
2023-10-29,6.2117
2023-10-30,6.2117
2023-10-31,6.2117
2023-11-01,6.2117
2023-11-02,6.2117
2023-11-03,6.2117
2023-11-04,6.2117
2023-11-05,6.2117
2023-11-06,6.2117
2023-11-07,6.2117
2023-11-08,6.2117
2023-11-09,6.2117
2023-11-10,6.2117
2023-11-11,6.2117
2023-11-12,6.2117
2023-11-13,6.2117
2023-11-14,6.2117
2023-11-15,6.2117
2023-11-16,6.2117
2023-11-17,6.2117
2023-11-18,6.2117
2023-11-19,6.2117
2023-11-20,6.2117
2023-11-21,6.2117
2023-11-22,6.2117
2023-11-23,6.2117
2023-11-24,6.2117
2023-11-25,6.2117
2023-11-26,6.2117
2023-11-27,6.2117
2023-11-28,6.2117
2023-11-29,6.2117
2023-11-30,6.2117
2023-12-01,6.2117
2023-12-02,6.2117
2023-12-03,6.2117
2023-12-04,6.2117
2023-12-05,6.2117
2023-12-06,6.2117
2023-12-07,6.2117
2023-12-08,6.2117
2023-12-09,6.2117
2023-12-10,6.2117
2023-12-11,6.2117
2023-12-12,6.2117
2023-12-13,6.2117
2023-12-14,6.2117
2023-12-15,6.2117
2023-12-16,6.2117
2023-12-17,6.2117
2023-12-18,6.2117
2023-12-19,6.2117
2023-12-20,6.2117
2023-12-21,6.2117
2023-12-22,6.2117
2023-12-23,6.2117
2023-12-24,6.2117
2023-12-25,6.2117
2023-12-26,6.2117
2023-12-27,6.2117
2023-12-28,6.2117
2023-12-29,6.2117
2023-12-30,6.2117
2023-12-31,4.1273
2024-01-01,4.1273
2024-01-02,4.1273
2024-01-03,4.1273
2024-01-04,4.1273
2024-01-05,4.1273
2024-01-06,4.1273
2024-01-07,4.1273
2024-01-08,4.1273
2024-01-09,4.1273
2024-01-10,4.1273
2024-01-11,4.1273
2024-01-12,4.1273
2024-01-13,4.1273
2024-01-14,4.1273
2024-01-15,4.1273
2024-01-16,4.1273
2024-01-17,4.1273
2024-01-18,4.1273
2024-01-19,4.1273
2024-01-20,4.1273
2024-01-21,4.1273
2024-01-22,4.1273
2024-01-23,4.1273
2024-01-24,4.1273
2024-01-25,4.1273
2024-01-26,4.1273
2024-01-27,4.1273
2024-01-28,4.1273
2024-01-29,4.1273
2024-01-30,4.1273
2024-01-31,4.1273
2024-02-01,4.1273
2024-02-02,4.1273
2024-02-03,4.1273
2024-02-04,4.1273
2024-02-05,4.1273
2024-02-06,4.1273
2024-02-07,4.1273
2024-02-08,4.1273
2024-02-09,4.1273
2024-02-10,4.1273
2024-02-11,4.1273
2024-02-12,4.1273
2024-02-13,4.1273
2024-02-14,4.1273
2024-02-15,4.1273
2024-02-16,4.1273
2024-02-17,4.1273
2024-02-18,4.1273
2024-02-19,4.1273
2024-02-20,4.1273
2024-02-21,4.1273
2024-02-22,4.1273
2024-02-23,4.1273
2024-02-24,4.1273
2024-02-25,4.1273
2024-02-26,4.1273
2024-02-27,4.1273
2024-02-28,4.1273
2024-02-29,4.1273
2024-03-01,4.1273
2024-03-02,4.1273
2024-03-03,4.1273
2024-03-04,4.1273
2024-03-05,4.1273
2024-03-06,4.1273
2024-03-07,4.1273
2024-03-08,4.1273
2024-03-09,4.1273
2024-03-10,4.1273
2024-03-11,4.1273
2024-03-12,4.1273
2024-03-13,4.1273
2024-03-14,4.1273
2024-03-15,4.1273
2024-03-16,4.1273
2024-03-17,4.1273
2024-03-18,4.1273
2024-03-19,4.1273
2024-03-20,4.1273
2024-03-21,4.1273
2024-03-22,4.1273
2024-03-23,4.1273
2024-03-24,4.1273
2024-03-25,4.1273
2024-03-26,4.1273
2024-03-27,4.1273
2024-03-28,4.1273
2024-03-29,4.1273
2024-03-30,4.1273
2024-03-31,4.1273
2024-04-01,4.1273
2024-04-02,4.1273
2024-04-03,4.1273
2024-04-04,4.1273
2024-04-05,4.1273
2024-04-06,4.1273
2024-04-07,4.1273
2024-04-08,4.1273
