,CBSH US Equity
,RETURN_COM_EQY
2020-01-01,14.2309
2020-01-02,14.2309
2020-01-03,14.2309
2020-01-04,14.2309
2020-01-05,14.2309
2020-01-06,14.2309
2020-01-07,14.2309
2020-01-08,14.2309
2020-01-09,14.2309
2020-01-10,14.2309
2020-01-11,14.2309
2020-01-12,14.2309
2020-01-13,14.2309
2020-01-14,14.2309
2020-01-15,14.2309
2020-01-16,14.2309
2020-01-17,14.2309
2020-01-18,14.2309
2020-01-19,14.2309
2020-01-20,14.2309
2020-01-21,14.2309
2020-01-22,14.2309
2020-01-23,14.2309
2020-01-24,14.2309
2020-01-25,14.2309
2020-01-26,14.2309
2020-01-27,14.2309
2020-01-28,14.2309
2020-01-29,14.2309
2020-01-30,14.2309
2020-01-31,14.2309
2020-02-01,14.2309
2020-02-02,14.2309
2020-02-03,14.2309
2020-02-04,14.2309
2020-02-05,14.2309
2020-02-06,14.2309
2020-02-07,14.2309
2020-02-08,14.2309
2020-02-09,14.2309
2020-02-10,14.2309
2020-02-11,14.2309
2020-02-12,14.2309
2020-02-13,14.2309
2020-02-14,14.2309
2020-02-15,14.2309
2020-02-16,14.2309
2020-02-17,14.2309
2020-02-18,14.2309
2020-02-19,14.2309
2020-02-20,14.2309
2020-02-21,14.2309
2020-02-22,14.2309
2020-02-23,14.2309
2020-02-24,14.2309
2020-02-25,14.2309
2020-02-26,14.2309
2020-02-27,14.2309
2020-02-28,14.2309
2020-02-29,14.2309
2020-03-01,14.2309
2020-03-02,14.2309
2020-03-03,14.2309
2020-03-04,14.2309
2020-03-05,14.2309
2020-03-06,14.2309
2020-03-07,14.2309
2020-03-08,14.2309
2020-03-09,14.2309
2020-03-10,14.2309
2020-03-11,14.2309
2020-03-12,14.2309
2020-03-13,14.2309
2020-03-14,14.2309
2020-03-15,14.2309
2020-03-16,14.2309
2020-03-17,14.2309
2020-03-18,14.2309
2020-03-19,14.2309
2020-03-20,14.2309
2020-03-21,14.2309
2020-03-22,14.2309
2020-03-23,14.2309
2020-03-24,14.2309
2020-03-25,14.2309
2020-03-26,14.2309
2020-03-27,14.2309
2020-03-28,14.2309
2020-03-29,14.2309
2020-03-30,14.2309
2020-03-31,12.2051
2020-04-01,12.2051
2020-04-02,12.2051
2020-04-03,12.2051
2020-04-04,12.2051
2020-04-05,12.2051
2020-04-06,12.2051
2020-04-07,12.2051
2020-04-08,12.2051
2020-04-09,12.2051
2020-04-10,12.2051
2020-04-11,12.2051
2020-04-12,12.2051
2020-04-13,12.2051
2020-04-14,12.2051
2020-04-15,12.2051
2020-04-16,12.2051
2020-04-17,12.2051
2020-04-18,12.2051
2020-04-19,12.2051
2020-04-20,12.2051
2020-04-21,12.2051
2020-04-22,12.2051
2020-04-23,12.2051
2020-04-24,12.2051
2020-04-25,12.2051
2020-04-26,12.2051
2020-04-27,12.2051
2020-04-28,12.2051
2020-04-29,12.2051
2020-04-30,12.2051
2020-05-01,12.2051
2020-05-02,12.2051
2020-05-03,12.2051
2020-05-04,12.2051
