,NXST US Equity
2023-04-01,29.9944
2023-04-02,29.9944
2023-04-03,29.9944
2023-04-04,29.9944
2023-04-05,29.9944
2023-04-06,29.9944
2023-04-07,29.9944
2023-04-08,29.9944
2023-04-09,29.9944
2023-04-10,29.9944
2023-04-11,29.9944
2023-04-12,29.9944
2023-04-13,29.9944
2023-04-14,29.9944
2023-04-15,29.9944
2023-04-16,29.9944
2023-04-17,29.9944
2023-04-18,29.9944
2023-04-19,29.9944
2023-04-20,29.9944
2023-04-21,29.9944
2023-04-22,29.9944
2023-04-23,29.9944
2023-04-24,29.9944
2023-04-25,29.9944
2023-04-26,29.9944
2023-04-27,29.9944
2023-04-28,29.9944
2023-04-29,29.9944
2023-04-30,29.9944
2023-05-01,29.9944
2023-05-02,29.9944
2023-05-03,29.9944
2023-05-04,29.9944
2023-05-05,29.9944
2023-05-06,29.9944
2023-05-07,29.9944
2023-05-08,29.9944
2023-05-09,29.9944
2023-05-10,29.9944
2023-05-11,29.9944
2023-05-12,29.9944
2023-05-13,29.9944
2023-05-14,29.9944
2023-05-15,29.9944
2023-05-16,29.9944
2023-05-17,29.9944
2023-05-18,29.9944
2023-05-19,29.9944
2023-05-20,29.9944
2023-05-21,29.9944
2023-05-22,29.9944
2023-05-23,29.9944
2023-05-24,29.9944
2023-05-25,29.9944
2023-05-26,29.9944
2023-05-27,29.9944
2023-05-28,29.9944
2023-05-29,29.9944
2023-05-30,29.9944
2023-05-31,29.9944
2023-06-01,29.9944
2023-06-02,29.9944
2023-06-03,29.9944
2023-06-04,29.9944
2023-06-05,29.9944
2023-06-06,29.9944
2023-06-07,29.9944
2023-06-08,29.9944
2023-06-09,29.9944
2023-06-10,29.9944
2023-06-11,29.9944
2023-06-12,29.9944
2023-06-13,29.9944
2023-06-14,29.9944
2023-06-15,29.9944
2023-06-16,29.9944
2023-06-17,29.9944
2023-06-18,29.9944
2023-06-19,29.9944
2023-06-20,29.9944
2023-06-21,29.9944
2023-06-22,29.9944
2023-06-23,29.9944
2023-06-24,29.9944
2023-06-25,29.9944
2023-06-26,29.9944
2023-06-27,29.9944
2023-06-28,29.9944
2023-06-29,29.9944
2023-06-30,25.8392
2023-07-01,25.8392
2023-07-02,25.8392
2023-07-03,25.8392
2023-07-04,25.8392
2023-07-05,25.8392
2023-07-06,25.8392
2023-07-07,25.8392
2023-07-08,25.8392
2023-07-09,25.8392
2023-07-10,25.8392
2023-07-11,25.8392
2023-07-12,25.8392
2023-07-13,25.8392
2023-07-14,25.8392
2023-07-15,25.8392
2023-07-16,25.8392
2023-07-17,25.8392
2023-07-18,25.8392
2023-07-19,25.8392
2023-07-20,25.8392
2023-07-21,25.8392
2023-07-22,25.8392
2023-07-23,25.8392
2023-07-24,25.8392
2023-07-25,25.8392
2023-07-26,25.8392
2023-07-27,25.8392
2023-07-28,25.8392
2023-07-29,25.8392
2023-07-30,25.8392
2023-07-31,25.8392
2023-08-01,25.8392
2023-08-02,25.8392
2023-08-03,25.8392
2023-08-04,25.8392
2023-08-05,25.8392
2023-08-06,25.8392
2023-08-07,25.8392
2023-08-08,25.8392
2023-08-09,25.8392
2023-08-10,25.8392
2023-08-11,25.8392
2023-08-12,25.8392
2023-08-13,25.8392
2023-08-14,25.8392
2023-08-15,25.8392
2023-08-16,25.8392
2023-08-17,25.8392
2023-08-18,25.8392
2023-08-19,25.8392
2023-08-20,25.8392
2023-08-21,25.8392
2023-08-22,25.8392
2023-08-23,25.8392
2023-08-24,25.8392
2023-08-25,25.8392
2023-08-26,25.8392
2023-08-27,25.8392
2023-08-28,25.8392
2023-08-29,25.8392
2023-08-30,25.8392
2023-08-31,25.8392
2023-09-01,25.8392
2023-09-02,25.8392
2023-09-03,25.8392
2023-09-04,25.8392
2023-09-05,25.8392
2023-09-06,25.8392
2023-09-07,25.8392
2023-09-08,25.8392
2023-09-09,25.8392
2023-09-10,25.8392
2023-09-11,25.8392
2023-09-12,25.8392
2023-09-13,25.8392
2023-09-14,25.8392
2023-09-15,25.8392
2023-09-16,25.8392
2023-09-17,25.8392
2023-09-18,25.8392
2023-09-19,25.8392
2023-09-20,25.8392
2023-09-21,25.8392
2023-09-22,25.8392
2023-09-23,25.8392
2023-09-24,25.8392
2023-09-25,25.8392
2023-09-26,25.8392
2023-09-27,25.8392
2023-09-28,25.8392
2023-09-29,25.8392
2023-09-30,16.5573
2023-10-01,16.5573
2023-10-02,16.5573
2023-10-03,16.5573
2023-10-04,16.5573
2023-10-05,16.5573
2023-10-06,16.5573
2023-10-07,16.5573
2023-10-08,16.5573
2023-10-09,16.5573
2023-10-10,16.5573
2023-10-11,16.5573
2023-10-12,16.5573
2023-10-13,16.5573
2023-10-14,16.5573
2023-10-15,16.5573
2023-10-16,16.5573
2023-10-17,16.5573
2023-10-18,16.5573
2023-10-19,16.5573
2023-10-20,16.5573
2023-10-21,16.5573
2023-10-22,16.5573
2023-10-23,16.5573
2023-10-24,16.5573
2023-10-25,16.5573
2023-10-26,16.5573
2023-10-27,16.5573
2023-10-28,16.5573
2023-10-29,16.5573
2023-10-30,16.5573
2023-10-31,16.5573
2023-11-01,16.5573
2023-11-02,16.5573
2023-11-03,16.5573
2023-11-04,16.5573
2023-11-05,16.5573
2023-11-06,16.5573
2023-11-07,16.5573
2023-11-08,16.5573
2023-11-09,16.5573
2023-11-10,16.5573
2023-11-11,16.5573
2023-11-12,16.5573
2023-11-13,16.5573
2023-11-14,16.5573
2023-11-15,16.5573
2023-11-16,16.5573
2023-11-17,16.5573
2023-11-18,16.5573
2023-11-19,16.5573
2023-11-20,16.5573
2023-11-21,16.5573
2023-11-22,16.5573
2023-11-23,16.5573
2023-11-24,16.5573
2023-11-25,16.5573
2023-11-26,16.5573
2023-11-27,16.5573
2023-11-28,16.5573
2023-11-29,16.5573
2023-11-30,16.5573
2023-12-01,16.5573
2023-12-02,16.5573
2023-12-03,16.5573
2023-12-04,16.5573
2023-12-05,16.5573
2023-12-06,16.5573
2023-12-07,16.5573
2023-12-08,16.5573
2023-12-09,16.5573
2023-12-10,16.5573
2023-12-11,16.5573
2023-12-12,16.5573
2023-12-13,16.5573
2023-12-14,16.5573
2023-12-15,16.5573
2023-12-16,16.5573
2023-12-17,16.5573
2023-12-18,16.5573
2023-12-19,16.5573
2023-12-20,16.5573
2023-12-21,16.5573
2023-12-22,16.5573
2023-12-23,16.5573
2023-12-24,16.5573
2023-12-25,16.5573
2023-12-26,16.5573
2023-12-27,16.5573
2023-12-28,16.5573
2023-12-29,16.5573
2023-12-30,16.5573
2023-12-31,13.7698
2024-01-01,13.7698
2024-01-02,13.7698
2024-01-03,13.7698
2024-01-04,13.7698
2024-01-05,13.7698
2024-01-06,13.7698
2024-01-07,13.7698
2024-01-08,13.7698
2024-01-09,13.7698
2024-01-10,13.7698
2024-01-11,13.7698
2024-01-12,13.7698
2024-01-13,13.7698
2024-01-14,13.7698
2024-01-15,13.7698
2024-01-16,13.7698
2024-01-17,13.7698
2024-01-18,13.7698
2024-01-19,13.7698
2024-01-20,13.7698
2024-01-21,13.7698
2024-01-22,13.7698
2024-01-23,13.7698
2024-01-24,13.7698
2024-01-25,13.7698
2024-01-26,13.7698
2024-01-27,13.7698
2024-01-28,13.7698
2024-01-29,13.7698
2024-01-30,13.7698
2024-01-31,13.7698
2024-02-01,13.7698
2024-02-02,13.7698
2024-02-03,13.7698
2024-02-04,13.7698
2024-02-05,13.7698
2024-02-06,13.7698
2024-02-07,13.7698
2024-02-08,13.7698
2024-02-09,13.7698
2024-02-10,13.7698
2024-02-11,13.7698
2024-02-12,13.7698
2024-02-13,13.7698
2024-02-14,13.7698
2024-02-15,13.7698
2024-02-16,13.7698
2024-02-17,13.7698
2024-02-18,13.7698
2024-02-19,13.7698
2024-02-20,13.7698
2024-02-21,13.7698
2024-02-22,13.7698
2024-02-23,13.7698
2024-02-24,13.7698
2024-02-25,13.7698
2024-02-26,13.7698
2024-02-27,13.7698
2024-02-28,13.7698
2024-02-29,13.7698
2024-03-01,13.7698
2024-03-02,13.7698
2024-03-03,13.7698
2024-03-04,13.7698
2024-03-05,13.7698
2024-03-06,13.7698
2024-03-07,13.7698
2024-03-08,13.7698
2024-03-09,13.7698
2024-03-10,13.7698
2024-03-11,13.7698
2024-03-12,13.7698
2024-03-13,13.7698
2024-03-14,13.7698
2024-03-15,13.7698
2024-03-16,13.7698
2024-03-17,13.7698
2024-03-18,13.7698
2024-03-19,13.7698
2024-03-20,13.7698
2024-03-21,13.7698
2024-03-22,13.7698
2024-03-23,13.7698
2024-03-24,13.7698
2024-03-25,13.7698
2024-03-26,13.7698
2024-03-27,13.7698
2024-03-28,13.7698
2024-03-29,13.7698
2024-03-30,13.7698
2024-03-31,13.7698
2024-04-01,13.7698
2024-04-02,13.7698
2024-04-03,13.7698
2024-04-04,13.7698
2024-04-05,13.7698
2024-04-06,13.7698
2024-04-07,13.7698
2024-04-08,13.7698
