,AWI US Equity
,RETURN_COM_EQY
2020-01-01,72.6688
2020-01-02,72.6688
2020-01-03,72.6688
2020-01-04,72.6688
2020-01-05,72.6688
2020-01-06,72.6688
2020-01-07,72.6688
2020-01-08,72.6688
2020-01-09,72.6688
2020-01-10,72.6688
2020-01-11,72.6688
2020-01-12,72.6688
2020-01-13,72.6688
2020-01-14,72.6688
2020-01-15,72.6688
2020-01-16,72.6688
2020-01-17,72.6688
2020-01-18,72.6688
2020-01-19,72.6688
2020-01-20,72.6688
2020-01-21,72.6688
2020-01-22,72.6688
2020-01-23,72.6688
2020-01-24,72.6688
2020-01-25,72.6688
2020-01-26,72.6688
2020-01-27,72.6688
2020-01-28,72.6688
2020-01-29,72.6688
2020-01-30,72.6688
2020-01-31,72.6688
2020-02-01,72.6688
2020-02-02,72.6688
2020-02-03,72.6688
2020-02-04,72.6688
2020-02-05,72.6688
2020-02-06,72.6688
2020-02-07,72.6688
2020-02-08,72.6688
2020-02-09,72.6688
2020-02-10,72.6688
2020-02-11,72.6688
2020-02-12,72.6688
2020-02-13,72.6688
2020-02-14,72.6688
2020-02-15,72.6688
2020-02-16,72.6688
2020-02-17,72.6688
2020-02-18,72.6688
2020-02-19,72.6688
2020-02-20,72.6688
2020-02-21,72.6688
2020-02-22,72.6688
2020-02-23,72.6688
2020-02-24,72.6688
2020-02-25,72.6688
2020-02-26,72.6688
2020-02-27,72.6688
2020-02-28,72.6688
2020-02-29,72.6688
2020-03-01,72.6688
2020-03-02,72.6688
2020-03-03,72.6688
2020-03-04,72.6688
2020-03-05,72.6688
2020-03-06,72.6688
2020-03-07,72.6688
2020-03-08,72.6688
2020-03-09,72.6688
2020-03-10,72.6688
2020-03-11,72.6688
2020-03-12,72.6688
2020-03-13,72.6688
2020-03-14,72.6688
2020-03-15,72.6688
2020-03-16,72.6688
2020-03-17,72.6688
2020-03-18,72.6688
2020-03-19,72.6688
2020-03-20,72.6688
2020-03-21,72.6688
2020-03-22,72.6688
2020-03-23,72.6688
2020-03-24,72.6688
2020-03-25,72.6688
2020-03-26,72.6688
2020-03-27,72.6688
2020-03-28,72.6688
2020-03-29,72.6688
2020-03-30,72.6688
2020-03-31,-15.5832
2020-04-01,-15.5832
2020-04-02,-15.5832
2020-04-03,-15.5832
2020-04-04,-15.5832
2020-04-05,-15.5832
2020-04-06,-15.5832
2020-04-07,-15.5832
2020-04-08,-15.5832
2020-04-09,-15.5832
2020-04-10,-15.5832
2020-04-11,-15.5832
2020-04-12,-15.5832
2020-04-13,-15.5832
2020-04-14,-15.5832
2020-04-15,-15.5832
2020-04-16,-15.5832
2020-04-17,-15.5832
2020-04-18,-15.5832
2020-04-19,-15.5832
2020-04-20,-15.5832
2020-04-21,-15.5832
2020-04-22,-15.5832
2020-04-23,-15.5832
2020-04-24,-15.5832
2020-04-25,-15.5832
2020-04-26,-15.5832
2020-04-27,-15.5832
2020-04-28,-15.5832
2020-04-29,-15.5832
2020-04-30,-15.5832
2020-05-01,-15.5832
2020-05-02,-15.5832
2020-05-03,-15.5832
2020-05-04,-15.5832
2020-05-05,-15.5832
2020-05-06,-15.5832
2020-05-07,-15.5832
2020-05-08,-15.5832
2020-05-09,-15.5832
2020-05-10,-15.5832
2020-05-11,-15.5832
2020-05-12,-15.5832
2020-05-13,-15.5832
2020-05-14,-15.5832
2020-05-15,-15.5832
2020-05-16,-15.5832
2020-05-17,-15.5832
2020-05-18,-15.5832
2020-05-19,-15.5832
2020-05-20,-15.5832
2020-05-21,-15.5832
2020-05-22,-15.5832
2020-05-23,-15.5832
2020-05-24,-15.5832
2020-05-25,-15.5832
2020-05-26,-15.5832
2020-05-27,-15.5832
2020-05-28,-15.5832
2020-05-29,-15.5832
2020-05-30,-15.5832
2020-05-31,-15.5832
2020-06-01,-15.5832
2020-06-02,-15.5832
2020-06-03,-15.5832
2020-06-04,-15.5832
2020-06-05,-15.5832
2020-06-06,-15.5832
2020-06-07,-15.5832
2020-06-08,-15.5832
2020-06-09,-15.5832
2020-06-10,-15.5832
2020-06-11,-15.5832
2020-06-12,-15.5832
2020-06-13,-15.5832
