,ENPH US Equity
2023-04-01,75.6934
2023-04-02,75.6934
2023-04-03,75.6934
2023-04-04,75.6934
2023-04-05,75.6934
2023-04-06,75.6934
2023-04-07,75.6934
2023-04-08,75.6934
2023-04-09,75.6934
2023-04-10,75.6934
2023-04-11,75.6934
2023-04-12,75.6934
2023-04-13,75.6934
2023-04-14,75.6934
2023-04-15,75.6934
2023-04-16,75.6934
2023-04-17,75.6934
2023-04-18,75.6934
2023-04-19,75.6934
2023-04-20,75.6934
2023-04-21,75.6934
2023-04-22,75.6934
2023-04-23,75.6934
2023-04-24,75.6934
2023-04-25,75.6934
2023-04-26,75.6934
2023-04-27,75.6934
2023-04-28,75.6934
2023-04-29,75.6934
2023-04-30,75.6934
2023-05-01,75.6934
2023-05-02,75.6934
2023-05-03,75.6934
2023-05-04,75.6934
2023-05-05,75.6934
2023-05-06,75.6934
2023-05-07,75.6934
2023-05-08,75.6934
2023-05-09,75.6934
2023-05-10,75.6934
2023-05-11,75.6934
2023-05-12,75.6934
2023-05-13,75.6934
2023-05-14,75.6934
2023-05-15,75.6934
2023-05-16,75.6934
2023-05-17,75.6934
2023-05-18,75.6934
2023-05-19,75.6934
2023-05-20,75.6934
2023-05-21,75.6934
2023-05-22,75.6934
2023-05-23,75.6934
2023-05-24,75.6934
2023-05-25,75.6934
2023-05-26,75.6934
2023-05-27,75.6934
2023-05-28,75.6934
2023-05-29,75.6934
2023-05-30,75.6934
2023-05-31,75.6934
2023-06-01,75.6934
2023-06-02,75.6934
2023-06-03,75.6934
2023-06-04,75.6934
2023-06-05,75.6934
2023-06-06,75.6934
2023-06-07,75.6934
2023-06-08,75.6934
2023-06-09,75.6934
2023-06-10,75.6934
2023-06-11,75.6934
2023-06-12,75.6934
2023-06-13,75.6934
2023-06-14,75.6934
2023-06-15,75.6934
2023-06-16,75.6934
2023-06-17,75.6934
2023-06-18,75.6934
2023-06-19,75.6934
2023-06-20,75.6934
2023-06-21,75.6934
2023-06-22,75.6934
2023-06-23,75.6934
2023-06-24,75.6934
2023-06-25,75.6934
2023-06-26,75.6934
2023-06-27,75.6934
2023-06-28,75.6934
2023-06-29,75.6934
2023-06-30,80.4488
2023-07-01,80.4488
2023-07-02,80.4488
2023-07-03,80.4488
2023-07-04,80.4488
2023-07-05,80.4488
2023-07-06,80.4488
2023-07-07,80.4488
2023-07-08,80.4488
2023-07-09,80.4488
2023-07-10,80.4488
2023-07-11,80.4488
2023-07-12,80.4488
2023-07-13,80.4488
2023-07-14,80.4488
2023-07-15,80.4488
2023-07-16,80.4488
2023-07-17,80.4488
2023-07-18,80.4488
2023-07-19,80.4488
2023-07-20,80.4488
2023-07-21,80.4488
2023-07-22,80.4488
2023-07-23,80.4488
2023-07-24,80.4488
2023-07-25,80.4488
2023-07-26,80.4488
2023-07-27,80.4488
2023-07-28,80.4488
2023-07-29,80.4488
2023-07-30,80.4488
2023-07-31,80.4488
2023-08-01,80.4488
2023-08-02,80.4488
2023-08-03,80.4488
2023-08-04,80.4488
2023-08-05,80.4488
2023-08-06,80.4488
2023-08-07,80.4488
2023-08-08,80.4488
2023-08-09,80.4488
2023-08-10,80.4488
2023-08-11,80.4488
2023-08-12,80.4488
2023-08-13,80.4488
2023-08-14,80.4488
2023-08-15,80.4488
2023-08-16,80.4488
2023-08-17,80.4488
2023-08-18,80.4488
2023-08-19,80.4488
2023-08-20,80.4488
2023-08-21,80.4488
2023-08-22,80.4488
2023-08-23,80.4488
2023-08-24,80.4488
2023-08-25,80.4488
2023-08-26,80.4488
2023-08-27,80.4488
2023-08-28,80.4488
2023-08-29,80.4488
2023-08-30,80.4488
2023-08-31,80.4488
2023-09-01,80.4488
2023-09-02,80.4488
2023-09-03,80.4488
2023-09-04,80.4488
2023-09-05,80.4488
2023-09-06,80.4488
2023-09-07,80.4488
2023-09-08,80.4488
2023-09-09,80.4488
2023-09-10,80.4488
2023-09-11,80.4488
2023-09-12,80.4488
2023-09-13,80.4488
2023-09-14,80.4488
2023-09-15,80.4488
2023-09-16,80.4488
2023-09-17,80.4488
2023-09-18,80.4488
2023-09-19,80.4488
2023-09-20,80.4488
2023-09-21,80.4488
2023-09-22,80.4488
2023-09-23,80.4488
2023-09-24,80.4488
2023-09-25,80.4488
2023-09-26,80.4488
2023-09-27,80.4488
2023-09-28,80.4488
2023-09-29,80.4488
2023-09-30,70.3825
2023-10-01,70.3825
2023-10-02,70.3825
2023-10-03,70.3825
2023-10-04,70.3825
2023-10-05,70.3825
2023-10-06,70.3825
2023-10-07,70.3825
2023-10-08,70.3825
2023-10-09,70.3825
2023-10-10,70.3825
2023-10-11,70.3825
2023-10-12,70.3825
2023-10-13,70.3825
2023-10-14,70.3825
2023-10-15,70.3825
2023-10-16,70.3825
2023-10-17,70.3825
2023-10-18,70.3825
2023-10-19,70.3825
2023-10-20,70.3825
2023-10-21,70.3825
2023-10-22,70.3825
2023-10-23,70.3825
2023-10-24,70.3825
2023-10-25,70.3825
2023-10-26,70.3825
2023-10-27,70.3825
2023-10-28,70.3825
2023-10-29,70.3825
2023-10-30,70.3825
2023-10-31,70.3825
2023-11-01,70.3825
2023-11-02,70.3825
2023-11-03,70.3825
2023-11-04,70.3825
2023-11-05,70.3825
2023-11-06,70.3825
2023-11-07,70.3825
2023-11-08,70.3825
2023-11-09,70.3825
2023-11-10,70.3825
2023-11-11,70.3825
2023-11-12,70.3825
2023-11-13,70.3825
2023-11-14,70.3825
2023-11-15,70.3825
2023-11-16,70.3825
2023-11-17,70.3825
2023-11-18,70.3825
2023-11-19,70.3825
2023-11-20,70.3825
2023-11-21,70.3825
2023-11-22,70.3825
2023-11-23,70.3825
2023-11-24,70.3825
2023-11-25,70.3825
2023-11-26,70.3825
2023-11-27,70.3825
2023-11-28,70.3825
2023-11-29,70.3825
2023-11-30,70.3825
2023-12-01,70.3825
2023-12-02,70.3825
2023-12-03,70.3825
2023-12-04,70.3825
2023-12-05,70.3825
2023-12-06,70.3825
2023-12-07,70.3825
2023-12-08,70.3825
2023-12-09,70.3825
2023-12-10,70.3825
2023-12-11,70.3825
2023-12-12,70.3825
2023-12-13,70.3825
2023-12-14,70.3825
2023-12-15,70.3825
2023-12-16,70.3825
2023-12-17,70.3825
2023-12-18,70.3825
2023-12-19,70.3825
2023-12-20,70.3825
2023-12-21,70.3825
2023-12-22,70.3825
2023-12-23,70.3825
2023-12-24,70.3825
2023-12-25,70.3825
2023-12-26,70.3825
2023-12-27,70.3825
2023-12-28,70.3825
2023-12-29,70.3825
2023-12-30,70.3825
2023-12-31,48.5227
2024-01-01,48.5227
2024-01-02,48.5227
2024-01-03,48.5227
2024-01-04,48.5227
2024-01-05,48.5227
2024-01-06,48.5227
2024-01-07,48.5227
2024-01-08,48.5227
2024-01-09,48.5227
2024-01-10,48.5227
2024-01-11,48.5227
2024-01-12,48.5227
2024-01-13,48.5227
2024-01-14,48.5227
2024-01-15,48.5227
2024-01-16,48.5227
2024-01-17,48.5227
2024-01-18,48.5227
2024-01-19,48.5227
2024-01-20,48.5227
2024-01-21,48.5227
2024-01-22,48.5227
2024-01-23,48.5227
2024-01-24,48.5227
2024-01-25,48.5227
2024-01-26,48.5227
2024-01-27,48.5227
2024-01-28,48.5227
2024-01-29,48.5227
2024-01-30,48.5227
2024-01-31,48.5227
2024-02-01,48.5227
2024-02-02,48.5227
2024-02-03,48.5227
2024-02-04,48.5227
2024-02-05,48.5227
2024-02-06,48.5227
2024-02-07,48.5227
2024-02-08,48.5227
2024-02-09,48.5227
2024-02-10,48.5227
2024-02-11,48.5227
2024-02-12,48.5227
2024-02-13,48.5227
2024-02-14,48.5227
2024-02-15,48.5227
2024-02-16,48.5227
2024-02-17,48.5227
2024-02-18,48.5227
2024-02-19,48.5227
2024-02-20,48.5227
2024-02-21,48.5227
2024-02-22,48.5227
2024-02-23,48.5227
2024-02-24,48.5227
2024-02-25,48.5227
2024-02-26,48.5227
2024-02-27,48.5227
2024-02-28,48.5227
2024-02-29,48.5227
2024-03-01,48.5227
2024-03-02,48.5227
2024-03-03,48.5227
2024-03-04,48.5227
2024-03-05,48.5227
2024-03-06,48.5227
2024-03-07,48.5227
2024-03-08,48.5227
2024-03-09,48.5227
2024-03-10,48.5227
2024-03-11,48.5227
2024-03-12,48.5227
2024-03-13,48.5227
2024-03-14,48.5227
2024-03-15,48.5227
2024-03-16,48.5227
2024-03-17,48.5227
2024-03-18,48.5227
2024-03-19,48.5227
2024-03-20,48.5227
2024-03-21,48.5227
2024-03-22,48.5227
2024-03-23,48.5227
2024-03-24,48.5227
2024-03-25,48.5227
2024-03-26,48.5227
2024-03-27,48.5227
2024-03-28,48.5227
2024-03-29,48.5227
2024-03-30,48.5227
2024-03-31,48.5227
2024-04-01,48.5227
2024-04-02,48.5227
2024-04-03,48.5227
2024-04-04,48.5227
2024-04-05,48.5227
2024-04-06,48.5227
2024-04-07,48.5227
2024-04-08,48.5227
