,BKE US Equity
,RETURN_COM_EQY
2020-01-01,23.75
2020-01-02,23.75
2020-01-03,23.75
2020-01-04,23.75
2020-01-05,23.75
2020-01-06,23.75
2020-01-07,23.75
2020-01-08,23.75
2020-01-09,23.75
2020-01-10,23.75
2020-01-11,23.75
2020-01-12,23.75
2020-01-13,23.75
2020-01-14,23.75
2020-01-15,23.75
2020-01-16,23.75
2020-01-17,23.75
2020-01-18,23.75
2020-01-19,23.75
2020-01-20,23.75
2020-01-21,23.75
2020-01-22,23.75
2020-01-23,23.75
2020-01-24,23.75
2020-01-25,23.75
2020-01-26,23.75
2020-01-27,23.75
2020-01-28,23.75
2020-01-29,23.75
2020-01-30,23.75
2020-01-31,23.75
2020-02-01,26.6732
2020-02-02,26.6732
2020-02-03,26.6732
2020-02-04,26.6732
2020-02-05,26.6732
2020-02-06,26.6732
2020-02-07,26.6732
2020-02-08,26.6732
2020-02-09,26.6732
2020-02-10,26.6732
2020-02-11,26.6732
2020-02-12,26.6732
2020-02-13,26.6732
2020-02-14,26.6732
2020-02-15,26.6732
2020-02-16,26.6732
2020-02-17,26.6732
2020-02-18,26.6732
2020-02-19,26.6732
2020-02-20,26.6732
2020-02-21,26.6732
2020-02-22,26.6732
2020-02-23,26.6732
2020-02-24,26.6732
2020-02-25,26.6732
2020-02-26,26.6732
2020-02-27,26.6732
2020-02-28,26.6732
2020-02-29,26.6732
2020-03-01,26.6732
2020-03-02,26.6732
2020-03-03,26.6732
2020-03-04,26.6732
2020-03-05,26.6732
2020-03-06,26.6732
2020-03-07,26.6732
2020-03-08,26.6732
2020-03-09,26.6732
2020-03-10,26.6732
2020-03-11,26.6732
2020-03-12,26.6732
2020-03-13,26.6732
2020-03-14,26.6732
2020-03-15,26.6732
2020-03-16,26.6732
2020-03-17,26.6732
2020-03-18,26.6732
2020-03-19,26.6732
2020-03-20,26.6732
2020-03-21,26.6732
2020-03-22,26.6732
2020-03-23,26.6732
2020-03-24,26.6732
2020-03-25,26.6732
2020-03-26,26.6732
2020-03-27,26.6732
2020-03-28,26.6732
2020-03-29,26.6732
2020-03-30,26.6732
2020-03-31,26.6732
2020-04-01,26.6732
2020-04-02,26.6732
2020-04-03,26.6732
