,CNNE US Equity
,RETURN_COM_EQY
2020-01-01,5.9163
2020-01-02,5.9163
2020-01-03,5.9163
2020-01-04,5.9163
2020-01-05,5.9163
2020-01-06,5.9163
2020-01-07,5.9163
2020-01-08,5.9163
2020-01-09,5.9163
2020-01-10,5.9163
2020-01-11,5.9163
2020-01-12,5.9163
2020-01-13,5.9163
2020-01-14,5.9163
2020-01-15,5.9163
2020-01-16,5.9163
2020-01-17,5.9163
2020-01-18,5.9163
2020-01-19,5.9163
2020-01-20,5.9163
2020-01-21,5.9163
2020-01-22,5.9163
2020-01-23,5.9163
2020-01-24,5.9163
2020-01-25,5.9163
2020-01-26,5.9163
2020-01-27,5.9163
2020-01-28,5.9163
2020-01-29,5.9163
2020-01-30,5.9163
2020-01-31,5.9163
2020-02-01,5.9163
2020-02-02,5.9163
2020-02-03,5.9163
2020-02-04,5.9163
2020-02-05,5.9163
2020-02-06,5.9163
2020-02-07,5.9163
2020-02-08,5.9163
2020-02-09,5.9163
2020-02-10,5.9163
2020-02-11,5.9163
2020-02-12,5.9163
2020-02-13,5.9163
2020-02-14,5.9163
2020-02-15,5.9163
2020-02-16,5.9163
2020-02-17,5.9163
2020-02-18,5.9163
2020-02-19,5.9163
2020-02-20,5.9163
2020-02-21,5.9163
2020-02-22,5.9163
2020-02-23,5.9163
2020-02-24,5.9163
2020-02-25,5.9163
2020-02-26,5.9163
2020-02-27,5.9163
2020-02-28,5.9163
2020-02-29,5.9163
2020-03-01,5.9163
2020-03-02,5.9163
2020-03-03,5.9163
2020-03-04,5.9163
2020-03-05,5.9163
2020-03-06,5.9163
2020-03-07,5.9163
2020-03-08,5.9163
2020-03-09,5.9163
2020-03-10,5.9163
2020-03-11,5.9163
2020-03-12,5.9163
2020-03-13,5.9163
2020-03-14,5.9163
2020-03-15,5.9163
2020-03-16,5.9163
2020-03-17,5.9163
2020-03-18,5.9163
2020-03-19,5.9163
2020-03-20,5.9163
2020-03-21,5.9163
2020-03-22,5.9163
2020-03-23,5.9163
2020-03-24,5.9163
2020-03-25,5.9163
2020-03-26,5.9163
2020-03-27,5.9163
2020-03-28,5.9163
2020-03-29,5.9163
2020-03-30,5.9163
2020-03-31,44.4871
2020-04-01,44.4871
2020-04-02,44.4871
2020-04-03,44.4871
2020-04-04,44.4871
2020-04-05,44.4871
2020-04-06,44.4871
2020-04-07,44.4871
2020-04-08,44.4871
2020-04-09,44.4871
2020-04-10,44.4871
2020-04-11,44.4871
2020-04-12,44.4871
2020-04-13,44.4871
2020-04-14,44.4871
