,ROP US Equity
2023-03-10,32.9307
2023-03-11,32.9307
2023-03-12,32.9307
2023-03-13,32.9307
2023-03-14,32.9307
2023-03-15,32.9307
2023-03-16,32.9307
2023-03-17,32.9307
2023-03-18,32.9307
2023-03-19,32.9307
2023-03-20,32.9307
2023-03-21,32.9307
2023-03-22,32.9307
2023-03-23,32.9307
2023-03-24,32.9307
2023-03-25,32.9307
2023-03-26,32.9307
2023-03-27,32.9307
2023-03-28,32.9307
2023-03-29,32.9307
2023-03-30,32.9307
2023-03-31,18.7876
2023-04-01,18.7876
2023-04-02,18.7876
2023-04-03,18.7876
2023-04-04,18.7876
2023-04-05,18.7876
2023-04-06,18.7876
2023-04-07,18.7876
2023-04-08,18.7876
2023-04-09,18.7876
2023-04-10,18.7876
2023-04-11,18.7876
2023-04-12,18.7876
2023-04-13,18.7876
2023-04-14,18.7876
2023-04-15,18.7876
2023-04-16,18.7876
2023-04-17,18.7876
2023-04-18,18.7876
2023-04-19,18.7876
2023-04-20,18.7876
2023-04-21,18.7876
2023-04-22,18.7876
2023-04-23,18.7876
2023-04-24,18.7876
2023-04-25,18.7876
2023-04-26,18.7876
2023-04-27,18.7876
2023-04-28,18.7876
2023-04-29,18.7876
2023-04-30,18.7876
2023-05-01,18.7876
2023-05-02,18.7876
2023-05-03,18.7876
2023-05-04,18.7876
2023-05-05,18.7876
2023-05-06,18.7876
2023-05-07,18.7876
2023-05-08,18.7876
2023-05-09,18.7876
2023-05-10,18.7876
2023-05-11,18.7876
2023-05-12,18.7876
2023-05-13,18.7876
2023-05-14,18.7876
2023-05-15,18.7876
2023-05-16,18.7876
2023-05-17,18.7876
2023-05-18,18.7876
2023-05-19,18.7876
2023-05-20,18.7876
2023-05-21,18.7876
2023-05-22,18.7876
2023-05-23,18.7876
2023-05-24,18.7876
2023-05-25,18.7876
2023-05-26,18.7876
2023-05-27,18.7876
2023-05-28,18.7876
2023-05-29,18.7876
2023-05-30,18.7876
2023-05-31,18.7876
2023-06-01,18.7876
2023-06-02,18.7876
2023-06-03,18.7876
2023-06-04,18.7876
2023-06-05,18.7876
2023-06-06,18.7876
2023-06-07,18.7876
2023-06-08,18.7876
2023-06-09,18.7876
2023-06-10,18.7876
2023-06-11,18.7876
2023-06-12,18.7876
2023-06-13,18.7876
2023-06-14,18.7876
2023-06-15,18.7876
2023-06-16,18.7876
2023-06-17,18.7876
2023-06-18,18.7876
2023-06-19,18.7876
2023-06-20,18.7876
2023-06-21,18.7876
2023-06-22,18.7876
2023-06-23,18.7876
2023-06-24,18.7876
2023-06-25,18.7876
2023-06-26,18.7876
2023-06-27,18.7876
2023-06-28,18.7876
2023-06-29,18.7876
2023-06-30,19.0559
2023-07-01,19.0559
2023-07-02,19.0559
2023-07-03,19.0559
2023-07-04,19.0559
2023-07-05,19.0559
2023-07-06,19.0559
2023-07-07,19.0559
2023-07-08,19.0559
2023-07-09,19.0559
2023-07-10,19.0559
2023-07-11,19.0559
2023-07-12,19.0559
2023-07-13,19.0559
2023-07-14,19.0559
2023-07-15,19.0559
2023-07-16,19.0559
2023-07-17,19.0559
2023-07-18,19.0559
2023-07-19,19.0559
2023-07-20,19.0559
2023-07-21,19.0559
2023-07-22,19.0559
2023-07-23,19.0559
2023-07-24,19.0559
2023-07-25,19.0559
2023-07-26,19.0559
2023-07-27,19.0559
2023-07-28,19.0559
2023-07-29,19.0559
2023-07-30,19.0559
2023-07-31,19.0559
2023-08-01,19.0559
2023-08-02,19.0559
2023-08-03,19.0559
2023-08-04,19.0559
2023-08-05,19.0559
2023-08-06,19.0559
2023-08-07,19.0559
2023-08-08,19.0559
2023-08-09,19.0559
2023-08-10,19.0559
2023-08-11,19.0559
2023-08-12,19.0559
2023-08-13,19.0559
2023-08-14,19.0559
2023-08-15,19.0559
2023-08-16,19.0559
2023-08-17,19.0559
2023-08-18,19.0559
2023-08-19,19.0559
2023-08-20,19.0559
2023-08-21,19.0559
2023-08-22,19.0559
2023-08-23,19.0559
2023-08-24,19.0559
2023-08-25,19.0559
2023-08-26,19.0559
2023-08-27,19.0559
2023-08-28,19.0559
2023-08-29,19.0559
2023-08-30,19.0559
2023-08-31,19.0559
2023-09-01,19.0559
2023-09-02,19.0559
2023-09-03,19.0559
2023-09-04,19.0559
2023-09-05,19.0559
2023-09-06,19.0559
2023-09-07,19.0559
2023-09-08,19.0559
2023-09-09,19.0559
2023-09-10,19.0559
2023-09-11,19.0559
2023-09-12,19.0559
2023-09-13,19.0559
2023-09-14,19.0559
2023-09-15,19.0559
2023-09-16,19.0559
2023-09-17,19.0559
2023-09-18,19.0559
2023-09-19,19.0559
2023-09-20,19.0559
2023-09-21,19.0559
2023-09-22,19.0559
2023-09-23,19.0559
2023-09-24,19.0559
2023-09-25,19.0559
2023-09-26,19.0559
2023-09-27,19.0559
2023-09-28,19.0559
2023-09-29,19.0559
2023-09-30,18.9251
2023-10-01,18.9251
2023-10-02,18.9251
2023-10-03,18.9251
2023-10-04,18.9251
2023-10-05,18.9251
2023-10-06,18.9251
2023-10-07,18.9251
2023-10-08,18.9251
2023-10-09,18.9251
2023-10-10,18.9251
2023-10-11,18.9251
2023-10-12,18.9251
2023-10-13,18.9251
2023-10-14,18.9251
2023-10-15,18.9251
2023-10-16,18.9251
2023-10-17,18.9251
2023-10-18,18.9251
2023-10-19,18.9251
2023-10-20,18.9251
2023-10-21,18.9251
2023-10-22,18.9251
2023-10-23,18.9251
2023-10-24,18.9251
2023-10-25,18.9251
2023-10-26,18.9251
2023-10-27,18.9251
2023-10-28,18.9251
2023-10-29,18.9251
2023-10-30,18.9251
2023-10-31,18.9251
2023-11-01,18.9251
2023-11-02,18.9251
2023-11-03,18.9251
2023-11-04,18.9251
2023-11-05,18.9251
2023-11-06,18.9251
2023-11-07,18.9251
2023-11-08,18.9251
2023-11-09,18.9251
2023-11-10,18.9251
2023-11-11,18.9251
2023-11-12,18.9251
2023-11-13,18.9251
2023-11-14,18.9251
2023-11-15,18.9251
2023-11-16,18.9251
2023-11-17,18.9251
2023-11-18,18.9251
2023-11-19,18.9251
2023-11-20,18.9251
2023-11-21,18.9251
2023-11-22,18.9251
2023-11-23,18.9251
2023-11-24,18.9251
2023-11-25,18.9251
2023-11-26,18.9251
2023-11-27,18.9251
2023-11-28,18.9251
2023-11-29,18.9251
2023-11-30,18.9251
2023-12-01,18.9251
2023-12-02,18.9251
2023-12-03,18.9251
2023-12-04,18.9251
2023-12-05,18.9251
2023-12-06,18.9251
2023-12-07,18.9251
2023-12-08,18.9251
2023-12-09,18.9251
2023-12-10,18.9251
2023-12-11,18.9251
2023-12-12,18.9251
2023-12-13,18.9251
2023-12-14,18.9251
2023-12-15,18.9251
2023-12-16,18.9251
2023-12-17,18.9251
2023-12-18,18.9251
2023-12-19,18.9251
2023-12-20,18.9251
2023-12-21,18.9251
2023-12-22,18.9251
2023-12-23,18.9251
2023-12-24,18.9251
2023-12-25,18.9251
2023-12-26,18.9251
2023-12-27,18.9251
2023-12-28,18.9251
2023-12-29,18.9251
2023-12-30,18.9251
2023-12-31,8.2682
2024-01-01,8.2682
2024-01-02,8.2682
2024-01-03,8.2682
2024-01-04,8.2682
2024-01-05,8.2682
2024-01-06,8.2682
2024-01-07,8.2682
2024-01-08,8.2682
2024-01-09,8.2682
2024-01-10,8.2682
2024-01-11,8.2682
2024-01-12,8.2682
2024-01-13,8.2682
2024-01-14,8.2682
2024-01-15,8.2682
2024-01-16,8.2682
2024-01-17,8.2682
2024-01-18,8.2682
2024-01-19,8.2682
2024-01-20,8.2682
2024-01-21,8.2682
2024-01-22,8.2682
2024-01-23,8.2682
2024-01-24,8.2682
2024-01-25,8.2682
2024-01-26,8.2682
2024-01-27,8.2682
2024-01-28,8.2682
2024-01-29,8.2682
2024-01-30,8.2682
2024-01-31,8.2682
2024-02-01,8.2682
2024-02-02,8.2682
2024-02-03,8.2682
2024-02-04,8.2682
2024-02-05,8.2682
2024-02-06,8.2682
2024-02-07,8.2682
2024-02-08,8.2682
2024-02-09,8.2682
2024-02-10,8.2682
2024-02-11,8.2682
2024-02-12,8.2682
2024-02-13,8.2682
2024-02-14,8.2682
2024-02-15,8.2682
2024-02-16,8.2682
2024-02-17,8.2682
2024-02-18,8.2682
2024-02-19,8.2682
2024-02-20,8.2682
2024-02-21,8.2682
2024-02-22,8.2682
2024-02-23,8.2682
2024-02-24,8.2682
2024-02-25,8.2682
2024-02-26,8.2682
2024-02-27,8.2682
2024-02-28,8.2682
2024-02-29,8.2682
2024-03-01,8.2682
2024-03-02,8.2682
2024-03-03,8.2682
2024-03-04,8.2682
2024-03-05,8.2682
2024-03-06,8.2682
2024-03-07,8.2682
2024-03-08,8.2682
2024-03-09,8.2682
2024-03-10,8.2682
2024-03-11,8.2682
2024-03-12,8.2682
2024-03-13,8.2682
2024-03-14,8.2682
2024-03-15,8.2682
2024-03-16,8.2682
2024-03-17,8.2682
2024-03-18,8.2682
2024-03-19,8.2682
2024-03-20,8.2682
2024-03-21,8.2682
2024-03-22,8.2682
2024-03-23,8.2682
2024-03-24,8.2682
2024-03-25,8.2682
2024-03-26,8.2682
2024-03-27,8.2682
2024-03-28,8.2682
2024-03-29,8.2682
2024-03-30,8.2682
2024-03-31,8.2682
2024-04-01,8.2682
2024-04-02,8.2682
2024-04-03,8.2682
2024-04-04,8.2682
2024-04-05,8.2682
2024-04-06,8.2682
2024-04-07,8.2682
2024-04-08,8.2682
