,HCC US Equity
,RETURN_COM_EQY
2020-01-01,40.8202
2020-01-02,40.8202
2020-01-03,40.8202
2020-01-04,40.8202
2020-01-05,40.8202
2020-01-06,40.8202
2020-01-07,40.8202
2020-01-08,40.8202
2020-01-09,40.8202
2020-01-10,40.8202
2020-01-11,40.8202
2020-01-12,40.8202
2020-01-13,40.8202
2020-01-14,40.8202
2020-01-15,40.8202
2020-01-16,40.8202
2020-01-17,40.8202
2020-01-18,40.8202
2020-01-19,40.8202
2020-01-20,40.8202
2020-01-21,40.8202
2020-01-22,40.8202
2020-01-23,40.8202
2020-01-24,40.8202
2020-01-25,40.8202
2020-01-26,40.8202
2020-01-27,40.8202
2020-01-28,40.8202
2020-01-29,40.8202
2020-01-30,40.8202
2020-01-31,40.8202
2020-02-01,40.8202
2020-02-02,40.8202
2020-02-03,40.8202
2020-02-04,40.8202
2020-02-05,40.8202
2020-02-06,40.8202
2020-02-07,40.8202
2020-02-08,40.8202
2020-02-09,40.8202
2020-02-10,40.8202
2020-02-11,40.8202
2020-02-12,40.8202
2020-02-13,40.8202
2020-02-14,40.8202
2020-02-15,40.8202
2020-02-16,40.8202
2020-02-17,40.8202
2020-02-18,40.8202
2020-02-19,40.8202
2020-02-20,40.8202
2020-02-21,40.8202
2020-02-22,40.8202
2020-02-23,40.8202
2020-02-24,40.8202
2020-02-25,40.8202
2020-02-26,40.8202
2020-02-27,40.8202
2020-02-28,40.8202
2020-02-29,40.8202
2020-03-01,40.8202
2020-03-02,40.8202
2020-03-03,40.8202
2020-03-04,40.8202
2020-03-05,40.8202
2020-03-06,40.8202
2020-03-07,40.8202
2020-03-08,40.8202
2020-03-09,40.8202
2020-03-10,40.8202
2020-03-11,40.8202
2020-03-12,40.8202
2020-03-13,40.8202
2020-03-14,40.8202
2020-03-15,40.8202
2020-03-16,40.8202
2020-03-17,40.8202
2020-03-18,40.8202
2020-03-19,40.8202
2020-03-20,40.8202
2020-03-21,40.8202
2020-03-22,40.8202
2020-03-23,40.8202
2020-03-24,40.8202
2020-03-25,40.8202
2020-03-26,40.8202
2020-03-27,40.8202
2020-03-28,40.8202
2020-03-29,40.8202
2020-03-30,40.8202
2020-03-31,26.5305
2020-04-01,26.5305
2020-04-02,26.5305
2020-04-03,26.5305
2020-04-04,26.5305
2020-04-05,26.5305
2020-04-06,26.5305
2020-04-07,26.5305
2020-04-08,26.5305
2020-04-09,26.5305
2020-04-10,26.5305
2020-04-11,26.5305
2020-04-12,26.5305
2020-04-13,26.5305
2020-04-14,26.5305
2020-04-15,26.5305
2020-04-16,26.5305
2020-04-17,26.5305
2020-04-18,26.5305
2020-04-19,26.5305
2020-04-20,26.5305
2020-04-21,26.5305
2020-04-22,26.5305
2020-04-23,26.5305
2020-04-24,26.5305
2020-04-25,26.5305
2020-04-26,26.5305
2020-04-27,26.5305
2020-04-28,26.5305
2020-04-29,26.5305
2020-04-30,26.5305
2020-05-01,26.5305
2020-05-02,26.5305
2020-05-03,26.5305
2020-05-04,26.5305
2020-05-05,26.5305
2020-05-06,26.5305
2020-05-07,26.5305
2020-05-08,26.5305
2020-05-09,26.5305
2020-05-10,26.5305
2020-05-11,26.5305
2020-05-12,26.5305
2020-05-13,26.5305
2020-05-14,26.5305
2020-05-15,26.5305
2020-05-16,26.5305
2020-05-17,26.5305
2020-05-18,26.5305
2020-05-19,26.5305
2020-05-20,26.5305
2020-05-21,26.5305
2020-05-22,26.5305
2020-05-23,26.5305
2020-05-24,26.5305
2020-05-25,26.5305
2020-05-26,26.5305
2020-05-27,26.5305
2020-05-28,26.5305
2020-05-29,26.5305
2020-05-30,26.5305
2020-05-31,26.5305
2020-06-01,26.5305
2020-06-02,26.5305
2020-06-03,26.5305
2020-06-04,26.5305
2020-06-05,26.5305
2020-06-06,26.5305
2020-06-07,26.5305
2020-06-08,26.5305
2020-06-09,26.5305
