,NAVI US Equity
,RETURN_COM_EQY
2020-01-01,17.4179
2020-01-02,17.4179
2020-01-03,17.4179
2020-01-04,17.4179
2020-01-05,17.4179
2020-01-06,17.4179
2020-01-07,17.4179
2020-01-08,17.4179
2020-01-09,17.4179
2020-01-10,17.4179
2020-01-11,17.4179
2020-01-12,17.4179
2020-01-13,17.4179
2020-01-14,17.4179
2020-01-15,17.4179
2020-01-16,17.4179
2020-01-17,17.4179
2020-01-18,17.4179
2020-01-19,17.4179
2020-01-20,17.4179
2020-01-21,17.4179
2020-01-22,17.4179
2020-01-23,17.4179
2020-01-24,17.4179
2020-01-25,17.4179
2020-01-26,17.4179
2020-01-27,17.4179
2020-01-28,17.4179
2020-01-29,17.4179
2020-01-30,17.4179
2020-01-31,17.4179
2020-02-01,17.4179
2020-02-02,17.4179
2020-02-03,17.4179
2020-02-04,17.4179
2020-02-05,17.4179
2020-02-06,17.4179
2020-02-07,17.4179
2020-02-08,17.4179
2020-02-09,17.4179
2020-02-10,17.4179
2020-02-11,17.4179
2020-02-12,17.4179
2020-02-13,17.4179
2020-02-14,17.4179
2020-02-15,17.4179
2020-02-16,17.4179
2020-02-17,17.4179
2020-02-18,17.4179
2020-02-19,17.4179
2020-02-20,17.4179
2020-02-21,17.4179
2020-02-22,17.4179
2020-02-23,17.4179
2020-02-24,17.4179
2020-02-25,17.4179
2020-02-26,17.4179
2020-02-27,17.4179
2020-02-28,17.4179
2020-02-29,17.4179
2020-03-01,17.4179
2020-03-02,17.4179
2020-03-03,17.4179
2020-03-04,17.4179
2020-03-05,17.4179
2020-03-06,17.4179
2020-03-07,17.4179
2020-03-08,17.4179
2020-03-09,17.4179
2020-03-10,17.4179
2020-03-11,17.4179
2020-03-12,17.4179
2020-03-13,17.4179
2020-03-14,17.4179
2020-03-15,17.4179
2020-03-16,17.4179
2020-03-17,17.4179
2020-03-18,17.4179
2020-03-19,17.4179
2020-03-20,17.4179
2020-03-21,17.4179
2020-03-22,17.4179
2020-03-23,17.4179
2020-03-24,17.4179
2020-03-25,17.4179
