,HBI US Equity
,RETURN_COM_EQY
2020-01-01,56.9748
2020-01-02,56.9748
2020-01-03,56.9748
2020-01-04,56.9748
2020-01-05,56.9748
2020-01-06,56.9748
2020-01-07,56.9748
2020-01-08,56.9748
2020-01-09,56.9748
2020-01-10,56.9748
2020-01-11,56.9748
2020-01-12,56.9748
2020-01-13,56.9748
2020-01-14,56.9748
2020-01-15,56.9748
2020-01-16,56.9748
2020-01-17,56.9748
2020-01-18,56.9748
2020-01-19,56.9748
2020-01-20,56.9748
2020-01-21,56.9748
2020-01-22,56.9748
2020-01-23,56.9748
2020-01-24,56.9748
2020-01-25,56.9748
2020-01-26,56.9748
2020-01-27,56.9748
2020-01-28,56.9748
2020-01-29,56.9748
2020-01-30,56.9748
2020-01-31,56.9748
2020-02-01,56.9748
2020-02-02,56.9748
2020-02-03,56.9748
2020-02-04,56.9748
2020-02-05,56.9748
2020-02-06,56.9748
2020-02-07,56.9748
2020-02-08,56.9748
2020-02-09,56.9748
2020-02-10,56.9748
2020-02-11,56.9748
2020-02-12,56.9748
2020-02-13,56.9748
2020-02-14,56.9748
2020-02-15,56.9748
2020-02-16,56.9748
2020-02-17,56.9748
2020-02-18,56.9748
2020-02-19,56.9748
2020-02-20,56.9748
2020-02-21,56.9748
2020-02-22,56.9748
2020-02-23,56.9748
2020-02-24,56.9748
2020-02-25,56.9748
2020-02-26,56.9748
2020-02-27,56.9748
2020-02-28,56.9748
2020-02-29,56.9748
2020-03-01,56.9748
2020-03-02,56.9748
2020-03-03,56.9748
2020-03-04,56.9748
2020-03-05,56.9748
2020-03-06,56.9748
2020-03-07,56.9748
2020-03-08,56.9748
2020-03-09,56.9748
2020-03-10,56.9748
2020-03-11,56.9748
2020-03-12,56.9748
2020-03-13,56.9748
2020-03-14,56.9748
2020-03-15,56.9748
2020-03-16,56.9748
2020-03-17,56.9748
2020-03-18,56.9748
2020-03-19,56.9748
2020-03-20,56.9748
2020-03-21,56.9748
2020-03-22,56.9748
2020-03-23,56.9748
2020-03-24,56.9748
2020-03-25,56.9748
2020-03-26,56.9748
2020-03-27,56.9748
2020-03-28,56.6555
2020-03-29,56.6555
2020-03-30,56.6555
2020-03-31,56.6555
2020-04-01,56.6555
2020-04-02,56.6555
2020-04-03,56.6555
2020-04-04,56.6555
2020-04-05,56.6555
2020-04-06,56.6555
2020-04-07,56.6555
2020-04-08,56.6555
2020-04-09,56.6555
2020-04-10,56.6555
2020-04-11,56.6555
2020-04-12,56.6555
2020-04-13,56.6555
2020-04-14,56.6555
2020-04-15,56.6555
2020-04-16,56.6555
2020-04-17,56.6555
2020-04-18,56.6555
2020-04-19,56.6555
2020-04-20,56.6555
2020-04-21,56.6555
2020-04-22,56.6555
2020-04-23,56.6555
2020-04-24,56.6555
2020-04-25,56.6555
2020-04-26,56.6555
2020-04-27,56.6555
2020-04-28,56.6555
2020-04-29,56.6555
2020-04-30,56.6555
2020-05-01,56.6555
2020-05-02,56.6555
2020-05-03,56.6555
2020-05-04,56.6555
2020-05-05,56.6555
2020-05-06,56.6555
2020-05-07,56.6555
2020-05-08,56.6555
2020-05-09,56.6555
2020-05-10,56.6555
2020-05-11,56.6555
2020-05-12,56.6555
2020-05-13,56.6555
2020-05-14,56.6555
2020-05-15,56.6555
2020-05-16,56.6555
2020-05-17,56.6555
2020-05-18,56.6555
2020-05-19,56.6555
2020-05-20,56.6555
2020-05-21,56.6555
2020-05-22,56.6555
2020-05-23,56.6555
2020-05-24,56.6555
2020-05-25,56.6555
2020-05-26,56.6555
2020-05-27,56.6555
2020-05-28,56.6555
2020-05-29,56.6555
2020-05-30,56.6555
2020-05-31,56.6555
