,MXL US Equity
,RETURN_COM_EQY
2020-01-01,-4.8838
2020-01-02,-4.8838
2020-01-03,-4.8838
2020-01-04,-4.8838
2020-01-05,-4.8838
2020-01-06,-4.8838
2020-01-07,-4.8838
2020-01-08,-4.8838
2020-01-09,-4.8838
2020-01-10,-4.8838
2020-01-11,-4.8838
2020-01-12,-4.8838
2020-01-13,-4.8838
2020-01-14,-4.8838
2020-01-15,-4.8838
2020-01-16,-4.8838
2020-01-17,-4.8838
2020-01-18,-4.8838
2020-01-19,-4.8838
2020-01-20,-4.8838
2020-01-21,-4.8838
2020-01-22,-4.8838
2020-01-23,-4.8838
2020-01-24,-4.8838
2020-01-25,-4.8838
2020-01-26,-4.8838
2020-01-27,-4.8838
2020-01-28,-4.8838
2020-01-29,-4.8838
2020-01-30,-4.8838
2020-01-31,-4.8838
2020-02-01,-4.8838
2020-02-02,-4.8838
2020-02-03,-4.8838
2020-02-04,-4.8838
2020-02-05,-4.8838
2020-02-06,-4.8838
2020-02-07,-4.8838
2020-02-08,-4.8838
2020-02-09,-4.8838
2020-02-10,-4.8838
2020-02-11,-4.8838
2020-02-12,-4.8838
2020-02-13,-4.8838
2020-02-14,-4.8838
2020-02-15,-4.8838
2020-02-16,-4.8838
2020-02-17,-4.8838
2020-02-18,-4.8838
2020-02-19,-4.8838
2020-02-20,-4.8838
2020-02-21,-4.8838
2020-02-22,-4.8838
2020-02-23,-4.8838
2020-02-24,-4.8838
2020-02-25,-4.8838
2020-02-26,-4.8838
2020-02-27,-4.8838
2020-02-28,-4.8838
2020-02-29,-4.8838
2020-03-01,-4.8838
2020-03-02,-4.8838
2020-03-03,-4.8838
2020-03-04,-4.8838
2020-03-05,-4.8838
2020-03-06,-4.8838
2020-03-07,-4.8838
2020-03-08,-4.8838
2020-03-09,-4.8838
2020-03-10,-4.8838
2020-03-11,-4.8838
2020-03-12,-4.8838
2020-03-13,-4.8838
2020-03-14,-4.8838
2020-03-15,-4.8838
2020-03-16,-4.8838
2020-03-17,-4.8838
2020-03-18,-4.8838
2020-03-19,-4.8838
2020-03-20,-4.8838
2020-03-21,-4.8838
2020-03-22,-4.8838
2020-03-23,-4.8838
2020-03-24,-4.8838
2020-03-25,-4.8838
2020-03-26,-4.8838
2020-03-27,-4.8838
2020-03-28,-4.8838
2020-03-29,-4.8838
2020-03-30,-4.8838
2020-03-31,-7.4761
2020-04-01,-7.4761
2020-04-02,-7.4761
2020-04-03,-7.4761
2020-04-04,-7.4761
2020-04-05,-7.4761
2020-04-06,-7.4761
2020-04-07,-7.4761
2020-04-08,-7.4761
2020-04-09,-7.4761
2020-04-10,-7.4761
2020-04-11,-7.4761
2020-04-12,-7.4761
2020-04-13,-7.4761
2020-04-14,-7.4761
2020-04-15,-7.4761
2020-04-16,-7.4761
2020-04-17,-7.4761
2020-04-18,-7.4761
2020-04-19,-7.4761
2020-04-20,-7.4761
2020-04-21,-7.4761
2020-04-22,-7.4761
2020-04-23,-7.4761
2020-04-24,-7.4761
2020-04-25,-7.4761
2020-04-26,-7.4761
2020-04-27,-7.4761
2020-04-28,-7.4761
2020-04-29,-7.4761
2020-04-30,-7.4761
2020-05-01,-7.4761
2020-05-02,-7.4761
2020-05-03,-7.4761
2020-05-04,-7.4761
2020-05-05,-7.4761
2020-05-06,-7.4761
2020-05-07,-7.4761
2020-05-08,-7.4761
2020-05-09,-7.4761
2020-05-10,-7.4761
2020-05-11,-7.4761
2020-05-12,-7.4761
2020-05-13,-7.4761
2020-05-14,-7.4761
2020-05-15,-7.4761
2020-05-16,-7.4761
2020-05-17,-7.4761
2020-05-18,-7.4761
2020-05-19,-7.4761
2020-05-20,-7.4761
2020-05-21,-7.4761
2020-05-22,-7.4761
2020-05-23,-7.4761
2020-05-24,-7.4761
2020-05-25,-7.4761
2020-05-26,-7.4761
2020-05-27,-7.4761
2020-05-28,-7.4761
2020-05-29,-7.4761
2020-05-30,-7.4761
2020-05-31,-7.4761
2020-06-01,-7.4761
2020-06-02,-7.4761
2020-06-03,-7.4761
2020-06-04,-7.4761
2020-06-05,-7.4761
2020-06-06,-7.4761
2020-06-07,-7.4761
2020-06-08,-7.4761
2020-06-09,-7.4761
2020-06-10,-7.4761
2020-06-11,-7.4761
2020-06-12,-7.4761
2020-06-13,-7.4761
2020-06-14,-7.4761
2020-06-15,-7.4761
2020-06-16,-7.4761
2020-06-17,-7.4761
2020-06-18,-7.4761
2020-06-19,-7.4761
2020-06-20,-7.4761
2020-06-21,-7.4761
2020-06-22,-7.4761
2020-06-23,-7.4761
2020-06-24,-7.4761
2020-06-25,-7.4761
2020-06-26,-7.4761
2020-06-27,-7.4761
2020-06-28,-7.4761
2020-06-29,-7.4761
2020-06-30,-12.3179
2020-07-01,-12.3179
2020-07-02,-12.3179
2020-07-03,-12.3179
2020-07-04,-12.3179
2020-07-05,-12.3179
2020-07-06,-12.3179
2020-07-07,-12.3179
2020-07-08,-12.3179
2020-07-09,-12.3179
2020-07-10,-12.3179
2020-07-11,-12.3179
2020-07-12,-12.3179
2020-07-13,-12.3179
2020-07-14,-12.3179
2020-07-15,-12.3179
2020-07-16,-12.3179
2020-07-17,-12.3179
2020-07-18,-12.3179
2020-07-19,-12.3179
2020-07-20,-12.3179
