,ROK US Equity
2023-03-10,39.5631
2023-03-11,39.5631
2023-03-12,39.5631
2023-03-13,39.5631
2023-03-14,39.5631
2023-03-15,39.5631
2023-03-16,39.5631
2023-03-17,39.5631
2023-03-18,39.5631
2023-03-19,39.5631
2023-03-20,39.5631
2023-03-21,39.5631
2023-03-22,39.5631
2023-03-23,39.5631
2023-03-24,39.5631
2023-03-25,39.5631
2023-03-26,39.5631
2023-03-27,39.5631
2023-03-28,39.5631
2023-03-29,39.5631
2023-03-30,39.5631
2023-03-31,45.5207
2023-04-01,45.5207
2023-04-02,45.5207
2023-04-03,45.5207
2023-04-04,45.5207
2023-04-05,45.5207
2023-04-06,45.5207
2023-04-07,45.5207
2023-04-08,45.5207
2023-04-09,45.5207
2023-04-10,45.5207
2023-04-11,45.5207
2023-04-12,45.5207
2023-04-13,45.5207
2023-04-14,45.5207
2023-04-15,45.5207
2023-04-16,45.5207
2023-04-17,45.5207
2023-04-18,45.5207
2023-04-19,45.5207
2023-04-20,45.5207
2023-04-21,45.5207
2023-04-22,45.5207
2023-04-23,45.5207
2023-04-24,45.5207
2023-04-25,45.5207
2023-04-26,45.5207
2023-04-27,45.5207
2023-04-28,45.5207
2023-04-29,45.5207
2023-04-30,45.5207
2023-05-01,45.5207
2023-05-02,45.5207
2023-05-03,45.5207
2023-05-04,45.5207
2023-05-05,45.5207
2023-05-06,45.5207
2023-05-07,45.5207
2023-05-08,45.5207
2023-05-09,45.5207
2023-05-10,45.5207
2023-05-11,45.5207
2023-05-12,45.5207
2023-05-13,45.5207
2023-05-14,45.5207
2023-05-15,45.5207
2023-05-16,45.5207
2023-05-17,45.5207
2023-05-18,45.5207
2023-05-19,45.5207
2023-05-20,45.5207
2023-05-21,45.5207
2023-05-22,45.5207
2023-05-23,45.5207
2023-05-24,45.5207
2023-05-25,45.5207
2023-05-26,45.5207
2023-05-27,45.5207
2023-05-28,45.5207
2023-05-29,45.5207
2023-05-30,45.5207
2023-05-31,45.5207
2023-06-01,45.5207
2023-06-02,45.5207
2023-06-03,45.5207
2023-06-04,45.5207
2023-06-05,45.5207
2023-06-06,45.5207
2023-06-07,45.5207
2023-06-08,45.5207
2023-06-09,45.5207
2023-06-10,45.5207
2023-06-11,45.5207
2023-06-12,45.5207
2023-06-13,45.5207
2023-06-14,45.5207
2023-06-15,45.5207
2023-06-16,45.5207
2023-06-17,45.5207
2023-06-18,45.5207
2023-06-19,45.5207
2023-06-20,45.5207
2023-06-21,45.5207
2023-06-22,45.5207
2023-06-23,45.5207
2023-06-24,45.5207
2023-06-25,45.5207
2023-06-26,45.5207
2023-06-27,45.5207
2023-06-28,45.5207
2023-06-29,45.5207
2023-06-30,49.4873
2023-07-01,49.4873
2023-07-02,49.4873
2023-07-03,49.4873
2023-07-04,49.4873
2023-07-05,49.4873
2023-07-06,49.4873
2023-07-07,49.4873
2023-07-08,49.4873
2023-07-09,49.4873
2023-07-10,49.4873
2023-07-11,49.4873
2023-07-12,49.4873
2023-07-13,49.4873
2023-07-14,49.4873
2023-07-15,49.4873
2023-07-16,49.4873
2023-07-17,49.4873
2023-07-18,49.4873
2023-07-19,49.4873
2023-07-20,49.4873
2023-07-21,49.4873
2023-07-22,49.4873
2023-07-23,49.4873
2023-07-24,49.4873
2023-07-25,49.4873
2023-07-26,49.4873
2023-07-27,49.4873
2023-07-28,49.4873
2023-07-29,49.4873
2023-07-30,49.4873
2023-07-31,49.4873
2023-08-01,49.4873
2023-08-02,49.4873
2023-08-03,49.4873
2023-08-04,49.4873
2023-08-05,49.4873
2023-08-06,49.4873
2023-08-07,49.4873
2023-08-08,49.4873
2023-08-09,49.4873
2023-08-10,49.4873
2023-08-11,49.4873
2023-08-12,49.4873
2023-08-13,49.4873
2023-08-14,49.4873
2023-08-15,49.4873
2023-08-16,49.4873
2023-08-17,49.4873
2023-08-18,49.4873
2023-08-19,49.4873
2023-08-20,49.4873
2023-08-21,49.4873
2023-08-22,49.4873
2023-08-23,49.4873
2023-08-24,49.4873
2023-08-25,49.4873
2023-08-26,49.4873
2023-08-27,49.4873
2023-08-28,49.4873
2023-08-29,49.4873
2023-08-30,49.4873
2023-08-31,49.4873
2023-09-01,49.4873
2023-09-02,49.4873
2023-09-03,49.4873
2023-09-04,49.4873
2023-09-05,49.4873
2023-09-06,49.4873
2023-09-07,49.4873
2023-09-08,49.4873
2023-09-09,49.4873
2023-09-10,49.4873
2023-09-11,49.4873
2023-09-12,49.4873
2023-09-13,49.4873
2023-09-14,49.4873
2023-09-15,49.4873
2023-09-16,49.4873
2023-09-17,49.4873
2023-09-18,49.4873
2023-09-19,49.4873
2023-09-20,49.4873
2023-09-21,49.4873
2023-09-22,49.4873
2023-09-23,49.4873
2023-09-24,49.4873
2023-09-25,49.4873
2023-09-26,49.4873
2023-09-27,49.4873
2023-09-28,49.4873
2023-09-29,49.4873
2023-09-30,43.991
2023-10-01,43.991
2023-10-02,43.991
2023-10-03,43.991
2023-10-04,43.991
2023-10-05,43.991
2023-10-06,43.991
2023-10-07,43.991
2023-10-08,43.991
2023-10-09,43.991
2023-10-10,43.991
2023-10-11,43.991
2023-10-12,43.991
2023-10-13,43.991
2023-10-14,43.991
2023-10-15,43.991
2023-10-16,43.991
2023-10-17,43.991
2023-10-18,43.991
2023-10-19,43.991
2023-10-20,43.991
2023-10-21,43.991
2023-10-22,43.991
2023-10-23,43.991
2023-10-24,43.991
2023-10-25,43.991
2023-10-26,43.991
2023-10-27,43.991
2023-10-28,43.991
2023-10-29,43.991
2023-10-30,43.991
2023-10-31,43.991
2023-11-01,43.991
2023-11-02,43.991
2023-11-03,43.991
2023-11-04,43.991
2023-11-05,43.991
2023-11-06,43.991
2023-11-07,43.991
2023-11-08,43.991
2023-11-09,43.991
2023-11-10,43.991
2023-11-11,43.991
2023-11-12,43.991
2023-11-13,43.991
2023-11-14,43.991
2023-11-15,43.991
2023-11-16,43.991
2023-11-17,43.991
2023-11-18,43.991
2023-11-19,43.991
2023-11-20,43.991
2023-11-21,43.991
2023-11-22,43.991
2023-11-23,43.991
2023-11-24,43.991
2023-11-25,43.991
2023-11-26,43.991
2023-11-27,43.991
2023-11-28,43.991
2023-11-29,43.991
2023-11-30,43.991
2023-12-01,43.991
2023-12-02,43.991
2023-12-03,43.991
2023-12-04,43.991
2023-12-05,43.991
2023-12-06,43.991
2023-12-07,43.991
2023-12-08,43.991
2023-12-09,43.991
2023-12-10,43.991
2023-12-11,43.991
2023-12-12,43.991
2023-12-13,43.991
2023-12-14,43.991
2023-12-15,43.991
2023-12-16,43.991
2023-12-17,43.991
2023-12-18,43.991
2023-12-19,43.991
2023-12-20,43.991
2023-12-21,43.991
2023-12-22,43.991
2023-12-23,43.991
2023-12-24,43.991
2023-12-25,43.991
2023-12-26,43.991
2023-12-27,43.991
2023-12-28,43.991
2023-12-29,43.991
2023-12-30,43.991
2023-12-31,37.2741
2024-01-01,37.2741
2024-01-02,37.2741
2024-01-03,37.2741
2024-01-04,37.2741
2024-01-05,37.2741
2024-01-06,37.2741
2024-01-07,37.2741
2024-01-08,37.2741
2024-01-09,37.2741
2024-01-10,37.2741
2024-01-11,37.2741
2024-01-12,37.2741
2024-01-13,37.2741
2024-01-14,37.2741
2024-01-15,37.2741
2024-01-16,37.2741
2024-01-17,37.2741
2024-01-18,37.2741
2024-01-19,37.2741
2024-01-20,37.2741
2024-01-21,37.2741
2024-01-22,37.2741
2024-01-23,37.2741
2024-01-24,37.2741
2024-01-25,37.2741
2024-01-26,37.2741
2024-01-27,37.2741
2024-01-28,37.2741
2024-01-29,37.2741
2024-01-30,37.2741
2024-01-31,37.2741
2024-02-01,37.2741
2024-02-02,37.2741
2024-02-03,37.2741
2024-02-04,37.2741
2024-02-05,37.2741
2024-02-06,37.2741
2024-02-07,37.2741
2024-02-08,37.2741
2024-02-09,37.2741
2024-02-10,37.2741
2024-02-11,37.2741
2024-02-12,37.2741
2024-02-13,37.2741
2024-02-14,37.2741
2024-02-15,37.2741
2024-02-16,37.2741
2024-02-17,37.2741
2024-02-18,37.2741
2024-02-19,37.2741
2024-02-20,37.2741
2024-02-21,37.2741
2024-02-22,37.2741
2024-02-23,37.2741
2024-02-24,37.2741
2024-02-25,37.2741
2024-02-26,37.2741
2024-02-27,37.2741
2024-02-28,37.2741
2024-02-29,37.2741
2024-03-01,37.2741
2024-03-02,37.2741
2024-03-03,37.2741
2024-03-04,37.2741
2024-03-05,37.2741
2024-03-06,37.2741
2024-03-07,37.2741
2024-03-08,37.2741
2024-03-09,37.2741
2024-03-10,37.2741
2024-03-11,37.2741
2024-03-12,37.2741
2024-03-13,37.2741
2024-03-14,37.2741
2024-03-15,37.2741
2024-03-16,37.2741
2024-03-17,37.2741
2024-03-18,37.2741
2024-03-19,37.2741
2024-03-20,37.2741
2024-03-21,37.2741
2024-03-22,37.2741
2024-03-23,37.2741
2024-03-24,37.2741
2024-03-25,37.2741
2024-03-26,37.2741
2024-03-27,37.2741
2024-03-28,37.2741
2024-03-29,37.2741
2024-03-30,37.2741
2024-03-31,37.2741
2024-04-01,37.2741
2024-04-02,37.2741
2024-04-03,37.2741
2024-04-04,37.2741
2024-04-05,37.2741
2024-04-06,37.2741
2024-04-07,37.2741
2024-04-08,37.2741
