,BFH US Equity
2023-03-17,10.2046
2023-03-18,10.2046
2023-03-19,10.2046
2023-03-20,10.2046
2023-03-21,10.2046
2023-03-22,10.2046
2023-03-23,10.2046
2023-03-24,10.2046
2023-03-25,10.2046
2023-03-26,10.2046
2023-03-27,10.2046
2023-03-28,10.2046
2023-03-29,10.2046
2023-03-30,10.2046
2023-03-31,18.74
2023-04-01,18.74
2023-04-02,18.74
2023-04-03,18.74
2023-04-04,18.74
2023-04-05,18.74
2023-04-06,18.74
2023-04-07,18.74
2023-04-08,18.74
2023-04-09,18.74
2023-04-10,18.74
2023-04-11,18.74
2023-04-12,18.74
2023-04-13,18.74
2023-04-14,18.74
2023-04-15,18.74
2023-04-16,18.74
2023-04-17,18.74
2023-04-18,18.74
2023-04-19,18.74
2023-04-20,18.74
2023-04-21,18.74
2023-04-22,18.74
2023-04-23,18.74
2023-04-24,18.74
2023-04-25,18.74
2023-04-26,18.74
2023-04-27,18.74
2023-04-28,18.74
2023-04-29,18.74
2023-04-30,18.74
2023-05-01,18.74
2023-05-02,18.74
2023-05-03,18.74
2023-05-04,18.74
2023-05-05,18.74
2023-05-06,18.74
2023-05-07,18.74
2023-05-08,18.74
2023-05-09,18.74
2023-05-10,18.74
2023-05-11,18.74
2023-05-12,18.74
2023-05-13,18.74
2023-05-14,18.74
2023-05-15,18.74
2023-05-16,18.74
2023-05-17,18.74
2023-05-18,18.74
2023-05-19,18.74
2023-05-20,18.74
2023-05-21,18.74
2023-05-22,18.74
2023-05-23,18.74
2023-05-24,18.74
2023-05-25,18.74
2023-05-26,18.74
2023-05-27,18.74
2023-05-28,18.74
2023-05-29,18.74
2023-05-30,18.74
2023-05-31,18.74
2023-06-01,18.74
2023-06-02,18.74
2023-06-03,18.74
2023-06-04,18.74
2023-06-05,18.74
2023-06-06,18.74
2023-06-07,18.74
2023-06-08,18.74
2023-06-09,18.74
2023-06-10,18.74
2023-06-11,18.74
2023-06-12,18.74
2023-06-13,18.74
2023-06-14,18.74
2023-06-15,18.74
2023-06-16,18.74
2023-06-17,18.74
2023-06-18,18.74
2023-06-19,18.74
2023-06-20,18.74
2023-06-21,18.74
2023-06-22,18.74
2023-06-23,18.74
2023-06-24,18.74
2023-06-25,18.74
2023-06-26,18.74
2023-06-27,18.74
2023-06-28,18.74
2023-06-29,18.74
2023-06-30,20.0758
2023-07-01,20.0758
2023-07-02,20.0758
2023-07-03,20.0758
2023-07-04,20.0758
2023-07-05,20.0758
2023-07-06,20.0758
2023-07-07,20.0758
2023-07-08,20.0758
2023-07-09,20.0758
2023-07-10,20.0758
2023-07-11,20.0758
2023-07-12,20.0758
2023-07-13,20.0758
2023-07-14,20.0758
2023-07-15,20.0758
2023-07-16,20.0758
2023-07-17,20.0758
2023-07-18,20.0758
2023-07-19,20.0758
2023-07-20,20.0758
2023-07-21,20.0758
2023-07-22,20.0758
2023-07-23,20.0758
2023-07-24,20.0758
2023-07-25,20.0758
2023-07-26,20.0758
2023-07-27,20.0758
2023-07-28,20.0758
2023-07-29,20.0758
2023-07-30,20.0758
2023-07-31,20.0758
2023-08-01,20.0758
2023-08-02,20.0758
2023-08-03,20.0758
2023-08-04,20.0758
2023-08-05,20.0758
2023-08-06,20.0758
2023-08-07,20.0758
2023-08-08,20.0758
2023-08-09,20.0758
2023-08-10,20.0758
2023-08-11,20.0758
2023-08-12,20.0758
2023-08-13,20.0758
2023-08-14,20.0758
2023-08-15,20.0758
2023-08-16,20.0758
2023-08-17,20.0758
2023-08-18,20.0758
2023-08-19,20.0758
2023-08-20,20.0758
2023-08-21,20.0758
2023-08-22,20.0758
2023-08-23,20.0758
2023-08-24,20.0758
2023-08-25,20.0758
2023-08-26,20.0758
2023-08-27,20.0758
2023-08-28,20.0758
2023-08-29,20.0758
2023-08-30,20.0758
2023-08-31,20.0758
2023-09-01,20.0758
2023-09-02,20.0758
2023-09-03,20.0758
2023-09-04,20.0758
2023-09-05,20.0758
2023-09-06,20.0758
2023-09-07,20.0758
2023-09-08,20.0758
2023-09-09,20.0758
2023-09-10,20.0758
2023-09-11,20.0758
2023-09-12,20.0758
2023-09-13,20.0758
2023-09-14,20.0758
2023-09-15,20.0758
2023-09-16,20.0758
2023-09-17,20.0758
2023-09-18,20.0758
2023-09-19,20.0758
2023-09-20,20.0758
2023-09-21,20.0758
2023-09-22,20.0758
2023-09-23,20.0758
2023-09-24,20.0758
2023-09-25,20.0758
2023-09-26,20.0758
2023-09-27,20.0758
2023-09-28,20.0758
2023-09-29,20.0758
2023-09-30,20.5206
2023-10-01,20.5206
2023-10-02,20.5206
2023-10-03,20.5206
2023-10-04,20.5206
2023-10-05,20.5206
2023-10-06,20.5206
2023-10-07,20.5206
2023-10-08,20.5206
2023-10-09,20.5206
2023-10-10,20.5206
2023-10-11,20.5206
2023-10-12,20.5206
2023-10-13,20.5206
2023-10-14,20.5206
2023-10-15,20.5206
2023-10-16,20.5206
2023-10-17,20.5206
2023-10-18,20.5206
2023-10-19,20.5206
2023-10-20,20.5206
2023-10-21,20.5206
2023-10-22,20.5206
2023-10-23,20.5206
2023-10-24,20.5206
2023-10-25,20.5206
2023-10-26,20.5206
2023-10-27,20.5206
2023-10-28,20.5206
2023-10-29,20.5206
2023-10-30,20.5206
2023-10-31,20.5206
2023-11-01,20.5206
2023-11-02,20.5206
2023-11-03,20.5206
2023-11-04,20.5206
2023-11-05,20.5206
2023-11-06,20.5206
2023-11-07,20.5206
2023-11-08,20.5206
2023-11-09,20.5206
2023-11-10,20.5206
2023-11-11,20.5206
2023-11-12,20.5206
2023-11-13,20.5206
2023-11-14,20.5206
2023-11-15,20.5206
2023-11-16,20.5206
2023-11-17,20.5206
2023-11-18,20.5206
2023-11-19,20.5206
2023-11-20,20.5206
2023-11-21,20.5206
2023-11-22,20.5206
2023-11-23,20.5206
2023-11-24,20.5206
2023-11-25,20.5206
2023-11-26,20.5206
2023-11-27,20.5206
2023-11-28,20.5206
2023-11-29,20.5206
2023-11-30,20.5206
2023-12-01,20.5206
2023-12-02,20.5206
2023-12-03,20.5206
2023-12-04,20.5206
2023-12-05,20.5206
2023-12-06,20.5206
2023-12-07,20.5206
2023-12-08,20.5206
2023-12-09,20.5206
2023-12-10,20.5206
2023-12-11,20.5206
2023-12-12,20.5206
2023-12-13,20.5206
2023-12-14,20.5206
2023-12-15,20.5206
2023-12-16,20.5206
2023-12-17,20.5206
2023-12-18,20.5206
2023-12-19,20.5206
2023-12-20,20.5206
2023-12-21,20.5206
2023-12-22,20.5206
2023-12-23,20.5206
2023-12-24,20.5206
2023-12-25,20.5206
2023-12-26,20.5206
2023-12-27,20.5206
2023-12-28,20.5206
2023-12-29,20.5206
2023-12-30,20.5206
2023-12-31,27.6674
2024-01-01,27.6674
2024-01-02,27.6674
2024-01-03,27.6674
2024-01-04,27.6674
2024-01-05,27.6674
2024-01-06,27.6674
2024-01-07,27.6674
2024-01-08,27.6674
2024-01-09,27.6674
2024-01-10,27.6674
2024-01-11,27.6674
2024-01-12,27.6674
2024-01-13,27.6674
2024-01-14,27.6674
2024-01-15,27.6674
2024-01-16,27.6674
2024-01-17,27.6674
2024-01-18,27.6674
2024-01-19,27.6674
2024-01-20,27.6674
2024-01-21,27.6674
2024-01-22,27.6674
2024-01-23,27.6674
2024-01-24,27.6674
2024-01-25,27.6674
2024-01-26,27.6674
2024-01-27,27.6674
2024-01-28,27.6674
2024-01-29,27.6674
2024-01-30,27.6674
2024-01-31,27.6674
2024-02-01,27.6674
2024-02-02,27.6674
2024-02-03,27.6674
2024-02-04,27.6674
2024-02-05,27.6674
2024-02-06,27.6674
2024-02-07,27.6674
2024-02-08,27.6674
2024-02-09,27.6674
2024-02-10,27.6674
2024-02-11,27.6674
2024-02-12,27.6674
2024-02-13,27.6674
2024-02-14,27.6674
2024-02-15,27.6674
2024-02-16,27.6674
2024-02-17,27.6674
2024-02-18,27.6674
2024-02-19,27.6674
2024-02-20,27.6674
2024-02-21,27.6674
2024-02-22,27.6674
2024-02-23,27.6674
2024-02-24,27.6674
2024-02-25,27.6674
2024-02-26,27.6674
2024-02-27,27.6674
2024-02-28,27.6674
2024-02-29,27.6674
2024-03-01,27.6674
2024-03-02,27.6674
2024-03-03,27.6674
2024-03-04,27.6674
2024-03-05,27.6674
2024-03-06,27.6674
2024-03-07,27.6674
2024-03-08,27.6674
2024-03-09,27.6674
2024-03-10,27.6674
2024-03-11,27.6674
2024-03-12,27.6674
2024-03-13,27.6674
2024-03-14,27.6674
2024-03-15,27.6674
2024-03-16,27.6674
2024-03-17,27.6674
2024-03-18,27.6674
2024-03-19,27.6674
2024-03-20,27.6674
2024-03-21,27.6674
2024-03-22,27.6674
2024-03-23,27.6674
2024-03-24,27.6674
2024-03-25,27.6674
2024-03-26,27.6674
2024-03-27,27.6674
2024-03-28,27.6674
2024-03-29,27.6674
2024-03-30,27.6674
2024-03-31,27.6674
2024-04-01,27.6674
2024-04-02,27.6674
2024-04-03,27.6674
2024-04-04,27.6674
2024-04-05,27.6674
2024-04-06,27.6674
2024-04-07,27.6674
2024-04-08,27.6674
