,TILE US Equity
,RETURN_COM_EQY
2020-01-01,21.9128
2020-01-02,21.9128
2020-01-03,21.9128
2020-01-04,21.9128
2020-01-05,21.9128
2020-01-06,21.9128
2020-01-07,21.9128
2020-01-08,21.9128
2020-01-09,21.9128
2020-01-10,21.9128
2020-01-11,21.9128
2020-01-12,21.9128
2020-01-13,21.9128
2020-01-14,21.9128
2020-01-15,21.9128
2020-01-16,21.9128
2020-01-17,21.9128
2020-01-18,21.9128
2020-01-19,21.9128
2020-01-20,21.9128
2020-01-21,21.9128
2020-01-22,21.9128
2020-01-23,21.9128
2020-01-24,21.9128
2020-01-25,21.9128
2020-01-26,21.9128
2020-01-27,21.9128
2020-01-28,21.9128
2020-01-29,21.9128
2020-01-30,21.9128
2020-01-31,21.9128
2020-02-01,21.9128
2020-02-02,21.9128
2020-02-03,21.9128
2020-02-04,21.9128
2020-02-05,21.9128
2020-02-06,21.9128
2020-02-07,21.9128
2020-02-08,21.9128
2020-02-09,21.9128
2020-02-10,21.9128
2020-02-11,21.9128
2020-02-12,21.9128
2020-02-13,21.9128
2020-02-14,21.9128
2020-02-15,21.9128
2020-02-16,21.9128
2020-02-17,21.9128
2020-02-18,21.9128
2020-02-19,21.9128
2020-02-20,21.9128
2020-02-21,21.9128
2020-02-22,21.9128
2020-02-23,21.9128
2020-02-24,21.9128
2020-02-25,21.9128
2020-02-26,21.9128
2020-02-27,21.9128
2020-02-28,21.9128
2020-02-29,21.9128
2020-03-01,21.9128
2020-03-02,21.9128
2020-03-03,21.9128
2020-03-04,21.9128
2020-03-05,21.9128
2020-03-06,21.9128
2020-03-07,21.9128
2020-03-08,21.9128
2020-03-09,21.9128
2020-03-10,21.9128
2020-03-11,21.9128
2020-03-12,21.9128
2020-03-13,21.9128
2020-03-14,21.9128
2020-03-15,21.9128
2020-03-16,21.9128
2020-03-17,21.9128
2020-03-18,21.9128
2020-03-19,21.9128
2020-03-20,21.9128
2020-03-21,21.9128
2020-03-22,21.9128
2020-03-23,21.9128
2020-03-24,21.9128
2020-03-25,21.9128
2020-03-26,21.9128
2020-03-27,21.9128
2020-03-28,21.9128
2020-03-29,21.9128
2020-03-30,21.9128
2020-03-31,21.9128
2020-04-01,21.9128
