,PNM US Equity
,RETURN_COM_EQY
2020-01-01,4.5952
2020-01-02,4.5952
2020-01-03,4.5952
2020-01-04,4.5952
2020-01-05,4.5952
2020-01-06,4.5952
2020-01-07,4.5952
2020-01-08,4.5952
2020-01-09,4.5952
2020-01-10,4.5952
2020-01-11,4.5952
2020-01-12,4.5952
2020-01-13,4.5952
2020-01-14,4.5952
2020-01-15,4.5952
2020-01-16,4.5952
2020-01-17,4.5952
2020-01-18,4.5952
2020-01-19,4.5952
2020-01-20,4.5952
2020-01-21,4.5952
2020-01-22,4.5952
2020-01-23,4.5952
2020-01-24,4.5952
2020-01-25,4.5952
2020-01-26,4.5952
2020-01-27,4.5952
2020-01-28,4.5952
2020-01-29,4.5952
2020-01-30,4.5952
2020-01-31,4.5952
2020-02-01,4.5952
2020-02-02,4.5952
2020-02-03,4.5952
2020-02-04,4.5952
2020-02-05,4.5952
2020-02-06,4.5952
2020-02-07,4.5952
2020-02-08,4.5952
2020-02-09,4.5952
2020-02-10,4.5952
2020-02-11,4.5952
2020-02-12,4.5952
2020-02-13,4.5952
2020-02-14,4.5952
2020-02-15,4.5952
2020-02-16,4.5952
2020-02-17,4.5952
2020-02-18,4.5952
2020-02-19,4.5952
2020-02-20,4.5952
2020-02-21,4.5952
2020-02-22,4.5952
2020-02-23,4.5952
2020-02-24,4.5952
2020-02-25,4.5952
2020-02-26,4.5952
2020-02-27,4.5952
2020-02-28,4.5952
2020-02-29,4.5952
2020-03-01,4.5952
2020-03-02,4.5952
2020-03-03,4.5952
2020-03-04,4.5952
2020-03-05,4.5952
2020-03-06,4.5952
2020-03-07,4.5952
2020-03-08,4.5952
2020-03-09,4.5952
2020-03-10,4.5952
2020-03-11,4.5952
2020-03-12,4.5952
2020-03-13,4.5952
2020-03-14,4.5952
2020-03-15,4.5952
2020-03-16,4.5952
2020-03-17,4.5952
2020-03-18,4.5952
2020-03-19,4.5952
2020-03-20,4.5952
2020-03-21,4.5952
2020-03-22,4.5952
2020-03-23,4.5952
2020-03-24,4.5952
2020-03-25,4.5952
2020-03-26,4.5952
2020-03-27,4.5952
2020-03-28,4.5952
2020-03-29,4.5952
2020-03-30,4.5952
2020-03-31,2.621
2020-04-01,2.621
2020-04-02,2.621
2020-04-03,2.621
2020-04-04,2.621
2020-04-05,2.621
2020-04-06,2.621
2020-04-07,2.621
2020-04-08,2.621
2020-04-09,2.621
2020-04-10,2.621
2020-04-11,2.621
2020-04-12,2.621
2020-04-13,2.621
2020-04-14,2.621
2020-04-15,2.621
2020-04-16,2.621
2020-04-17,2.621
2020-04-18,2.621
2020-04-19,2.621
2020-04-20,2.621
2020-04-21,2.621
2020-04-22,2.621
2020-04-23,2.621
2020-04-24,2.621
2020-04-25,2.621
2020-04-26,2.621
2020-04-27,2.621
2020-04-28,2.621
2020-04-29,2.621
2020-04-30,2.621
2020-05-01,2.621
2020-05-02,2.621
2020-05-03,2.621
2020-05-04,2.621
2020-05-05,2.621
2020-05-06,2.621
2020-05-07,2.621
2020-05-08,2.621
2020-05-09,2.621
2020-05-10,2.621
2020-05-11,2.621
2020-05-12,2.621
2020-05-13,2.621
2020-05-14,2.621
2020-05-15,2.621
2020-05-16,2.621
2020-05-17,2.621
2020-05-18,2.621
2020-05-19,2.621
2020-05-20,2.621
2020-05-21,2.621
2020-05-22,2.621
2020-05-23,2.621
2020-05-24,2.621
2020-05-25,2.621
2020-05-26,2.621
2020-05-27,2.621
2020-05-28,2.621
2020-05-29,2.621
2020-05-30,2.621
2020-05-31,2.621
2020-06-01,2.621
2020-06-02,2.621
2020-06-03,2.621
2020-06-04,2.621
2020-06-05,2.621
2020-06-06,2.621
2020-06-07,2.621
2020-06-08,2.621
2020-06-09,2.621
2020-06-10,2.621
2020-06-11,2.621
2020-06-12,2.621
2020-06-13,2.621
2020-06-14,2.621
2020-06-15,2.621
2020-06-16,2.621
2020-06-17,2.621
2020-06-18,2.621
2020-06-19,2.621
2020-06-20,2.621
2020-06-21,2.621
2020-06-22,2.621
2020-06-23,2.621
2020-06-24,2.621
2020-06-25,2.621
2020-06-26,2.621
2020-06-27,2.621
2020-06-28,2.621
2020-06-29,2.621
2020-06-30,10.6874
2020-07-01,10.6874
2020-07-02,10.6874
2020-07-03,10.6874
2020-07-04,10.6874
2020-07-05,10.6874
2020-07-06,10.6874
2020-07-07,10.6874
2020-07-08,10.6874
2020-07-09,10.6874
2020-07-10,10.6874
2020-07-11,10.6874
2020-07-12,10.6874
2020-07-13,10.6874
2020-07-14,10.6874
2020-07-15,10.6874
2020-07-16,10.6874
2020-07-17,10.6874
2020-07-18,10.6874
2020-07-19,10.6874
2020-07-20,10.6874
2020-07-21,10.6874
2020-07-22,10.6874
2020-07-23,10.6874
2020-07-24,10.6874
2020-07-25,10.6874
2020-07-26,10.6874
2020-07-27,10.6874
2020-07-28,10.6874
2020-07-29,10.6874
2020-07-30,10.6874
2020-07-31,10.6874
2020-08-01,10.6874
2020-08-02,10.6874
2020-08-03,10.6874
2020-08-04,10.6874
2020-08-05,10.6874
2020-08-06,10.6874
2020-08-07,10.6874
2020-08-08,10.6874
2020-08-09,10.6874
2020-08-10,10.6874
2020-08-11,10.6874
2020-08-12,10.6874
