,AZTA US Equity
,RETURN_COM_EQY
2020-01-01,46.1708
2020-01-02,46.1708
2020-01-03,46.1708
2020-01-04,46.1708
2020-01-05,46.1708
2020-01-06,46.1708
2020-01-07,46.1708
2020-01-08,46.1708
2020-01-09,46.1708
2020-01-10,46.1708
2020-01-11,46.1708
2020-01-12,46.1708
2020-01-13,46.1708
2020-01-14,46.1708
2020-01-15,46.1708
2020-01-16,46.1708
2020-01-17,46.1708
2020-01-18,46.1708
2020-01-19,46.1708
2020-01-20,46.1708
2020-01-21,46.1708
2020-01-22,46.1708
2020-01-23,46.1708
2020-01-24,46.1708
2020-01-25,46.1708
2020-01-26,46.1708
2020-01-27,46.1708
2020-01-28,46.1708
2020-01-29,46.1708
2020-01-30,46.1708
2020-01-31,46.1708
2020-02-01,46.1708
2020-02-02,46.1708
2020-02-03,46.1708
2020-02-04,46.1708
2020-02-05,46.1708
2020-02-06,46.1708
2020-02-07,46.1708
2020-02-08,46.1708
2020-02-09,46.1708
2020-02-10,46.1708
2020-02-11,46.1708
2020-02-12,46.1708
2020-02-13,46.1708
2020-02-14,46.1708
2020-02-15,46.1708
2020-02-16,46.1708
2020-02-17,46.1708
2020-02-18,46.1708
2020-02-19,46.1708
2020-02-20,46.1708
2020-02-21,46.1708
2020-02-22,46.1708
2020-02-23,46.1708
2020-02-24,46.1708
2020-02-25,46.1708
2020-02-26,46.1708
2020-02-27,46.1708
2020-02-28,46.1708
2020-02-29,46.1708
2020-03-01,46.1708
2020-03-02,46.1708
2020-03-03,46.1708
2020-03-04,46.1708
2020-03-05,46.1708
2020-03-06,46.1708
2020-03-07,46.1708
2020-03-08,46.1708
2020-03-09,46.1708
2020-03-10,46.1708
2020-03-11,46.1708
2020-03-12,46.1708
2020-03-13,46.1708
2020-03-14,46.1708
2020-03-15,46.1708
2020-03-16,46.1708
2020-03-17,46.1708
2020-03-18,46.1708
2020-03-19,46.1708
2020-03-20,46.1708
2020-03-21,46.1708
2020-03-22,46.1708
2020-03-23,46.1708
2020-03-24,46.1708
2020-03-25,46.1708
2020-03-26,46.1708
2020-03-27,46.1708
2020-03-28,46.1708
2020-03-29,46.1708
2020-03-30,46.1708
2020-03-31,46.7217
2020-04-01,46.7217
2020-04-02,46.7217
2020-04-03,46.7217
2020-04-04,46.7217
2020-04-05,46.7217
2020-04-06,46.7217
2020-04-07,46.7217
2020-04-08,46.7217
2020-04-09,46.7217
2020-04-10,46.7217
2020-04-11,46.7217
2020-04-12,46.7217
2020-04-13,46.7217
2020-04-14,46.7217
2020-04-15,46.7217
2020-04-16,46.7217
2020-04-17,46.7217
2020-04-18,46.7217
2020-04-19,46.7217
2020-04-20,46.7217
2020-04-21,46.7217
2020-04-22,46.7217
2020-04-23,46.7217
2020-04-24,46.7217
2020-04-25,46.7217
2020-04-26,46.7217
2020-04-27,46.7217
2020-04-28,46.7217
2020-04-29,46.7217
2020-04-30,46.7217
2020-05-01,46.7217
2020-05-02,46.7217
2020-05-03,46.7217
2020-05-04,46.7217
2020-05-05,46.7217
2020-05-06,46.7217
