,LVS US Equity
,RETURN_COM_EQY
2020-01-01,49.6366
2020-01-02,49.6366
2020-01-03,49.6366
2020-01-04,49.6366
2020-01-05,49.6366
2020-01-06,49.6366
2020-01-07,49.6366
2020-01-08,49.6366
2020-01-09,49.6366
2020-01-10,49.6366
2020-01-11,49.6366
2020-01-12,49.6366
2020-01-13,49.6366
2020-01-14,49.6366
2020-01-15,49.6366
2020-01-16,49.6366
2020-01-17,49.6366
2020-01-18,49.6366
2020-01-19,49.6366
2020-01-20,49.6366
2020-01-21,49.6366
2020-01-22,49.6366
2020-01-23,49.6366
2020-01-24,49.6366
2020-01-25,49.6366
2020-01-26,49.6366
2020-01-27,49.6366
2020-01-28,49.6366
2020-01-29,49.6366
2020-01-30,49.6366
2020-01-31,49.6366
2020-02-01,49.6366
2020-02-02,49.6366
2020-02-03,49.6366
2020-02-04,49.6366
2020-02-05,49.6366
2020-02-06,49.6366
2020-02-07,49.6366
2020-02-08,49.6366
2020-02-09,49.6366
2020-02-10,49.6366
2020-02-11,49.6366
2020-02-12,49.6366
2020-02-13,49.6366
2020-02-14,49.6366
2020-02-15,49.6366
2020-02-16,49.6366
2020-02-17,49.6366
2020-02-18,49.6366
2020-02-19,49.6366
2020-02-20,49.6366
2020-02-21,49.6366
2020-02-22,49.6366
2020-02-23,49.6366
2020-02-24,49.6366
2020-02-25,49.6366
2020-02-26,49.6366
2020-02-27,49.6366
2020-02-28,49.6366
2020-02-29,49.6366
2020-03-01,49.6366
2020-03-02,49.6366
2020-03-03,49.6366
2020-03-04,49.6366
2020-03-05,49.6366
2020-03-06,49.6366
2020-03-07,49.6366
2020-03-08,49.6366
2020-03-09,49.6366
2020-03-10,49.6366
2020-03-11,49.6366
2020-03-12,49.6366
2020-03-13,49.6366
2020-03-14,49.6366
2020-03-15,49.6366
2020-03-16,49.6366
2020-03-17,49.6366
2020-03-18,49.6366
2020-03-19,49.6366
2020-03-20,49.6366
2020-03-21,49.6366
2020-03-22,49.6366
2020-03-23,49.6366
2020-03-24,49.6366
2020-03-25,49.6366
2020-03-26,49.6366
2020-03-27,49.6366
2020-03-28,49.6366
2020-03-29,49.6366
2020-03-30,49.6366
2020-03-31,42.2409
2020-04-01,42.2409
2020-04-02,42.2409
2020-04-03,42.2409
2020-04-04,42.2409
2020-04-05,42.2409
2020-04-06,42.2409
2020-04-07,42.2409
2020-04-08,42.2409
2020-04-09,42.2409
2020-04-10,42.2409
2020-04-11,42.2409
2020-04-12,42.2409
2020-04-13,42.2409
2020-04-14,42.2409
2020-04-15,42.2409
2020-04-16,42.2409
2020-04-17,42.2409
2020-04-18,42.2409
2020-04-19,42.2409
2020-04-20,42.2409
2020-04-21,42.2409
2020-04-22,42.2409
2020-04-23,42.2409
2020-04-24,42.2409
2020-04-25,42.2409
2020-04-26,42.2409
2020-04-27,42.2409
2020-04-28,42.2409
2020-04-29,42.2409
2020-04-30,42.2409
2020-05-01,42.2409
2020-05-02,42.2409
