,AJRD US Equity
,RETURN_COM_EQY
2020-01-01,27.2946
2020-01-02,27.2946
2020-01-03,27.2946
2020-01-04,27.2946
2020-01-05,27.2946
2020-01-06,27.2946
2020-01-07,27.2946
2020-01-08,27.2946
2020-01-09,27.2946
2020-01-10,27.2946
2020-01-11,27.2946
2020-01-12,27.2946
2020-01-13,27.2946
2020-01-14,27.2946
2020-01-15,27.2946
2020-01-16,27.2946
2020-01-17,27.2946
2020-01-18,27.2946
2020-01-19,27.2946
2020-01-20,27.2946
2020-01-21,27.2946
2020-01-22,27.2946
2020-01-23,27.2946
2020-01-24,27.2946
2020-01-25,27.2946
2020-01-26,27.2946
2020-01-27,27.2946
2020-01-28,27.2946
2020-01-29,27.2946
2020-01-30,27.2946
2020-01-31,27.2946
2020-02-01,27.2946
2020-02-02,27.2946
2020-02-03,27.2946
2020-02-04,27.2946
2020-02-05,27.2946
2020-02-06,27.2946
2020-02-07,27.2946
2020-02-08,27.2946
2020-02-09,27.2946
2020-02-10,27.2946
2020-02-11,27.2946
2020-02-12,27.2946
2020-02-13,27.2946
2020-02-14,27.2946
2020-02-15,27.2946
2020-02-16,27.2946
2020-02-17,27.2946
2020-02-18,27.2946
2020-02-19,27.2946
2020-02-20,27.2946
2020-02-21,27.2946
2020-02-22,27.2946
2020-02-23,27.2946
2020-02-24,27.2946
2020-02-25,27.2946
2020-02-26,27.2946
2020-02-27,27.2946
2020-02-28,27.2946
2020-02-29,27.2946
2020-03-01,27.2946
2020-03-02,27.2946
2020-03-03,27.2946
2020-03-04,27.2946
2020-03-05,27.2946
2020-03-06,27.2946
2020-03-07,27.2946
2020-03-08,27.2946
2020-03-09,27.2946
2020-03-10,27.2946
2020-03-11,27.2946
2020-03-12,27.2946
2020-03-13,27.2946
2020-03-14,27.2946
2020-03-15,27.2946
2020-03-16,27.2946
2020-03-17,27.2946
2020-03-18,27.2946
2020-03-19,27.2946
2020-03-20,27.2946
2020-03-21,27.2946
2020-03-22,27.2946
2020-03-23,27.2946
2020-03-24,27.2946
2020-03-25,27.2946
2020-03-26,27.2946
2020-03-27,27.2946
2020-03-28,27.2946
2020-03-29,27.2946
2020-03-30,27.2946
2020-03-31,24.0259
2020-04-01,24.0259
2020-04-02,24.0259
2020-04-03,24.0259
2020-04-04,24.0259
2020-04-05,24.0259
2020-04-06,24.0259
2020-04-07,24.0259
2020-04-08,24.0259
2020-04-09,24.0259
2020-04-10,24.0259
2020-04-11,24.0259
2020-04-12,24.0259
2020-04-13,24.0259
2020-04-14,24.0259
2020-04-15,24.0259
2020-04-16,24.0259
2020-04-17,24.0259
2020-04-18,24.0259
2020-04-19,24.0259
2020-04-20,24.0259
2020-04-21,24.0259
2020-04-22,24.0259
2020-04-23,24.0259
2020-04-24,24.0259
2020-04-25,24.0259
2020-04-26,24.0259
2020-04-27,24.0259
2020-04-28,24.0259
2020-04-29,24.0259
2020-04-30,24.0259
2020-05-01,24.0259
2020-05-02,24.0259
2020-05-03,24.0259
2020-05-04,24.0259
2020-05-05,24.0259
2020-05-06,24.0259
2020-05-07,24.0259
2020-05-08,24.0259
2020-05-09,24.0259
2020-05-10,24.0259
2020-05-11,24.0259
2020-05-12,24.0259
2020-05-13,24.0259
2020-05-14,24.0259
2020-05-15,24.0259
2020-05-16,24.0259
2020-05-17,24.0259
2020-05-18,24.0259
2020-05-19,24.0259
2020-05-20,24.0259
2020-05-21,24.0259
2020-05-22,24.0259
2020-05-23,24.0259
2020-05-24,24.0259
2020-05-25,24.0259
2020-05-26,24.0259
2020-05-27,24.0259
2020-05-28,24.0259
2020-05-29,24.0259
2020-05-30,24.0259
2020-05-31,24.0259
2020-06-01,24.0259
