,UCBI US Equity
2023-03-09,10.9515
2023-03-10,10.9515
2023-03-11,10.9515
2023-03-12,10.9515
2023-03-13,10.9515
2023-03-14,10.9515
2023-03-15,10.9515
2023-03-16,10.9515
2023-03-17,10.9515
2023-03-18,10.9515
2023-03-19,10.9515
2023-03-20,10.9515
2023-03-21,10.9515
2023-03-22,10.9515
2023-03-23,10.9515
2023-03-24,10.9515
2023-03-25,10.9515
2023-03-26,10.9515
2023-03-27,10.9515
2023-03-28,10.9515
2023-03-29,10.9515
2023-03-30,10.9515
2023-03-31,9.8284
2023-04-01,9.8284
2023-04-02,9.8284
2023-04-03,9.8284
2023-04-04,9.8284
2023-04-05,9.8284
2023-04-06,9.8284
2023-04-07,9.8284
2023-04-08,9.8284
2023-04-09,9.8284
2023-04-10,9.8284
2023-04-11,9.8284
2023-04-12,9.8284
2023-04-13,9.8284
2023-04-14,9.8284
2023-04-15,9.8284
2023-04-16,9.8284
2023-04-17,9.8284
2023-04-18,9.8284
2023-04-19,9.8284
2023-04-20,9.8284
2023-04-21,9.8284
2023-04-22,9.8284
2023-04-23,9.8284
2023-04-24,9.8284
2023-04-25,9.8284
2023-04-26,9.8284
2023-04-27,9.8284
2023-04-28,9.8284
2023-04-29,9.8284
2023-04-30,9.8284
2023-05-01,9.8284
2023-05-02,9.8284
2023-05-03,9.8284
2023-05-04,9.8284
2023-05-05,9.8284
2023-05-06,9.8284
2023-05-07,9.8284
2023-05-08,9.8284
2023-05-09,9.8284
2023-05-10,9.8284
2023-05-11,9.8284
2023-05-12,9.8284
2023-05-13,9.8284
2023-05-14,9.8284
2023-05-15,9.8284
2023-05-16,9.8284
2023-05-17,9.8284
2023-05-18,9.8284
2023-05-19,9.8284
2023-05-20,9.8284
2023-05-21,9.8284
2023-05-22,9.8284
2023-05-23,9.8284
2023-05-24,9.8284
2023-05-25,9.8284
2023-05-26,9.8284
2023-05-27,9.8284
2023-05-28,9.8284
2023-05-29,9.8284
2023-05-30,9.8284
2023-05-31,9.8284
2023-06-01,9.8284
2023-06-02,9.8284
2023-06-03,9.8284
2023-06-04,9.8284
2023-06-05,9.8284
2023-06-06,9.8284
2023-06-07,9.8284
2023-06-08,9.8284
2023-06-09,9.8284
2023-06-10,9.8284
2023-06-11,9.8284
2023-06-12,9.8284
2023-06-13,9.8284
2023-06-14,9.8284
2023-06-15,9.8284
2023-06-16,9.8284
2023-06-17,9.8284
2023-06-18,9.8284
2023-06-19,9.8284
2023-06-20,9.8284
2023-06-21,9.8284
2023-06-22,9.8284
2023-06-23,9.8284
2023-06-24,9.8284
2023-06-25,9.8284
2023-06-26,9.8284
2023-06-27,9.8284
2023-06-28,9.8284
2023-06-29,9.8284
2023-06-30,9.7332
2023-07-01,9.7332
2023-07-02,9.7332
2023-07-03,9.7332
2023-07-04,9.7332
2023-07-05,9.7332
2023-07-06,9.7332
2023-07-07,9.7332
2023-07-08,9.7332
2023-07-09,9.7332
2023-07-10,9.7332
2023-07-11,9.7332
2023-07-12,9.7332
2023-07-13,9.7332
2023-07-14,9.7332
2023-07-15,9.7332
2023-07-16,9.7332
2023-07-17,9.7332
2023-07-18,9.7332
2023-07-19,9.7332
2023-07-20,9.7332
2023-07-21,9.7332
2023-07-22,9.7332
2023-07-23,9.7332
2023-07-24,9.7332
2023-07-25,9.7332
2023-07-26,9.7332
2023-07-27,9.7332
2023-07-28,9.7332
2023-07-29,9.7332
2023-07-30,9.7332
2023-07-31,9.7332
2023-08-01,9.7332
2023-08-02,9.7332
2023-08-03,9.7332
2023-08-04,9.7332
2023-08-05,9.7332
2023-08-06,9.7332
2023-08-07,9.7332
2023-08-08,9.7332
2023-08-09,9.7332
2023-08-10,9.7332
2023-08-11,9.7332
2023-08-12,9.7332
2023-08-13,9.7332
2023-08-14,9.7332
2023-08-15,9.7332
2023-08-16,9.7332
2023-08-17,9.7332
2023-08-18,9.7332
2023-08-19,9.7332
2023-08-20,9.7332
2023-08-21,9.7332
2023-08-22,9.7332
2023-08-23,9.7332
2023-08-24,9.7332
2023-08-25,9.7332
2023-08-26,9.7332
2023-08-27,9.7332
2023-08-28,9.7332
2023-08-29,9.7332
2023-08-30,9.7332
2023-08-31,9.7332
2023-09-01,9.7332
2023-09-02,9.7332
2023-09-03,9.7332
2023-09-04,9.7332
2023-09-05,9.7332
2023-09-06,9.7332
2023-09-07,9.7332
2023-09-08,9.7332
2023-09-09,9.7332
2023-09-10,9.7332
2023-09-11,9.7332
2023-09-12,9.7332
2023-09-13,9.7332
2023-09-14,9.7332
2023-09-15,9.7332
2023-09-16,9.7332
2023-09-17,9.7332
2023-09-18,9.7332
2023-09-19,9.7332
2023-09-20,9.7332
2023-09-21,9.7332
2023-09-22,9.7332
2023-09-23,9.7332
2023-09-24,9.7332
2023-09-25,9.7332
2023-09-26,9.7332
2023-09-27,9.7332
2023-09-28,9.7332
2023-09-29,9.7332
2023-09-30,8.5195
2023-10-01,8.5195
2023-10-02,8.5195
2023-10-03,8.5195
2023-10-04,8.5195
2023-10-05,8.5195
2023-10-06,8.5195
2023-10-07,8.5195
2023-10-08,8.5195
2023-10-09,8.5195
2023-10-10,8.5195
2023-10-11,8.5195
2023-10-12,8.5195
2023-10-13,8.5195
2023-10-14,8.5195
2023-10-15,8.5195
2023-10-16,8.5195
2023-10-17,8.5195
2023-10-18,8.5195
2023-10-19,8.5195
2023-10-20,8.5195
2023-10-21,8.5195
2023-10-22,8.5195
2023-10-23,8.5195
2023-10-24,8.5195
2023-10-25,8.5195
2023-10-26,8.5195
2023-10-27,8.5195
2023-10-28,8.5195
2023-10-29,8.5195
2023-10-30,8.5195
2023-10-31,8.5195
2023-11-01,8.5195
2023-11-02,8.5195
2023-11-03,8.5195
2023-11-04,8.5195
2023-11-05,8.5195
2023-11-06,8.5195
2023-11-07,8.5195
2023-11-08,8.5195
2023-11-09,8.5195
2023-11-10,8.5195
2023-11-11,8.5195
2023-11-12,8.5195
2023-11-13,8.5195
2023-11-14,8.5195
2023-11-15,8.5195
2023-11-16,8.5195
2023-11-17,8.5195
2023-11-18,8.5195
2023-11-19,8.5195
2023-11-20,8.5195
2023-11-21,8.5195
2023-11-22,8.5195
2023-11-23,8.5195
2023-11-24,8.5195
2023-11-25,8.5195
2023-11-26,8.5195
2023-11-27,8.5195
2023-11-28,8.5195
2023-11-29,8.5195
2023-11-30,8.5195
2023-12-01,8.5195
2023-12-02,8.5195
2023-12-03,8.5195
2023-12-04,8.5195
2023-12-05,8.5195
2023-12-06,8.5195
2023-12-07,8.5195
2023-12-08,8.5195
2023-12-09,8.5195
2023-12-10,8.5195
2023-12-11,8.5195
2023-12-12,8.5195
2023-12-13,8.5195
2023-12-14,8.5195
2023-12-15,8.5195
2023-12-16,8.5195
2023-12-17,8.5195
2023-12-18,8.5195
2023-12-19,8.5195
2023-12-20,8.5195
2023-12-21,8.5195
2023-12-22,8.5195
2023-12-23,8.5195
2023-12-24,8.5195
2023-12-25,8.5195
2023-12-26,8.5195
2023-12-27,8.5195
2023-12-28,8.5195
2023-12-29,8.5195
2023-12-30,8.5195
2023-12-31,6.0751
2024-01-01,6.0751
2024-01-02,6.0751
2024-01-03,6.0751
2024-01-04,6.0751
2024-01-05,6.0751
2024-01-06,6.0751
2024-01-07,6.0751
2024-01-08,6.0751
2024-01-09,6.0751
2024-01-10,6.0751
2024-01-11,6.0751
2024-01-12,6.0751
2024-01-13,6.0751
2024-01-14,6.0751
2024-01-15,6.0751
2024-01-16,6.0751
2024-01-17,6.0751
2024-01-18,6.0751
2024-01-19,6.0751
2024-01-20,6.0751
2024-01-21,6.0751
2024-01-22,6.0751
2024-01-23,6.0751
2024-01-24,6.0751
2024-01-25,6.0751
2024-01-26,6.0751
2024-01-27,6.0751
2024-01-28,6.0751
2024-01-29,6.0751
2024-01-30,6.0751
2024-01-31,6.0751
2024-02-01,6.0751
2024-02-02,6.0751
2024-02-03,6.0751
2024-02-04,6.0751
2024-02-05,6.0751
2024-02-06,6.0751
2024-02-07,6.0751
2024-02-08,6.0751
2024-02-09,6.0751
2024-02-10,6.0751
2024-02-11,6.0751
2024-02-12,6.0751
2024-02-13,6.0751
2024-02-14,6.0751
2024-02-15,6.0751
2024-02-16,6.0751
2024-02-17,6.0751
2024-02-18,6.0751
2024-02-19,6.0751
2024-02-20,6.0751
2024-02-21,6.0751
2024-02-22,6.0751
2024-02-23,6.0751
2024-02-24,6.0751
2024-02-25,6.0751
2024-02-26,6.0751
2024-02-27,6.0751
2024-02-28,6.0751
2024-02-29,6.0751
2024-03-01,6.0751
2024-03-02,6.0751
2024-03-03,6.0751
2024-03-04,6.0751
2024-03-05,6.0751
2024-03-06,6.0751
2024-03-07,6.0751
2024-03-08,6.0751
2024-03-09,6.0751
2024-03-10,6.0751
2024-03-11,6.0751
2024-03-12,6.0751
2024-03-13,6.0751
2024-03-14,6.0751
2024-03-15,6.0751
2024-03-16,6.0751
2024-03-17,6.0751
2024-03-18,6.0751
2024-03-19,6.0751
2024-03-20,6.0751
2024-03-21,6.0751
2024-03-22,6.0751
2024-03-23,6.0751
2024-03-24,6.0751
2024-03-25,6.0751
2024-03-26,6.0751
2024-03-27,6.0751
2024-03-28,6.0751
2024-03-29,6.0751
2024-03-30,6.0751
2024-03-31,6.0751
2024-04-01,6.0751
2024-04-02,6.0751
2024-04-03,6.0751
2024-04-04,6.0751
2024-04-05,6.0751
2024-04-06,6.0751
2024-04-07,6.0751
2024-04-08,6.0751
