,CLR US Equity
,RETURN_COM_EQY
2020-01-01,12.0378
2020-01-02,12.0378
2020-01-03,12.0378
2020-01-04,12.0378
2020-01-05,12.0378
2020-01-06,12.0378
2020-01-07,12.0378
2020-01-08,12.0378
2020-01-09,12.0378
2020-01-10,12.0378
2020-01-11,12.0378
2020-01-12,12.0378
2020-01-13,12.0378
2020-01-14,12.0378
2020-01-15,12.0378
2020-01-16,12.0378
2020-01-17,12.0378
2020-01-18,12.0378
2020-01-19,12.0378
2020-01-20,12.0378
2020-01-21,12.0378
2020-01-22,12.0378
2020-01-23,12.0378
2020-01-24,12.0378
2020-01-25,12.0378
2020-01-26,12.0378
2020-01-27,12.0378
2020-01-28,12.0378
2020-01-29,12.0378
2020-01-30,12.0378
2020-01-31,12.0378
2020-02-01,12.0378
2020-02-02,12.0378
2020-02-03,12.0378
2020-02-04,12.0378
2020-02-05,12.0378
2020-02-06,12.0378
2020-02-07,12.0378
2020-02-08,12.0378
2020-02-09,12.0378
2020-02-10,12.0378
2020-02-11,12.0378
2020-02-12,12.0378
2020-02-13,12.0378
2020-02-14,12.0378
2020-02-15,12.0378
2020-02-16,12.0378
2020-02-17,12.0378
2020-02-18,12.0378
2020-02-19,12.0378
2020-02-20,12.0378
2020-02-21,12.0378
2020-02-22,12.0378
2020-02-23,12.0378
2020-02-24,12.0378
2020-02-25,12.0378
2020-02-26,12.0378
2020-02-27,12.0378
2020-02-28,12.0378
2020-02-29,12.0378
2020-03-01,12.0378
2020-03-02,12.0378
2020-03-03,12.0378
2020-03-04,12.0378
2020-03-05,12.0378
2020-03-06,12.0378
2020-03-07,12.0378
2020-03-08,12.0378
2020-03-09,12.0378
2020-03-10,12.0378
2020-03-11,12.0378
2020-03-12,12.0378
2020-03-13,12.0378
2020-03-14,12.0378
2020-03-15,12.0378
2020-03-16,12.0378
2020-03-17,12.0378
2020-03-18,12.0378
2020-03-19,12.0378
2020-03-20,12.0378
2020-03-21,12.0378
2020-03-22,12.0378
2020-03-23,12.0378
2020-03-24,12.0378
2020-03-25,12.0378
2020-03-26,12.0378
2020-03-27,12.0378
2020-03-28,12.0378
2020-03-29,12.0378
2020-03-30,12.0378
2020-03-31,6.3245
2020-04-01,6.3245
2020-04-02,6.3245
2020-04-03,6.3245
2020-04-04,6.3245
2020-04-05,6.3245
2020-04-06,6.3245
2020-04-07,6.3245
2020-04-08,6.3245
2020-04-09,6.3245
2020-04-10,6.3245
2020-04-11,6.3245
2020-04-12,6.3245
2020-04-13,6.3245
2020-04-14,6.3245
2020-04-15,6.3245
2020-04-16,6.3245
2020-04-17,6.3245
2020-04-18,6.3245
2020-04-19,6.3245
2020-04-20,6.3245
2020-04-21,6.3245
2020-04-22,6.3245
2020-04-23,6.3245
2020-04-24,6.3245
2020-04-25,6.3245
2020-04-26,6.3245
2020-04-27,6.3245
2020-04-28,6.3245
2020-04-29,6.3245
2020-04-30,6.3245
2020-05-01,6.3245
2020-05-02,6.3245
2020-05-03,6.3245
2020-05-04,6.3245
2020-05-05,6.3245
2020-05-06,6.3245
2020-05-07,6.3245
2020-05-08,6.3245
2020-05-09,6.3245
