,BRK/A US Equity
,RETURN_COM_EQY
2020-01-01,21.0517
2020-01-02,21.0517
2020-01-03,21.0517
2020-01-04,21.0517
2020-01-05,21.0517
2020-01-06,21.0517
2020-01-07,21.0517
2020-01-08,21.0517
2020-01-09,21.0517
2020-01-10,21.0517
2020-01-11,21.0517
2020-01-12,21.0517
2020-01-13,21.0517
2020-01-14,21.0517
2020-01-15,21.0517
2020-01-16,21.0517
2020-01-17,21.0517
2020-01-18,21.0517
2020-01-19,21.0517
2020-01-20,21.0517
2020-01-21,21.0517
2020-01-22,21.0517
2020-01-23,21.0517
2020-01-24,21.0517
2020-01-25,21.0517
2020-01-26,21.0517
2020-01-27,21.0517
2020-01-28,21.0517
2020-01-29,21.0517
2020-01-30,21.0517
2020-01-31,21.0517
2020-02-01,21.0517
2020-02-02,21.0517
2020-02-03,21.0517
2020-02-04,21.0517
2020-02-05,21.0517
2020-02-06,21.0517
2020-02-07,21.0517
2020-02-08,21.0517
2020-02-09,21.0517
2020-02-10,21.0517
2020-02-11,21.0517
2020-02-12,21.0517
2020-02-13,21.0517
2020-02-14,21.0517
2020-02-15,21.0517
2020-02-16,21.0517
2020-02-17,21.0517
2020-02-18,21.0517
2020-02-19,21.0517
2020-02-20,21.0517
2020-02-21,21.0517
2020-02-22,21.0517
2020-02-23,21.0517
2020-02-24,21.0517
2020-02-25,21.0517
2020-02-26,21.0517
2020-02-27,21.0517
2020-02-28,21.0517
2020-02-29,21.0517
2020-03-01,21.0517
2020-03-02,21.0517
2020-03-03,21.0517
2020-03-04,21.0517
2020-03-05,21.0517
2020-03-06,21.0517
2020-03-07,21.0517
2020-03-08,21.0517
2020-03-09,21.0517
2020-03-10,21.0517
2020-03-11,21.0517
2020-03-12,21.0517
2020-03-13,21.0517
2020-03-14,21.0517
2020-03-15,21.0517
2020-03-16,21.0517
2020-03-17,21.0517
2020-03-18,21.0517
2020-03-19,21.0517
2020-03-20,21.0517
2020-03-21,21.0517
2020-03-22,21.0517
2020-03-23,21.0517
2020-03-24,21.0517
2020-03-25,21.0517
2020-03-26,21.0517
2020-03-27,21.0517
2020-03-28,21.0517
2020-03-29,21.0517
2020-03-30,21.0517
2020-03-31,2.7038
2020-04-01,2.7038
2020-04-02,2.7038
2020-04-03,2.7038
2020-04-04,2.7038
2020-04-05,2.7038
2020-04-06,2.7038
2020-04-07,2.7038
2020-04-08,2.7038
2020-04-09,2.7038
2020-04-10,2.7038
2020-04-11,2.7038
2020-04-12,2.7038
2020-04-13,2.7038
2020-04-14,2.7038
2020-04-15,2.7038
2020-04-16,2.7038
2020-04-17,2.7038
2020-04-18,2.7038
2020-04-19,2.7038
2020-04-20,2.7038
2020-04-21,2.7038
2020-04-22,2.7038
2020-04-23,2.7038
2020-04-24,2.7038
2020-04-25,2.7038
2020-04-26,2.7038
2020-04-27,2.7038
2020-04-28,2.7038
2020-04-29,2.7038
2020-04-30,2.7038
2020-05-01,2.7038
2020-05-02,2.7038
2020-05-03,2.7038
2020-05-04,2.7038
2020-05-05,2.7038
2020-05-06,2.7038
2020-05-07,2.7038
2020-05-08,2.7038
2020-05-09,2.7038
2020-05-10,2.7038
2020-05-11,2.7038
2020-05-12,2.7038
2020-05-13,2.7038
2020-05-14,2.7038
2020-05-15,2.7038
2020-05-16,2.7038
2020-05-17,2.7038
2020-05-18,2.7038
2020-05-19,2.7038
2020-05-20,2.7038
2020-05-21,2.7038
2020-05-22,2.7038
2020-05-23,2.7038
2020-05-24,2.7038
2020-05-25,2.7038
2020-05-26,2.7038
2020-05-27,2.7038
2020-05-28,2.7038
2020-05-29,2.7038
2020-05-30,2.7038
2020-05-31,2.7038
2020-06-01,2.7038
2020-06-02,2.7038
2020-06-03,2.7038
2020-06-04,2.7038
2020-06-05,2.7038
2020-06-06,2.7038
2020-06-07,2.7038
2020-06-08,2.7038
2020-06-09,2.7038
2020-06-10,2.7038
2020-06-11,2.7038
2020-06-12,2.7038
2020-06-13,2.7038
2020-06-14,2.7038
2020-06-15,2.7038
2020-06-16,2.7038
2020-06-17,2.7038
2020-06-18,2.7038
2020-06-19,2.7038
2020-06-20,2.7038
2020-06-21,2.7038
2020-06-22,2.7038
2020-06-23,2.7038
2020-06-24,2.7038
2020-06-25,2.7038
2020-06-26,2.7038
2020-06-27,2.7038
2020-06-28,2.7038
2020-06-29,2.7038
2020-06-30,5.7296
2020-07-01,5.7296
2020-07-02,5.7296
2020-07-03,5.7296
2020-07-04,5.7296
2020-07-05,5.7296
2020-07-06,5.7296
2020-07-07,5.7296
2020-07-08,5.7296
2020-07-09,5.7296
2020-07-10,5.7296
2020-07-11,5.7296
2020-07-12,5.7296
2020-07-13,5.7296
2020-07-14,5.7296
2020-07-15,5.7296
2020-07-16,5.7296
2020-07-17,5.7296
2020-07-18,5.7296
2020-07-19,5.7296
2020-07-20,5.7296
2020-07-21,5.7296
2020-07-22,5.7296
2020-07-23,5.7296
2020-07-24,5.7296
2020-07-25,5.7296
2020-07-26,5.7296
2020-07-27,5.7296
2020-07-28,5.7296
2020-07-29,5.7296
2020-07-30,5.7296
2020-07-31,5.7296
2020-08-01,5.7296
