,GM US Equity
,RETURN_COM_EQY
2020-01-01,16.3195
2020-01-02,16.3195
2020-01-03,16.3195
2020-01-04,16.3195
2020-01-05,16.3195
2020-01-06,16.3195
2020-01-07,16.3195
2020-01-08,16.3195
2020-01-09,16.3195
2020-01-10,16.3195
2020-01-11,16.3195
2020-01-12,16.3195
2020-01-13,16.3195
2020-01-14,16.3195
2020-01-15,16.3195
2020-01-16,16.3195
2020-01-17,16.3195
2020-01-18,16.3195
2020-01-19,16.3195
2020-01-20,16.3195
2020-01-21,16.3195
2020-01-22,16.3195
2020-01-23,16.3195
2020-01-24,16.3195
2020-01-25,16.3195
2020-01-26,16.3195
2020-01-27,16.3195
2020-01-28,16.3195
2020-01-29,16.3195
2020-01-30,16.3195
2020-01-31,16.3195
2020-02-01,16.3195
2020-02-02,16.3195
2020-02-03,16.3195
2020-02-04,16.3195
2020-02-05,16.3195
2020-02-06,16.3195
2020-02-07,16.3195
2020-02-08,16.3195
2020-02-09,16.3195
2020-02-10,16.3195
2020-02-11,16.3195
2020-02-12,16.3195
2020-02-13,16.3195
2020-02-14,16.3195
2020-02-15,16.3195
2020-02-16,16.3195
2020-02-17,16.3195
2020-02-18,16.3195
2020-02-19,16.3195
2020-02-20,16.3195
2020-02-21,16.3195
2020-02-22,16.3195
2020-02-23,16.3195
2020-02-24,16.3195
2020-02-25,16.3195
2020-02-26,16.3195
2020-02-27,16.3195
2020-02-28,16.3195
2020-02-29,16.3195
2020-03-01,16.3195
2020-03-02,16.3195
2020-03-03,16.3195
2020-03-04,16.3195
2020-03-05,16.3195
2020-03-06,16.3195
2020-03-07,16.3195
2020-03-08,16.3195
2020-03-09,16.3195
2020-03-10,16.3195
2020-03-11,16.3195
2020-03-12,16.3195
2020-03-13,16.3195
2020-03-14,16.3195
2020-03-15,16.3195
2020-03-16,16.3195
2020-03-17,16.3195
2020-03-18,16.3195
2020-03-19,16.3195
2020-03-20,16.3195
2020-03-21,16.3195
2020-03-22,16.3195
2020-03-23,16.3195
2020-03-24,16.3195
2020-03-25,16.3195
2020-03-26,16.3195
2020-03-27,16.3195
2020-03-28,16.3195
2020-03-29,16.3195
2020-03-30,16.3195
2020-03-31,11.6447
2020-04-01,11.6447
2020-04-02,11.6447
2020-04-03,11.6447
2020-04-04,11.6447
2020-04-05,11.6447
2020-04-06,11.6447
2020-04-07,11.6447
2020-04-08,11.6447
2020-04-09,11.6447
2020-04-10,11.6447
2020-04-11,11.6447
2020-04-12,11.6447
2020-04-13,11.6447
2020-04-14,11.6447
2020-04-15,11.6447
2020-04-16,11.6447
2020-04-17,11.6447
2020-04-18,11.6447
2020-04-19,11.6447
2020-04-20,11.6447
2020-04-21,11.6447
2020-04-22,11.6447
2020-04-23,11.6447
2020-04-24,11.6447
2020-04-25,11.6447
2020-04-26,11.6447
2020-04-27,11.6447
2020-04-28,11.6447
2020-04-29,11.6447
2020-04-30,11.6447
2020-05-01,11.6447
2020-05-02,11.6447
2020-05-03,11.6447
2020-05-04,11.6447
2020-05-05,11.6447
2020-05-06,11.6447
2020-05-07,11.6447
2020-05-08,11.6447
2020-05-09,11.6447
2020-05-10,11.6447
2020-05-11,11.6447
2020-05-12,11.6447
2020-05-13,11.6447
2020-05-14,11.6447
2020-05-15,11.6447
