,USDEUR BGN Curncy
2016-06-06,0.8807
2016-06-07,0.8804
2016-06-08,0.8776
2016-06-09,0.8837
2016-06-10,0.8888
2016-06-11,0.8888
2016-06-12,0.8888
2016-06-13,0.8855
2016-06-14,0.8923
2016-06-15,0.8881
2016-06-16,0.8908
2016-06-17,0.8868
2016-06-18,0.8868
2016-06-19,0.8868
2016-06-20,0.8841
2016-06-21,0.8895
2016-06-22,0.8852
2016-06-23,0.8785
2016-06-24,0.9005
2016-06-25,0.9005
2016-06-26,0.9005
2016-06-27,0.907
2016-06-28,0.9037
2016-06-29,0.8989
2016-06-30,0.9004
2016-07-01,0.8979
2016-07-02,0.8979
2016-07-03,0.8979
2016-07-04,0.8965
2016-07-05,0.9029
2016-07-06,0.9009
2016-07-07,0.904
2016-07-08,0.905
2016-07-09,0.905
2016-07-10,0.905
2016-07-11,0.9043
2016-07-12,0.9041
2016-07-13,0.9017
2016-07-14,0.8993
2016-07-15,0.9062
2016-07-16,0.9062
2016-07-17,0.9062
2016-07-18,0.9029
2016-07-19,0.9074
2016-07-20,0.9079
2016-07-21,0.9069
2016-07-22,0.911
2016-07-23,0.911
2016-07-24,0.911
2016-07-25,0.9095
2016-07-26,0.9103
2016-07-27,0.9043
2016-07-28,0.9028
2016-07-29,0.8949
2016-07-30,0.8949
2016-07-31,0.8949
2016-08-01,0.8958
2016-08-02,0.891
2016-08-03,0.8968
2016-08-04,0.8985
2016-08-05,0.902
2016-08-06,0.902
2016-08-07,0.902
2016-08-08,0.9019
2016-08-09,0.8995
2016-08-10,0.8948
2016-08-11,0.8979
2016-08-12,0.8959
2016-08-13,0.8959
2016-08-14,0.8959
2016-08-15,0.8942
2016-08-16,0.8866
2016-08-17,0.8856
2016-08-18,0.8808
2016-08-19,0.883
2016-08-20,0.883
2016-08-21,0.883
2016-08-22,0.8833
2016-08-23,0.8845
2016-08-24,0.8878
2016-08-25,0.886
2016-08-26,0.8931
2016-08-27,0.8931
2016-08-28,0.8931
2016-08-29,0.8938
2016-08-30,0.8974
2016-08-31,0.8962
2016-09-01,0.8931
2016-09-02,0.8964
2016-09-03,0.8964
2016-09-04,0.8964
2016-09-05,0.8971
2016-09-06,0.8885
2016-09-07,0.8897
2016-09-08,0.888
2016-09-09,0.8903
2016-09-10,0.8903
2016-09-11,0.8903
2016-09-12,0.89
2016-09-13,0.8912
2016-09-14,0.8889
2016-09-15,0.8894
2016-09-16,0.8963
2016-09-17,0.8963
2016-09-18,0.8963
2016-09-19,0.8949
2016-09-20,0.8968
2016-09-21,0.8937
2016-09-22,0.8922
2016-09-23,0.8908
2016-09-24,0.8908
2016-09-25,0.8908
2016-09-26,0.8886
2016-09-27,0.8915
2016-09-28,0.8915
2016-09-29,0.891
2016-09-30,0.8901
2016-10-01,0.8901
2016-10-02,0.8901
2016-10-03,0.892
2016-10-04,0.8925
2016-10-05,0.8924
2016-10-06,0.8968
2016-10-07,0.8929
2016-10-08,0.8929
2016-10-09,0.8929
2016-10-10,0.8977
2016-10-11,0.9047
2016-10-12,0.9085
2016-10-13,0.9044
2016-10-14,0.9113
2016-10-15,0.9113
2016-10-16,0.9113
2016-10-17,0.9091
2016-10-18,0.9107
2016-10-19,0.9113
2016-10-20,0.915
2016-10-21,0.9187
2016-10-22,0.9187
2016-10-23,0.9187
2016-10-24,0.919
2016-10-25,0.9184
2016-10-26,0.9167
2016-10-27,0.9177
2016-10-28,0.9102
2016-10-29,0.9102
2016-10-30,0.9102
2016-10-31,0.9107
2016-11-01,0.9045
2016-11-02,0.9011
2016-11-03,0.9005
2016-11-04,0.8976
2016-11-05,0.8976
2016-11-06,0.8976
2016-11-07,0.9058
2016-11-08,0.907
2016-11-09,0.9167
2016-11-10,0.918
2016-11-11,0.9211
2016-11-12,0.9211
2016-11-13,0.9211
2016-11-14,0.9314
2016-11-15,0.9326
2016-11-16,0.9354
2016-11-17,0.9412
2016-11-18,0.9444
2016-11-19,0.9444
2016-11-20,0.9444
2016-11-21,0.9409
2016-11-22,0.941
2016-11-23,0.9477
2016-11-24,0.9475
2016-11-25,0.944
2016-11-26,0.944
2016-11-27,0.944
2016-11-28,0.9424
2016-11-29,0.939
2016-11-30,0.9444
2016-12-01,0.9379
2016-12-02,0.9375
2016-12-03,0.9375
2016-12-04,0.9375
2016-12-05,0.929
2016-12-06,0.933
2016-12-07,0.93
2016-12-08,0.9421
2016-12-09,0.9469
2016-12-10,0.9469
2016-12-11,0.9469
2016-12-12,0.9402
2016-12-13,0.9411
2016-12-14,0.9491
2016-12-15,0.9603
2016-12-16,0.9568
2016-12-17,0.9568
2016-12-18,0.9568
2016-12-19,0.9613
2016-12-20,0.9627
2016-12-21,0.9593
2016-12-22,0.9581
2016-12-23,0.9564
2016-12-24,0.9564
2016-12-25,0.9564
2016-12-26,0.9565
2016-12-27,0.9563
2016-12-28,0.9604
2016-12-29,0.9532
2016-12-30,0.9506
2016-12-31,0.9506
2017-01-01,0.9506
2017-01-02,0.9565
2017-01-03,0.9611
2017-01-04,0.9534
2017-01-05,0.9428
2017-01-06,0.9493
2017-01-07,0.9493
2017-01-08,0.9493
2017-01-09,0.9459
2017-01-10,0.9475
2017-01-11,0.945
2017-01-12,0.9423
2017-01-13,0.9395
2017-01-14,0.9395
2017-01-15,0.9395
2017-01-16,0.9434
2017-01-17,0.9334
2017-01-18,0.9408
2017-01-19,0.9377
2017-01-20,0.9345
2017-01-21,0.9345
2017-01-22,0.9345
2017-01-23,0.929
2017-01-24,0.9319
2017-01-25,0.9304
2017-01-26,0.9361
2017-01-27,0.9347
2017-01-28,0.9347
2017-01-29,0.9347
2017-01-30,0.9349
2017-01-31,0.9261
2017-02-01,0.9286
2017-02-02,0.9295
2017-02-03,0.9272
2017-02-04,0.9272
2017-02-05,0.9272
2017-02-06,0.9302
2017-02-07,0.936
2017-02-08,0.9347
2017-02-09,0.9385
2017-02-10,0.9398
2017-02-11,0.9398
2017-02-12,0.9398
2017-02-13,0.9437
2017-02-14,0.9454
2017-02-15,0.9434
2017-02-16,0.9369
2017-02-17,0.9422
2017-02-18,0.9422
2017-02-19,0.9422
2017-02-20,0.9421
2017-02-21,0.9491
2017-02-22,0.9471
2017-02-23,0.945
2017-02-24,0.9468
2017-02-25,0.9468
2017-02-26,0.9468
2017-02-27,0.9446
2017-02-28,0.9455
2017-03-01,0.9482
2017-03-02,0.9518
2017-03-03,0.9413
2017-03-04,0.9413
2017-03-05,0.9413
2017-03-06,0.9451
2017-03-07,0.9464
2017-03-08,0.9487
2017-03-09,0.9454
2017-03-10,0.9369
2017-03-11,0.9369
2017-03-12,0.9369
2017-03-13,0.9387
2017-03-14,0.943
2017-03-15,0.9317
2017-03-16,0.9289
2017-03-17,0.9312
2017-03-18,0.9312
2017-03-19,0.9312
2017-03-20,0.9312
2017-03-21,0.925
2017-03-22,0.9262
2017-03-23,0.9274
2017-03-24,0.9261
2017-03-25,0.9261
2017-03-26,0.9261
2017-03-27,0.9206
2017-03-28,0.9247
2017-03-29,0.9289
2017-03-30,0.9368
2017-03-31,0.9385
2017-04-01,0.9385
2017-04-02,0.9385
2017-04-03,0.9372
2017-04-04,0.9369
2017-04-05,0.9378
2017-04-06,0.9394
2017-04-07,0.9443
2017-04-08,0.9443
2017-04-09,0.9443
2017-04-10,0.9437
2017-04-11,0.943
2017-04-12,0.9376
2017-04-13,0.9423
2017-04-14,0.9422
2017-04-15,0.9422
2017-04-16,0.9422
2017-04-17,0.9396
2017-04-18,0.9319
2017-04-19,0.9336
2017-04-20,0.9331
2017-04-21,0.9325
2017-04-22,0.9325
2017-04-23,0.9325
2017-04-24,0.9201
2017-04-25,0.9152
2017-04-26,0.9171
2017-04-27,0.9197
2017-04-28,0.9178
2017-04-29,0.9178
2017-04-30,0.9178
2017-05-01,0.9175
2017-05-02,0.9147
2017-05-03,0.9187
2017-05-04,0.9104
2017-05-05,0.9092
2017-05-06,0.9092
2017-05-07,0.9092
2017-05-08,0.9154
2017-05-09,0.9196
2017-05-10,0.9202
2017-05-11,0.9207
2017-05-12,0.9147
2017-05-13,0.9147
2017-05-14,0.9147
2017-05-15,0.9111
2017-05-16,0.9023
2017-05-17,0.8961
2017-05-18,0.9007
2017-05-19,0.8923
2017-05-20,0.8923
2017-05-21,0.8923
2017-05-22,0.8899
2017-05-23,0.8942
2017-05-24,0.8914
2017-05-25,0.892
2017-05-26,0.8944
2017-05-27,0.8944
2017-05-28,0.8944
2017-05-29,0.8958
2017-05-30,0.894
2017-05-31,0.8894
2017-06-01,0.8919
2017-06-02,0.8863
2017-06-03,0.8863
2017-06-04,0.8863
2017-06-05,0.8886
2017-06-06,0.8867
2017-06-07,0.8884
2017-06-08,0.8918
2017-06-09,0.8933
2017-06-10,0.8933
2017-06-11,0.8933
2017-06-12,0.8926
2017-06-13,0.892
2017-06-14,0.8914
2017-06-15,0.8973
2017-06-16,0.8931
2017-06-17,0.8931
2017-06-18,0.8931
2017-06-19,0.897
2017-06-20,0.8981
2017-06-21,0.8954
2017-06-22,0.8968
2017-06-23,0.8933
2017-06-24,0.8933
2017-06-25,0.8933
2017-06-26,0.8943
2017-06-27,0.8819
2017-06-28,0.879
2017-06-29,0.8741
2017-06-30,0.8752
2017-07-01,0.8752
2017-07-02,0.8752
2017-07-03,0.88
2017-07-04,0.8815
2017-07-05,0.8809
2017-07-06,0.8754
2017-07-07,0.8772
2017-07-08,0.8772
2017-07-09,0.8772
2017-07-10,0.8772
2017-07-11,0.8721
2017-07-12,0.8763
2017-07-13,0.8774
2017-07-14,0.8719
2017-07-15,0.8719
2017-07-16,0.8719
2017-07-17,0.8712
2017-07-18,0.8655
2017-07-19,0.8684
2017-07-20,0.8598
2017-07-21,0.8572
2017-07-22,0.8572
2017-07-23,0.8572
2017-07-24,0.8589
2017-07-25,0.8585
2017-07-26,0.8522
2017-07-27,0.8564
2017-07-28,0.8511
2017-07-29,0.8511
2017-07-30,0.8511
2017-07-31,0.8445
2017-08-01,0.8473
2017-08-02,0.8435
2017-08-03,0.8425
2017-08-04,0.8494
2017-08-05,0.8494
2017-08-06,0.8494
2017-08-07,0.8478
2017-08-08,0.8509
2017-08-09,0.8504
2017-08-10,0.8495
2017-08-11,0.8459
2017-08-12,0.8459
2017-08-13,0.8459
2017-08-14,0.8488
2017-08-15,0.8522
2017-08-16,0.8498
2017-08-17,0.853
2017-08-18,0.8503
2017-08-19,0.8503
2017-08-20,0.8503
2017-08-21,0.8464
2017-08-22,0.8502
2017-08-23,0.847
2017-08-24,0.8475
2017-08-25,0.8386
2017-08-26,0.8386
2017-08-27,0.8386
2017-08-28,0.8348
2017-08-29,0.8352
2017-08-30,0.8415
2017-08-31,0.8397
2017-09-01,0.8432
2017-09-02,0.8432
2017-09-03,0.8432
2017-09-04,0.8406
2017-09-05,0.8394
2017-09-06,0.8391
2017-09-07,0.8317
2017-09-08,0.8308
2017-09-09,0.8308
2017-09-10,0.8308
2017-09-11,0.8366
2017-09-12,0.8357
2017-09-13,0.8413
2017-09-14,0.839
2017-09-15,0.837
2017-09-16,0.837
2017-09-17,0.837
2017-09-18,0.8365
2017-09-19,0.8337
2017-09-20,0.8408
2017-09-21,0.8374
2017-09-22,0.8368
2017-09-23,0.8368
2017-09-24,0.8368
2017-09-25,0.8439
2017-09-26,0.848
2017-09-27,0.8514
2017-09-28,0.8484
2017-09-29,0.8464
2017-09-30,0.8464
2017-10-01,0.8464
2017-10-02,0.8523
2017-10-03,0.8515
2017-10-04,0.8504
2017-10-05,0.8539
2017-10-06,0.8525
2017-10-07,0.8525
2017-10-08,0.8525
2017-10-09,0.8518
2017-10-10,0.8469
2017-10-11,0.8432
2017-10-12,0.8453
2017-10-13,0.8459
2017-10-14,0.8459
2017-10-15,0.8459
2017-10-16,0.8477
2017-10-17,0.8499
2017-10-18,0.8484
2017-10-19,0.8437
2017-10-20,0.8487
2017-10-21,0.8487
2017-10-22,0.8487
2017-10-23,0.8511
2017-10-24,0.8503
2017-10-25,0.8465
2017-10-26,0.8584
2017-10-27,0.8614
2017-10-28,0.8614
2017-10-29,0.8614
2017-10-30,0.8582
2017-10-31,0.8587
2017-11-01,0.8607
2017-11-02,0.8577
2017-11-03,0.8615
2017-11-04,0.8615
2017-11-05,0.8615
2017-11-06,0.8613
2017-11-07,0.8631
2017-11-08,0.8625
2017-11-09,0.859
2017-11-10,0.8573
2017-11-11,0.8573
2017-11-12,0.8573
2017-11-13,0.8571
2017-11-14,0.8476
2017-11-15,0.8481
2017-11-16,0.8497
2017-11-17,0.8481
2017-11-18,0.8481
2017-11-19,0.8481
2017-11-20,0.8523
2017-11-21,0.8519
2017-11-22,0.8459
2017-11-23,0.8439
2017-11-24,0.838
2017-11-25,0.838
2017-11-26,0.838
2017-11-27,0.8405
2017-11-28,0.8446
2017-11-29,0.8441
2017-11-30,0.8401
2017-12-01,0.8408
2017-12-02,0.8408
2017-12-03,0.8408
2017-12-04,0.8428
2017-12-05,0.8456
2017-12-06,0.8478
2017-12-07,0.8494
2017-12-08,0.8494
2017-12-09,0.8494
2017-12-10,0.8494
2017-12-11,0.8497
2017-12-12,0.8516
2017-12-13,0.8456
2017-12-14,0.8491
2017-12-15,0.8511
2017-12-16,0.8511
2017-12-17,0.8511
2017-12-18,0.8488
2017-12-19,0.8446
2017-12-20,0.8424
2017-12-21,0.8422
2017-12-22,0.843
2017-12-23,0.843
2017-12-24,0.843
2017-12-25,0.8426
2017-12-26,0.8433
2017-12-27,0.8412
2017-12-28,0.8373
2017-12-29,0.833
2017-12-30,0.833
2017-12-31,0.833
2018-01-01,0.833
2018-01-02,0.8293
2018-01-03,0.8323
2018-01-04,0.8286
2018-01-05,0.8313
2018-01-06,0.8313
2018-01-07,0.8313
2018-01-08,0.8356
2018-01-09,0.8378
2018-01-10,0.837
2018-01-11,0.8311
2018-01-12,0.8195
2018-01-13,0.8195
2018-01-14,0.8195
2018-01-15,0.8154
2018-01-16,0.8157
2018-01-17,0.8206
2018-01-18,0.8171
2018-01-19,0.8184
2018-01-20,0.8184
2018-01-21,0.8184
2018-01-22,0.8155
2018-01-23,0.8131
2018-01-24,0.8059
2018-01-25,0.8067
2018-01-26,0.8045
2018-01-27,0.8045
2018-01-28,0.8045
2018-01-29,0.8076
2018-01-30,0.8063
2018-01-31,0.8056
2018-02-01,0.7996
2018-02-02,0.8028
2018-02-03,0.8028
2018-02-04,0.8028
2018-02-05,0.8087
2018-02-06,0.808
2018-02-07,0.8154
2018-02-08,0.8165
2018-02-09,0.8162
2018-02-10,0.8162
2018-02-11,0.8162
2018-02-12,0.8136
2018-02-13,0.8096
2018-02-14,0.8032
2018-02-15,0.7996
2018-02-16,0.806
2018-02-17,0.806
2018-02-18,0.806
2018-02-19,0.806
2018-02-20,0.8105
2018-02-21,0.8141
2018-02-22,0.811
2018-02-23,0.8133
2018-02-24,0.8133
2018-02-25,0.8133
2018-02-26,0.8119
2018-02-27,0.8174
2018-02-28,0.8201
2018-03-01,0.8152
2018-03-02,0.8118
2018-03-03,0.8118
2018-03-04,0.8118
2018-03-05,0.8107
2018-03-06,0.8061
2018-03-07,0.8057
2018-03-08,0.8122
2018-03-09,0.8126
2018-03-10,0.8126
2018-03-11,0.8126
2018-03-12,0.8107
2018-03-13,0.8071
2018-03-14,0.8086
2018-03-15,0.8127
2018-03-16,0.8137
2018-03-17,0.8137
2018-03-18,0.8137
2018-03-19,0.8107
2018-03-20,0.8169
2018-03-21,0.8105
2018-03-22,0.8129
2018-03-23,0.8095
2018-03-24,0.8095
2018-03-25,0.8095
2018-03-26,0.8035
2018-03-27,0.8063
2018-03-28,0.8124
2018-03-29,0.813
2018-03-30,0.8114
2018-03-31,0.8114
2018-04-01,0.8114
2018-04-02,0.8129
2018-04-03,0.815
2018-04-04,0.8145
2018-04-05,0.817
2018-04-06,0.8142
2018-04-07,0.8142
2018-04-08,0.8142
2018-04-09,0.8116
2018-04-10,0.8093
2018-04-11,0.8086
2018-04-12,0.8113
2018-04-13,0.811
2018-04-14,0.811
2018-04-15,0.811
2018-04-16,0.8078
2018-04-17,0.8085
2018-04-18,0.8081
2018-04-19,0.81
2018-04-20,0.8138
2018-04-21,0.8138
2018-04-22,0.8138
2018-04-23,0.8191
2018-04-24,0.8175
2018-04-25,0.8223
2018-04-26,0.8262
2018-04-27,0.8244
2018-04-28,0.8244
2018-04-29,0.8244
2018-04-30,0.8279
2018-05-01,0.8339
2018-05-02,0.8368
2018-05-03,0.8341
2018-05-04,0.836
2018-05-05,0.836
2018-05-06,0.836
2018-05-07,0.8387
2018-05-08,0.8429
2018-05-09,0.8438
2018-05-10,0.8392
2018-05-11,0.8374
2018-05-12,0.8374
2018-05-13,0.8374
2018-05-14,0.8384
2018-05-15,0.8448
2018-05-16,0.8469
2018-05-17,0.8479
2018-05-18,0.8496
2018-05-19,0.8496
2018-05-20,0.8496
2018-05-21,0.8481
2018-05-22,0.849
2018-05-23,0.8549
2018-05-24,0.8533
2018-05-25,0.8584
2018-05-26,0.8584
2018-05-27,0.8584
2018-05-28,0.8603
2018-05-29,0.8666
2018-05-30,0.8573
2018-05-31,0.8553
2018-06-01,0.8577
2018-06-02,0.8577
2018-06-03,0.8577
2018-06-04,0.8548
2018-06-05,0.8534
2018-06-06,0.8493
2018-06-07,0.8475
2018-06-08,0.8497
2018-06-09,0.8497
2018-06-10,0.8497
2018-06-11,0.8486
2018-06-12,0.8514
2018-06-13,0.8481
2018-06-14,0.8645
2018-06-15,0.8615
2018-06-16,0.8615
2018-06-17,0.8615
2018-06-18,0.8604
2018-06-19,0.8628
2018-06-20,0.8639
2018-06-21,0.8618
2018-06-22,0.858
2018-06-23,0.858
2018-06-24,0.858
2018-06-25,0.8544
2018-06-26,0.8585
2018-06-27,0.8655
2018-06-28,0.8644
2018-06-29,0.8558
2018-06-30,0.8558
2018-07-01,0.8558
2018-07-02,0.8592
2018-07-03,0.8577
2018-07-04,0.8579
2018-07-05,0.8553
2018-07-06,0.8515
2018-07-07,0.8515
2018-07-08,0.8515
2018-07-09,0.851
2018-07-10,0.8515
2018-07-11,0.8567
2018-07-12,0.8569
2018-07-13,0.8558
2018-07-14,0.8558
2018-07-15,0.8558
2018-07-16,0.8539
2018-07-17,0.8575
2018-07-18,0.8592
2018-07-19,0.859
2018-07-20,0.8531
2018-07-21,0.8531
2018-07-22,0.8531
2018-07-23,0.8553
2018-07-24,0.8558
2018-07-25,0.8526
2018-07-26,0.8589
2018-07-27,0.8579
2018-07-28,0.8579
2018-07-29,0.8579
2018-07-30,0.8543
2018-07-31,0.8554
2018-08-01,0.8576
2018-08-02,0.8632
2018-08-03,0.8645
2018-08-04,0.8645
2018-08-05,0.8645
2018-08-06,0.8656
2018-08-07,0.8622
2018-08-08,0.8613
2018-08-09,0.8675
2018-08-10,0.8762
2018-08-11,0.8762
2018-08-12,0.8762
2018-08-13,0.8764
2018-08-14,0.8815
2018-08-15,0.8814
2018-08-16,0.879
2018-08-17,0.8742
2018-08-18,0.8742
2018-08-19,0.8742
2018-08-20,0.871
2018-08-21,0.8643
2018-08-22,0.8623
2018-08-23,0.8664
2018-08-24,0.8605
2018-08-25,0.8605
2018-08-26,0.8605
2018-08-27,0.8563
2018-08-28,0.8551
2018-08-29,0.8542
2018-08-30,0.857
2018-08-31,0.862
2018-09-01,0.862
2018-09-02,0.862
2018-09-03,0.8608
2018-09-04,0.8634
2018-09-05,0.8598
2018-09-06,0.8603
2018-09-07,0.8656
2018-09-08,0.8656
2018-09-09,0.8656
2018-09-10,0.8625
2018-09-11,0.8616
2018-09-12,0.8601
2018-09-13,0.8554
2018-09-14,0.8604
2018-09-15,0.8604
2018-09-16,0.8604
2018-09-17,0.8559
2018-09-18,0.857
2018-09-19,0.8567
2018-09-20,0.8491
2018-09-21,0.8511
2018-09-22,0.8511
2018-09-23,0.8511
2018-09-24,0.8512
2018-09-25,0.8498
2018-09-26,0.8518
2018-09-27,0.859
2018-09-28,0.8617
2018-09-29,0.8617
2018-09-30,0.8617
2018-10-01,0.8637
2018-10-02,0.8659
2018-10-03,0.8712
2018-10-04,0.8685
2018-10-05,0.8679
2018-10-06,0.8679
2018-10-07,0.8679
2018-10-08,0.8702
2018-10-09,0.8702
2018-10-10,0.8681
2018-10-11,0.8626
2018-10-12,0.8651
2018-10-13,0.8651
2018-10-14,0.8651
2018-10-15,0.8636
2018-10-16,0.864
2018-10-17,0.8695
2018-10-18,0.8731
2018-10-19,0.8685
2018-10-20,0.8685
2018-10-21,0.8685
2018-10-22,0.8722
2018-10-23,0.8718
2018-10-24,0.8778
2018-10-25,0.8791
2018-10-26,0.877
2018-10-27,0.877
2018-10-28,0.877
2018-10-29,0.8793
2018-10-30,0.8814
2018-10-31,0.884
2018-11-01,0.8765
2018-11-02,0.8781
2018-11-03,0.8781
2018-11-04,0.8781
2018-11-05,0.8766
2018-11-06,0.8751
2018-11-07,0.8752
2018-11-08,0.88
2018-11-09,0.8822
2018-11-10,0.8822
2018-11-11,0.8822
2018-11-12,0.8915
2018-11-13,0.8856
2018-11-14,0.8842
2018-11-15,0.8826
2018-11-16,0.8757
2018-11-17,0.8757
2018-11-18,0.8757
2018-11-19,0.8731
2018-11-20,0.8795
2018-11-21,0.8783
2018-11-22,0.8769
2018-11-23,0.882
2018-11-24,0.882
2018-11-25,0.882
2018-11-26,0.8828
2018-11-27,0.886
2018-11-28,0.8798
2018-11-29,0.8777
2018-11-30,0.8835
2018-12-01,0.8835
2018-12-02,0.8835
2018-12-03,0.8808
2018-12-04,0.8816
2018-12-05,0.8815
2018-12-06,0.879
2018-12-07,0.8777
2018-12-08,0.8777
2018-12-09,0.8777
2018-12-10,0.8806
2018-12-11,0.8836
2018-12-12,0.8796
2018-12-13,0.8805
2018-12-14,0.8845
2018-12-15,0.8845
2018-12-16,0.8845
2018-12-17,0.8812
2018-12-18,0.8802
2018-12-19,0.879
2018-12-20,0.8737
2018-12-21,0.8794
2018-12-22,0.8794
2018-12-23,0.8794
2018-12-24,0.8768
2018-12-25,0.8778
2018-12-26,0.8809
2018-12-27,0.8748
2018-12-28,0.8738
2018-12-29,0.8738
2018-12-30,0.8738
2018-12-31,0.8722
2019-01-01,0.8723
2019-01-02,0.8816
2019-01-03,0.8777
2019-01-04,0.8775
2019-01-05,0.8775
2019-01-06,0.8775
2019-01-07,0.8715
2019-01-08,0.8741
2019-01-09,0.8664
2019-01-10,0.8696
2019-01-11,0.8719
2019-01-12,0.8719
2019-01-13,0.8719
2019-01-14,0.8719
2019-01-15,0.8762
2019-01-16,0.8778
2019-01-17,0.878
2019-01-18,0.88
2019-01-19,0.88
2019-01-20,0.88
2019-01-21,0.8798
2019-01-22,0.8803
2019-01-23,0.8787
2019-01-24,0.8845
2019-01-25,0.8766
2019-01-26,0.8766
2019-01-27,0.8766
2019-01-28,0.8751
2019-01-29,0.8747
2019-01-30,0.8711
2019-01-31,0.8736
2019-02-01,0.8729
2019-02-02,0.8729
2019-02-03,0.8729
2019-02-04,0.8744
2019-02-05,0.8767
2019-02-06,0.8801
2019-02-07,0.8817
2019-02-08,0.8832
2019-02-09,0.8832
2019-02-10,0.8832
2019-02-11,0.8869
2019-02-12,0.8829
2019-02-13,0.888
2019-02-14,0.8853
2019-02-15,0.8854
2019-02-16,0.8854
2019-02-17,0.8854
2019-02-18,0.8841
2019-02-19,0.8816
2019-02-20,0.882
2019-02-21,0.8822
2019-02-22,0.8822
2019-02-23,0.8822
2019-02-24,0.8822
2019-02-25,0.8805
2019-02-26,0.878
2019-02-27,0.8795
2019-02-28,0.8794
2019-03-01,0.8798
2019-03-02,0.8798
2019-03-03,0.8798
2019-03-04,0.8818
2019-03-05,0.8843
2019-03-06,0.8844
2019-03-07,0.8934
2019-03-08,0.8901
2019-03-09,0.8901
2019-03-10,0.8901
2019-03-11,0.8893
2019-03-12,0.886
2019-03-13,0.8829
2019-03-14,0.8846
2019-03-15,0.8829
2019-03-16,0.8829
2019-03-17,0.8829
2019-03-18,0.8819
2019-03-19,0.8809
2019-03-20,0.8762
2019-03-21,0.8791
2019-03-22,0.8849
2019-03-23,0.8849
2019-03-24,0.8849
2019-03-25,0.884
2019-03-26,0.8877
2019-03-27,0.8894
2019-03-28,0.891
2019-03-29,0.8914
2019-03-30,0.8914
2019-03-31,0.8914
2019-04-01,0.8918
2019-04-02,0.8925
2019-04-03,0.8902
2019-04-04,0.8912
2019-04-05,0.8916
2019-04-06,0.8916
2019-04-07,0.8916
2019-04-08,0.8879
2019-04-09,0.8878
2019-04-10,0.887
2019-04-11,0.8885
2019-04-12,0.885
2019-04-13,0.885
2019-04-14,0.885
2019-04-15,0.8847
2019-04-16,0.8865
2019-04-17,0.8853
2019-04-18,0.8904
2019-04-19,0.8893
2019-04-20,0.8893
2019-04-21,0.8893
2019-04-22,0.8883
2019-04-23,0.8907
2019-04-24,0.8965
2019-04-25,0.8982
2019-04-26,0.8968
2019-04-27,0.8968
2019-04-28,0.8968
2019-04-29,0.894
2019-04-30,0.8917
2019-05-01,0.8932
2019-05-02,0.8951
2019-05-03,0.8928
2019-05-04,0.8928
2019-05-05,0.8928
2019-05-06,0.8929
2019-05-07,0.8935
2019-05-08,0.8935
2019-05-09,0.8917
2019-05-10,0.8902
2019-05-11,0.8902
2019-05-12,0.8902
2019-05-13,0.8911
2019-05-14,0.8925
2019-05-15,0.8928
2019-05-16,0.8949
2019-05-17,0.8962
2019-05-18,0.8962
2019-05-19,0.8962
2019-05-20,0.8956
2019-05-21,0.896
2019-05-22,0.8968
2019-05-23,0.8943
2019-05-24,0.8924
2019-05-25,0.8924
2019-05-26,0.8924
2019-05-27,0.8935
2019-05-28,0.896
2019-05-29,0.8984
2019-05-30,0.8986
2019-05-31,0.8954
2019-06-01,0.8954
2019-06-02,0.8954
2019-06-03,0.8896
2019-06-04,0.8887
2019-06-05,0.8912
2019-06-06,0.8869
2019-06-07,0.8824
2019-06-08,0.8824
2019-06-09,0.8824
2019-06-10,0.8841
2019-06-11,0.8829
2019-06-12,0.886
2019-06-13,0.8868
2019-06-14,0.8922
2019-06-15,0.8922
2019-06-16,0.8922
2019-06-17,0.8914
2019-06-18,0.8933
2019-06-19,0.8908
2019-06-20,0.8856
2019-06-21,0.8796
2019-06-22,0.8796
2019-06-23,0.8796
2019-06-24,0.8773
2019-06-25,0.8797
2019-06-26,0.8795
2019-06-27,0.8796
2019-06-28,0.8793
2019-06-29,0.8793
2019-06-30,0.8793
2019-07-01,0.8861
2019-07-02,0.8861
2019-07-03,0.8867
2019-07-04,0.8861
2019-07-05,0.8908
2019-07-06,0.8908
2019-07-07,0.8908
2019-07-08,0.8917
2019-07-09,0.8922
2019-07-10,0.8888
2019-07-11,0.8886
2019-07-12,0.8873
2019-07-13,0.8873
2019-07-14,0.8873
2019-07-15,0.8883
2019-07-16,0.892
2019-07-17,0.8909
2019-07-18,0.8868
2019-07-19,0.8912
2019-07-20,0.8912
2019-07-21,0.8912
2019-07-22,0.8921
2019-07-23,0.8967
2019-07-24,0.8977
2019-07-25,0.8971
2019-07-26,0.8987
2019-07-27,0.8987
2019-07-28,0.8987
2019-07-29,0.8973
2019-07-30,0.8964
2019-07-31,0.9028
2019-08-01,0.9021
2019-08-02,0.9002
2019-08-03,0.9002
2019-08-04,0.9002
2019-08-05,0.8926
2019-08-06,0.8928
2019-08-07,0.8929
2019-08-08,0.8945
2019-08-09,0.8929
2019-08-10,0.8929
2019-08-11,0.8929
2019-08-12,0.8918
2019-08-13,0.8951
2019-08-14,0.8977
2019-08-15,0.9002
2019-08-16,0.9016
2019-08-17,0.9016
2019-08-18,0.9016
2019-08-19,0.9027
2019-08-20,0.9009
2019-08-21,0.9022
2019-08-22,0.9025
2019-08-23,0.8975
2019-08-24,0.8975
