,TSCO US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,2.562
2020-06-03,2.581
2020-06-04,2.591
2020-06-05,2.596
2020-06-06,2.596
2020-06-07,2.596
2020-06-08,2.594
2020-06-09,2.59
2020-06-10,2.614
2020-06-11,2.66
2020-06-12,2.677
2020-06-13,2.677
2020-06-14,2.677
2020-06-15,2.61
2020-06-16,2.56
2020-06-17,2.541
2020-06-18,2.524
2020-06-19,2.484
2020-06-20,2.484
2020-06-21,2.484
2020-06-22,2.437
2020-06-23,2.453
2020-06-24,2.414
2020-06-25,2.424
2020-06-26,2.439
2020-06-27,2.439
2020-06-28,2.439
2020-06-29,2.409
2020-06-30,2.406
2020-07-01,2.39
2020-07-02,2.394
2020-07-03,2.394
2020-07-04,2.394
2020-07-05,2.394
2020-07-06,2.371
2020-07-07,2.362
2020-07-08,2.338
2020-07-09,2.303
2020-07-10,2.291
2020-07-11,2.291
2020-07-12,2.291
2020-07-13,2.339
2020-07-14,2.27
2020-07-15,2.278
2020-07-16,2.231
2020-07-17,2.252
2020-07-18,2.252
2020-07-19,2.252
2020-07-20,2.191
2020-07-21,2.202
2020-07-22,2.173
2020-07-23,2.172
2020-07-24,2.164
2020-07-25,2.164
2020-07-26,2.164
2020-07-27,2.217
2020-07-28,2.083
2020-07-29,2.049
2020-07-30,2.078
2020-07-31,2.088
2020-08-01,2.088
2020-08-02,2.088
2020-08-03,2.021
2020-08-04,2.01
2020-08-05,2.024
2020-08-06,2.012
2020-08-07,2.012
2020-08-08,2.012
2020-08-09,2.012
2020-08-10,2.025
2020-08-11,2.054
2020-08-12,1.999
2020-08-13,2.004
2020-08-14,2.005
2020-08-15,2.005
2020-08-16,2.005
2020-08-17,1.94
2020-08-18,1.947
2020-08-19,1.936
2020-08-20,1.956
2020-08-21,1.939
2020-08-22,1.939
2020-08-23,1.939
2020-08-24,1.936
2020-08-25,1.939
2020-08-26,1.922
2020-08-27,1.968
2020-08-28,2.023
2020-08-29,2.023
2020-08-30,2.023
2020-08-31,1.997
2020-09-01,1.994
2020-09-02,1.987
2020-09-03,2.042
2020-09-04,2.092
2020-09-05,2.092
2020-09-06,2.092
2020-09-07,2.092
2020-09-08,2.173
2020-09-09,2.099
2020-09-10,2.157
2020-09-11,2.159
2020-09-12,2.159
2020-09-13,2.159
2020-09-14,2.152
2020-09-15,2.11
2020-09-16,2.15
2020-09-17,2.151
2020-09-18,2.152
2020-09-19,2.152
2020-09-20,2.152
2020-09-21,2.161
