,BBY US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,4.269
2020-06-19,4.327
2020-06-20,4.327
2020-06-21,4.327
2020-06-22,4.144
2020-06-23,4.093
2020-06-24,4.192
2020-06-25,4.148
2020-06-26,4.143
2020-06-27,4.143
2020-06-28,4.143
2020-06-29,4.07
2020-06-30,4.026
2020-07-01,4.022
2020-07-02,4.018
2020-07-03,4.018
2020-07-04,4.018
2020-07-05,4.018
2020-07-06,4.006
2020-07-07,4.105
2020-07-08,4.03
2020-07-09,4.136
2020-07-10,4.138
2020-07-11,4.138
2020-07-12,4.138
2020-07-13,4.104
2020-07-14,4.044
2020-07-15,3.974
2020-07-16,3.977
2020-07-17,3.994
2020-07-18,3.994
2020-07-19,3.994
2020-07-20,3.975
2020-07-21,3.892
2020-07-22,3.609
2020-07-23,3.657
2020-07-24,3.622
2020-07-25,3.622
2020-07-26,3.622
2020-07-27,3.588
2020-07-28,3.615
2020-07-29,3.581
2020-07-30,3.512
2020-07-31,3.528
2020-08-01,3.528
2020-08-02,3.528
2020-08-03,3.482
2020-08-04,3.496
2020-08-05,3.448
2020-08-06,3.419
2020-08-07,3.414
2020-08-08,3.414
2020-08-09,3.414
2020-08-10,3.371
2020-08-11,3.374
2020-08-12,3.347
2020-08-13,3.256
2020-08-14,3.209
2020-08-15,3.209
2020-08-16,3.209
2020-08-17,3.171
2020-08-18,3.179
2020-08-19,3.138
2020-08-20,3.145
2020-08-21,3.082
2020-08-22,3.082
2020-08-23,3.082
2020-08-24,2.993
2020-08-25,3.119
2020-08-26,3.692
2020-08-27,3.729
2020-08-28,3.728
2020-08-29,3.728
2020-08-30,3.728
2020-08-31,3.739
2020-09-01,3.654
2020-09-02,3.637
2020-09-03,3.815
2020-09-04,3.901
2020-09-05,3.901
2020-09-06,3.901
2020-09-07,3.901
2020-09-08,3.94
2020-09-09,3.81
2020-09-10,3.862
2020-09-11,3.872
2020-09-12,3.872
2020-09-13,3.872
2020-09-14,3.831
2020-09-15,3.821
2020-09-16,3.853
2020-09-17,3.906
2020-09-18,3.908
2020-09-19,3.908
2020-09-20,3.908
2020-09-21,3.893
2020-09-22,3.833
2020-09-23,3.874
2020-09-24,3.938
2020-09-25,3.893
