,CVBF US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,4.738
2020-07-01,4.903
2020-07-02,4.944
2020-07-03,4.944
2020-07-04,4.944
2020-07-05,4.944
2020-07-06,4.892
2020-07-07,5.005
2020-07-08,5.104
2020-07-09,5.266
2020-07-10,5.089
2020-07-11,5.089
2020-07-12,5.089
2020-07-13,4.957
2020-07-14,5.039
2020-07-15,4.866
2020-07-16,4.842
2020-07-17,4.954
2020-07-18,4.954
2020-07-19,4.954
2020-07-20,5.011
2020-07-21,4.766
2020-07-22,4.877
2020-07-23,4.648
2020-07-24,4.705
2020-07-25,4.705
2020-07-26,4.705
2020-07-27,4.909
2020-07-28,4.977
2020-07-29,4.855
2020-07-30,4.939
2020-07-31,4.928
2020-08-01,4.928
2020-08-02,4.928
2020-08-03,4.936
2020-08-04,4.959
2020-08-05,4.87
2020-08-06,4.879
2020-08-07,4.674
2020-08-08,4.674
2020-08-09,4.674
2020-08-10,4.628
2020-08-11,4.583
2020-08-12,4.628
2020-08-13,4.684
2020-08-14,4.656
2020-08-15,4.656
2020-08-16,4.656
2020-08-17,4.716
2020-08-18,4.847
2020-08-19,4.792
2020-08-20,4.887
2020-08-21,4.898
2020-08-22,4.898
2020-08-23,4.898
2020-08-24,4.764
2020-08-25,4.778
2020-08-26,4.876
2020-08-27,4.8
2020-08-28,4.834
2020-08-29,4.834
2020-08-30,4.834
2020-08-31,4.89
2020-09-01,4.917
2020-09-02,4.925
2020-09-03,4.898
2020-09-04,4.811
2020-09-05,4.811
2020-09-06,4.811
2020-09-07,4.811
2020-09-08,5.048
2020-09-09,5.132
2020-09-10,5.192
2020-09-11,5.213
2020-09-12,5.213
2020-09-13,5.213
2020-09-14,5.189
2020-09-15,5.269
2020-09-16,5.21
2020-09-17,5.235
2020-09-18,5.171
2020-09-19,5.171
2020-09-20,5.171
2020-09-21,5.444
2020-09-22,5.526
2020-09-23,5.646
2020-09-24,5.569
2020-09-25,5.541
2020-09-26,5.541
2020-09-27,5.541
2020-09-28,5.342
