,AMAT US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,2.095
2020-05-16,2.095
2020-05-17,2.095
2020-05-18,2.005
2020-05-19,1.965
2020-05-20,1.909
2020-05-21,1.973
2020-05-22,1.996
2020-05-23,1.996
2020-05-24,1.996
2020-05-25,1.996
2020-05-26,1.969
2020-05-27,1.925
2020-05-28,1.986
2020-05-29,1.933
2020-05-30,1.933
2020-05-31,1.933
2020-06-01,1.95
2020-06-02,1.946
2020-06-03,1.878
2020-06-04,1.868
2020-06-05,1.804
2020-06-06,1.804
2020-06-07,1.804
2020-06-08,1.813
2020-06-09,1.816
2020-06-10,1.814
2020-06-11,1.96
2020-06-12,1.92
2020-06-13,1.92
2020-06-14,1.92
2020-06-15,1.903
2020-06-16,1.855
2020-06-17,1.81
2020-06-18,1.798
2020-06-19,1.781
2020-06-20,1.781
2020-06-21,1.781
2020-06-22,1.772
2020-06-23,1.785
2020-06-24,1.811
2020-06-25,1.81
2020-06-26,1.86
2020-06-27,1.86
2020-06-28,1.86
2020-06-29,1.838
2020-06-30,1.796
2020-07-01,1.819
2020-07-02,1.78
2020-07-03,1.78
2020-07-04,1.78
2020-07-05,1.78
2020-07-06,1.711
2020-07-07,1.746
2020-07-08,1.73
2020-07-09,1.71
2020-07-10,1.735
2020-07-11,1.735
2020-07-12,1.735
2020-07-13,1.765
2020-07-14,1.736
2020-07-15,1.748
2020-07-16,1.742
2020-07-17,1.743
2020-07-18,1.743
2020-07-19,1.743
2020-07-20,1.704
2020-07-21,1.702
2020-07-22,1.691
2020-07-23,1.706
2020-07-24,1.791
2020-07-25,1.791
2020-07-26,1.791
2020-07-27,1.723
2020-07-28,1.743
2020-07-29,1.717
2020-07-30,1.685
2020-07-31,1.688
2020-08-01,1.688
2020-08-02,1.688
2020-08-03,1.67
2020-08-04,1.674
2020-08-05,1.674
2020-08-06,1.707
2020-08-07,1.708
2020-08-08,1.708
2020-08-09,1.708
2020-08-10,1.664
2020-08-11,1.684
2020-08-12,1.633
2020-08-13,1.669
2020-08-14,1.606
2020-08-15,1.606
2020-08-16,1.606
2020-08-17,1.622
2020-08-18,1.634
2020-08-19,1.643
2020-08-20,1.696
2020-08-21,1.738
2020-08-22,1.738
2020-08-23,1.738
2020-08-24,1.698
2020-08-25,1.69
2020-08-26,1.697
2020-08-27,1.745
2020-08-28,1.716
2020-08-29,1.716
2020-08-30,1.716
2020-08-31,1.757
2020-09-01,1.749
2020-09-02,1.663
2020-09-03,1.761
2020-09-04,1.775
2020-09-05,1.775
2020-09-06,1.775
2020-09-07,1.775
2020-09-08,1.945
2020-09-09,1.96
2020-09-10,1.963
2020-09-11,1.968
2020-09-12,1.968
2020-09-13,1.968
2020-09-14,1.917
2020-09-15,1.892
2020-09-16,1.916
